ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4732.7 at 16:36 22/2/2010  Report at 19:05 Monday 22/2/2010. Processed 11:14 Tuesday 23/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""MDL",Mineral Deposits ,FPO,"316,943","53,191",16.78,1.64,"573,625,950","0.00""",,,,,,,,,
"""AIX",Australian Infrastructure Fund,UNT/ORD,"1,294,560","211,038",16.30,1.07,"576,777,900","0.03""",,,,,,,,,
"""ABC",Adelaide Brighton ,FPO,"2,415,995","391,683",16.21,1.97,"634,144,970","0.06""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"16,131,559","2,608,985",16.17,0.90,"1,930,403,911","0.13""",,,,,,,,,
"""HIL",Hills Industries ,FPO,"772,796","124,947",16.16,3.33,"247,943,495","0.05""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"7,835,769","1,263,045",16.11,-0.15,"2,067,095,545","0.06""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"996,261","159,987",16.05,1.29,"448,868,339","0.03""",,,,,,,,,
"""CXP",Corporate Express Australia,FPO,"66,297","10,514",15.85,-0.22,"168,132,810","0.00""",,,,,,,,,
"""BTA",Biota Holdings ,FPO,"1,856,595","290,837",15.66,2.28,"178,978,467","0.16""",,,,,,,,,
"""SDL",Sundance Resources ,FPO,"3,812,779","594,056",15.58,3.84,"2,709,995,932","0.02""",,,,,,,,,
"""PNA",PanAust ,FPO,"13,500,659","2,096,358",15.52,2.04,"2,932,780,549","0.07""",,,,,,,,,
"""ITO",Intoll Group,STAPLED,"6,913,436","1,071,718",15.50,1.35,"2,261,732,048","0.04""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"705,495","107,159",15.18,0.68,"299,048,336","0.03""",,,,,,,,,
"""CWN",Crown ,FPO,"1,399,468","212,230",15.16,4.75,"753,555,290","0.02""",,,,,,,,,
"""NAB",National Australia Bank ,FPO,"9,728,523","1,475,400",15.16,0.31,"2,119,507,342","0.07""",,,,,,,,,
"""AQA",Aquila Resources ,FPO,"1,046,768","157,641",15.06,1.99,"322,273,136","0.04""",,,,,,,,,
"""VBA",Virgin Blue Holdings ,FPO,"9,471,004","1,412,837",14.91,4.03,"2,209,126,568","0.06""",,,,,,,,,
"""EXT",Extract Resources,FPO,"139,727","20,731",14.83,6.21,"242,617,636","0.00""",,,,,,,,,
"""AWB",AWB ,FPO,"2,519,570","373,075",14.80,3.39,"817,304,356","0.04""",,,,,,,,,
"""STO",Santos ,FPO,"2,574,128","378,450",14.70,1.41,"831,413,347","0.04""",,,,,,,,,
"""BXB",Brambles ,FPO,"4,707,490","681,423",14.47,3.52,"1,412,317,782","0.04""",,,,,,,,,
"""MOF",Macquarie Office Trust,UNIT,"25,087,705","3,605,163",14.37,-3.57,"4,872,354,215","0.07""",,,,,,,,,
"""COH",Cochlear ,FPO,"209,250","29,483",14.09,0.06,"56,413,126","0.05""",,,,,,,,,
"""DOW",Downer EDI ,FPO,"1,873,620","263,404",14.05,2.49,"333,681,857","0.07""",,,,,,,,,
"""OKN",Oakton ,FPO,"89,054","12,449",13.97,0.66,"91,854,235","0.01""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"1,113,963","154,922",13.90,0.84,"503,544,941","0.03""",,,,,,,,,
"""CMJ",Consolidated Media,FPO,"785,137","108,905",13.87,2.94,"620,709,233","0.01""",,,,,,,,,
"""ASX",ASX ,FPO,"737,125","101,934",13.82,0.24,"172,305,698","0.05""",,,,,,,,,
"""IDL",Industrea ,FPO,"1,435,075","195,182",13.60,2.63,"955,736,701","0.02""",,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"707,562","96,246",13.60,1.68,"203,496,058","0.04""",,,,,,,,,
"""MPO",Molopo Energy ,FPO,"394,901","53,566",13.56,3.86,"193,921,119","0.02""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"16,630,795","2,254,699",13.55,1.72,"6,205,676,188","0.03""",,,,,,,,,
"""BNO",Bionomics ,FPO,"75,000","10,000",13.33,0.00,"318,174,279","0.00""",,,,,,,,,
