ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4403.7 at 16:35 2/6/2010  Report at 19:06 Wednesday 2/6/2010!. Processed 11:56 Thursday 3/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""CTX",Caltex Australia ,FPO,"1,361,626","337,895",24.81,-3.73,"270,000,000","0.12""",,,,,,,,,
"""JBH",JB Hi-Fi ,FPO,"673,001","165,425",24.58,-0.74,"108,344,987","0.15""",,,,,,,,,
"""WOW",Woolworths ,FPO,"6,838,647","1,679,355",24.55,1.57,"1,240,683,928","0.13""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"10,727,294","2,594,166",24.18,1.09,"2,012,803,230","0.12""",,,,,,,,,
"""AGO",Atlas Iron ,FPO,"3,109,224","739,001",23.76,-2.48,"473,492,286","0.15""",,,,,,,,,
"""WEC",White Energy Company ,FPO,"1,244,017","295,326",23.74,-2.91,"236,066,184","0.12""",,,,,,,,,
"""BOQ",Bank Of Queensland,FPO,"563,079","133,502",23.70,-0.09,"215,680,322","0.06""",,,,,,,,,
"""ELD",Elders ,FPO,"1,497,156","347,647",23.22,-3.44,"448,598,480","0.07""",,,,,,,,,
"""WPL",Woodside Petroleum ,FPO,"1,709,420","394,032",23.05,-0.36,"780,136,909","0.05""",,,,,,,,,
"""MTS",Metcash ,FPO,"5,024,479","1,151,205",22.91,2.03,"765,644,031","0.15""",,,,,,,,,
"""AUN",Austar United Comms,FPO,"2,920,265","663,817",22.73,-0.50,"1,259,940,198","0.05""",,,,,,,,,
"""NXS",Nexus Energy ,FPO,"4,883,004","1,108,533",22.70,-1.88,"958,061,849","0.11""",,,,,,,,,
"""CSR",CSR ,FPO,"4,331,442","982,391",22.68,-1.47,"1,514,920,814","0.06""",,,,,,,,,
"""NAB",National Australia Bank ,FPO,"6,918,138","1,565,836",22.63,-0.65,"2,121,077,642","0.07""",,,,,,,,,
"""TAH",Tabcorp Holdings ,FPO,"2,447,135","552,349",22.57,-1.50,"612,625,759","0.09""",,,,,,,,,
"""DJS",David Jones ,FPO,"2,538,769","570,224",22.46,-1.81,"510,945,759","0.11""",,,,,,,,,
"""SHL",Sonic Healthcare ,FPO,"2,085,744","468,274",22.45,2.16,"388,429,875","0.12""",,,,,,,,,
"""WSA",Western Areas,FPO,"1,098,714","244,713",22.27,-1.22,"179,735,899","0.13""",,,,,,,,,
"""ROC",Roc Oil Company ,FPO,"2,680,699","593,770",22.15,-4.28,"713,154,560","0.08""",,,,,,,,,
"""COH",Cochlear ,FPO,"478,076","105,592",22.08,1.46,"56,543,401","0.18""",,,,,,,,,
"""IFN",Infigen Energy,STAPLED,"1,803,953","393,642",21.82,-3.10,"790,035,846","0.05""",,,,,,,,,
"""LGL",Lihir Gold ,FPO 10T,"18,496,278","3,991,881",21.58,-1.00,"2,368,729,935","0.16""",,,,,,,,,
"""ANZ",ANZ Banking Grp,FPO,"5,971,468","1,279,064",21.42,-0.94,"2,533,722,912","0.05""",,,,,,,,,
