ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010!. Processed 13:33 Monday 18/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""FLT",Flight Centre ,FPO,"83,173","9,094",10.93,-0.95,"99,680,858","0.00""",,,,,,,,,
"""ENV",Envestra ,FPO,"2,274,187","240,910",10.59,-1.92,"1,346,902,042","0.01""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"2,010,268","210,712",10.48,0.50,"1,894,384,958","0.01""",,,,,,,,,
"""HST",Hastie Group ,FPO,"1,251,749","127,632",10.19,0.49,"236,132,996","0.05""",,,,,,,,,
"""SGN",STW Communications Group ,FPO,"88,898","9,041",10.17,0.58,"364,310,964","0.00""",,,,,,,,,
"""STO",Santos ,FPO,"4,964,468","502,354",10.11,-1.36,"831,413,347","0.06""",,,,,,,,,
"""SPN",SP AusNet,STAPLED,"2,245,435","221,083",9.84,-2.18,"2,705,140,151","0.00""",,,,,,,,,
"""EXT",Extract Resources,FPO,"223,933","22,021",9.83,-0.35,"242,617,636","0.00""",,,,,,,,,
"""FWD",Fleetwood Corporation ,FPO,"104,793","10,236",9.76,0.00,"53,156,311","0.01""",,,,,,,,,
"""APN",APN News & Media ,FPO,"803,666","77,056",9.58,2.14,"595,311,917","0.01""",,,,,,,,,
"""MTS",Metcash ,FPO,"2,502,108","235,264",9.40,1.36,"765,551,053","0.03""",,,,,,,,,
"""AAD",Ardent Leisure Group,STAPLED,"380,260","35,535",9.34,1.12,"303,981,829","0.01""",,,,,,,,,
"""HDF",Hastings Diversified Utilities,STAPLED,"847,239","78,927",9.31,0.42,"491,648,434","0.01""",,,,,,,,,
"""CEY",Centennial Coal ,FPO,"2,469,864","226,556",9.17,-0.47,"378,700,185","0.06""",,,,,,,,,
"""CGF",Challenger Financial Services,FPO,"1,032,034","93,219",9.03,1.16,"530,987,213","0.01""",,,,,,,,,
"""EHL",Emeco Holdings ,FPO,"3,185,561","286,023",8.97,0.00,"631,237,586","0.04""",,,,,,,,,
"""CPU",Computershare,FPO,"4,171,270","369,408",8.85,-1.01,"555,654,059","0.06""",,,,,,,,,
"""QAN",Qantas Airways ,FPO,"11,018,134","967,678",8.78,0.34,"2,265,123,620","0.04""",,,,,,,,,
"""DJS",David Jones ,FPO,"1,521,325","133,272",8.76,0.00,"503,524,465","0.02""",,,,,,,,,
"""SRL",Straits Resources ,FPO,"1,211,619","105,292",8.69,-2.56,"253,994,135","0.04""",,,,,,,,,
"""AGO",Atlas Iron ,FPO,"5,392,768","467,576",8.67,3.08,"446,882,786","0.10""",,,,,,,,,
"""AMP",AMP ,FPO,"4,945,085","428,697",8.66,1.08,"2,048,645,162","0.02""",,,,,,,,,
"""TRS",The Reject Shop ,FPO,"71,171","6,081",8.54,-0.73,"25,973,070","0.02""",,,,,,,,,
