S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4615.6 at 16:40 9/8/2010  Report at 19:05 Monday 9/8/2010. Processed 19:20 Monday 9/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.89,0.66,0.835,0.815,DXS,DEXUS Prop Grp stp,0.83,,"111,408",0.83,0.835,5.1,,-,0.95,6.14,-11.03,-
4.60,2.07,2.11,2.07,DOM,Dominion Min,2.09,,"2,365",2.09,2.10,10,,2.01,1.03,4.78,20.08,10.4
9.44,3.33,4.90,4.83,DOW,Downer EDI Ltd,4.89,2,"12,332",4.87,4.90,29.1,,1.87,2.15,5.95,54.4,9.0
1.90,1.435,1.665,1.64,DUE,DUET Grp forus,1.665,0.5,"12,138",1.66,1.665,20,,0.22,-,12.01,4.39,37.9
2.78,2.41,2.70,2.60,DLX,Duluxgrp Ltd,2.68,5,"16,971",2.61,2.69,-,,-,-,-,-,-
1.165,0.615,-,-,ESG,Eastern Star Gas,0.915,,-,0.965,0.89,-,,-,-,-,-0.8,-
4.20,0.315,0.59,0.51,ELD,Elders Ltd,0.585,8,"450,953",0.58,0.585,-,,-,1.63,-,-51.11,-
21.48,12.86,18.93,18.56,EAU,Eldorado Gold cdi,18.93,7,419,18.43,18.99,4.95,,4.98,-,0.26,24.64,76.8
0.995,0.45,0.715,0.695,EHL,Emeco Hldgs,0.71,-0.5,"11,253",0.705,0.72,2,,-,0.71,2.82,-4.2,-
27.37,12.51,14.05,13.60,ERA,Energy Res,13.89,1,"2,174",13.89,13.97,33,f,2.66,-,2.38,87.9,15.8
0.60,0.25,0.495,0.48,EWC,Energy World Corp,0.485,-0.5,"23,435",0.485,0.495,-,,-,0.30,-,3.02,16.1
0.595,0.455,0.505,0.50,ENV,Envestra Ltd,0.505,-0.5,"12,665",0.50,0.505,5.5,p,0.63,-0.05,10.89,3.49,14.5
5.31,2.77,5.25,5.06,EQN,Equinox Min Ltd cdi,5.21,,"7,694",5.11,5.22,-,,-,-,-,-30.1,-
11.45,6.29,6.90,6.63,EXT,Extract Res,6.83,11,"190,109",6.83,6.86,-,,-,-,-,-4.96,-
1.885,1.26,1.495,1.475,FXJ,Fairfax Media Ltd,1.495,0.5,"32,743",1.49,1.495,1.1,,8.45,-0.31,0.74,9.3,16.1
0.90,0.505,0.725,0.715,FKP,FKP Prop Grp stp,0.72,,"19,372",0.72,0.73,1.95,,-,1.27,2.71,-10.3,-
10.13,6.42,10.04,9.90,FWD,Fleetwood Corp,10.01,2,883,9.93,10.02,66,f,0.98,2.12,6.59,64.7,15.5
1.779,1.105,1.295,1.28,FXL,Flexigrp Ltd,1.285,0.5,"1,154",1.27,1.29,6,f,3.95,0.23,4.67,23.7,5.4
21.43,9.64,19.42,18.94,FLT,Flight Centre,19.42,2,"1,498",19.30,19.51,26,f,2.44,2.56,1.34,63.4,30.6
0.197,0.06,0.11,0.105,FMS,Flinders Mines,0.105,,"15,520",0.105,0.11,-,,-,-,-,-0.4,-
5.57,3.28,4.64,4.42,FMG,Fortescue Metals Grp,4.62,13,"89,307",4.61,4.63,-,,-,-,-,-16.13,-
6.01,5.11,5.72,5.68,FGL,Foster's Grp,5.70,,"41,721",5.69,5.72,27.25,f,0.73,0.52,4.78,19.8,28.8
2.40,0.905,1.21,1.17,GXY,Galaxy Res,1.20,2,"6,964",1.20,1.205,-,,-,-,-,-4.62,-
1.12,0.305,0.44,0.43,GDY,Geodynamics Ltd,0.43,-1,663,0.43,0.435,-,,-,0.96,-,-5.17,-
1.45,0.785,1.09,1.025,GBG,Gindalbie Metals,1.08,3.5,"62,878",1.08,1.085,-,,-,-,-,-0.95,-
2.64,0.686,2.52,2.41,GIR,Giralia Res NL,2.44,2,"5,840",2.43,2.44,-,,-,-,-,0.1,2440.0
1.78,1.275,1.30,1.28,GFF,Goodman Fielder,1.295,-0.5,"36,928",1.29,1.30,11.25,,1.28,-0.16,8.69,14.4,9.0
0.75,0.505,0.625,0.615,GMG,Goodman Grp forus,0.62,-0.5,"93,763",0.615,0.62,1.5,,-,0.50,2.42,-31.3,-
3.01,0.525,2.93,2.86,GPT,GPT Grp stp,2.90,1,"38,005",2.90,2.92,3.6,,-,0.69,1.24,-14.5,-
8.85,5.10,6.40,6.21,GNC,Graincorp Ltd,6.23,-14,"9,059",6.22,6.24,22.27,f,2.86,4.78,3.57,63.62,9.8
10.62,7.79,9.73,9.58,GUD,GUD Hldgs,9.63,-4,"1,721",9.61,9.73,62,f,1.23,1.92,6.44,76.5,12.6
1.325,0.26,0.675,0.66,GNS,Gunns Ltd,0.675,-0.5,"19,541",0.665,0.675,2,,0.75,1.59,2.96,1.5,45.0
3.50,2.51,3.09,3.02,GWT,GWA Intl,3.07,-5,"5,887",3.07,3.09,18,f,0.89,0.28,5.86,15.94,19.3
4.85,3.08,3.46,3.41,HVN,Harvey Norman,3.45,,"17,413",3.45,3.47,13,f,1.98,2.10,3.77,25.78,13.4
2.30,1.34,1.56,1.53,HST,Hastie Grp Ltd,1.555,0.5,"2,270",1.53,1.56,10,f,2.22,-0.26,6.43,22.2,7.0
1.40,0.85,1.385,1.37,HDF,Hastings Divers stp,1.375,-1.5,"9,121",1.37,1.375,12,,-,1.23,8.73,-12.55,-
6.05,4.07,6.02,6.00,HSP,Healthscope Ltd,6.01,1,"9,590",6.00,6.02,22.5,f,1.32,0.66,3.74,29.78,20.2
2.67,2.01,2.33,2.30,HGG,Henderson Grp cdi,2.33,,"27,701",2.32,2.33,10.69,,0.30,-0.18,4.59,3.23,72.1
2.93,1.605,2.38,2.31,HIL,Hills Ind Ltd,2.33,-4,"11,488",2.32,2.33,12.5,f,1.34,1.47,5.36,16.7,14.0
0.40,0.19,0.32,0.295,HZN,Horizon Oil Ltd,0.32,3,"92,167",0.31,0.32,-,,-,0.19,-,6.28,5.1
0.67,0.17,0.22,0.19,ICN,Icon Energy Ltd,0.215,2,"83,279",0.21,0.22,-,,-,-,-,-1.47,-
5.59,3.22,5.52,5.39,ILU,Iluka Res,5.43,-4,"11,346",5.40,5.50,-,,-,2.58,-,-26.8,-
1.96,1.33,1.52,1.50,IMF,IMF (Aust) Ltd,1.52,1,692,1.505,1.52,15,f,0.55,0.32,9.87,8.22,18.5
3.83,2.51,3.45,3.40,IPL,Incitec Pivot,3.41,-5,"80,259",3.41,3.43,4.1,,-,0.27,1.20,-10.2,-
5.92,3.65,5.79,5.61,IGO,Independence Grp,5.75,10,"3,713",5.75,5.78,5,f,5.04,1.30,0.87,25.18,22.8
1.265,0.50,0.86,0.84,IRN,Indophil Res,0.85,-0.5,"4,041",0.835,0.86,-,,-,-,-,-2.71,-
0.51,0.225,0.355,0.35,IDL,Industrea Ltd,0.355,0.5,"8,317",0.35,0.355,1.3,f,3.90,0.03,3.66,5.07,7.0
1.55,0.66,0.80,0.785,IFN,Infigen Energy stp,0.80,1,"5,739",0.79,0.80,4.5,,6.88,0.55,5.63,30.95,2.6
0.603,0.315,0.455,0.445,IIF,ING Industrial Fd unt,0.45,-0.5,"36,508",0.445,0.45,1.6,,-,0.60,3.56,-78.3,-
0.67,0.45,0.615,0.60,IOF,ING Office Fd stp,0.61,,"67,969",0.605,0.61,3.9,,-,0.74,6.39,-16.7,-
4.21,3.22,3.58,3.47,IAG,Insurance Aust Grp,3.57,7,"56,215",3.55,3.57,14.5,f,1.73,1.29,4.06,25.07,14.2
0.395,0.215,0.395,0.38,IGR,Integra Min Ltd,0.385,1.5,"37,552",0.38,0.385,-,,-,-,-,-1.48,-
1.59,1.005,1.46,1.45,ITO,Intoll Grp stp,1.455,-0.5,"77,686",1.45,1.455,3,,-,1.78,2.06,-16.38,-
0.72,0.21,0.72,0.665,IAU,Intrepid Mines,0.71,4.5,"13,778",0.71,0.715,-,,-,0.12,-,-5.65,-
6.50,5.33,6.38,6.31,IVC,Invocare Ltd,6.38,,"1,234",6.35,6.39,25.25,f,1.30,0.48,3.96,32.9,19.4
7.40,4.22,6.90,6.52,IFL,IOOF Hldgs Ltd,6.85,27,"7,160",6.80,6.87,21,f,0.93,0.56,3.07,19.5,35.1
9.38,7.25,8.56,8.45,IRE,IRESS Market Tech,8.51,-9,"1,182",8.50,8.61,34,f,1.02,0.75,4.00,34.78,24.5
0.93,0.135,0.15,0.145,ISF,iSOFT Group Ltd,0.145,-0.5,"35,879",0.145,0.15,1,,3.66,-0.23,6.90,3.66,4.0
0.485,0.28,0.365,0.355,JML,Jabiru Metals Ltd,0.365,0.5,"7,342",0.36,0.365,-,,-,-,-,-5,-
8.86,4.86,6.40,6.20,JHX,James Hardie Ind cdi,6.34,7,"9,018",6.32,6.41,-,,-,-0.29,-,-21.4,-
23.71,16.24,19.85,19.01,JBH,JB Hi-Fi Ltd,19.45,-10,"27,751",19.42,19.50,62,f,1.67,1.71,3.19,103.42,18.8
1.28,0.465,0.70,0.66,KZL,Kagara Ltd,0.70,3,"36,390",0.695,0.70,-,,-,0.67,-,-18.99,-
11.45,4.51,7.17,7.04,KAR,Karoon Gas Aust,7.11,-6,"1,893",7.07,7.19,-,,-,-,-,-15.25,-
1.97,1.305,1.34,1.305,KMD,Kathmandu Hldgs,1.33,,"3,537",1.32,1.33,-,,-,-0.09,-,-0.17,-
10.90,6.32,10.22,9.82,KCN,Kingsgate Cons,10.10,18,"2,989",9.95,10.14,30,,2.73,2.69,2.97,82,12.3
41.70,27.61,30.97,30.30,LEI,Leighton Hldgs,30.88,34,"5,408",30.87,30.96,120,f,1.73,7.52,3.89,208.2,14.8
10.907,7.00,7.32,7.23,LLC,Lend Lease Grp stp,7.28,-1,"10,402",7.26,7.37,36,f,1.20,3.99,4.95,43.1,16.9
4.48,2.41,4.34,4.27,LGL,Lihir Gold Ltd,4.32,6,"95,768",4.32,4.33,2.96,,-,1.22,0.69,-10.93,-
2.04,0.95,2.00,1.94,LNC,Linc Energy Ltd,1.985,6.5,"77,506",1.975,1.985,-,,-,-,-,-16.12,-
0.95,0.33,0.95,0.89,LYC,Lynas Corp,0.95,9,"335,912",0.945,0.95,-,,-,-,-,-7.07,-
