S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4652.6 at 16:47 9/12/2009  Report at 19:05 Wednesday 9/12/2009. Processed 19:16 Wednesday 9/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
68.54,46.21,65.49,63.45,COH,Cochlear Ltd,64.40,40,"2,298",64.31,64.63,175,f,1.34,2.78,2.72,233.7,27.6
0.535,0.235,0.36,0.34,COK,Cockatoo Coal,0.35,1,"5,042",0.345,0.35,-,,-,-,-,-14.52,-
26.54,9.50,21.99,21.42,CXC,Coeur D'alene Mines cdi 1:1,21.76,-123,388,21.76,21.90,-,,-,-,-,33.4,65.1
2.37,1.22,2.17,2.10,COF,Coffey Intl,2.17,7,424,2.09,2.17,13,f,1.12,-0.22,5.99,14.5,15.0
56.24,24.03,52.95,52.17,CBA,C'wlth Bank  of Aust ,52.86,-23,"37,376",52.83,52.89,228,f,1.44,13.65,4.31,328.5,16.1
1.215,0.67,0.94,0.92,CPA,C'wlth Prop ord unt   ,0.935,0.5,"87,728",0.93,0.935,8.8,,-,1.15,9.41,-31.8,-
11.32,6.41,10.80,10.62,CPU,Computershare Ltd,10.78,-7,"9,598",10.69,10.80,22,p,2.58,-1.95,2.04,56.75,19.0
0.541,0.244,0.415,0.405,CEU,ConnectEast stpld,0.41,,"113,701",0.41,0.415,2,,-,-,4.88,-25.43,-
0.795,0.14,0.55,0.505,CQT,Conquest Min,0.55,1,"6,872",0.54,0.55,-,,-,-,-,-0.42,-
3.44,1.71,3.08,3.05,CMJ,Consolidated Media,3.07,,"7,877",3.05,3.07,16.5,,3.75,0.66,5.37,61.91,5.0
0.54,0.215,0.52,0.49,COE,Cooper Energy Ltd,0.515,-0.5,"9,629",0.51,0.515,-,,-,0.42,-,-1,-
4.75,2.60,4.05,4.03,CXP,Corporate Express,4.03,-1,"3,020",4.02,4.08,23,f,1.40,0.16,5.71,32.2,12.5
11.66,6.32,9.18,8.81,CRG,Crane Grp Ltd,9.10,15,"2,958",9.00,9.15,63,f,1.01,4.35,6.92,63.9,14.2
9.39,4.56,7.88,7.70,CWN,Crown Ltd,7.79,-14,"10,828",7.74,7.89,37,p,-,3.42,4.75,-166.89,-
38.52,26.85,31.14,30.32,CSL,CSL Ltd,30.50,-72,"35,704",30.50,30.57,70,,2.75,7.49,2.30,192.51,15.8
2.18,0.905,1.69,1.655,CSR,CSR Ltd,1.66,-3,"84,273",1.655,1.66,4,f,-,0.87,2.41,-45.1,-
6.59,1.34,5.21,4.82,CDU,Cudeco Ltd,5.17,27,"8,728",5.14,5.18,-,,-,-,-,-0.07,-
3.31,1.02,3.06,2.93,CUS,Customers Ltd,2.99,-9,"2,659",2.95,2.99,-,,-,0.09,-,4.9,61.0
5.96,2.02,5.55,5.34,DJS,David Jones Ltd,5.46,2,"16,187",5.45,5.50,28,f,1.13,1.16,5.13,31.5,17.3
0.47,0.10,0.34,0.325,DYL,Deep Yellow Ltd,0.335,,"10,507",0.335,0.34,-,,-,-,-,-1.19,-
0.924,0.519,0.805,0.78,DXS,Dexus Prop Grp stpld,0.80,1,"153,257",0.80,0.805,7.3,,-,1.01,9.13,-39.38,-
5.69,3.05,3.79,3.66,DOM,Dominion Min,3.67,-23,"8,002",3.66,3.70,14,,2.17,1.06,3.81,30.38,12.1
9.24,3.01,8.51,8.26,DOW,Downer EDI Ltd,8.45,,"17,280",8.45,8.55,29,,1.88,2.18,3.43,54.4,15.5
2.319,1.28,1.84,1.81,DUE,DUET Grp forus,1.825,-0.5,"21,297",1.815,1.825,24.12,p,-,1.70,13.22,-9.24,-
1.165,0.35,0.79,0.76,ESG,Eastern Star Gas,0.775,-2.5,"28,442",0.775,0.785,-,,-,-,-,-0.34,-
0.775,0.193,0.535,0.53,ERC,Eircom Hldgs Ltd,0.53,-1,"1,580",0.53,0.535,-,,-,-3.93,-,-884.2,-
0.815,0.14,0.16,0.15,ELD,Elders Ltd,0.155,-0.5,"376,174",0.155,0.16,5.5,,-,0.37,35.48,-51.51,-
14.60,13.01,13.78,13.01,EAU,Eldorado Gold def,13.74,-57,"1,596",13.51,13.89,-,,-,-,-,-,-
0.995,0.16,0.78,0.765,EHL,Emeco Hldgs,0.77,-2,"12,845",0.765,0.775,4,f,0.53,0.74,5.19,2.1,36.7
2.87,1.205,2.76,2.74,ENE,Energy Develop,2.75,,"9,000",2.74,2.76,12,,0.20,1.83,4.36,2.4,114.6
28.28,16.09,22.67,22.35,ERA,Energy Res,22.55,-9,"2,653",22.40,22.68,34,f,4.79,-,1.51,162.78,13.9
0.72,0.175,0.365,0.35,EWC,Energy World Corp,0.35,-2,"24,065",0.35,0.355,-,,-,-,-,-0.71,-
0.595,0.27,0.485,0.475,ENV,Envestra Ltd,0.475,-0.5,"12,846",0.475,0.48,5.5,,0.73,-0.08,11.58,4,11.9
4.48,1.325,4.25,4.13,EQN,Equinox Min Ltd cdi,4.18,-13,"27,400",4.17,4.28,-,,-,-,-,25.35,16.5
11.45,1.048,7.57,7.30,EXT,Extract Res,7.53,25,"10,696",7.30,7.60,-,,-,-,-,-5.38,-
1.805,0.795,1.65,1.595,FXJ,Fairfax Media Ltd,1.60,-6,"54,725",1.60,1.605,2,,-,-0.37,1.25,-21.6,-
17.925,6.187,16.90,16.82,FLX,Felix Res Ltd,16.82,-5,"59,370",16.81,16.87,53,f,2.57,2.53,3.15,136.18,12.4
0.83,0.204,0.72,0.705,FKP,FKP Prop Grp stpld,0.715,-0.5,"7,562",0.705,0.725,3.45,,-,3.15,4.83,-70.3,-
8.86,3.27,7.46,7.36,FWD,Fleetwood Corp,7.44,-6,892,7.39,7.44,66,f,1.04,2.63,8.87,68.7,10.8
1.795,0.22,1.645,1.58,FXL,Flexigrp Ltd,1.60,-4.5,"1,289",1.595,1.645,6,f,2.40,0.11,3.75,14.4,11.1
