S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4803.3 at 14:41 24/12/2009  Report at 15:41 Thursday 24/12/2009. Processed 15:56 Thursday 24/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.54,0.23,0.50,0.49,COE,Cooper Energy Ltd,0.49,,"1,276",0.49,0.50,-,,-,0.42,-,-1,-
4.75,2.60,4.06,4.00,CXP,Corporate Express,4.02,-2,770,4.00,4.06,23,f,1.40,0.16,5.72,32.2,12.5
11.66,6.32,9.73,9.61,CRG,Crane Grp Ltd,9.67,4,729,9.55,9.67,63,f,1.01,4.35,6.51,63.9,15.1
9.39,4.56,7.76,7.68,CWN,Crown Ltd,7.75,7,"3,083",7.67,7.75,37,p,-,3.42,4.77,-166.89,-
38.52,28.43,32.67,32.20,CSL,CSL Ltd,32.64,39,"9,451",32.63,32.65,70,,2.75,7.49,2.14,192.51,17.0
2.18,0.905,1.795,1.745,CSR,CSR Ltd,1.76,1,"25,467",1.76,1.765,4,f,-,0.87,2.27,-45.1,-
6.59,1.555,5.10,5.02,CDU,Cudeco Ltd,5.04,3,"1,515",5.04,5.06,-,,-,-,-,-0.07,-
3.31,1.02,2.95,2.84,CUS,Customers Ltd,2.90,6,"3,021",2.89,2.90,-,,-,0.09,-,4.9,59.2
5.96,2.02,5.35,5.30,DJS,David Jones Ltd,5.33,-5,"8,078",5.32,5.35,28,f,1.13,1.16,5.25,31.5,16.9
0.47,0.10,0.305,0.295,DYL,Deep Yellow Ltd,0.305,0.5,"4,032",0.30,0.31,-,,-,-,-,-1.19,-
0.89,0.519,0.84,0.82,DXS,Dexus Prop Grp stpld,0.82,-2,"116,828",0.815,0.82,6.15,,-,1.01,7.50,-39.38,-
5.69,3.10,3.52,3.40,DOM,Dominion Min,3.52,15,"1,700",3.48,3.52,14,,2.17,1.06,3.98,30.38,11.6
9.24,3.01,9.05,8.79,DOW,Downer EDI Ltd,9.05,21,"3,551",8.75,9.09,29,,1.88,2.18,3.20,54.4,16.6
2.319,1.28,1.78,1.755,DUE,DUET Grp forus,1.775,1,"8,077",1.77,1.78,20,,-,1.70,11.27,-9.24,-
1.165,0.42,0.835,0.82,ESG,Eastern Star Gas,0.82,-1,"17,954",0.82,0.825,-,,-,-,-,-0.34,-
1.53,1.42,1.50,1.42,ELDDA,Elders Ltd def,1.46,-3.5,"8,020",1.45,1.46,-,,-,0.37,-,-51.51,-
16.00,13.01,16.00,15.71,EAU,Eldorado Gold cdi 1:1,15.88,46,"2,321",15.30,16.00,-,,-,-,-,-,-
0.995,0.16,0.775,0.76,EHL,Emeco Hldgs,0.77,,"15,990",0.76,0.77,4,f,0.53,0.74,5.19,2.1,36.7
2.95,1.205,2.74,2.73,ENE,Energy Develop,2.74,,641,2.72,2.74,12,,0.20,1.83,4.38,2.4,114.2
28.28,16.75,23.49,23.11,ERA,Energy Res,23.38,10,641,23.11,23.50,34,f,4.79,-,1.45,162.78,14.4
0.72,0.175,0.365,0.35,EWC,Energy World Corp,0.365,1,"4,348",0.36,0.365,-,,-,-,-,-0.71,-
0.595,0.27,0.495,0.475,ENV,Envestra Ltd,0.495,2,"8,471",0.49,0.495,5.5,,0.73,-0.08,11.11,4,12.4
4.48,1.48,4.34,4.28,EQN,Equinox Min Ltd cdi,4.30,2,"6,299",4.27,4.34,-,,-,-,-,25.35,17.0
11.45,1.242,8.52,8.20,EXT,Extract Res,8.50,38,"1,646",8.38,8.50,-,,-,-,-,-5.38,-
1.805,0.795,1.695,1.66,FXJ,Fairfax Media Ltd,1.695,1,"23,860",1.685,1.70,2,,-,-0.37,1.18,-21.6,-
0.83,0.204,0.755,0.73,FKP,FKP Prop Grp stpld,0.75,,"4,182",0.735,0.75,3.45,,-,3.15,4.60,-70.3,-
8.86,3.36,7.75,7.68,FWD,Fleetwood Corp,7.75,11,540,7.72,7.75,66,f,1.04,2.63,8.52,68.7,11.3
1.795,0.24,1.535,1.51,FXL,Flexigrp Ltd,1.535,1.5,213,1.52,1.535,6,f,2.40,0.11,3.91,14.4,10.7
18.86,3.39,17.47,17.28,FLT,Flight Centre,17.40,5,389,17.35,17.43,9,,4.26,1.92,0.52,38.3,45.4
