S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4722.6 at 16:47 13/11/2009  Report at 19:05 Friday 13/11/2009. Processed 19:09 Friday 13/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
6.40,2.29,5.89,5.73,BLD,Boral Ltd,5.83,-5,"23,434",5.82,5.84,13,f,1.85,4.12,2.23,24.1,24.2
1.60,0.146,1.44,1.35,BOW,Bow Energy Ltd,1.38,-14,"34,286",1.37,1.385,-,,-,-,-,-0.46,-
7.15,0.945,6.91,6.75,BKN,Bradken Ltd,6.84,-4,"7,685",6.75,6.91,23,f,2.28,1.31,3.36,52.5,13.0
8.37,4.08,7.01,6.91,BXB,Brambles Ltd,6.96,-3,"67,478",6.95,7.02,30,p,1.34,0.58,4.31,40.18,17.3
2.23,0.40,1.985,1.94,BRM,Brockman Res,1.975,,"1,267",1.93,1.985,-,,-,-,-,-11.1,-
1.945,1.473,1.755,1.71,BWP,Bunnings Warehouse unt,1.74,,"6,395",1.72,1.755,11.57,,-,1.79,6.65,-3.74,-
7.09,4.71,6.66,6.45,CAB,Cabcharge Aust,6.55,-3,"7,391",6.51,6.57,34,f,1.50,2.21,5.19,51,12.8
14.00,6.18,10.29,9.95,CTX,Caltex Aust,9.96,-21,"12,678",9.96,9.99,36,,0.43,10.60,3.61,15.6,63.8
0.535,0.155,0.50,0.485,CFE,Cape Lambert Iron,0.485,-0.5,"29,404",0.485,0.49,-,,-,-,-,47.27,1.0
0.885,0.195,0.77,0.73,CNX,Carbon Energy,0.77,3,"10,937",0.755,0.77,-,,-,-,-,-3.11,-
0.885,0.23,0.565,0.54,CVN,Carnarvon Pet,0.555,0.5,"47,649",0.555,0.565,-,,-,0.07,-,5.4,10.3
0.64,0.225,0.545,0.535,CCV,Cash Convert ord/div   ,0.545,1,"1,082",0.54,0.545,3,f,2.26,0.09,5.50,6.77,8.1
3.66,1.51,3.39,3.32,CEY,Centennial Coal,3.35,-4,"18,849",3.35,3.38,11,f,1.77,1.77,3.28,19.5,17.2
0.52,0.04,0.32,0.30,CNP,Centro Prop stpld,0.315,0.5,"54,757",0.31,0.315,31.8,,-,-2.91,100.95,-398.36,-
0.225,0.016,0.17,0.16,CER,Centro Retail stpld,0.17,0.5,"30,344",0.165,0.17,0.37,,-,0.30,2.18,-117.14,-
0.345,0.042,0.255,0.245,CFU,Ceramic Fuel Cells,0.255,0.5,"28,626",0.25,0.255,-,,-,0.05,-,-8.58,-
2.17,1.415,1.97,1.945,CFX,CFS Retail Prop unt,1.97,1,"181,113",1.96,1.97,12.5,p,-,2.02,6.35,-15.27,-
4.07,0.865,4.06,3.83,CGF,Challenger FSG Ltd,4.03,15,"50,254",3.90,4.03,12.5,,-,1.81,3.10,-16.2,-
2.30,1.20,2.00,1.95,CIF,Challenger Infra stpld,1.955,-3.5,"2,471",1.955,1.97,20,,-,-1.54,10.23,-40.3,-
0.68,0.156,0.645,0.62,CHC,Charter Hall Grp forus,0.625,-1,"12,653",0.62,0.63,4.96,,-,0.71,7.94,-17.98,-
0.465,0.105,0.445,0.43,CGG,Citadel Resource Grp,0.44,-0.5,"19,720",0.44,0.445,-,,-,-,-,-4.01,-
0.345,0.135,0.16,0.15,CTO,Citigold Corp Ltd,0.155,-0.5,"30,172",0.155,0.16,-,,-,-,-,-0.22,-
1.035,0.245,0.895,0.86,CLO,Clough Ltd,0.88,-0.5,"8,409",0.88,0.89,2,p,3.92,0.29,2.27,7.84,11.2
12.00,8.02,10.61,10.35,CCL,Coca-Cola Amatil,10.52,11,"17,756",10.40,10.54,40.5,f,1.35,1.14,3.85,54.8,19.2
68.54,46.21,62.41,61.65,COH,Cochlear Ltd,62.00,-15,"2,683",61.95,62.23,175,f,1.34,2.78,2.82,233.7,26.5
0.535,0.23,0.375,0.365,COK,Cockatoo Coal,0.365,-1,"6,975",0.365,0.375,-,,-,-,-,-14.52,-
26.54,6.00,22.80,22.47,CXC,Coeur D'alene Mines cdi 1:1,22.79,-101,130,22.71,22.81,-,,-,-,-,33.4,68.2
2.37,1.22,2.19,2.16,COF,Coffey Intl,2.18,,"1,409",2.16,2.19,13,f,1.12,-0.22,5.96,14.5,15.0
56.24,24.03,54.45,53.80,CBA,C'wlth Bank  of Aust ,54.33,-27,"47,423",54.28,54.39,228,f,1.44,13.65,4.20,328.5,16.5
1.34,0.67,1.015,0.99,CPA,C'wlth Prop ord unt   ,0.995,-1.5,"175,789",0.995,1.00,8.8,,-,1.15,8.84,-31.8,-
