Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-04-04T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 27,Mar 30,Mar 31,Apr 1,Apr 2,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 27,Mar 30,Mar 31,Apr 1,Apr 2,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XXJ,Financial-x-A-REIT,8265.3,8178.0,8232.9,8208.7,8288.8,8305.4,8209.4,80.1,0.98,8288.8,8178.0,64.9,0.79,8394.2,7991.0,138.4,1.70,8394.2,7130.2,1006.6,13.82,8394.2,7130.2,1116.4,15.57,83366.6,82485.6,83039.6,82795.7,83603.8,83603.8,82485.6,654.7,0.79,84666.9,80590.7,1534.9,1.87,84666.9,71254.0,10831.3,14.88,84666.9,66776.9,14884.8,21.66,,
XHJ,Health Care,19235.9,19200.7,19378.5,19436.4,19508.0,19673.2,19436.4,71.6,0.37,19508.0,19200.7,369.8,1.93,19679.4,19093.5,389.7,2.04,19679.4,17005.1,2020.8,11.56,19679.4,17005.1,4990.2,34.37,124232.3,124005.1,125197.0,125571.6,126034.2,126034.2,124005.1,2432.9,1.97,127097.1,122545.1,3489.1,2.85,127097.1,108911.1,14035.6,12.53,127097.1,88629.9,34134.8,37.14,,
XNJ,Industrials,4700.0,4663.1,4667.9,4662.1,4689.1,4712.1,4662.1,27.0,0.58,4700.0,4662.1,36.8,0.79,4750.5,4571.6,93.2,2.03,4750.5,4233.2,367.3,8.50,4750.5,4233.2,625.5,15.39,40716.0,40402.8,40443.9,40404.2,40638.4,40716.0,40402.8,364.3,0.90,41117.1,39408.4,1033.4,2.61,41117.1,36323.0,3554.7,9.59,41117.1,32870.0,6663.6,19.61,,
XIJ,Info Technology,825.9,813.3,827.5,826.1,831.9,839.1,826.1,5.8,0.70,831.9,813.3,10.4,1.27,853.7,813.3,24.0,2.98,853.7,757.6,49.2,6.29,853.7,757.6,49.5,6.33,5631.8,5545.9,5642.7,5632.8,5672.6,5672.6,5545.9,71.1,1.27,5803.2,5475.3,197.3,3.60,5803.2,5098.0,406.0,7.71,5803.2,4943.9,483.6,9.32,,
XMJ,Materials,9199.0,9048.0,9226.5,9053.2,9077.7,9085.7,9034.9,24.5,0.27,9226.5,9048.0,-113.2,-1.23,9797.5,8950.1,-868.6,-8.73,9946.3,8248.8,350.0,4.01,9946.3,8248.8,-1097.2,-10.78,66457.3,65366.8,66655.8,65404.4,65581.5,66655.8,65366.8,-813.7,-1.23,70664.0,64643.9,-5082.5,-7.19,70664.0,58495.7,3689.2,5.96,73622.9,57471.6,-5211.3,-7.36,,
XPJ,A-REIT,1309.7,1294.9,1286.3,1288.3,1300.9,1306.6,1288.3,12.6,0.98,1309.7,1286.3,5.5,0.43,1336.3,1281.8,-33.9,-2.54,1343.7,1197.3,114.7,9.67,1343.7,1197.3,294.8,29.30,38425.6,37991.9,37738.3,37798.3,38168.1,38425.6,37738.3,172.0,0.45,39196.6,37596.7,-983.6,-2.51,39203.9,34828.8,3662.7,10.61,39203.9,28135.7,10130.1,36.13,,
XTJ,Telecommunications,2249.5,2219.2,2227.7,2236.7,2235.1,2254.0,2230.8,-1.6,-0.07,2249.5,2219.2,13.3,0.60,2257.7,2147.7,-8.3,-0.37,2321.2,2072.7,148.3,7.11,2321.2,2072.7,451.8,25.33,28376.4,27994.1,28101.4,28215.5,28195.3,28376.4,27994.1,167.7,0.60,28464.6,27072.5,-83.2,-0.29,28647.5,25580.0,2441.1,9.48,28647.5,21148.0,6759.6,31.53,,
XUJ,Utilities,6669.8,6568.2,6659.1,6615.2,6630.0,6688.0,6615.2,14.8,0.22,6669.8,6568.2,133.9,2.06,6754.7,6409.8,-214.8,-3.14,6844.8,5936.5,715.8,12.10,6844.8,5936.5,1122.9,20.39,73856.6,72731.0,73737.5,73251.9,73415.4,73856.6,72731.0,1482.6,2.06,75793.9,70977.9,-2378.5,-3.14,75793.9,65111.5,8549.2,13.18,75793.9,58160.6,15534.1,26.84,,
XMM,Metals & Mining,2738.6,2685.9,2752.7,2691.7,2692.2,2694.7,2679.0,0.5,0.02,2752.7,2685.9,-54.9,-2.00,2992.1,2648.0,-352.8,-11.59,3045.0,2488.4,45.2,1.71,3045.0,2488.4,-610.6,-18.49,4053.8,3975.8,4074.6,3984.3,3985.1,4074.6,3975.8,-80.7,-1.98,4412.5,3919.0,-427.4,-9.69,4412.5,3604.6,150.7,3.93,4936.1,3537.4,-724.4,-15.38,,
XGD,Gold,2521.6,2459.6,2486.6,2427.7,2546.4,2546.4,2427.7,118.7,4.89,2546.4,2427.7,1.4,0.06,2621.4,2287.2,-181.1,-6.64,2727.5,2069.2,499.0,24.38,2727.5,2069.2,345.3,15.69,2946.1,2873.6,2905.1,2836.4,2975.0,2975.0,2836.4,5.2,0.17,3182.8,2669.0,-207.8,-6.53,3182.8,2412.7,587.8,24.62,3182.8,1941.8,412.3,16.09,,
XJR,S&P/ASX 200 Res,3435.3,3341.9,3413.2,3342.7,3349.8,3353.9,3336.4,7.1,0.21,3435.3,3341.9,-94.2,-2.74,3689.7,3327.6,-391.7,-10.47,3741.5,3157.8,-40.5,-1.19,3741.5,3157.8,-790.8,-19.10,19095.7,18576.8,18972.9,18581.1,18620.3,19095.7,18576.8,-523.1,-2.73,20466.3,18495.6,-1846.0,-9.02,20466.3,17142.0,216.3,1.18,23407.3,16867.8,-3492.4,-15.79,,
,
