Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-10-04T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 29,Sep 30,Oct 1,Oct 2,Oct 3,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 29,Sep 30,Oct 1,Oct 2,Oct 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSO,S&P/ASX Small Ords,2132.5,2137.6,2145.7,2128.5,2123.5,2128.5,2117.2,-5.0,-0.23,2145.7,2123.5,-25.5,-1.19,2287.7,2123.5,-166.5,-7.27,2290.0,2092.8,-70.1,-3.20,2290.0,2092.8,-70.9,-3.23,5393.8,5407.8,5429.2,5385.8,5373.8,5429.2,5373.8,-60.7,-1.12,5754.2,5373.8,-380.4,-6.61,5754.2,5156.7,-29.6,-0.55,5754.2,5074.3,-10.2,-0.19,,
XDJ,Consumer Discretionary,1747.2,1755.0,1763.2,1760.9,1758.3,1760.9,1750.3,-2.6,-0.15,1763.2,1747.2,-5.4,-0.30,1850.1,1747.2,-92.2,-4.98,1913.4,1715.0,-72.8,-3.97,1913.4,1715.0,-25.5,-1.43,13375.0,13435.0,13498.0,13480.0,13460.3,13498.0,13375.0,-41.0,-0.30,14082.7,13375.0,-622.3,-4.42,14336.1,12735.0,-137.0,-1.01,14336.1,12735.0,236.6,1.79,,
XSJ,Consumer Staples,9617.9,9613.9,9698.8,9609.2,9662.0,9666.9,9566.4,52.8,0.55,9698.8,9609.2,-79.8,-0.82,10182.4,9609.2,-429.3,-4.25,10424.5,9567.9,-354.0,-3.53,10424.5,9567.9,-254.3,-2.56,80165.2,80131.3,80839.7,80092.5,80532.3,80839.7,80092.5,-665.8,-0.82,84156.1,80092.5,-2871.0,-3.44,85101.4,76594.5,350.4,0.44,85101.4,75952.5,1241.9,1.57,,
XEJ,Energy,14055.1,14111.8,14110.8,13980.1,13979.6,13990.6,13919.2,-0.5,-0.00,14111.8,13979.6,-160.0,-1.13,15160.0,13979.6,-1213.8,-7.99,15327.0,13017.6,356.7,2.62,15327.0,13017.6,77.1,0.55,102134.5,102547.0,102539.2,101589.6,101586.2,102547.0,101586.2,-1162.7,-1.13,110341.0,101586.2,-8754.8,-7.93,111140.9,91514.2,5816.3,6.07,111140.9,90393.6,3851.2,3.94,,
XFJ,Financials,5842.9,5890.7,5958.0,5917.5,5966.8,5971.2,5909.2,49.3,0.83,5966.8,5842.9,66.2,1.12,6310.0,5842.9,-380.9,-6.00,6347.7,5503.9,91.1,1.55,6347.7,5503.9,211.0,3.67,59998.2,60488.7,61180.6,60764.4,61270.8,61270.8,59998.2,679.7,1.12,65101.3,59998.2,-3830.5,-5.88,65101.3,54492.0,3100.7,5.33,65101.3,54492.0,5175.1,9.23,,
XXJ,Financial-x-A-REIT,6828.2,6896.7,6968.9,6927.0,6993.6,6999.0,6916.5,66.6,0.96,6993.6,6828.2,82.3,1.19,7394.5,6828.2,-440.7,-5.93,7434.3,6467.5,12.0,0.17,7434.3,6467.5,226.6,3.35,67192.5,67866.9,68576.9,68164.9,68820.2,68820.2,67192.5,809.8,1.19,73055.9,67192.5,-4235.7,-5.80,73055.9,61376.9,2564.1,3.87,73055.9,61376.9,5574.1,8.81,,
XHJ,Health Care,15226.2,15357.8,15392.5,15286.5,15268.5,15286.5,15183.4,-18.0,-0.12,15392.5,15226.2,-11.5,-0.08,15623.7,15103.2,-419.6,-2.67,15712.5,13849.2,901.2,6.27,15712.5,13849.2,1561.4,11.39,97460.7,98316.3,98538.4,97859.7,97756.1,98538.4,97460.7,-49.3,-0.05,99612.0,96673.7,-1855.9,-1.86,99766.9,86829.4,7709.2,8.56,99766.9,85058.8,11875.4,13.83,,
XNJ,Industrials,3999.9,4009.3,4059.6,4018.4,4023.6,4025.6,3997.1,5.2,0.13,4059.6,3999.9,-8.6,-0.21,4292.6,3999.9,-276.2,-6.42,4299.8,3771.2,54.7,1.38,4299.8,3771.2,101.6,2.59,34090.5,34170.2,34599.3,34247.8,34292.1,34599.3,34090.5,-57.7,-0.17,36428.8,34090.5,-2136.7,-5.87,36428.8,31167.8,1490.6,4.54,36428.8,30581.2,2113.0,6.57,,
XIJ,Info Technology,772.3,779.4,782.5,769.5,777.3,779.1,769.5,7.8,1.01,782.5,769.5,0.1,0.01,802.6,769.5,-34.2,-4.22,837.6,702.5,35.8,4.83,837.6,702.5,60.3,8.41,5192.1,5240.0,5260.8,5173.4,5225.9,5260.8,5173.4,19.9,0.38,5425.1,5173.4,-199.2,-3.67,5555.5,4603.8,366.7,7.55,5555.5,4568.7,526.8,11.21,,
XMJ,Materials,9269.7,9285.9,9279.1,9239.0,9195.7,9239.0,9117.3,-43.3,-0.47,9285.9,9195.7,-174.4,-1.86,9890.5,9195.7,-754.8,-7.59,10774.9,9195.7,-1014.0,-9.93,10774.9,9195.7,-378.8,-3.96,65578.8,65693.8,65645.6,65366.7,65060.2,65693.8,65060.2,-1228.8,-1.85,70313.0,65060.2,-5252.8,-7.47,73944.4,65060.2,-4981.1,-7.11,73944.4,64475.8,-497.6,-0.76,,
XPJ,A-REIT,1083.3,1080.2,1098.9,1086.2,1086.9,1091.7,1085.1,0.7,0.06,1098.9,1080.2,7.7,0.71,1150.7,1078.5,-74.7,-6.43,1161.6,980.1,102.0,10.36,1161.6,980.1,57.5,5.59,31033.1,30943.4,31479.7,31115.7,31135.5,31479.7,30943.4,218.2,0.71,33267.3,30885.8,-2131.8,-6.41,33267.3,27037.3,3974.4,14.63,33267.3,26036.8,3262.8,11.71,,
XTJ,Telecommunications,1856.7,1865.4,1894.2,1883.6,1896.2,1901.7,1883.6,12.6,0.67,1896.2,1856.7,24.2,1.29,1984.8,1856.7,-98.5,-4.94,1999.5,1741.3,74.6,4.10,1999.5,1741.3,183.3,10.70,22900.2,23007.1,23362.3,23231.0,23386.8,23386.8,22900.2,298.8,1.29,24594.2,22900.2,-1207.3,-4.91,24594.2,20377.3,2070.0,9.71,24594.2,19861.2,3346.8,16.70,,
XUJ,Utilities,5779.8,5823.3,5826.3,5773.6,5774.2,5786.1,5747.7,0.6,0.01,5826.3,5773.6,-29.5,-0.51,6025.4,5773.6,-227.9,-3.80,6071.2,5357.0,394.7,7.34,6071.2,5357.0,264.9,4.81,62445.5,62916.5,62948.1,62378.8,62385.3,62948.1,62378.8,-318.9,-0.51,65099.7,62378.8,-2462.2,-3.80,65099.7,55642.3,6509.5,11.65,65099.7,53514.4,5991.2,10.62,,
XMM,Metals & Mining,2963.8,2970.4,2965.8,2945.4,2925.8,2945.4,2900.9,-19.6,-0.67,2970.4,2925.8,-77.8,-2.59,3181.6,2925.8,-271.8,-8.50,3522.5,2925.8,-413.5,-12.38,3522.5,2925.8,-238.4,-7.53,4292.8,4302.2,4295.6,4266.5,4238.1,4302.2,4238.1,-112.3,-2.58,4627.3,4238.1,-389.2,-8.41,4948.8,4238.1,-452.5,-9.65,4948.8,4238.1,-205.0,-4.61,,
XGD,Gold,2097.8,2103.2,2038.3,2071.6,2072.5,2075.8,2048.2,0.9,0.04,2103.2,2038.3,-64.4,-3.01,2280.9,2038.3,-234.8,-10.18,2679.6,2003.5,174.1,9.17,2679.6,2003.5,-441.7,-17.57,2446.0,2452.3,2376.7,2415.4,2416.6,2452.3,2376.7,-75.1,-3.01,2686.4,2376.7,-269.9,-10.04,3119.4,2330.8,208.1,9.42,3119.4,2001.8,-495.5,-17.02,,
XJR,S&P/ASX 200 Res,3886.1,3898.2,3895.0,3865.1,3848.0,3865.1,3822.1,-17.1,-0.44,3898.2,3848.0,-80.5,-2.05,4176.3,3848.0,-345.3,-8.24,4376.0,3848.0,-338.3,-8.08,4376.0,3848.0,-199.7,-4.93,21094.2,21159.9,21142.5,20981.5,20888.5,21159.9,20888.5,-435.5,-2.04,22743.7,20888.5,-1855.2,-8.16,23407.3,20876.7,-1123.9,-5.11,23407.3,20663.0,-389.9,-1.83,,
,
