Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-02-04T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 30,Jan 31,Feb 1,Feb 2,Feb 3,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 30,Jan 31,Feb 1,Feb 2,Feb 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1221.6,1223.6,1229.3,1233.1,1228.0,1233.2,1226.2,-5.1,-0.41,1233.1,1221.6,9.4,0.77,1234.7,1179.0,48.6,4.12,1234.7,1179.0,55.3,4.71,1557.8,1140.6,-325.7,-20.96,8368.1,8382.0,8421.3,8446.9,8412.2,8446.9,8368.1,64.5,0.77,8458.0,8076.6,333.2,4.12,8458.0,8076.6,378.7,4.71,10210.5,7636.0,-1714.7,-16.93,,
XSJ,Consumer Staples,7336.8,7389.3,7308.4,7326.3,7244.1,7344.5,7224.8,-82.2,-1.12,7389.3,7244.1,-140.6,-1.90,7562.4,7244.1,-138.5,-1.88,7562.4,7244.1,-89.0,-1.21,7967.2,7011.2,-672.3,-8.49,53687.7,54072.3,53479.8,53611.5,53009.9,54072.3,53009.9,-1028.4,-1.90,55339.0,53009.9,-1013.4,-1.88,55339.0,53009.9,-651.0,-1.21,56761.7,49979.4,-2195.3,-3.98,,
XEJ,Energy,13923.4,13804.3,13653.1,13757.6,13747.0,13792.4,13721.3,-10.6,-0.08,13923.4,13653.1,-179.2,-1.29,13926.2,12827.3,922.4,7.19,13926.2,12824.6,1003.8,7.88,17736.5,11605.0,-2555.1,-15.67,92842.2,92048.0,91040.1,91736.9,91665.9,92842.2,91040.1,-1195.4,-1.29,92861.3,85515.8,6150.1,7.19,92861.3,85515.8,6692.9,7.88,116809.6,77383.0,-14651.0,-13.78,,
XFJ,Financials,4045.1,4034.5,4001.5,4027.9,4009.6,4036.5,4008.8,-18.3,-0.45,4045.1,4001.5,-57.3,-1.41,4066.9,3937.7,63.1,1.60,4066.9,3937.7,103.7,2.65,4666.6,3596.7,-525.4,-11.59,35680.3,35586.8,35295.2,35528.7,35367.2,35680.3,35295.2,-505.3,-1.41,35872.4,34730.9,558.6,1.60,35872.4,34730.9,916.2,2.66,38822.8,30965.7,-2130.9,-5.68,,
XXJ,Financial-x-A-REIT,4647.8,4635.7,4595.5,4622.6,4601.7,4636.8,4601.0,-20.9,-0.45,4647.8,4595.5,-74.4,-1.59,4676.1,4513.6,49.8,1.09,4676.1,4513.6,96.3,2.14,5430.9,4119.7,-655.5,-12.47,39314.3,39212.0,38871.8,39100.9,38924.4,39314.3,38871.8,-629.4,-1.59,39553.8,38178.9,421.0,1.09,39553.8,38178.9,814.5,2.14,43285.0,34142.5,-2749.1,-6.60,,
XHJ,Health Care,7865.7,7893.9,7913.5,7878.1,7790.1,7884.0,7780.3,-88.0,-1.12,7913.5,7790.1,-88.5,-1.12,8100.4,7790.1,-240.9,-3.00,8100.4,7790.1,-197.5,-2.47,9186.8,7082.8,-1257.1,-13.90,46934.1,47102.0,47219.3,47008.1,46482.7,47219.3,46482.7,-528.2,-1.12,48334.2,46482.7,-1437.7,-3.00,48334.2,46482.7,-1178.9,-2.47,53892.5,41891.0,-5999.8,-11.43,,
XNJ,Industrials,3554.1,3548.3,3537.8,3565.4,3570.5,3580.6,3561.4,5.1,0.14,3570.5,3537.8,-2.9,-0.08,3573.4,3379.0,187.6,5.55,3573.4,3379.0,232.7,6.97,3870.5,3031.9,-232.8,-6.12,27152.7,27108.6,27028.7,27239.2,27278.7,27278.7,27028.7,-21.8,-0.08,27300.5,25815.0,1434.0,5.55,27300.5,25815.0,1778.5,6.97,28566.6,22990.4,-774.2,-2.76,,
XIJ,Info Technology,488.0,487.1,482.8,495.8,497.1,501.1,493.3,1.3,0.26,497.1,482.8,5.5,1.12,509.7,482.8,-6.7,-1.32,509.7,482.8,-1.4,-0.28,627.5,458.0,-131.1,-20.87,2982.7,2976.8,2950.6,3030.3,3037.8,3037.8,2950.6,33.3,1.11,3115.1,2950.6,-41.0,-1.33,3115.1,2950.6,-8.9,-0.29,3689.9,2743.0,-656.1,-17.76,,
XMJ,Materials,11641.9,11572.8,11418.8,11649.4,11629.6,11695.4,11612.6,-19.8,-0.17,11649.4,11418.8,-38.5,-0.33,11668.1,10728.6,964.4,9.04,11668.1,10665.2,1137.0,10.84,15046.2,10436.7,-2629.4,-18.44,75344.7,74897.8,73901.3,75393.5,75265.3,75393.5,73901.3,-249.0,-0.33,75514.2,69023.5,6241.8,9.04,75514.2,69023.5,7358.4,10.84,96133.1,67434.3,-15076.0,-16.69,,
XPJ,A-REIT,821.6,819.4,814.6,823.0,819.1,823.0,817.4,-3.9,-0.47,823.0,814.6,-3.9,-0.48,836.7,805.0,33.3,4.24,836.7,785.8,41.6,5.35,887.0,708.9,-60.9,-6.92,20155.1,20100.6,19985.1,20190.9,20095.5,20190.9,19985.1,-95.5,-0.47,20518.8,19271.5,824.0,4.28,20518.8,19271.5,1027.4,5.39,20646.7,17036.7,-189.4,-0.93,,
XTJ,Telecommunications,1130.5,1137.2,1128.4,1148.3,1142.0,1155.1,1141.9,-6.3,-0.55,1148.3,1128.4,8.9,0.79,1161.1,1121.5,-3.3,-0.29,1161.1,1121.5,6.5,0.57,1161.1,891.0,158.6,16.13,11567.8,11635.9,11546.2,11749.8,11685.7,11749.8,11546.2,91.6,0.79,11880.8,11476.1,-33.4,-0.29,11880.8,11476.1,66.3,0.57,11880.8,8708.4,2489.0,27.06,,
XUJ,Utilities,4663.5,4656.6,4633.5,4641.6,4596.3,4648.5,4564.9,-45.3,-0.98,4663.5,4596.3,-66.4,-1.42,4663.5,4584.0,33.1,0.72,4663.5,4563.2,51.9,1.14,4663.5,3990.1,245.0,5.63,43288.5,43224.2,43010.0,43085.1,42664.5,43288.5,42664.5,-616.9,-1.43,43288.5,42357.6,306.9,0.72,43288.5,42357.6,482.0,1.14,43288.5,35021.3,4748.0,12.52,,
XMM,Metals & Mining,4176.4,4151.1,4097.4,4182.8,4178.7,4202.6,4172.7,-4.1,-0.10,4182.8,4097.4,-4.6,-0.11,4183.3,3826.2,389.7,10.28,4183.3,3789.0,457.0,12.28,5491.6,3721.6,-1015.8,-19.56,5561.0,5527.2,5455.8,5569.5,5564.0,5569.5,5455.8,-6.1,-0.11,5570.1,5045.1,518.9,10.29,5570.1,5045.1,608.6,12.28,7235.3,4955.3,-1224.0,-18.03,,
XGD,Gold,6962.6,6869.8,6840.1,6933.8,6997.0,7036.2,6933.8,63.2,0.91,6997.0,6840.1,26.0,0.37,6997.0,6256.3,787.8,12.69,6997.0,6209.2,963.0,15.96,8435.7,6034.0,-525.7,-6.99,7955.0,7849.0,7815.1,7922.1,7994.4,7994.4,7815.1,29.8,0.37,7994.4,7094.0,900.4,12.69,7994.4,7094.0,1100.6,15.96,9595.8,6893.8,-544.2,-6.37,,
XJR,S&P/ASX 200 Res,4871.8,4838.5,4777.0,4861.7,4856.3,4879.9,4849.9,-5.4,-0.11,4871.8,4777.0,-21.4,-0.44,4877.7,4467.3,420.4,9.48,4877.7,4435.9,487.0,11.15,6355.0,4291.7,-1114.7,-18.67,24272.6,24106.9,23800.6,24222.7,24195.7,24272.6,23800.6,-106.4,-0.44,24302.1,22101.1,2094.7,9.48,24302.1,22101.1,2426.7,11.15,31311.1,21378.1,-4968.1,-17.04,,
,
