Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-04-30T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 20,Apr 21,Apr 27,Apr 28,Apr 29,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 20,Apr 21,Apr 27,Apr 28,Apr 29,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSJ,Consumer Staples,7869.0,7967.2,7872.5,7875.5,7812.2,7877.8,7758.6,-63.3,-0.80,7967.2,7812.2,9.6,0.12,7967.2,7730.4,150.7,1.97,8013.9,7490.6,97.7,1.27,8415.1,7167.6,375.4,5.05,56002.2,56701.2,56027.2,56048.5,55598.0,56701.2,55598.0,68.4,0.12,56701.2,54525.5,1072.5,1.97,56701.2,52783.5,1800.2,3.35,58402.4,48819.1,4945.4,9.76,,
XEJ,Energy,16899.6,17170.1,17088.8,17015.7,16592.1,17015.7,16500.5,-423.6,-2.49,17170.1,16592.1,-60.5,-0.36,17736.5,16592.1,-364.4,-2.15,17736.5,15342.3,477.7,2.96,17736.5,13714.7,1055.2,6.79,111298.2,113079.6,112544.1,112062.9,109272.7,113079.6,109272.7,-398.7,-0.36,116809.6,109272.7,-2400.2,-2.15,116809.6,101042.2,4179.5,3.98,116809.6,88395.3,9132.3,9.12,,
XFJ,Financials,4554.1,4615.7,4596.5,4614.6,4592.2,4628.7,4566.6,-22.4,-0.49,4615.7,4554.1,106.6,2.38,4615.7,4485.6,117.2,2.62,4666.6,4276.2,230.4,5.28,4947.6,4077.7,-317.7,-6.47,38075.7,38590.5,38429.7,38581.5,38394.1,38590.5,38075.7,891.3,2.38,38590.5,37414.5,979.5,2.62,38822.8,35744.3,2330.4,6.46,39103.4,32702.7,-409.0,-1.05,,
XXJ,Financial-X-A-Reit,5311.8,5379.2,5360.4,5390.0,5355.7,5410.1,5323.6,-34.3,-0.64,5390.0,5311.8,127.5,2.44,5390.0,5228.2,162.0,3.12,5430.9,4949.5,291.9,5.76,5792.8,4674.3,-394.7,-6.86,42566.3,43106.5,42956.4,43193.7,42918.8,43193.7,42566.3,1021.9,2.44,43193.7,41620.6,1298.2,3.12,43285.0,39663.7,2778.0,6.92,43890.0,35932.3,-646.7,-1.48,,
XHJ,Health Care,8976.6,9030.7,8959.6,8920.4,8743.6,8921.3,8668.7,-176.8,-1.98,9030.7,8743.6,-135.4,-1.53,9186.8,8743.6,147.7,1.72,9186.8,8302.2,-189.6,-2.12,9186.8,7848.5,330.0,3.92,52659.6,52977.1,52559.6,52329.6,51292.8,52977.1,51292.8,-794.3,-1.52,53892.5,50426.4,866.4,1.72,53892.5,48685.0,-528.5,-1.02,53892.5,44799.6,3267.5,6.80,,
XNJ,Industrials,3663.6,3700.3,3688.8,3674.8,3623.2,3681.5,3603.1,-51.6,-1.40,3700.3,3623.2,16.5,0.46,3806.1,3606.7,-79.1,-2.14,3870.5,3551.1,-113.3,-3.03,3896.9,3140.1,-274.0,-7.03,27291.6,27565.5,27479.8,27375.3,26990.9,27565.5,26990.9,123.2,0.46,28353.4,26867.7,-589.2,-2.14,28566.6,26434.6,-569.3,-2.07,28566.6,22749.0,-1029.8,-3.68,,
XIJ,Info Technology,570.5,573.0,570.4,600.5,601.2,604.5,598.5,0.7,0.12,601.2,570.4,31.9,5.60,601.2,569.3,18.3,3.14,666.6,567.1,-43.5,-6.75,701.2,559.3,-94.8,-13.62,3417.2,3431.7,3416.4,3596.7,3601.2,3601.2,3416.4,191.3,5.61,3601.2,3409.9,120.2,3.45,3919.5,3387.0,-189.7,-5.01,4057.4,3236.2,-425.9,-10.58,,
XMJ,Materials,14310.6,14442.4,14211.2,14135.8,13927.0,14153.4,13835.7,-208.8,-1.48,14442.4,13927.0,-176.4,-1.25,15046.2,13927.0,178.2,1.30,15046.2,12973.6,-153.6,-1.09,15046.2,10889.1,1633.7,13.29,91433.2,92275.2,90798.5,90316.9,88982.6,92275.2,88982.6,-1126.8,-1.25,96133.1,87839.6,1143.0,1.30,96133.1,82866.5,-228.6,-0.26,96133.1,68188.9,12008.3,15.60,,
XPJ,A-Reit,855.2,870.6,863.8,859.8,862.7,864.2,853.6,2.9,0.34,870.6,855.2,17.2,2.04,876.0,845.5,-0.2,-0.02,887.0,830.5,22.9,2.72,908.7,813.8,-37.2,-4.13,19956.1,20315.5,20155.8,20063.5,20131.4,20315.5,19956.1,402.1,2.04,20442.6,19729.3,-4.2,-0.02,20646.7,19222.9,777.5,4.02,20646.7,17970.7,279.2,1.41,,
XTJ,Telecommunications,971.9,975.2,971.9,987.8,994.6,994.6,981.6,6.8,0.69,994.6,971.9,27.4,2.83,994.6,956.5,51.0,5.40,1016.6,891.0,35.0,3.65,1128.3,891.0,-87.7,-8.10,9500.5,9533.1,9500.5,9656.4,9722.3,9722.3,9500.5,267.6,2.83,9722.3,9222.7,499.7,5.42,9722.3,8708.4,747.8,8.33,10046.4,8339.6,109.3,1.14,,
XUJ,Utilities,4287.3,4335.7,4338.4,4345.1,4351.8,4356.0,4300.3,6.7,0.15,4351.8,4287.3,122.2,2.89,4351.8,4223.2,174.9,4.19,4452.1,3990.1,-61.6,-1.40,4614.3,3990.1,-20.4,-0.47,38028.2,38457.3,38481.2,38541.5,38600.5,38600.5,38028.2,1083.7,2.89,38600.5,37048.7,1551.8,4.19,38794.6,35021.3,143.4,0.37,39587.2,33297.5,2320.3,6.40,,
XMM,Metals And Mining,5205.5,5254.8,5167.1,5149.4,5071.0,5155.0,5034.2,-78.4,-1.52,5254.8,5071.0,-58.9,-1.15,5491.6,5071.0,76.1,1.52,5491.6,4693.1,-74.7,-1.45,5491.6,3866.0,704.3,16.13,6858.5,6923.3,6807.8,6784.4,6681.2,6923.3,6681.2,-77.6,-1.15,7235.3,6580.6,100.7,1.53,7235.3,6181.4,-42.9,-0.64,7235.3,5001.6,1031.8,18.26,,
XGD,Gold,8173.7,8319.8,8156.3,8149.9,8002.0,8188.4,7922.2,-147.9,-1.81,8319.8,8002.0,18.9,0.24,8435.7,7884.0,318.8,4.15,8435.7,7064.2,-97.1,-1.20,8435.7,5672.1,2012.7,33.61,9297.7,9463.9,9278.0,9270.7,9102.4,9463.9,9102.4,21.5,0.24,9595.8,8739.8,362.6,4.15,9595.8,8022.7,-90.5,-0.98,9595.8,6412.2,2331.6,34.44,,
XJR,S&P/Asx 200 Res,6033.7,6100.8,6016.7,5993.4,5889.0,5998.2,5849.4,-104.4,-1.74,6100.8,5889.0,-57.9,-0.97,6355.0,5889.0,45.2,0.77,6355.0,5450.1,-19.8,-0.34,6355.0,4611.8,674.8,12.94,29727.8,30058.5,29644.2,29529.5,29015.1,30058.5,29015.1,-285.2,-0.97,31311.1,28791.1,224.1,0.78,31311.1,26845.8,155.0,0.54,31311.1,22285.5,3818.5,15.15,,
,
