Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-08-03T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 29,Jul 30,Jul 31,Aug 1,Aug 2,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 29,Jul 30,Jul 31,Aug 1,Aug 2,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1651.6,1651.7,1659.6,1681.8,1691.6,1702.5,1681.8,9.8,0.58,1691.6,1651.6,44.1,2.68,1691.6,1581.7,99.6,6.26,1694.1,1364.5,347.8,25.88,1694.1,1241.2,444.4,35.63,12078.6,12079.4,12137.7,12300.0,12371.3,12371.3,12078.6,322.6,2.68,12371.3,11567.7,728.5,6.26,12372.8,9792.3,2727.1,28.28,12372.8,8787.4,3617.4,41.32,,
XSJ,Consumer Staples,9809.6,9687.7,9741.7,9792.2,9837.2,9878.3,9792.2,45.0,0.46,9837.2,9687.7,57.0,0.58,9837.2,9451.4,164.8,1.70,10661.7,8912.8,962.8,10.85,10661.7,8098.1,1680.8,20.61,76748.9,75795.2,76217.7,76612.2,76964.5,76964.5,75795.2,446.0,0.58,76964.5,73946.2,1289.5,1.70,83265.0,68413.1,8846.1,12.99,83265.0,60673.7,15854.2,25.94,,
XEJ,Energy,13192.9,13155.5,13251.9,13403.6,13537.5,13568.5,13403.6,133.9,1.00,13537.5,13155.5,191.7,1.44,13658.5,12510.6,809.7,6.36,13702.8,11998.9,1131.5,9.12,13702.8,11726.6,1313.5,10.75,91369.6,91110.7,91778.4,92829.3,93756.4,93756.4,91110.7,1327.7,1.44,94594.6,86644.4,5607.6,6.36,94901.2,83100.5,8929.8,10.53,94901.2,80181.3,11326.6,13.74,,
XFJ,Financials,5609.7,5606.6,5607.1,5562.8,5635.7,5635.7,5562.8,72.9,1.31,5635.7,5562.8,51.8,0.93,5635.7,5232.4,309.3,5.81,5851.4,4767.7,882.0,18.55,5851.4,4399.6,1245.9,28.38,54065.2,54035.2,54040.2,53613.3,54316.3,54316.3,53613.3,499.4,0.93,54316.3,50426.5,2983.2,5.81,55686.0,44797.5,9657.7,21.63,55686.0,40112.1,14365.1,35.96,,
XXJ,Financial-x-A-REIT,6547.1,6554.5,6571.6,6511.5,6616.7,6616.7,6511.5,105.2,1.62,6616.7,6511.5,103.3,1.59,6616.7,6057.9,453.1,7.35,6823.1,5485.5,1164.8,21.36,6823.1,5031.1,1605.3,32.03,60515.0,60583.6,60741.3,60185.7,61158.3,61158.3,60185.7,955.0,1.59,61158.3,55993.4,4188.1,7.35,62087.9,49449.4,12011.8,24.44,62087.9,43907.8,17422.5,39.84,,
XHJ,Health Care,13578.7,13512.2,13628.4,13730.2,13869.7,13871.2,13730.2,139.5,1.02,13869.7,13512.2,297.7,2.19,13869.7,12963.2,671.8,5.09,13869.7,11476.5,2237.1,19.23,13869.7,9250.0,4517.6,48.31,84079.9,83667.9,84387.6,85017.8,85881.7,85881.7,83667.9,1843.7,2.19,85881.7,80268.2,4160.2,5.09,85881.7,70340.0,14584.6,20.46,85881.7,55899.1,29365.5,51.96,,
XNJ,Industrials,3645.1,3628.5,3637.9,3677.8,3712.7,3715.6,3677.8,34.9,0.95,3712.7,3628.5,51.2,1.40,3726.3,3533.8,115.4,3.21,3970.5,3461.4,161.0,4.53,3970.5,3226.6,536.2,16.88,29530.0,29395.6,29471.5,29795.2,30077.8,30077.8,29395.6,414.9,1.40,30188.0,28628.4,935.1,3.21,31601.8,28042.2,1839.6,6.51,31601.8,25132.3,5336.0,21.57,,
XIJ,Info Technology,676.8,668.5,679.3,686.5,693.1,697.6,686.5,6.6,0.96,693.1,668.5,21.2,3.16,698.4,662.8,4.7,0.68,734.7,611.4,96.5,16.17,734.7,512.1,177.5,34.43,4370.6,4316.8,4386.4,4432.7,4475.4,4475.4,4316.8,136.8,3.15,4509.9,4280.2,30.1,0.68,4744.0,3884.8,684.7,18.06,4744.0,3195.2,1258.4,39.12,,
XMJ,Materials,9231.8,9312.8,9269.2,9383.4,9503.5,9507.2,9383.4,120.1,1.28,9503.5,9231.8,232.7,2.51,9503.5,8471.9,808.3,9.30,11228.0,8283.8,-1097.4,-10.35,11228.0,8283.8,302.2,3.28,62307.7,62854.7,62560.2,63331.0,64141.7,64141.7,62307.7,1570.9,2.51,64141.7,57178.9,5455.3,9.30,74792.0,55909.5,-6472.9,-9.17,74792.0,55909.5,3788.2,6.28,,
XPJ,A-REIT,1046.7,1036.1,1021.4,1020.7,1016.2,1033.4,1011.9,-4.5,-0.44,1046.7,1016.2,-28.9,-2.77,1046.7,1016.2,-25.2,-2.42,1135.4,960.8,42.4,4.35,1135.4,910.8,96.0,10.43,28028.1,27745.5,27351.1,27332.8,27212.6,28028.1,27212.6,-775.0,-2.77,28028.1,27212.6,-668.3,-2.40,29914.8,25044.0,1854.7,7.31,29914.8,23111.3,3921.2,16.84,,
XTJ,Telecommunications,1697.4,1724.1,1722.3,1732.6,1746.7,1748.7,1732.6,14.1,0.81,1746.7,1697.4,50.0,2.95,1746.7,1611.9,108.8,6.64,1773.8,1515.3,250.7,16.76,1773.8,1272.2,371.1,26.98,19321.6,19625.3,19608.4,19725.4,19886.3,19886.3,19321.6,572.7,2.97,19886.3,18348.7,1241.9,6.66,20191.3,16745.5,3353.9,20.29,20191.3,13641.6,5231.9,35.70,,
XUJ,Utilities,5443.0,5422.8,5414.8,5486.2,5477.7,5535.9,5455.6,-8.5,-0.15,5486.2,5414.8,40.8,0.75,5561.1,5299.6,177.8,3.35,5815.8,5168.0,219.8,4.18,5815.8,4822.3,392.1,7.71,54988.2,54784.0,54702.4,55424.0,55338.1,55424.0,54702.4,412.1,0.75,56180.9,53539.1,1795.9,3.35,57869.0,51459.2,3640.4,7.04,57869.0,46698.6,6741.7,13.87,,
XMM,Metals & Mining,3066.3,3100.1,3080.1,3115.5,3157.5,3157.5,3115.5,42.0,1.35,3157.5,3066.3,78.2,2.54,3157.5,2743.2,326.6,11.54,3841.7,2682.0,-485.9,-13.34,3841.7,2682.0,2.6,0.08,4241.0,4287.8,4260.1,4309.0,4367.2,4367.2,4241.0,108.2,2.54,4367.2,3794.1,451.8,11.54,5249.3,3709.5,-611.2,-12.28,5249.3,3709.5,117.0,2.75,,
XGD,Gold,2590.2,2627.3,2628.3,2612.9,2510.0,2612.9,2499.7,-102.9,-3.94,2628.3,2510.0,-134.0,-5.07,2721.4,2110.1,235.1,10.33,5191.8,2008.5,-2388.7,-48.76,6250.3,2008.5,-2353.6,-48.39,2997.3,3040.3,3041.4,3023.6,2904.6,3041.4,2904.6,-155.0,-5.07,3149.1,2441.8,272.1,10.33,5987.1,2324.2,-2744.5,-48.58,7201.8,2324.2,-2669.8,-47.89,,
XJR,S&P/ASX 200 Res,3896.2,3924.5,3913.5,3959.9,4011.2,4011.3,3959.9,51.3,1.30,4011.2,3896.2,90.8,2.32,4011.2,3557.9,364.5,9.99,4567.3,3468.3,-299.4,-6.95,4567.3,3468.3,167.1,4.35,20172.9,20319.0,20262.1,20502.5,20768.3,20768.3,20172.9,470.1,2.32,20768.3,18421.4,1887.2,10.00,23355.8,17957.3,-1274.8,-5.78,23355.8,17957.3,1389.8,7.17,,
,
