Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-03-03T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 27,Feb 28,Feb 29,Mar 1,Mar 2,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 27,Feb 28,Feb 29,Mar 1,Mar 2,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1281.6,1291.4,1288.5,1285.4,1287.0,1292.5,1284.5,1.6,0.12,1291.4,1281.6,0.3,0.02,1291.4,1207.2,53.9,4.37,1291.4,1179.0,114.3,9.75,1514.8,1140.6,-243.8,-15.93,8829.4,8896.7,8916.6,8905.1,8925.7,8925.7,8829.4,60.8,0.69,8925.7,8298.4,478.8,5.67,8925.7,8076.6,892.2,11.11,10062.3,7636.0,-1173.6,-11.62,,
XSJ,Consumer Staples,7342.1,7327.3,7405.5,7418.3,7432.0,7447.8,7395.5,13.7,0.18,7432.0,7327.3,49.2,0.67,7441.8,7241.1,105.7,1.44,7562.4,7241.1,98.9,1.35,7967.2,7011.2,-521.8,-6.56,54410.7,54301.1,54880.0,54975.1,55077.0,55077.0,54301.1,476.8,0.87,55077.0,52987.4,1465.5,2.73,55339.0,52987.4,1416.0,2.64,56761.7,49979.4,-1098.1,-1.95,,
XEJ,Energy,14480.5,14394.6,14490.7,14286.7,14288.8,14454.1,14229.8,2.1,0.01,14490.7,14286.7,-364.6,-2.49,14705.5,13686.1,531.2,3.86,14705.5,12824.6,1545.6,12.13,17736.5,11605.0,-2131.0,-12.98,97116.0,96876.9,97523.6,96160.6,96174.6,97523.6,96160.6,-1707.2,-1.74,98057.5,91260.2,4437.7,4.84,98057.5,85515.8,11201.7,13.18,116809.6,77383.0,-11916.3,-11.02,,
XFJ,Financials,4010.6,3996.4,4029.7,4002.7,4021.5,4035.6,4009.3,18.8,0.47,4029.7,3996.4,-15.5,-0.38,4054.6,3952.4,-6.4,-0.16,4066.9,3937.7,115.6,2.96,4615.7,3596.7,-492.4,-10.91,35740.4,35613.8,35910.4,35679.3,35849.3,35910.4,35613.8,-46.9,-0.13,35910.4,34929.4,320.5,0.90,35910.4,34730.9,1398.3,4.06,38590.5,30965.7,-1881.3,-4.99,,
XXJ,Financial-x-A-REIT,4610.6,4582.7,4620.9,4586.6,4605.0,4622.5,4593.2,18.4,0.40,4620.9,4582.7,-33.0,-0.71,4653.2,4527.7,-17.6,-0.38,4676.1,4513.6,99.6,2.21,5390.0,4119.7,-616.8,-11.81,39380.9,39142.5,39468.9,39188.4,39348.0,39468.9,39142.5,-162.7,-0.41,39510.7,38298.5,247.1,0.63,39553.8,38178.9,1238.0,3.25,43193.7,34142.5,-2497.8,-5.97,,
XHJ,Health Care,8131.8,8245.7,8248.9,8111.2,8169.8,8193.4,8114.8,58.6,0.72,8248.9,8111.2,-24.7,-0.30,8248.9,7756.1,291.7,3.70,8248.9,7756.1,182.2,2.28,9186.8,7082.8,-665.1,-7.53,48645.3,49326.8,49346.1,48650.4,49002.1,49346.1,48645.3,-18.4,-0.04,49346.1,46279.9,1994.0,4.24,49346.1,46279.9,1340.5,2.81,53892.5,41891.0,-2489.2,-4.83,,
XNJ,Industrials,3735.7,3745.1,3771.9,3737.2,3763.3,3771.4,3740.2,26.1,0.70,3771.9,3735.7,0.5,0.01,3771.9,3556.3,197.9,5.55,3771.9,3379.0,425.5,12.75,3806.1,3031.9,-76.6,-1.99,28612.1,28683.9,28889.3,28631.0,28831.3,28889.3,28612.1,42.0,0.15,28889.3,27181.6,1592.1,5.85,28889.3,25815.0,3331.1,13.06,28889.3,22990.4,437.9,1.54,,
XIJ,Info Technology,493.8,495.7,498.3,499.8,499.3,502.3,497.5,-0.5,-0.10,499.8,493.8,-1.7,-0.34,512.0,493.8,3.5,0.70,512.0,482.8,0.8,0.16,601.2,458.0,-105.4,-17.43,3058.0,3070.0,3085.8,3095.1,3092.2,3095.1,3058.0,30.4,0.99,3129.4,3028.2,61.9,2.04,3129.4,2950.6,45.5,1.49,3601.2,2743.0,-505.8,-14.06,,
XMJ,Materials,11362.9,11339.8,11462.5,11245.2,11289.3,11354.1,11263.9,44.1,0.39,11462.5,11245.2,-252.0,-2.18,11833.2,11162.0,-360.1,-3.09,11833.2,10665.2,796.7,7.59,15046.2,10436.7,-3129.9,-21.71,74127.3,73976.8,74885.8,73465.8,73753.8,74885.8,73465.8,-999.9,-1.34,76582.8,72238.8,-1639.7,-2.17,76582.8,69023.5,5847.0,8.61,96133.1,67434.3,-17885.8,-19.52,,
XPJ,A-REIT,812.3,819.9,826.7,824.2,831.0,833.0,824.3,6.8,0.83,831.0,812.3,10.7,1.31,831.0,798.0,8.0,0.97,836.7,785.8,53.5,6.88,882.3,708.9,-54.2,-6.12,20189.6,20378.4,20546.7,20484.4,20653.2,20653.2,20189.6,265.4,1.30,20653.2,19807.8,462.4,2.29,20653.2,19271.5,1585.2,8.31,20653.2,17036.7,26.5,0.13,,
XTJ,Telecommunications,1105.7,1115.5,1129.0,1129.0,1135.9,1139.2,1129.0,6.9,0.61,1135.9,1105.7,20.5,1.83,1173.7,1105.7,-12.4,-1.08,1173.7,1105.7,0.4,0.03,1173.7,891.0,175.7,18.30,11767.9,11872.5,12015.5,12015.9,12089.1,12089.1,11767.9,217.5,1.83,12180.7,11685.7,339.4,2.89,12180.7,11476.1,469.8,4.04,12180.7,8708.4,2704.5,28.82,,
XUJ,Utilities,4569.2,4582.0,4623.8,4527.2,4560.1,4560.1,4532.6,32.9,0.73,4623.8,4527.2,3.7,0.08,4661.5,4527.2,-81.5,-1.76,4663.5,4527.2,15.7,0.35,4663.5,3990.1,317.1,7.47,42413.1,42532.3,43087.4,42547.4,42857.3,43087.4,42413.1,563.2,1.33,43269.5,42294.1,-227.8,-0.53,43288.5,42294.1,674.7,1.60,43288.5,35021.3,5672.1,15.25,,
XMM,Metals & Mining,4048.5,4044.8,4083.3,4007.9,4026.1,4047.1,4017.3,18.2,0.45,4083.3,4007.9,-85.4,-2.08,4252.2,3975.4,-156.7,-3.75,4252.2,3789.0,304.4,8.18,5491.6,3721.6,-1215.1,-23.18,5432.7,5427.8,5488.3,5387.0,5411.5,5488.3,5387.0,-67.0,-1.22,5661.9,5293.3,-158.0,-2.84,5661.9,5045.1,456.1,9.20,7235.3,4955.3,-1454.0,-21.18,,
XGD,Gold,6874.0,6831.4,6906.1,6705.6,6737.9,6775.9,6706.4,32.3,0.48,6906.1,6705.6,-282.8,-4.03,7178.9,6705.6,-195.9,-2.82,7178.9,6209.2,703.9,11.67,8435.7,6034.0,-1184.0,-14.95,7853.8,7805.2,7892.8,7663.7,7700.6,7892.8,7663.7,-320.8,-4.00,8202.2,7663.7,-221.5,-2.80,8202.2,7094.0,806.8,11.70,9595.8,6893.8,-1294.1,-14.39,,
XJR,S&P/ASX 200 Res,4803.1,4791.7,4832.5,4748.3,4764.8,4797.2,4753.2,16.5,0.35,4832.5,4748.3,-110.3,-2.26,4925.8,4679.8,-96.9,-1.99,4925.8,4435.9,395.5,9.05,6355.0,4291.7,-1257.9,-20.89,24109.4,24073.9,24308.8,23886.2,23968.8,24308.8,23886.2,-344.8,-1.42,24542.0,23316.1,-253.9,-1.05,24542.0,22101.1,2199.7,10.10,31311.1,21378.1,-5565.3,-18.84,,
,
