XEJ,Energy,8441.1,8356.1,8575.4,8802.5,8665.7,8823.5,8631.0,-136.8,-1.55,8802.5,8356.1,195.3,2.31,9789.7,8356.1,-843.3,-8.87,12090.7,8356.1,-2935.7,-25.30,12090.7,8356.1,-5908.5,-40.54,64633.1,63982.2,65661.6,67400.2,66353.2,67400.2,63982.2,1495.1,2.31,73188.8,63982.2,-4737.6,-6.66,90391.5,63982.2,-17951.1,-21.29,105365.1,63982.2,-39553.5,-37.35,
XFJ,Financials,5904.2,5795.1,5907.0,5957.3,5992.5,6018.3,5877.5,35.2,0.59,5992.5,5795.1,127.6,2.18,6246.0,5737.6,-130.4,-2.13,7186.4,5737.6,-262.9,-4.20,7186.4,5737.6,-60.7,-1.00,63825.0,62646.2,63855.2,64399.0,64779.7,64779.7,62646.2,1379.7,2.18,67320.0,61840.9,-1210.4,-1.83,75638.7,61840.9,-459.4,-0.70,75638.7,59639.1,2631.2,4.23,
XXJ,Financial-x-A-REIT,6763.6,6632.6,6783.7,6838.7,6883.3,6918.8,6741.9,44.6,0.65,6883.3,6632.6,164.3,2.45,7177.5,6539.6,-143.1,-2.04,8394.2,6539.6,-398.9,-5.48,8394.2,6539.6,-227.2,-3.20,70091.0,68733.3,70299.1,70869.4,71331.3,71331.3,68733.3,1702.5,2.45,74119.1,67762.0,-1221.5,-1.68,84666.9,67762.0,-1441.1,-1.98,84666.9,66776.9,1369.6,1.96,
XHJ,Health Care,17944.7,17713.3,17934.8,17930.4,17988.7,18143.8,17839.8,58.3,0.33,17988.7,17713.3,206.9,1.16,18718.4,17713.3,-647.7,-3.48,19933.9,17005.1,501.5,2.87,19933.9,17005.1,2754.8,18.08,117266.9,115755.0,117202.4,117174.0,117554.8,117554.8,115755.0,1351.9,1.16,121119.3,115207.8,-3033.8,-2.52,128804.9,108911.1,5556.2,4.96,128804.9,95128.7,20044.1,20.56,
XNJ,Industrials,4547.2,4493.7,4549.9,4578.4,4633.5,4662.9,4562.5,55.1,1.20,4633.5,4493.7,109.8,2.43,4675.7,4442.7,-29.1,-0.62,4968.2,4233.2,311.7,7.21,4968.2,4233.2,504.4,12.22,40025.7,39554.9,40078.1,40328.7,40829.6,40829.6,39554.9,1029.8,2.59,40832.6,38797.9,110.6,0.27,43057.2,36323.0,3746.0,10.10,43057.2,32870.0,5677.5,16.15,
XIJ,Info Technology,702.9,696.5,704.4,714.0,718.6,725.1,709.3,4.6,0.64,718.6,696.5,17.3,2.46,718.6,664.8,11.6,1.64,853.7,664.8,-64.1,-8.19,853.7,664.8,-63.2,-8.09,4848.1,4803.8,4878.1,4944.7,4976.6,4976.6,4803.8,139.5,2.88,4976.6,4575.2,111.3,2.29,5803.2,4575.2,-290.0,-5.51,5803.2,4575.2,-260.5,-4.97,
XMJ,Materials,7996.1,7854.6,7969.2,8110.3,8114.4,8161.7,8032.2,4.1,0.05,8114.4,7854.6,141.5,1.77,8207.0,7592.5,-4.4,-0.05,9946.3,7592.5,-613.3,-7.03,9946.3,7592.5,-1535.0,-15.91,59176.7,58128.9,58977.0,60026.6,60057.4,60057.4,58128.9,1052.5,1.78,60543.2,55147.6,1087.1,1.84,70664.0,55147.6,-1834.9,-2.96,70664.0,55147.6,-8187.5,-12.00,
XPJ,A-REIT,1224.2,1207.5,1208.5,1221.4,1224.6,1228.6,1209.0,3.2,0.26,1224.6,1207.5,9.0,0.74,1273.5,1200.2,-33.3,-2.64,1343.7,1197.3,38.5,3.24,1343.7,1197.3,136.8,12.57,36812.0,36309.2,36338.6,36727.8,36824.3,36824.3,36309.2,270.1,0.74,38294.3,36089.0,-1000.1,-2.64,39203.9,34828.8,2318.9,6.72,39203.9,30884.2,5669.7,18.20,
XTJ,Telecommunications,1978.0,1957.3,1993.5,1999.2,2020.9,2025.4,1986.0,21.7,1.09,2020.9,1957.3,39.3,1.99,2197.6,1957.3,-146.8,-6.77,2321.2,1957.3,-65.9,-3.16,2321.2,1957.3,120.1,6.32,25569.0,25302.3,25769.3,25843.5,26124.6,26124.6,25302.3,508.6,1.99,27727.3,25302.3,-1226.2,-4.48,28970.5,25302.3,370.4,1.44,28970.5,22729.7,2688.0,11.47,
XUJ,Utilities,6408.5,6341.5,6423.0,6462.4,6506.1,6553.2,6412.6,43.7,0.68,6506.1,6341.5,164.0,2.59,6727.6,6337.6,-163.6,-2.45,6918.1,5936.5,591.9,10.01,6918.1,5936.5,670.2,11.48,72764.3,72004.1,72929.2,73376.0,73872.1,73872.1,72004.1,1862.5,2.59,76179.9,71959.7,-1074.8,-1.43,76606.1,65111.5,9005.8,13.88,76606.1,62222.8,10820.6,17.16,
XMM,Metals & Mining,2323.2,2280.1,2319.2,2370.3,2363.3,2383.8,2348.0,-7.0,-0.30,2370.3,2280.1,46.2,2.00,2403.6,2197.3,9.3,0.40,3045.0,2197.3,-283.6,-10.72,3045.0,2197.3,-741.6,-23.88,3528.6,3463.2,3522.6,3600.6,3590.0,3600.6,3463.2,70.7,2.01,3622.8,3266.4,90.6,2.59,4412.5,3266.4,-244.4,-6.37,4427.4,3266.4,-906.3,-20.16,
XGD,Gold,2245.4,2257.9,2281.5,2356.0,2477.3,2511.5,2356.0,121.3,5.15,2477.3,2245.4,288.1,13.16,2477.3,2104.3,337.2,15.75,2736.3,2069.2,429.9,21.00,2736.3,2069.2,380.8,18.16,2629.0,2643.7,2671.3,2758.5,2900.5,2900.5,2629.0,337.3,13.16,2900.5,2458.6,400.2,16.00,3196.9,2412.7,513.3,21.50,3196.9,1941.8,456.0,18.65,
XJR,S&P/ASX 200 Res,2812.2,2766.0,2820.9,2887.0,2869.7,2899.5,2850.6,-17.3,-0.60,2887.0,2766.0,60.5,2.16,2973.3,2715.3,-70.5,-2.40,3741.5,2715.3,-520.6,-15.35,3741.5,2715.3,-1187.9,-29.28,16038.2,15774.9,16088.1,16466.5,16367.6,16466.5,15774.9,346.7,2.16,16656.8,15138.7,-24.8,-0.15,20500.6,15138.7,-2036.3,-11.06,21765.9,15138.7,-5654.5,-25.68,

