Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-05-02T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 27,Apr 28,Apr 29,Apr 30,May 1,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 24,Apr 27,Apr 28,Apr 29,Apr 30,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSO,S&P/ASX Small Ords,2227.4,2219.9,2209.7,2203.5,2216.7,2217.8,2193.3,13.2,0.60,2227.4,2203.5,7.6,0.35,2227.4,2168.6,61.0,2.83,2233.1,2001.2,172.3,8.43,2233.1,2001.2,84.6,3.97,5683.8,5730.9,5711.7,5685.5,5669.5,5730.9,5669.5,-14.4,-0.25,5730.9,5543.6,125.9,2.27,5730.9,5089.5,471.9,9.08,5754.2,4882.3,357.0,6.72,,
XDJ,Consumer Discretionary,2021.0,2015.7,1989.5,1977.5,1975.9,1982.2,1955.5,-1.6,-0.08,2021.0,1975.9,-21.4,-1.07,2021.0,1943.3,11.6,0.59,2021.0,1713.3,222.6,12.70,2021.0,1713.3,148.5,8.13,15588.0,15772.9,15732.0,15527.7,15433.7,15772.9,15433.7,-154.3,-0.99,15772.9,15162.1,121.0,0.79,15772.9,13162.6,1963.9,14.58,15772.9,12935.8,1660.2,12.05,,
XSJ,Consumer Staples,9263.3,9313.3,9202.7,9317.6,9250.0,9317.6,9231.7,-67.6,-0.73,9317.6,9202.7,90.2,0.99,9452.9,9002.2,-26.2,-0.28,10122.8,9002.2,76.9,0.84,10122.8,9002.2,-757.8,-7.57,77891.9,78772.4,79197.9,78257.1,79234.4,79234.4,78257.1,1342.4,1.72,80384.9,76552.0,352.5,0.45,85291.5,75246.2,2725.6,3.56,85291.5,73342.3,-2385.7,-2.92,,
XEJ,Energy,12090.7,11977.7,11820.4,11787.5,11925.1,11982.0,11782.4,137.6,1.17,12090.7,11787.5,29.2,0.25,12090.7,10765.9,1246.9,11.68,12090.7,10301.0,323.7,2.79,12090.7,10301.0,-2086.8,-14.89,88935.4,90391.5,89546.9,88371.2,88124.9,90391.5,88124.9,-810.5,-0.91,90391.5,79831.4,8293.5,10.39,90391.5,74854.3,3820.6,4.53,111140.9,74854.3,-11994.5,-11.98,,
XFJ,Financials,7039.3,7000.3,6839.7,6735.1,6757.6,6781.4,6705.4,22.5,0.33,7039.3,6735.1,-240.2,-3.43,7149.2,6735.1,-256.4,-3.66,7186.4,6165.5,502.2,8.03,7186.4,6165.5,636.2,10.39,73669.5,74106.9,73696.4,72005.3,70903.7,74106.9,70903.7,-2765.8,-3.75,75249.9,70903.7,-2923.1,-3.96,75638.7,64303.3,5664.5,8.68,75638.7,59639.1,9699.6,15.85,,
XXJ,Financial-x-A-REIT,8219.6,8172.1,7974.4,7845.4,7871.9,7897.7,7812.4,26.5,0.34,8219.6,7845.4,-299.7,-3.67,8361.1,7845.4,-336.8,-4.10,8394.2,7130.2,589.7,8.10,8394.2,7130.2,626.9,8.65,82439.1,82923.5,82444.4,80449.7,79148.2,82923.5,79148.2,-3290.9,-3.99,84332.5,79148.2,-3647.5,-4.41,84666.9,71254.0,6375.8,8.76,84666.9,66776.9,9719.4,14.00,,
XHJ,Health Care,19508.4,19130.3,18628.7,18600.9,18506.4,18600.9,18397.0,-94.5,-0.51,19508.4,18506.4,-962.3,-4.94,19933.9,18506.4,-930.0,-4.78,19933.9,17005.1,1019.2,5.83,19933.9,17005.1,4151.0,28.92,125798.8,126055.2,123612.1,120371.3,120191.3,126055.2,120191.3,-5607.6,-4.46,128804.9,120191.3,-5380.3,-4.28,128804.9,108911.1,8192.6,7.31,128804.9,88629.9,29319.6,32.26,,
XNJ,Industrials,4754.9,4727.2,4680.4,4695.7,4734.9,4734.9,4671.1,39.2,0.83,4754.9,4680.4,-8.9,-0.19,4771.0,4644.5,72.8,1.56,4771.0,4233.2,413.1,9.56,4771.0,4233.2,647.8,15.85,41112.8,41208.2,40968.6,40563.1,40695.5,41208.2,40563.1,-417.3,-1.01,41347.7,40251.9,291.3,0.72,41347.7,36323.0,3611.9,9.74,41347.7,32870.0,6524.5,19.09,,
XIJ,Info Technology,823.1,815.5,798.0,794.3,796.7,796.9,787.0,2.4,0.30,823.1,794.3,-29.6,-3.58,832.0,794.3,-29.4,-3.55,853.7,757.6,14.0,1.79,853.7,757.6,7.9,1.00,5634.3,5612.4,5561.1,5441.5,5416.5,5612.4,5416.5,-217.8,-3.87,5673.6,5416.5,-216.3,-3.84,5803.2,5098.0,149.8,2.85,5803.2,4958.9,184.9,3.53,,
XMJ,Materials,9611.2,9549.5,9391.4,9335.9,9475.9,9490.9,9335.9,140.0,1.50,9611.2,9335.9,20.3,0.21,9611.2,8979.8,422.7,4.67,9946.3,8248.8,748.2,8.57,9946.3,8248.8,-527.8,-5.28,68313.8,69437.7,68991.7,67849.7,67448.8,69437.7,67448.8,-865.0,-1.27,69437.7,64876.3,2044.4,3.13,70664.0,58495.7,5556.5,8.98,73622.9,57471.6,-2154.0,-3.09,,
XPJ,A-REIT,1310.8,1305.4,1285.2,1272.3,1276.3,1283.8,1260.3,4.0,0.31,1310.8,1272.3,-26.3,-2.02,1321.7,1272.3,-12.0,-0.93,1343.7,1197.3,90.1,7.60,1343.7,1197.3,225.2,21.42,38218.3,38459.2,38301.0,37708.2,37327.5,38459.2,37327.5,-890.8,-2.33,38777.4,37327.5,-470.9,-1.25,39203.9,34828.8,2822.0,8.18,39203.9,29219.4,8035.5,27.43,,
XTJ,Telecommunications,2259.7,2254.3,2238.5,2207.9,2211.2,2219.1,2191.1,3.3,0.15,2259.7,2207.9,-28.2,-1.26,2259.7,2178.2,-25.5,-1.14,2321.2,2072.7,124.4,5.96,2321.2,2072.7,400.5,22.12,28254.0,28510.3,28442.7,28243.4,27857.0,28510.3,27857.0,-396.9,-1.40,28510.3,27482.1,-358.5,-1.27,28647.5,25580.0,2102.9,8.17,28647.5,21671.9,6088.1,27.97,,
XUJ,Utilities,6905.2,6866.8,6773.7,6789.2,6761.2,6800.5,6681.6,-28.0,-0.41,6905.2,6761.2,-66.4,-0.97,6905.2,6630.0,146.0,2.21,6905.2,5936.5,847.0,14.32,6905.2,5936.5,997.1,17.30,75603.4,76463.4,76037.6,75007.0,75178.9,76463.4,75007.0,-424.5,-0.56,76463.4,73251.9,1927.0,2.63,76463.4,65111.5,10312.7,15.90,76463.4,60473.0,14596.9,24.09,,
XMM,Metals & Mining,2886.2,2878.7,2841.2,2820.0,2870.1,2876.0,2820.0,50.1,1.78,2886.2,2820.0,43.8,1.55,2886.2,2628.0,178.4,6.63,3045.0,2488.4,223.1,8.43,3045.0,2488.4,-368.1,-11.37,4183.5,4272.2,4261.1,4205.5,4174.2,4272.2,4174.2,-9.3,-0.22,4272.2,3890.0,189.8,4.76,4412.5,3604.6,339.8,8.86,4936.1,3537.4,-443.1,-9.60,,
XGD,Gold,2595.8,2686.2,2699.3,2640.9,2630.6,2640.9,2580.3,-10.3,-0.39,2699.3,2595.8,31.1,1.20,2699.3,2546.4,202.9,8.36,2727.5,2069.2,583.2,28.49,2727.5,2069.2,430.7,19.58,3037.1,3032.7,3138.4,3153.7,3085.5,3153.7,3032.7,48.4,1.59,3153.7,2836.4,249.1,8.78,3182.8,2412.7,698.2,29.25,3182.8,1941.8,524.1,20.46,,
XJR,S&P/ASX 200 Res,3647.5,3628.9,3579.7,3558.3,3615.3,3621.7,3558.3,57.0,1.60,3647.5,3558.3,39.4,1.10,3647.5,3349.8,272.6,8.16,3741.5,3157.8,225.0,6.64,3741.5,3157.8,-513.4,-12.43,19877.6,20275.3,20171.8,19898.3,19779.6,20275.3,19779.6,-98.1,-0.49,20275.3,18581.1,1198.5,6.45,20466.3,17142.0,1375.6,7.47,23407.3,16867.8,-2269.1,-10.29,,
,
