Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-12-05T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 30,Dec 1,Dec 2,Dec 3,Dec 4,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 30,Dec 1,Dec 2,Dec 3,Dec 4,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSO,S&P/ASX Small Ords,2100.6,2136.1,2127.9,2126.3,2097.9,2126.3,2087.3,-28.4,-1.34,2136.1,2097.9,-12.0,-0.57,2136.1,2043.9,-29.9,-1.41,2263.3,1907.0,53.6,2.62,2263.3,1907.0,80.3,3.98,5509.8,5603.0,5583.2,5579.0,5504.7,5603.0,5504.7,-29.3,-0.53,5603.0,5360.8,-76.0,-1.36,5823.6,4952.4,307.1,5.91,5823.6,4882.3,391.5,7.66,,
XDJ,Consumer Discretionary,1872.6,1916.5,1909.2,1907.7,1884.7,1907.7,1863.9,-23.0,-1.21,1916.5,1872.6,6.3,0.33,1916.5,1815.1,10.5,0.56,2021.0,1712.1,131.4,7.50,2021.0,1712.1,91.0,5.07,14900.2,15249.7,15191.2,15179.4,14996.7,15249.7,14900.2,62.7,0.42,15249.7,14430.2,96.8,0.65,15772.9,13162.6,1527.0,11.34,15772.9,12956.7,1229.9,8.93,,
XSJ,Consumer Staples,8205.2,8433.2,8401.5,8340.7,8321.1,8340.7,8215.8,-19.6,-0.23,8433.2,8205.2,76.0,0.92,8476.6,7962.0,-15.4,-0.18,10122.8,7962.0,-852.0,-9.29,10122.8,7962.0,-903.8,-9.80,71602.2,73592.1,73315.1,72784.7,72613.8,73592.1,71602.2,663.6,0.92,73966.7,69476.3,-131.0,-0.18,85291.5,69476.3,-3895.0,-5.09,85291.5,69476.3,-4327.3,-5.62,,
XEJ,Energy,8658.6,8787.6,8753.6,8559.9,8500.7,8560.2,8399.9,-59.2,-0.69,8787.6,8500.7,-182.9,-2.11,8942.8,8090.6,-444.9,-4.97,12090.7,8041.8,-3100.7,-26.73,12090.7,8041.8,-2671.7,-23.91,66298.6,67286.6,67026.0,65543.2,65089.7,67286.6,65089.7,-1400.5,-2.11,68496.2,61949.4,-3406.5,-4.97,90391.5,61576.0,-19214.7,-22.79,90391.5,61576.0,-16097.3,-19.83,,
XFJ,Financials,6084.3,6211.8,6227.1,6216.4,6108.8,6216.4,6065.1,-107.6,-1.73,6227.1,6084.3,-6.3,-0.10,6227.1,5806.0,60.2,1.00,7186.4,5644.5,-146.6,-2.34,7186.4,5644.5,-55.5,-0.90,66732.4,68131.2,68303.3,68185.4,67005.1,68303.3,66732.4,-65.4,-0.10,68303.3,63680.2,1594.9,2.44,75638.7,61027.7,1765.9,2.71,75638.7,61027.7,2865.7,4.47,,
XXJ,Financial-x-A-REIT,6970.3,7110.9,7145.0,7130.6,7002.7,7130.6,6949.2,-127.9,-1.79,7145.0,6970.3,-0.3,-0.00,7145.0,6635.9,120.9,1.76,8394.2,6423.0,-279.5,-3.84,8394.2,6423.0,-162.5,-2.27,73488.2,74969.6,75335.2,75182.7,73834.1,75335.2,73488.2,1.7,0.00,75335.2,69962.3,2490.2,3.49,84666.9,66571.1,1061.7,1.46,84666.9,66571.1,2230.8,3.12,,
XHJ,Health Care,19722.9,19866.2,19701.6,19434.6,19183.1,19434.6,19007.1,-251.5,-1.29,19866.2,19183.1,-448.9,-2.29,19866.2,18764.9,421.3,2.25,19933.9,17005.1,1695.9,9.70,19933.9,17005.1,2165.5,12.72,129049.5,129987.6,128910.5,127163.0,125517.8,129987.6,125517.8,-2937.1,-2.29,129987.6,122717.4,2800.4,2.28,129987.6,108911.1,13519.1,12.07,129987.6,107831.4,16526.5,15.16,,
XNJ,Industrials,4921.9,4963.0,4872.2,4849.5,4779.7,4849.5,4745.2,-69.8,-1.44,4963.0,4779.7,-185.0,-3.73,5004.6,4733.6,-102.6,-2.10,5004.6,4233.2,457.8,10.59,5004.6,4233.2,570.0,13.54,43410.0,43772.6,42971.5,42786.1,42169.6,43772.6,42169.6,-1617.5,-3.69,44139.2,41748.7,-890.2,-2.07,44139.2,36323.0,5085.9,13.71,44139.2,35207.4,6274.8,17.48,,
XIJ,Info Technology,781.9,788.8,790.8,792.4,784.6,792.4,773.3,-7.8,-0.98,792.4,781.9,3.9,0.51,792.4,717.7,42.1,5.67,853.7,664.8,1.9,0.25,853.7,664.8,18.8,2.46,5423.8,5471.7,5485.2,5496.4,5442.8,5496.4,5423.8,31.7,0.59,5496.4,4974.4,296.2,5.76,5803.2,4575.2,176.1,3.34,5803.2,4575.2,289.9,5.63,,
XMJ,Materials,6945.9,7106.8,7090.8,6965.5,6869.9,6965.5,6840.0,-95.6,-1.37,7106.8,6869.9,-245.0,-3.44,7956.5,6869.9,-1162.6,-14.47,9946.3,6869.9,-1857.8,-21.29,9946.3,6869.9,-1824.4,-20.98,51566.0,52760.1,52641.8,51711.0,51001.7,52760.1,51001.7,-1818.5,-3.44,59483.7,51001.7,-8482.0,-14.26,70664.0,51001.7,-10890.6,-17.60,70664.0,51001.7,-10640.4,-17.26,,
XPJ,A-REIT,1261.1,1293.0,1279.9,1279.8,1262.0,1279.8,1252.4,-17.8,-1.39,1293.0,1261.1,-8.1,-0.64,1295.2,1218.8,-38.5,-2.96,1343.7,1197.3,75.9,6.40,1343.7,1197.3,82.7,7.01,37931.5,38891.6,38496.5,38493.3,37958.7,38891.6,37931.5,-243.7,-0.64,39115.4,36657.5,-1156.7,-2.96,39203.9,34828.8,3453.3,10.01,39203.9,33360.8,4175.2,12.36,,
XTJ,Telecommunications,1944.3,1991.5,2001.6,2000.3,1965.6,2000.3,1956.1,-34.7,-1.73,2001.6,1944.3,6.9,0.35,2001.6,1861.8,30.8,1.59,2321.2,1861.8,-121.2,-5.81,2321.2,1861.8,-27.7,-1.39,25157.8,25768.2,25898.0,25882.0,25432.3,25898.0,25157.8,89.4,0.35,25898.0,24089.3,398.4,1.59,28970.5,24089.3,-321.9,-1.25,28970.5,24089.3,834.8,3.39,,
XUJ,Utilities,6803.1,6842.6,6827.3,6827.8,6713.2,6827.8,6696.0,-114.6,-1.68,6842.6,6713.2,-146.3,-2.13,7050.5,6679.9,-235.1,-3.38,7050.5,5936.5,799.0,13.51,7050.5,5936.5,691.2,11.48,77420.7,77870.3,77696.0,77702.1,76397.1,77870.3,76397.1,-1664.7,-2.13,80235.6,75846.2,-2496.2,-3.16,80235.6,65111.5,11530.8,17.78,80235.6,62965.7,11142.9,17.08,,
XMM,Metals & Mining,1906.6,1959.1,1959.1,1915.8,1889.7,1915.8,1881.1,-26.1,-1.36,1959.1,1889.7,-79.3,-4.03,2296.6,1889.7,-429.5,-18.52,3045.0,1889.7,-757.3,-28.61,3045.0,1889.7,-779.1,-29.19,2897.4,2977.2,2977.2,2911.4,2871.7,2977.2,2871.7,-120.5,-4.03,3524.4,2871.7,-652.8,-18.52,4412.5,2871.7,-962.7,-25.11,4412.5,2871.7,-994.1,-25.72,,
XGD,Gold,2264.8,2344.8,2357.6,2336.3,2374.9,2403.7,2336.0,38.6,1.65,2374.9,2264.8,-8.3,-0.35,2519.4,2264.8,-216.1,-8.34,3060.9,2069.2,327.5,16.00,3060.9,2069.2,461.7,24.13,2656.2,2750.1,2765.1,2740.1,2785.4,2785.4,2656.2,-9.8,-0.35,3038.8,2656.2,-253.5,-8.34,3589.9,2412.7,398.2,16.68,3589.9,2188.9,554.6,24.86,,
XJR,S&P/ASX 200 Res,2468.5,2526.2,2522.5,2465.3,2436.6,2465.3,2418.9,-28.7,-1.16,2526.2,2436.6,-86.6,-3.43,2830.7,2436.6,-413.0,-14.49,3741.5,2436.6,-953.7,-28.13,3741.5,2436.6,-937.1,-27.78,14083.4,14412.7,14391.7,14065.1,13901.3,14412.7,13901.3,-493.9,-3.43,16257.9,13901.3,-2356.5,-14.49,20500.6,13901.3,-4502.6,-24.47,20500.6,13901.3,-4412.2,-24.09,,
,
