Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-09-05T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 31,Sep 1,Sep 2,Sep 3,Sep 4,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 31,Sep 1,Sep 2,Sep 3,Sep 4,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSO,S&P/ASX Small Ords,1996.4,1954.1,1941.4,1907.0,1918.5,1921.9,1896.7,6.6,0.35,1996.4,1907.0,-83.4,-4.17,2090.4,1907.0,-180.7,-8.61,2263.3,1907.0,-125.9,-6.16,2263.3,1907.0,-351.2,-15.48,5170.4,5062.1,5039.1,4952.4,4983.4,5170.4,4952.4,-199.3,-3.85,5422.3,4952.4,-438.9,-8.09,5823.6,4952.4,-214.2,-4.12,5823.6,4882.3,-721.3,-12.64,,
XDJ,Consumer Discretionary,1805.9,1773.1,1768.1,1712.1,1723.1,1733.4,1706.4,11.6,0.68,1805.9,1712.1,-95.2,-5.24,1900.5,1712.1,-196.8,-10.25,2021.0,1712.1,-30.2,-1.72,2021.0,1712.1,-118.5,-6.43,14198.8,13968.8,13945.3,13503.4,13590.1,14198.8,13503.4,-706.4,-4.94,15008.4,13503.4,-1418.3,-9.45,15772.9,13162.6,120.4,0.89,15772.9,12935.8,-424.3,-3.03,,
XSJ,Consumer Staples,8530.5,8341.2,8286.9,8255.8,8284.2,8320.2,8216.2,28.5,0.35,8530.5,8255.8,-463.3,-5.30,9050.3,8255.8,-825.1,-9.06,10122.8,8255.8,-888.8,-9.69,10122.8,8255.8,-1856.8,-18.31,73647.2,72012.4,71589.4,71320.8,71566.1,73647.2,71320.8,-3941.5,-5.22,77474.9,70608.3,-5908.7,-7.63,85291.5,70608.3,-4942.6,-6.46,85291.5,70608.3,-12247.9,-14.61,,
XEJ,Energy,9269.2,9055.1,8883.9,8761.5,8694.4,8844.4,8603.0,-78.7,-0.90,9269.2,8682.8,-682.4,-7.28,10494.5,8606.0,-1965.9,-18.44,12090.7,8606.0,-2907.0,-25.06,12090.7,8606.0,-6407.2,-42.43,70680.2,69047.1,67748.3,66814.9,66572.9,70680.2,66572.9,-4869.8,-6.82,79698.3,64339.7,-13125.4,-16.47,90391.5,64339.7,-17731.4,-21.03,108762.7,64339.7,-43134.9,-39.32,,
XFJ,Financials,5969.2,5822.8,5847.5,5756.9,5746.1,5774.9,5696.4,-12.9,-0.22,5969.2,5744.0,-302.3,-5.00,6642.7,5737.6,-937.7,-14.03,7186.4,5737.6,-509.3,-8.14,7186.4,5737.6,-536.5,-8.54,64398.6,62868.6,63153.9,62190.4,62073.1,64398.6,62073.1,-3170.9,-4.86,71443.2,61840.9,-9370.2,-13.12,75638.7,61840.9,-3166.1,-4.85,75638.7,59639.1,-2360.4,-3.66,,
XXJ,Financial-x-A-REIT,6834.1,6654.7,6686.9,6579.3,6563.0,6604.2,6501.4,-21.8,-0.33,6834.1,6557.5,-373.9,-5.39,7687.3,6557.5,-1176.1,-15.20,8394.2,6557.5,-719.2,-9.88,8394.2,6557.5,-803.2,-10.90,70653.5,68861.7,69220.1,68125.6,67956.3,70653.5,67956.3,-3748.0,-5.23,79262.9,67762.0,-11306.6,-14.26,84666.9,67762.0,-4816.2,-6.62,84666.9,66776.9,-4429.8,-6.12,,
XHJ,Health Care,18498.7,18145.3,18288.5,18040.8,18140.0,18239.9,17881.4,139.6,0.77,18498.7,18040.8,-457.0,-2.46,19784.1,17804.8,-1737.6,-8.74,19933.9,17005.1,652.8,3.73,19933.9,17005.1,2727.7,17.70,119775.9,117487.5,118414.8,116843.7,117594.9,119775.9,116843.7,-2817.3,-2.34,128489.8,115207.8,-10895.0,-8.48,128804.9,108911.1,5596.2,5.00,128804.9,95128.7,19497.0,19.88,,
XNJ,Industrials,4570.8,4534.5,4552.0,4491.2,4520.6,4539.5,4467.4,31.5,0.70,4570.8,4491.2,-56.7,-1.24,4852.0,4442.7,-342.2,-7.04,4968.2,4233.2,198.8,4.60,4968.2,4233.2,263.3,6.18,40042.0,39724.3,39910.8,39377.7,39642.7,40042.0,39377.7,-456.5,-1.14,42445.7,38797.9,-2803.0,-6.60,43057.2,36323.0,2559.1,6.90,43057.2,32870.0,3573.9,9.91,,
XIJ,Info Technology,690.5,673.9,676.3,675.7,686.4,690.5,675.7,8.2,1.21,690.5,673.9,-8.5,-1.22,811.0,664.8,-125.1,-15.42,853.7,664.8,-96.3,-12.30,853.7,664.8,-112.3,-14.06,4751.8,4637.5,4654.3,4650.1,4723.7,4751.8,4637.5,-58.4,-1.22,5535.9,4575.2,-812.2,-14.67,5803.2,4575.2,-542.9,-10.31,5803.2,4575.2,-616.0,-11.54,,
XMJ,Materials,8151.8,8001.6,8005.1,7914.5,7987.7,8085.3,7940.4,77.6,0.98,8151.8,7914.5,-219.3,-2.67,8619.4,7592.5,-497.6,-5.86,9946.3,7592.5,-740.0,-8.48,9946.3,7592.5,-1790.1,-18.31,59265.5,58173.3,58227.5,57592.5,58125.2,59265.5,57592.5,-1485.9,-2.49,62408.5,55147.6,-3312.1,-5.39,70664.0,55147.6,-3767.1,-6.09,70664.0,55147.6,-10969.3,-15.88,,
XPJ,A-REIT,1241.5,1222.6,1223.8,1208.7,1210.3,1216.7,1188.8,4.2,0.35,1241.5,1208.7,-36.0,-2.89,1303.0,1200.2,-96.7,-7.40,1343.7,1197.3,24.1,2.03,1343.7,1197.3,68.2,5.97,37331.1,36762.3,36800.2,36346.7,36392.7,37331.1,36346.7,-1081.2,-2.89,38960.9,36089.0,-2568.3,-6.59,39203.9,34828.8,1887.2,5.47,39203.9,30884.2,3685.7,11.27,,
XTJ,Telecommunications,2054.2,2012.9,2008.3,1974.3,1995.5,2005.5,1967.0,23.0,1.16,2054.2,1974.3,-74.9,-3.62,2272.6,1974.3,-300.6,-13.09,2321.2,1974.3,-91.3,-4.38,2321.2,1974.3,26.7,1.36,26553.7,26019.9,25959.5,25521.0,25794.4,26553.7,25521.0,-968.1,-3.62,28970.5,25521.0,-3176.1,-10.96,28970.5,25521.0,40.2,0.16,28970.5,22729.7,1519.2,6.26,,
XUJ,Utilities,6699.8,6550.5,6453.7,6337.6,6431.6,6443.8,6297.9,91.6,1.45,6699.8,6337.6,-296.0,-4.40,6757.2,6337.6,-358.6,-5.28,6918.1,5936.5,517.4,8.75,6918.1,5936.5,447.5,7.48,75865.7,74175.0,73277.6,71959.7,73026.9,75865.7,71959.7,-3153.0,-4.14,76300.9,71959.7,-3274.0,-4.29,76606.1,65111.5,8160.6,12.58,76606.1,62222.8,8373.5,12.95,,
XMM,Metals & Mining,2377.9,2331.4,2330.6,2307.4,2333.3,2361.4,2319.5,24.9,1.08,2377.9,2307.4,-70.3,-2.93,2495.5,2197.3,-94.0,-3.87,3045.0,2197.3,-313.7,-11.85,3045.0,2197.3,-806.6,-25.69,3539.6,3470.3,3469.1,3435.7,3474.2,3539.6,3435.7,-98.9,-2.77,3693.8,3266.4,-118.7,-3.30,4412.5,3266.4,-360.2,-9.39,4597.5,3266.4,-1069.6,-23.54,,
XGD,Gold,2204.2,2202.5,2203.0,2177.0,2188.8,2195.9,2146.1,7.0,0.32,2204.2,2177.0,-6.4,-0.29,2329.8,2099.9,86.0,4.09,2736.3,2069.2,141.5,6.91,2736.3,2069.2,-2.4,-0.11,2575.2,2573.3,2573.8,2545.9,2559.8,2575.2,2545.9,-5.0,-0.19,2722.0,2453.3,103.0,4.19,3196.9,2412.7,172.6,7.23,3196.9,1941.8,7.3,0.29,,
XJR,S&P/ASX 200 Res,2937.7,2876.1,2859.8,2828.3,2845.1,2879.8,2825.8,15.0,0.53,2937.7,2828.3,-125.6,-4.23,3145.8,2715.3,-269.5,-8.65,3741.5,2715.3,-545.2,-16.08,3741.5,2715.3,-1290.3,-31.20,16490.6,16144.6,16054.0,15880.4,15993.5,16490.6,15880.4,-663.2,-3.98,17486.8,15138.7,-1319.5,-7.62,20500.6,15138.7,-2410.4,-13.10,22553.9,15138.7,-6438.4,-28.70,,
,
