Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-05-04T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 29,Apr 30,May 1,May 2,May 3,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 29,Apr 30,May 1,May 2,May 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1633.5,1636.8,1626.7,1614.6,1634.4,1643.9,1614.6,19.8,1.23,1636.8,1614.6,8.9,0.55,1637.4,1561.7,60.3,3.83,1637.4,1364.5,290.6,21.62,1637.4,1195.0,325.6,24.88,11930.4,11954.4,11880.4,11792.3,11936.5,11954.4,11792.3,64.9,0.55,11958.9,11381.3,464.5,4.05,11958.9,9792.3,2292.2,23.77,11958.9,8383.2,2755.1,30.01,,
XSJ,Consumer Staples,10626.1,10634.3,10565.1,10482.0,10442.8,10502.3,10405.1,-39.2,-0.37,10634.3,10442.8,-135.3,-1.28,10661.7,9886.4,418.7,4.18,10661.7,8912.8,1568.4,17.67,10661.7,7529.2,2612.4,33.36,82986.8,83050.4,82510.1,81861.6,81554.8,83050.4,81554.8,-1056.9,-1.28,83265.0,77210.2,3269.6,4.18,83265.0,68413.1,13436.4,19.73,83265.0,56304.5,22998.1,39.27,,
XEJ,Energy,13000.2,12945.6,12861.6,12696.7,12727.4,12822.8,12664.0,30.7,0.24,13000.2,12696.7,-279.5,-2.15,13064.0,11998.9,-237.5,-1.83,13702.8,11998.9,321.4,2.59,13702.8,11554.9,-1216.3,-8.72,90035.2,89656.9,89075.2,87933.3,88145.6,90035.2,87933.3,-1936.1,-2.15,90476.6,83100.5,-1645.3,-1.83,94901.2,83100.5,3319.0,3.91,94901.2,77918.0,-5880.2,-6.25,,
XFJ,Financials,5707.6,5851.4,5838.8,5824.4,5802.1,5908.7,5802.1,-22.3,-0.38,5851.4,5707.6,152.6,2.70,5851.4,5338.6,375.7,6.92,5851.4,4767.7,1048.4,22.05,5851.4,3913.1,1498.6,34.82,54142.5,55506.1,55386.9,55258.4,55054.8,55506.1,54142.5,1463.9,2.73,55506.1,50642.4,3579.6,6.95,55506.1,44797.5,10396.3,23.28,55506.1,35513.2,16634.1,43.29,,
XXJ,Financial-x-A-REIT,6633.2,6823.1,6809.3,6781.7,6752.3,6894.3,6749.7,-29.4,-0.43,6823.1,6633.2,193.6,2.95,6823.1,6190.5,445.2,7.06,6823.1,5485.5,1300.4,23.85,6823.1,4433.9,1810.8,36.65,60359.3,62087.9,61962.4,61721.9,61454.3,62087.9,60359.3,1773.1,2.97,62087.9,56331.5,4061.8,7.08,62087.9,49449.4,12307.8,25.04,62087.9,38694.8,19163.6,45.31,,
XHJ,Health Care,12959.3,12947.8,12921.6,12770.1,12949.7,12988.1,12770.1,179.6,1.41,12959.3,12770.1,143.9,1.12,12959.3,12223.3,437.6,3.50,12959.3,11476.5,1317.1,11.32,12959.3,8868.8,3901.4,43.12,80227.0,80155.3,79993.6,79055.5,80167.1,80227.0,79055.5,890.7,1.12,80227.0,75670.5,2708.7,3.50,80227.0,70340.0,8870.1,12.44,80227.0,53595.3,25486.9,46.61,,
XNJ,Industrials,3855.2,3870.1,3841.2,3788.1,3776.2,3815.1,3767.9,-11.9,-0.31,3870.1,3776.2,-68.1,-1.77,3870.1,3664.3,-47.9,-1.25,3970.5,3605.6,224.5,6.32,3970.5,3159.7,86.4,2.34,31023.9,31143.8,30911.1,30483.9,30388.1,31143.8,30388.1,-547.8,-1.77,31143.8,29487.9,-379.3,-1.23,31601.8,28667.2,2149.9,7.61,31601.8,24610.7,1879.4,6.59,,
XIJ,Info Technology,675.9,679.0,677.0,664.9,672.5,675.2,664.6,7.6,1.14,679.0,664.9,-3.1,-0.46,679.0,656.6,1.6,0.25,714.8,611.4,75.9,12.71,714.8,483.9,132.0,24.43,4364.8,4384.7,4371.5,4293.5,4342.9,4384.7,4293.5,-19.6,-0.45,4384.7,4239.8,10.9,0.25,4600.7,3884.8,552.2,14.57,4600.7,3019.4,970.5,28.78,,
XMJ,Materials,9202.1,9233.2,9100.9,8955.7,8997.9,9049.0,8955.7,42.2,0.47,9233.2,8955.7,-228.5,-2.48,9710.3,8679.5,-382.3,-4.08,11228.0,8679.5,-1603.0,-15.12,11228.0,8679.5,-1927.4,-17.64,62021.8,62231.2,61339.9,60360.9,60645.7,62231.2,60360.9,-1540.2,-2.48,65446.9,58499.9,-2574.9,-4.07,74792.0,58499.9,-9968.8,-14.12,74792.0,58499.9,-10890.7,-15.22,,
XPJ,A-REIT,1090.2,1097.0,1093.8,1100.9,1099.8,1110.0,1099.8,-1.1,-0.10,1100.9,1090.2,14.4,1.33,1101.9,1032.2,64.0,6.18,1101.9,960.8,126.0,12.94,1101.9,845.3,222.9,25.43,28698.3,28875.8,28793.4,28979.6,28978.0,28979.6,28698.3,407.1,1.42,29005.8,27171.6,1711.3,6.28,29005.8,25044.0,3620.2,14.28,29005.8,21053.7,7161.7,32.83,,
XTJ,Telecommunications,1699.4,1716.7,1733.2,1743.0,1754.3,1754.3,1724.7,11.3,0.65,1754.3,1699.4,59.3,3.50,1754.3,1546.0,191.5,12.25,1754.3,1515.3,258.3,17.26,1754.3,1208.0,515.2,41.58,19344.2,19541.4,19729.3,19841.2,19969.2,19969.2,19344.2,674.5,3.50,19969.2,17595.6,2182.6,12.27,19969.2,16745.5,3436.8,20.79,19969.2,12866.4,6771.2,51.30,,
XUJ,Utilities,5746.1,5760.9,5716.2,5633.9,5578.1,5634.3,5556.5,-55.8,-0.99,5760.9,5578.1,-198.7,-3.44,5815.8,5517.5,30.6,0.55,5815.8,5233.6,320.2,6.09,5815.8,4670.7,866.6,18.39,57175.6,57323.1,56878.1,56059.4,55504.3,57323.1,55504.3,-1976.7,-3.44,57869.0,54900.7,304.3,0.55,57869.0,51459.2,3806.6,7.36,57869.0,43986.4,11133.5,25.09,,
XMM,Metals & Mining,3025.7,3034.5,2987.6,2937.8,2954.3,2969.7,2936.3,16.5,0.56,3034.5,2937.8,-85.2,-2.80,3235.0,2856.6,-156.8,-5.04,3841.7,2856.6,-689.1,-18.91,3841.7,2856.6,-888.5,-23.12,4184.8,4196.9,4132.0,4063.2,4086.0,4196.9,4063.2,-117.8,-2.80,4474.2,3950.9,-216.8,-5.04,5249.3,3950.9,-892.3,-17.92,5249.3,3950.9,-1090.4,-21.06,,
XGD,Gold,3360.3,3330.0,3279.0,3205.8,3185.0,3238.4,3164.5,-20.8,-0.65,3360.3,3185.0,-236.6,-6.91,4060.2,3130.1,-821.2,-20.50,5191.8,3130.1,-1713.7,-34.98,6250.3,3130.1,-2327.6,-42.22,3888.3,3853.3,3794.2,3709.5,3685.4,3888.3,3685.4,-273.8,-6.92,4698.2,3621.9,-950.3,-20.50,5987.1,3621.9,-1963.7,-34.76,7201.8,3621.9,-2630.4,-41.65,,
XJR,S&P/ASX 200 Res,3835.6,3838.6,3790.0,3731.9,3750.0,3771.1,3729.2,18.1,0.49,3838.6,3731.9,-99.1,-2.57,4003.3,3596.0,-147.5,-3.78,4567.3,3596.0,-560.6,-13.01,4567.3,3596.0,-839.9,-18.30,19859.2,19874.8,19622.7,19322.3,19415.6,19874.8,19322.3,-513.0,-2.57,20727.5,18618.4,-763.6,-3.78,23355.8,18618.4,-2627.5,-11.92,23355.8,18618.4,-3722.9,-16.09,,
,
