Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-01-08T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 31,Jan 4,Jan 5,Jan 6,Jan 7,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 31,Jan 4,Jan 5,Jan 6,Jan 7,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1500.8,1500.3,1495.6,1500.8,1498.6,1505.2,1496.9,-2.2,-0.15,1500.8,1495.6,-9.6,-0.64,1516.8,1486.5,-26.9,-1.76,1500.8,1495.6,-2.2,-0.14,1670.5,1424.3,-123.5,-7.62,9782.3,9779.3,9748.3,9782.6,9767.9,9782.6,9748.3,-63.0,-0.64,9943.2,9689.4,-175.3,-1.76,9782.6,9748.3,-14.5,-0.15,10680.0,9106.3,-418.5,-4.11,,
XSJ,Consumer Staples,7714.5,7651.3,7581.5,7569.1,7580.7,7617.9,7526.9,11.6,0.15,7714.5,7569.1,-200.3,-2.57,7781.0,7569.1,-145.1,-1.88,7651.3,7569.1,-133.8,-1.74,8415.1,7095.7,-230.9,-2.96,53797.9,53356.9,52870.2,52783.5,52864.6,53797.9,52783.5,-1396.5,-2.57,54261.1,52783.5,-962.7,-1.79,53356.9,52783.5,-933.3,-1.73,58402.4,47464.4,611.3,1.17,,
XEJ,Energy,16114.4,16194.3,16018.7,16091.9,16105.4,16142.4,16024.0,13.5,0.08,16194.3,16018.7,-120.5,-0.74,16305.4,15892.6,121.4,0.76,16194.3,16018.7,-9.0,-0.06,16753.3,13714.7,-549.0,-3.30,105093.2,105614.2,104469.1,104946.5,105034.6,105614.2,104469.1,-785.5,-0.74,106338.9,103646.4,792.2,0.76,105614.2,104469.1,-58.6,-0.06,106793.3,88395.3,-1127.7,-1.06,,
XFJ,Financials,4361.8,4340.7,4332.5,4339.7,4330.6,4339.7,4316.4,-9.1,-0.21,4361.8,4330.6,-82.4,-1.87,4440.1,4316.2,-12.2,-0.28,4340.7,4330.6,-31.2,-0.71,5040.0,4077.7,-462.7,-9.65,36063.7,35889.8,35821.7,35880.8,35806.0,36063.7,35806.0,-680.9,-1.87,36625.8,35603.7,-16.8,-0.05,35889.8,35806.0,-257.7,-0.71,39826.8,32702.7,-1635.5,-4.37,,
XXJ,Financials-x-A-REIT,5063.8,5041.3,5022.3,5033.3,5021.3,5033.3,5008.9,-12.0,-0.24,5063.8,5021.3,-107.3,-2.09,5159.8,4989.7,-6.8,-0.14,5041.3,5021.3,-42.5,-0.84,5934.6,4674.3,-558.5,-10.01,40140.8,39962.2,39812.1,39898.7,39803.6,40140.8,39803.6,-850.6,-2.09,40900.8,39551.9,-53.2,-0.13,39962.2,39803.6,-337.2,-0.84,44955.1,35932.3,-2029.6,-4.85,,
XHJ,Health Care,8933.2,8985.6,8955.8,8944.3,8885.1,8959.4,8856.8,-59.2,-0.66,8985.6,8885.1,-122.3,-1.36,9007.4,8794.1,38.5,0.43,8985.6,8885.1,-48.1,-0.54,9195.2,7848.5,301.7,3.51,51821.2,52125.2,51952.3,51885.7,51542.1,52125.2,51542.1,-709.4,-1.36,52251.5,51014.3,223.2,0.43,52125.2,51542.1,-279.1,-0.54,52486.9,44799.6,3161.4,6.53,,
XNJ,Industrials,3736.5,3707.5,3689.8,3720.9,3741.7,3750.8,3715.4,20.8,0.56,3741.7,3689.8,-11.7,-0.31,3799.0,3689.8,-23.0,-0.61,3741.7,3689.8,5.2,0.14,4145.5,3140.1,-373.2,-9.07,27560.2,27346.6,27216.1,27445.6,27598.5,27598.5,27216.1,-86.2,-0.31,27857.4,27216.1,-7.0,-0.03,27598.5,27216.1,38.3,0.14,29527.1,22749.0,-1710.0,-5.83,,
XIJ,Info Technology,644.7,644.0,640.1,642.1,646.8,650.8,640.6,4.7,0.73,646.8,640.1,-3.8,-0.58,652.1,625.9,27.6,4.45,646.8,640.1,2.1,0.32,736.7,559.3,-30.6,-4.52,3790.9,3787.0,3763.7,3775.7,3803.2,3803.2,3763.7,-22.3,-0.58,3834.2,3641.1,162.1,4.45,3803.2,3763.7,12.3,0.32,4262.9,3236.2,-62.5,-1.62,,
XMJ,Materials,14080.6,14167.2,14026.0,14060.9,13882.4,14060.9,13841.7,-178.5,-1.27,14167.2,13882.4,-349.5,-2.46,14275.7,13882.4,-77.7,-0.56,14167.2,13882.4,-198.2,-1.41,14275.7,10889.1,778.6,5.94,89211.3,89760.0,88865.5,89086.3,87955.3,89760.0,87955.3,-2214.5,-2.46,90447.0,87955.3,-492.5,-0.56,89760.0,87955.3,-1256.0,-1.41,90447.0,68188.9,6607.9,8.12,,
XPJ,A-REIT,839.8,834.2,840.7,839.8,839.4,840.6,832.8,-0.4,-0.05,840.7,834.2,-5.7,-0.67,860.4,834.2,-9.4,-1.11,840.7,834.2,-0.4,-0.05,908.7,813.8,-70.3,-7.73,19353.9,19222.9,19374.3,19353.5,19342.9,19374.3,19222.9,-131.2,-0.67,19555.9,19159.3,61.8,0.32,19374.3,19222.9,-11.0,-0.06,20582.4,17970.7,-363.7,-1.85,,
XTJ,Telecommunications,959.6,962.4,960.3,958.5,953.8,960.8,953.8,-4.7,-0.49,962.4,953.8,-3.9,-0.41,962.4,940.4,-7.4,-0.77,962.4,953.8,-5.8,-0.60,1173.8,892.3,-207.5,-17.87,8974.5,9001.0,8980.9,8964.2,8919.9,9001.0,8919.9,-37.3,-0.42,9001.0,8788.7,-63.2,-0.70,9001.0,8919.9,-54.6,-0.61,10046.4,8339.6,-966.3,-9.77,,
XUJ,Utilities,4413.4,4400.4,4388.7,4402.1,4431.1,4439.5,4395.3,29.0,0.66,4431.1,4388.7,-12.3,-0.28,4490.6,4355.2,-13.4,-0.30,4431.1,4388.7,17.7,0.40,4614.3,3998.4,59.3,1.36,38457.2,38343.8,38242.6,38359.3,38611.7,38611.7,38242.6,-107.2,-0.28,38718.8,37492.2,350.7,0.92,38611.7,38242.6,154.5,0.40,39587.2,33266.4,2925.4,8.20,,
XMM,Metals & Mining,5145.7,5180.3,5121.1,5128.6,5054.5,5128.6,5041.3,-74.1,-1.44,5180.3,5054.5,-142.7,-2.75,5211.2,5054.5,-32.7,-0.64,5180.3,5054.5,-91.2,-1.77,5211.2,3866.0,382.0,8.18,6724.1,6769.3,6692.0,6701.8,6604.9,6769.3,6604.9,-186.5,-2.75,6809.8,6604.9,-42.8,-0.64,6769.3,6604.9,-119.2,-1.77,6809.8,5001.6,611.8,10.21,,
XGD,Gold,8099.1,8136.9,7941.3,7860.3,7727.0,7860.3,7691.9,-133.3,-1.70,8136.9,7727.0,-448.0,-5.48,8175.0,7727.0,-391.7,-4.82,8136.9,7727.0,-372.1,-4.59,8421.8,5090.0,1682.2,27.83,9192.9,9235.8,9013.7,8921.8,8770.5,9235.8,8770.5,-508.5,-5.48,9279.0,8770.5,-444.6,-4.82,9235.8,8770.5,-422.3,-4.59,9559.1,5742.7,1953.7,28.66,,
XJR,Resources,5908.8,5943.0,5877.1,5893.3,5829.5,5893.3,5810.6,-63.8,-1.08,5943.0,5829.5,-137.9,-2.31,5985.5,5829.5,-33.8,-0.58,5943.0,5829.5,-79.3,-1.34,5985.5,4611.8,243.9,4.37,28860.1,29027.0,28705.4,28784.2,28472.8,29027.0,28472.8,-673.7,-2.31,29234.7,28472.8,-165.1,-0.58,29027.0,28472.8,-387.3,-1.34,29234.7,22285.5,1732.0,6.48,,
,
