Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-04-02T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 28,Mar 29,Mar 30,Mar 31,Apr 1,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 28,Mar 29,Mar 30,Mar 31,Apr 1,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Cons Discretionary,1472.0,1488.1,1494.3,1499.8,1498.0,1502.2,1496.0,-1.8,-0.12,1499.8,1472.0,23.7,1.61,1530.8,1429.2,-24.5,-1.61,1557.8,1429.2,-2.8,-0.18,1670.5,1424.3,-152.4,-9.24,9777.8,9884.7,9926.0,9962.3,9950.3,9962.3,9777.8,176.8,1.81,10099.3,9458.7,-44.4,-0.44,10210.5,9458.7,168.0,1.72,10680.0,9106.3,-592.8,-5.62,,
XSJ,Consumer Staples,7597.2,7661.5,7786.3,7730.4,7838.1,7871.7,7725.8,107.7,1.39,7838.1,7597.2,229.7,3.02,7953.8,7490.6,-51.6,-0.65,8013.9,7490.6,123.6,1.60,8415.1,7167.6,79.4,1.02,54067.8,54525.5,55413.8,55015.9,55782.3,55782.3,54067.8,1635.2,3.02,56175.1,52985.2,100.7,0.18,56175.1,52783.5,1984.5,3.69,58402.4,48819.1,2937.1,5.56,,
XEJ,Energy,16916.1,16956.5,17095.8,16973.9,17179.3,17231.1,16969.7,205.4,1.21,17179.3,16916.1,279.6,1.65,17179.3,15342.3,886.4,5.44,17179.3,15342.3,1064.9,6.61,17179.3,13714.7,1142.9,7.13,111406.5,111672.9,112590.3,111787.3,113140.1,113140.1,111406.5,1841.2,1.65,113140.1,101042.2,5936.1,5.54,113140.1,101042.2,8046.9,7.66,113140.1,88395.3,9780.8,9.46,,
XFJ,Financials,4456.2,4475.0,4519.5,4518.7,4535.1,4556.0,4517.8,16.4,0.36,4535.1,4456.2,81.0,1.82,4535.1,4276.2,18.8,0.42,4666.6,4276.2,173.3,3.97,5040.0,4077.7,-346.6,-7.10,37256.8,37414.5,37786.1,37779.5,37917.0,37917.0,37256.8,677.9,1.82,37917.0,35744.3,268.0,0.71,38822.8,35744.3,1853.4,5.14,39826.8,32702.7,-658.7,-1.71,,
XXJ,Financial-X-A-Reit,5164.7,5193.7,5251.8,5256.3,5277.9,5303.7,5253.2,21.6,0.41,5277.9,5164.7,118.3,2.29,5277.9,4949.5,35.1,0.67,5430.9,4949.5,214.1,4.23,5934.6,4674.3,-474.6,-8.25,41387.9,41620.6,42085.8,42121.9,42295.2,42295.2,41387.9,948.2,2.29,42295.2,39663.7,408.2,0.97,43285.0,39663.7,2154.4,5.37,44955.1,35932.3,-1280.4,-2.94,,
XHJ,Health Care,8523.8,8595.9,8755.8,8885.8,8925.0,8975.2,8882.8,39.2,0.44,8925.0,8523.8,413.9,4.86,8925.0,8302.2,279.3,3.23,9175.5,8302.2,-8.2,-0.09,9195.2,7848.5,-58.5,-0.65,50003.3,50426.4,51364.5,52126.9,52356.6,52356.6,50003.3,2427.7,4.86,52356.6,48685.0,2095.6,4.17,53226.7,48685.0,535.3,1.03,53226.7,44799.6,1077.7,2.10,,
XNJ,Industrials,3683.3,3702.3,3769.0,3764.9,3780.6,3786.0,3754.9,15.7,0.42,3780.6,3683.3,71.0,1.91,3839.9,3551.1,-8.7,-0.23,3870.5,3551.1,44.1,1.18,4008.5,3140.1,-178.4,-4.51,27438.6,27580.1,28076.8,28046.9,28163.7,28163.7,27438.6,535.8,1.94,28393.4,26434.6,156.1,0.56,28566.6,26434.6,603.4,2.19,28820.6,22749.0,-301.6,-1.06,,
XIJ,Info Technology,584.2,582.9,586.9,587.8,589.5,591.4,586.5,1.7,0.29,589.5,582.9,3.6,0.61,605.0,567.1,-14.3,-2.37,666.6,567.1,-55.2,-8.56,736.7,559.3,-137.1,-18.87,3489.0,3481.0,3505.1,3520.5,3530.8,3530.8,3481.0,31.6,0.90,3599.4,3387.0,-61.6,-1.71,3919.5,3387.0,-260.1,-6.86,4262.9,3236.2,-673.4,-16.02,,
XMJ,Materials,13703.6,13748.8,14030.7,14213.9,14272.5,14317.7,14196.0,58.6,0.41,14272.5,13703.6,474.1,3.44,14419.2,12973.6,92.8,0.65,14488.1,12973.6,191.9,1.36,14488.1,10889.1,1205.3,9.22,87550.6,87839.6,89640.6,90811.5,91185.6,91185.6,87550.6,3028.8,3.44,91639.6,82866.5,1158.0,1.29,91821.1,82866.5,1974.4,2.21,91821.1,68188.9,9367.5,11.45,,
XPJ,A-Reit,865.5,862.9,865.8,860.9,861.9,866.0,860.9,1.0,0.12,865.8,860.9,-5.5,-0.64,885.2,830.5,-8.1,-0.93,887.0,830.5,22.1,2.63,908.7,813.8,-0.7,-0.09,20196.5,20135.6,20203.4,20089.0,20111.5,20203.4,20089.0,-129.7,-0.64,20626.8,19351.5,-137.6,-0.68,20646.7,19222.9,757.6,3.91,20646.7,17970.7,1080.3,5.68,,
XTJ,Telecommunications,936.6,943.6,956.5,963.4,961.2,964.0,957.4,-2.2,-0.23,963.4,936.6,37.6,4.07,963.4,891.0,9.5,1.00,1016.6,891.0,1.6,0.17,1128.3,891.0,-66.5,-6.47,9154.2,9222.7,9348.2,9416.2,9394.2,9416.2,9154.2,367.4,4.07,9416.2,8708.4,92.7,1.00,9507.2,8708.4,419.7,4.68,10046.4,8339.6,265.9,2.91,,
XUJ,Utilities,4150.5,4176.9,4229.6,4249.8,4252.7,4264.7,4243.1,2.9,0.07,4252.7,4150.5,91.4,2.20,4252.7,3990.1,12.8,0.30,4452.1,3990.1,-160.7,-3.64,4614.3,3990.1,-139.5,-3.18,36815.2,37048.7,37516.5,37695.9,37721.8,37721.8,36815.2,810.7,2.20,37721.8,35021.3,776.6,2.10,38794.6,35021.3,-735.4,-1.91,39587.2,33297.5,1313.5,3.61,,
XMM,Metals And Mining,4982.0,4994.9,5101.3,5173.7,5194.0,5207.5,5166.1,20.3,0.39,5194.0,4982.0,175.7,3.50,5241.2,4693.1,44.3,0.86,5272.9,4693.1,48.3,0.94,5272.9,3866.0,519.4,11.11,6563.5,6580.6,6720.7,6816.2,6842.9,6842.9,6563.5,231.5,3.50,6865.5,6181.4,104.6,1.55,6892.7,6181.4,118.8,1.77,6892.7,5001.6,795.5,13.16,,
XGD,Gold,7764.5,7683.2,7890.8,7884.0,7955.8,7971.7,7889.5,71.8,0.91,7955.8,7683.2,178.8,2.30,7977.3,7064.2,353.2,4.65,8136.9,7064.2,-143.3,-1.77,8421.8,5672.1,1950.0,32.47,8832.2,8739.8,8976.0,8968.2,9049.8,9049.8,8739.8,203.3,2.30,9059.7,8022.7,420.1,4.87,9235.8,8022.7,-143.0,-1.56,9559.1,6412.2,2260.4,33.29,,
XJR,S&P/Asx 200 Res,5826.7,5843.8,5952.6,6006.7,6040.7,6058.2,5999.4,34.0,0.57,6040.7,5826.7,184.2,3.14,6040.7,5450.1,109.1,1.84,6051.2,5450.1,131.9,2.23,6051.2,4611.8,499.8,9.02,28706.6,28791.1,29327.0,29593.4,29760.9,29760.9,28706.6,907.2,3.14,29760.9,26845.8,702.2,2.42,29760.9,26845.8,900.8,3.12,29760.9,22285.5,2986.2,11.15,,
,
