Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-01-05T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 28,Dec 31,Jan 2,Jan 3,Jan 4,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 28,Dec 31,Jan 2,Jan 3,Jan 4,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XXJ,Financial-x-A-REIT,5467.0,5451.9,5490.1,5528.2,5533.7,5537.2,5518.6,5.5,0.10,5533.7,5451.9,88.0,1.62,5533.7,5311.8,237.0,4.48,5533.7,5490.1,81.8,1.50,5533.7,4433.9,1009.5,22.31,49282.7,49146.4,49491.0,49833.8,49883.5,49883.5,49146.4,793.7,1.62,49883.5,47746.7,2136.8,4.48,49883.5,49491.0,737.1,1.50,49883.5,38178.9,11614.8,30.35,,
XHJ,Health Care,11711.7,11632.6,11632.0,11622.2,11513.3,11622.2,11494.9,-108.9,-0.94,11711.7,11513.3,-131.6,-1.13,11711.7,11402.6,38.0,0.33,11632.0,11513.3,-119.3,-1.03,11711.7,7756.1,3545.1,44.49,71781.9,71297.0,71293.2,71233.5,70565.7,71781.9,70565.7,-806.8,-1.13,71781.9,69887.6,233.0,0.33,71293.2,70565.7,-731.3,-1.03,71781.9,46279.9,23019.9,48.42,,
XNJ,Industrials,3575.9,3551.7,3607.3,3660.0,3650.8,3660.0,3633.9,-9.2,-0.25,3660.0,3551.7,95.5,2.69,3660.0,3354.9,296.6,8.84,3660.0,3607.3,99.1,2.79,3815.2,3159.7,261.9,7.73,28430.5,28238.2,28680.7,29099.3,29025.9,29099.3,28238.2,759.2,2.69,29099.3,26522.4,2503.5,9.44,29099.3,28680.7,787.7,2.79,29446.6,24610.7,3135.2,12.11,,
XIJ,Info Technology,602.5,596.6,611.4,628.7,628.8,634.0,624.8,0.1,0.02,628.8,596.6,29.3,4.88,628.8,580.7,37.9,6.41,628.8,611.4,32.2,5.40,628.8,482.8,132.0,26.56,3828.1,3790.7,3884.8,3994.2,3995.2,3995.2,3790.7,186.0,4.88,3995.2,3689.3,240.8,6.41,3995.2,3884.8,204.5,5.40,3995.2,2950.6,958.7,31.57,,
XMJ,Materials,10677.6,10600.9,10844.0,11006.3,10877.5,11006.3,10832.7,-128.8,-1.17,11006.3,10600.9,310.3,2.94,11006.3,10029.0,867.8,8.67,11006.3,10844.0,276.6,2.61,11833.2,8986.0,144.5,1.35,71125.6,70614.6,72234.0,73315.0,72457.1,73315.0,70614.6,2066.8,2.94,73315.0,66670.7,5786.4,8.68,73315.0,72234.0,1842.5,2.61,76582.8,58941.4,2994.8,4.31,,
XPJ,A-REIT,976.2,973.8,986.7,977.0,971.4,979.6,971.3,-5.6,-0.57,986.7,971.4,-3.3,-0.34,988.5,957.6,9.0,0.94,986.7,971.4,-2.4,-0.25,988.5,798.0,163.3,20.20,25420.1,25357.8,25694.1,25439.1,25294.2,25694.1,25294.2,-86.6,-0.34,25694.1,24554.6,616.5,2.50,25694.1,25294.2,-63.6,-0.25,25694.1,19749.2,5475.6,27.63,,
XTJ,Telecommunications,1503.0,1496.0,1520.0,1532.3,1531.3,1538.1,1522.5,-1.0,-0.07,1532.3,1496.0,25.8,1.71,1532.3,1455.2,55.5,3.76,1532.3,1520.0,35.2,2.36,1532.3,1101.4,396.3,34.92,16609.8,16532.4,16796.8,16933.2,16921.8,16933.2,16532.4,285.1,1.71,16933.2,16079.1,615.8,3.78,16933.2,16796.8,389.4,2.36,16933.2,11476.1,5308.3,45.71,,
XUJ,Utilities,5322.0,5257.9,5277.0,5234.8,5253.5,5253.5,5217.9,18.7,0.36,5322.0,5234.8,-34.9,-0.66,5322.0,5044.2,238.8,4.76,5277.0,5234.8,-4.4,-0.08,5322.0,4527.2,669.5,14.61,52328.3,51697.7,51885.4,51471.1,51654.9,52328.3,51471.1,-343.2,-0.66,52328.3,48752.7,2902.2,5.95,51885.4,51471.1,-42.8,-0.08,52328.3,42294.1,9104.2,21.40,,
XMM,Metals & Mining,3670.7,3643.4,3735.0,3796.3,3745.3,3796.3,3731.2,-51.0,-1.34,3796.3,3643.4,116.1,3.20,3796.3,3431.4,319.8,9.34,3796.3,3735.0,101.9,2.80,4252.2,3071.9,-82.9,-2.17,5015.6,4978.3,5103.4,5187.3,5117.5,5187.3,4978.3,158.6,3.20,5187.3,4680.5,437.0,9.34,5187.3,5103.4,139.2,2.80,5661.9,4138.3,20.2,0.40,,
XGD,Gold,4950.2,4898.7,5053.8,5191.8,5011.0,5191.8,5002.5,-180.8,-3.48,5191.8,4898.7,78.9,1.60,5244.9,4887.8,-287.5,-5.43,5191.8,5011.0,112.4,2.29,7178.9,4550.0,-1291.3,-20.49,5708.6,5649.1,5828.1,5987.1,5778.7,5987.1,5649.1,91.0,1.60,6110.2,5636.6,-331.5,-5.43,5987.1,5778.7,129.6,2.29,8202.2,5214.8,-1421.6,-19.74,,
XJR,S&P/ASX 200 Res,4343.2,4310.6,4404.9,4470.6,4420.0,4470.6,4402.0,-50.6,-1.13,4470.6,4310.6,119.6,2.78,4470.6,4098.6,321.6,7.85,4470.6,4404.9,109.3,2.54,4925.8,3728.7,-51.7,-1.16,22209.9,22043.1,22525.5,22861.3,22602.2,22861.3,22043.1,611.5,2.78,22861.3,20957.7,1644.5,7.85,22861.3,22525.5,559.1,2.54,24542.0,18796.9,323.1,1.45,,
,
