Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-04-05T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 31,Apr 1,Apr 2,Apr 3,Apr 4,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 28,Mar 31,Apr 1,Apr 2,Apr 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSO,S&P/ASX Small Ords,2189.6,2168.0,2167.6,2171.8,2175.1,2177.2,2165.9,3.3,0.15,2189.6,2167.6,-0.9,-0.04,2277.1,2164.2,-64.0,-2.86,2277.1,2092.8,-18.5,-0.84,2277.1,2092.8,-51.8,-2.32,5417.1,5451.4,5398.7,5397.9,5409.4,5451.4,5397.9,-7.7,-0.14,5645.9,5386.9,-131.3,-2.37,5645.9,5156.7,6.0,0.11,5645.9,4574.9,39.7,0.74,,
XDJ,Consumer Discretionary,1824.2,1810.8,1825.9,1827.9,1834.5,1835.9,1824.4,6.6,0.36,1834.5,1810.8,24.2,1.34,1913.4,1804.3,-31.0,-1.66,1913.4,1715.0,3.4,0.19,1913.4,1715.0,267.1,17.04,13616.1,13720.6,13625.2,13739.3,13753.8,13753.8,13625.2,137.7,1.01,14336.1,13568.9,-197.3,-1.41,14336.1,12735.0,156.5,1.15,14336.1,10960.6,2316.9,20.26,,
XSJ,Consumer Staples,9746.7,9717.7,9729.4,9800.4,9807.1,9811.6,9752.1,6.7,0.07,9807.1,9717.7,40.1,0.41,10197.6,9717.7,-231.2,-2.30,10197.6,9567.9,-208.9,-2.09,10197.6,9567.9,-79.3,-0.80,79656.7,79491.0,79254.7,79349.6,79928.8,79928.8,79254.7,272.1,0.34,82534.6,79254.7,-1316.2,-1.62,82534.6,76594.5,-253.0,-0.32,83265.0,71737.8,2718.7,3.52,,
XEJ,Energy,13636.1,13508.0,13529.0,13529.5,13583.9,13592.3,13524.8,54.4,0.40,13636.1,13508.0,69.4,0.51,14068.1,13391.9,-218.2,-1.58,14068.1,13017.6,-39.0,-0.29,14068.1,13017.6,952.8,7.54,96565.1,97434.5,96519.1,96669.2,96672.5,97434.5,96519.1,107.4,0.11,100520.7,95689.6,-1917.1,-1.94,100520.7,91514.2,902.5,0.94,101032.3,83100.5,9193.8,10.51,,
XFJ,Financials,6037.7,6028.8,6033.1,6032.4,6043.8,6043.8,6010.8,11.4,0.19,6043.8,6028.8,38.7,0.64,6043.8,5871.5,132.7,2.25,6043.8,5503.9,168.1,2.86,6043.8,5503.9,705.2,13.21,60031.1,60356.8,60267.7,60310.7,60303.8,60356.8,60267.7,272.8,0.45,60356.8,58692.7,1240.3,2.10,60356.8,54492.0,2133.8,3.67,60356.8,49323.3,9661.5,19.08,,
XXJ,Financial-x-A-REIT,7180.6,7168.6,7174.6,7172.4,7184.1,7184.1,7139.7,11.7,0.16,7184.1,7168.6,42.3,0.59,7184.1,6952.8,204.6,2.93,7184.1,6467.5,202.5,2.90,7184.1,6467.5,993.6,16.05,68425.5,68797.2,68682.7,68739.9,68719.0,68797.2,68682.7,293.5,0.43,68797.2,66614.5,1880.2,2.81,68797.2,61376.9,2462.9,3.72,68797.2,54895.6,12387.4,21.99,,
XHJ,Health Care,14404.4,14391.5,14448.5,14517.8,14603.1,14618.5,14499.3,85.3,0.59,14603.1,14391.5,185.9,1.29,14937.8,14391.5,-130.1,-0.88,14937.8,13849.2,235.8,1.64,14937.8,13849.2,2301.0,18.70,91218.1,91148.2,91066.4,91427.6,91899.4,91899.4,91066.4,681.3,0.75,94445.0,91066.4,-836.9,-0.90,94445.0,86829.4,1852.5,2.06,94445.0,75670.5,15741.3,20.67,,
XNJ,Industrials,4053.6,4040.2,4054.8,4063.6,4076.5,4081.4,4054.2,12.9,0.32,4076.5,4040.2,33.0,0.82,4158.4,4019.8,21.4,0.53,4158.4,3771.2,107.6,2.71,4158.4,3771.2,288.4,7.61,33788.6,33873.7,33761.0,33883.0,33974.8,33974.8,33761.0,186.1,0.55,34654.3,33570.9,285.4,0.85,34654.3,31167.8,1173.2,3.58,34654.3,28042.2,3497.4,11.48,,
XIJ,Info Technology,780.5,790.1,785.8,782.4,786.1,787.6,782.4,3.7,0.47,790.1,780.5,8.1,1.04,813.5,774.0,12.1,1.56,813.5,702.5,44.6,6.02,813.5,702.5,115.8,17.28,5160.1,5176.3,5240.5,5211.5,5189.0,5240.5,5176.3,28.9,0.56,5395.4,5106.6,82.5,1.61,5395.4,4603.8,329.9,6.79,5395.4,4239.8,861.0,19.89,,
XMJ,Materials,10026.1,10102.8,10176.0,10174.9,10220.2,10220.2,10148.2,45.3,0.45,10220.2,10026.1,274.3,2.76,10439.5,9751.0,-104.0,-1.01,10774.9,9745.3,10.5,0.10,10774.9,9745.3,922.2,9.92,69199.2,69757.0,70290.7,70800.6,70792.7,70800.6,69757.0,1593.5,2.30,72622.6,67832.8,-845.7,-1.18,73944.4,66855.5,751.4,1.07,73944.4,55909.5,8126.2,12.97,,
XPJ,A-REIT,1005.3,1005.1,1005.0,1006.1,1009.6,1011.4,1005.8,3.5,0.35,1009.6,1005.0,9.7,0.97,1028.6,994.7,-20.6,-2.00,1038.3,980.1,24.7,2.51,1038.3,980.1,-22.6,-2.19,27865.4,28015.6,28008.4,28006.9,28038.0,28038.0,28006.9,172.7,0.62,28700.7,27720.1,-662.7,-2.31,28926.7,27037.3,877.0,3.23,29914.8,26036.8,866.4,3.19,,
XTJ,Telecommunications,1779.4,1767.3,1771.6,1783.3,1773.0,1786.7,1769.8,-10.3,-0.58,1783.3,1767.3,7.9,0.45,1783.3,1742.7,-10.9,-0.61,1836.3,1741.3,-48.6,-2.67,1836.3,1741.3,213.7,13.70,21216.2,21388.5,21243.1,21294.9,21435.7,21435.7,21243.1,219.5,1.03,21435.7,20947.3,9.8,0.05,21489.9,20377.3,118.8,0.56,21489.9,17595.6,3689.1,20.79,,
XUJ,Utilities,5552.0,5531.4,5511.1,5507.1,5533.7,5550.8,5496.3,26.6,0.48,5552.0,5507.1,0.7,0.01,5626.2,5507.1,-41.6,-0.75,5799.6,5357.0,154.2,2.87,5799.6,5357.0,16.2,0.29,58153.7,58353.1,58136.8,57923.0,57881.4,58353.1,57881.4,-272.3,-0.47,59051.9,57881.4,-636.2,-1.09,60239.3,55642.3,2005.6,3.59,60239.3,52194.2,2980.7,5.43,,
XMM,Metals & Mining,3237.6,3267.5,3299.6,3302.8,3320.4,3320.4,3293.7,17.6,0.53,3320.4,3237.6,108.4,3.38,3383.7,3142.1,-30.4,-0.91,3522.5,3142.1,-18.9,-0.57,3522.5,3142.1,237.0,7.69,4579.9,4616.5,4659.1,4704.8,4709.5,4709.5,4616.5,129.6,2.83,4824.7,4480.2,-53.6,-1.13,4948.8,4448.3,18.9,0.40,4948.8,3709.5,445.0,10.44,,
XGD,Gold,2225.1,2148.4,2188.8,2201.1,2210.9,2215.3,2194.8,9.8,0.45,2225.1,2148.4,27.0,1.23,2679.6,2148.4,-353.2,-13.77,2679.6,2003.5,312.5,16.46,2679.6,2003.5,-1637.7,-42.55,2542.8,2590.7,2501.4,2548.5,2562.7,2590.7,2501.4,20.0,0.78,3119.4,2501.4,-421.4,-14.12,3119.4,2330.8,354.3,16.04,4698.2,2001.8,-1890.6,-42.45,,
XJR,S&P/ASX 200 Res,4089.9,4108.3,4138.8,4140.6,4161.6,4161.6,4136.4,21.0,0.51,4161.6,4089.9,104.7,2.58,4254.7,3977.7,-40.9,-0.97,4345.1,3970.3,-24.7,-0.59,4345.1,3970.3,316.4,8.23,21665.5,21841.6,21939.9,22102.8,22112.6,22112.6,21841.6,447.1,2.06,22721.5,21242.1,-278.2,-1.24,22908.0,20876.7,100.2,0.46,22908.0,17957.3,2204.0,11.07,,
,
