Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4554.4 at 16:36 2/8/2010  Report at 19:05 Monday 2/8/2010. Processed 19:22 Monday 2/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.90,,,,,,,,,,,,
Aug,10,53.01,0.59,0.61,8,88,17.70,0.61,5.33,,,
Aug,10,54.00,0.53,0.56,114,468,17.30,0.44,14.49,,,
Aug,10,54.01,0.29,0.31,14,73,17.30,0.44,8.06,,,
Aug,10,55.00,0.22,0.23,88,404,16.60,0.28,5.88,,,
Aug,10,56.00,0.08,0.09,47,158,16.70,0.16,2.19,,,
Aug,10,57.00,0.04,0.04,49,131,17.70,0.09,0.96,,,
Sep,10,48.00,5.51,2.62,34,131,22.00,0.92,1.35,,,
Sep,10,49.00,4.54,3.91,2,213,21.30,0.89,1.74,,,
Sep,10,52.00,1.96,2.04,32,531,19.30,0.70,7.03,,,
Sep,10,52.01,1.70,1.34,3,122,19.30,0.70,3.87,,,
Sep,10,53.00,1.34,1.35,24,393,18.90,0.60,11.99,,,
Sep,10,54.00,0.83,0.85,62,467,18.00,0.50,10.70,,,
Sep,10,54.01,0.73,0.75,21,88,17.60,0.50,9.48,,,
Sep,10,55.00,0.48,0.48,16,286,17.50,0.39,6.25,,,
Sep,10,56.00,0.26,0.27,40,403,16.80,0.28,3.35,,,
Oct,10,51.01,3.04,3.04,1,10,21.50,0.73,4.93,,,
Oct,10,52.00,2.46,2.36,2,102,20.80,0.67,8.12,,,
Oct,10,53.00,1.88,1.95,18,108,20.10,0.61,11.42,,,
Oct,10,54.00,1.40,1.45,53,660,19.50,0.53,10.87,,,
Oct,10,55.00,1.03,1.05,39,179,19.20,0.45,8.00,,,
Oct,10,56.00,0.71,0.70,8,13,18.70,0.37,5.55,,,
Oct,10,57.00,0.47,0.52,9,11,18.10,0.30,3.69,,,
Oct,10,60.00,0.13,0.14,10,82,17.60,0.13,1.01,,,
Nov,10,53.00,2.38,1.80,2,11,21.10,0.61,11.58,,,
Dec,10,48.00,6.17,6.15,15,229,24.90,0.82,3.63,,,
Dec,10,50.00,4.68,4.16,8,246,23.40,0.75,6.05,,,
Dec,10,52.01,3.46,2.56,1,1,22.80,0.66,9.75,,,
Dec,10,55.00,1.92,1.90,3,205,21.00,0.51,9.11,,,
Dec,10,56.00,1.56,1.58,5,162,20.80,0.45,7.43,,,
