Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4533.0 at 16:35 10/2/2010  Report at 19:05 Wednesday 10/2/2010. Processed 19:11 Wednesday 10/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.00,,,,,,,,,,,,
Jul,10,42.50,2.17,2.18,1,-,29.70,0.47,11.68,,,
Dec,10,30.00,11.22,9.65,3,28,39.30,0.86,3.87,,,
Dec,10,35.00,7.55,7.59,8,63,35.50,0.76,7.72,,,
Dec,10,40.00,4.71,5.45,2,320,33.20,0.62,13.61,,,
Dec,10,45.00,2.54,2.56,1,859,30.20,0.46,7.32,,,
Dec,10,47.00,1.94,2.30,1,69,29.40,0.39,5.59,,,
Dec,10,50.00,1.31,1.39,4,213,29.10,0.30,3.78,,,
Dec,10,54.00,0.73,0.74,3,69,28.40,0.20,2.12,,,
Dec,10,55.00,0.60,0.65,2,1345,27.90,0.18,1.75,,,
Dec,11,60.00,2.05,1.71,5,351,32.50,0.30,2.76,,,
Boral Ltd Last Sale Price $5.72,,,,,,,,,,,,
Feb,10,0.01,5.64,5.60,40,95,-,-,-,,,
Feb,10,5.50,0.28,0.17,2,444,32.60,0.75,23.93,,,
Feb,10,5.75,0.14,0.15,74,1012,33.80,0.50,53.84,,,
Feb,10,6.00,0.05,0.06,408,940,33.40,0.26,19.94,,,
Feb,10,6.25,0.03,0.03,129,550,38.60,0.14,9.97,,,
Mar,10,6.00,0.14,0.14,10,317,34.50,0.39,20.30,,,
Apr,10,5.75,0.35,-,2,-,36.70,0.55,28.67,,,
Jun,10,6.25,0.29,0.30,129,30,35.50,0.42,13.71,,,
Sep,10,6.25,0.43,0.36,21,-,35.70,0.48,12.14,,,
Sep,10,6.50,0.35,0.29,5,6,35.30,0.42,9.88,,,
BlueScope Steel Last Sale Price $2.64,,,,,,,,,,,,
Feb,10,2.63,0.11,0.15,56,316,47.10,0.54,86.41,,,
Feb,10,2.81,0.05,0.05,257,2879,52.00,0.30,43.21,,,
Feb,10,3.00,0.01,0.01,19,3727,51.60,0.13,12.96,,,
Mar,10,2.44,0.29,0.28,30,109,56.20,0.71,28.28,,,
Mar,10,2.81,0.11,0.13,10,729,51.30,0.41,32.99,,,
Mar,10,3.00,0.06,0.07,176,1715,51.40,0.28,18.85,,,
Mar,10,3.19,0.03,0.04,50,771,51.20,0.17,9.43,,,
Apr,10,3.00,0.10,0.10,15,91,48.60,0.34,17.50,,,
May,10,3.25,0.07,0.08,40,60,45.90,0.26,9.69,,,
Dec,10,2.06,0.75,0.73,15,36,47.90,0.81,7.20,,,
Dec,10,2.25,0.65,0.64,107,-,49.30,0.75,11.12,,,
Brambles Ltd Last Sale Price $6.68,,,,,,,,,,,,
Feb,10,6.75,0.17,0.17,22,841,37.40,0.47,59.76,,,
Feb,10,7.00,0.09,0.07,49,1446,36.90,0.29,29.03,,,
Mar,10,6.75,0.25,0.22,3,148,32.70,0.51,30.42,,,
Mar,10,7.00,0.16,0.15,35,683,33.10,0.38,19.25,,,
Apr,10,7.00,0.22,0.23,3,26,31.40,0.43,14.87,,,
Apr,10,7.25,0.16,0.16,33,46,32.50,0.35,10.72,,,
C'wlth Bank  of Aust  Last Sale Price $51.83,,,,,,,,,,,,
Feb,10,0.12,50.58,-,160,-,28.80,1.00,-,,,
Feb,10,43.00,8.86,-,20,25,32.30,1.00,1.10,,,
Feb,10,46.00,5.86,5.66,12,17,32.30,0.97,1.32,,,
Feb,10,47.00,4.91,5.70,10,30,40.30,0.90,3.52,,,
Feb,10,48.00,3.90,3.98,2,19,31.60,0.90,2.86,,,
Feb,10,49.00,2.88,2.70,2,117,23.00,0.90,2.20,,,
Feb,10,50.00,1.98,2.60,12,74,24.20,0.79,6.38,,,
Feb,10,50.01,1.56,-,6,3,27.90,0.76,-,,,
Feb,10,51.00,1.19,1.05,60,159,23.50,0.66,15.85,,,
Feb,10,52.00,0.67,0.59,59,228,24.70,0.50,29.49,,,
Feb,10,52.01,0.61,0.64,7,41,27.10,0.50,27.07,,,
Feb,10,53.00,0.35,0.32,551,399,25.40,0.36,15.63,,,
Feb,10,53.01,0.33,0.29,36,142,26.10,0.36,14.30,,,
Feb,10,54.00,0.19,0.17,375,689,26.50,0.24,8.36,,,
Feb,10,55.00,0.10,0.07,301,695,27.20,0.16,4.40,,,
Feb,10,56.00,0.04,0.03,48,509,26.20,0.08,1.54,,,
Feb,10,56.50,0.03,0.04,10,185,26.60,0.06,1.10,,,
Feb,10,57.00,0.02,0.01,40,363,27.10,0.05,0.88,,,
Feb,10,58.00,0.01,0.03,4,440,27.20,0.02,0.35,,,
Mar,10,40.00,11.88,15.45,3,180,56.80,0.93,0.80,,,
Mar,10,41.00,10.91,11.41,4,125,56.30,0.91,1.36,,,
Mar,10,42.00,9.97,15.08,3,121,55.90,0.89,2.24,,,
Mar,10,50.00,2.38,2.65,15,169,26.10,0.70,8.80,,,
Mar,10,51.00,1.80,1.88,9,126,26.00,0.62,15.52,,,
Mar,10,51.01,1.78,2.04,5,-,26.20,0.62,15.44,,,
Mar,10,52.00,1.34,1.85,3,184,25.70,0.53,21.37,,,
Mar,10,52.01,1.34,1.31,10,5,25.90,0.53,21.37,,,
Mar,10,53.00,0.95,0.90,19,722,25.30,0.45,15.28,,,
Mar,10,53.01,0.94,1.13,2,22,25.20,0.45,14.96,,,
