Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4437.0 at 16:39 16/7/2010  Report at 19:05 Friday 16/7/2010. Processed 22:44 Friday 16/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.75,,,,,,,,,,,,
Oct,10,47.00,0.10,0.10,16,70,23.10,0.07,0.87,,,
Nov,10,41.00,1.41,1.35,1,45,26.70,0.41,10.11,,,
Nov,10,48.00,0.15,0.14,4,-,23.90,0.08,1.08,,,
Dec,10,38.50,2.93,2.79,1,39,29.50,0.57,17.41,,,
Dec,10,40.00,2.19,2.13,5,701,28.20,0.49,13.01,,,
Dec,10,41.00,1.76,1.76,2,284,27.50,0.43,10.49,,,
Dec,10,45.00,0.68,0.67,4,987,25.70,0.23,4.01,,,
Dec,10,50.00,0.17,0.14,6,1562,25.10,0.08,1.04,,,
Mar,11,38.00,4.11,4.65,10,432,30.70,0.62,15.02,,,
Mar,11,40.00,3.03,2.96,3,155,28.90,0.54,11.50,,,
Mar,11,41.00,2.59,2.53,20,36,28.40,0.49,9.83,,,
Jun,11,46.00,1.90,1.68,6,14,29.30,0.37,5.29,,,
Dec,11,50.00,1.91,2.00,1,472,28.20,0.39,3.47,,,
Jun,12,29.00,12.11,11.98,10,5,35.20,0.82,3.96,,,
Dec,13,20.00,19.61,19.50,2,63,37.90,0.95,1.12,,,
Boral Ltd Last Sale Price $4.39,,,,,,,,,,,,
Aug,10,4.43,0.19,0.23,8,64,34.10,0.51,36.62,,,
Aug,10,5.16,0.03,0.04,8,53,37.00,0.12,4.95,,,
Oct,10,4.67,0.19,-,5,-,31.60,0.43,14.65,,,
BlueScope Steel Last Sale Price $2.23,,,,,,,,,,,,
Jul,10,2.00,0.25,0.25,5,114,46.70,0.90,17.54,,,
Jul,10,2.25,0.05,0.05,35,3354,32.80,0.47,58.46,,,
Aug,10,2.00,0.28,0.27,20,100,40.60,0.82,17.54,,,
