Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4500.0 at 16:36 18/5/2010  Report at 19:06 Tuesday 18/5/2010. Processed 19:29 Tuesday 18/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.78,,,,,,,,,,,,
Sep,10,39.00,2.11,2.04,51,138,31.10,0.48,15.99,,,
Sep,10,40.00,1.68,1.67,7,229,30.30,0.42,12.73,,,
Sep,10,41.50,1.19,1.15,38,448,29.50,0.34,9.00,,,
Sep,10,42.00,1.05,1.05,2,836,29.40,0.31,8.02,,,
Sep,10,43.00,0.83,1.10,5,472,29.20,0.27,6.31,,,
Oct,10,37.00,3.44,-,1,1,32.20,0.60,19.09,,,
Oct,10,38.50,2.67,2.54,3,-,31.30,0.53,15.99,,,
Oct,10,41.00,1.69,1.60,2,38,30.00,0.40,10.07,,,
Oct,10,41.50,1.51,1.52,1,1,29.70,0.38,9.02,,,
Dec,10,28.00,10.28,12.24,5,74,37.20,0.90,4.61,,,
Dec,10,36.00,4.49,4.99,22,391,31.70,0.66,14.48,,,
Dec,10,37.50,3.79,3.64,10,10,31.90,0.59,16.88,,,
Dec,10,38.00,3.49,3.41,352,1022,31.20,0.57,15.55,,,
Dec,10,39.00,3.05,3.01,1,410,31.00,0.53,13.59,,,
Dec,10,40.00,2.65,2.53,58,562,30.80,0.49,11.81,,,
Dec,10,40.50,2.46,2.32,8,8,30.70,0.47,10.96,,,
Dec,10,41.00,2.23,2.10,6,124,30.00,0.44,9.91,,,
Dec,10,42.50,1.74,2.19,4,49,29.50,0.38,7.73,,,
Dec,10,45.00,1.12,1.13,4,972,28.70,0.28,4.99,,,
Dec,10,49.00,0.49,0.49,3,3,27.60,0.16,2.18,,,
Mar,11,28.00,10.63,10.70,1,5,34.70,0.89,4.36,,,
Mar,11,37.00,4.57,-,22,-,30.60,0.63,13.63,,,
Mar,11,41.00,2.84,2.83,2,10,29.60,0.49,8.93,,,
Jun,11,37.00,5.37,5.21,1,3,32.50,0.69,12.50,,,
Jun,11,41.00,3.46,3.44,2,-,30.20,0.48,8.44,,,
Jun,12,28.00,12.22,-,5,-,33.80,0.89,3.78,,,
Dec,12,41.00,6.38,6.25,1,100,30.80,0.66,6.59,,,
Dec,12,48.00,4.20,4.18,5,5,29.80,0.55,4.34,,,
BlueScope Steel Last Sale Price $2.37,,,,,,,,,,,,
May,10,2.50,0.03,0.03,132,443,52.70,0.28,46.20,,,
May,10,2.75,0.01,0.02,62,4742,65.80,0.08,13.86,,,
Jun,10,2.00,0.44,0.40,5,41,68.00,0.82,26.34,,,
Jun,10,2.25,0.22,0.20,42,35,48.70,0.67,40.53,,,
Jun,10,2.50,0.09,0.09,85,551,45.80,0.40,36.48,,,
Jun,10,2.75,0.04,0.03,77,2042,46.60,0.19,14.18,,,
Jul,10,2.25,0.26,0.25,4,10,43.50,0.66,28.48,,,
Jul,10,2.50,0.14,0.15,43,237,45.10,0.46,30.59,,,
Aug,10,2.75,0.10,0.10,10,111,43.20,0.32,14.49,,,
Sep,10,2.81,0.10,0.11,7,95,41.50,0.31,11.94,,,
Brambles Ltd Last Sale Price $7.00,,,,,,,,,,,,
May,10,7.00,0.16,0.14,18,256,35.70,0.52,83.43,,,
Jun,10,7.05,0.28,0.28,12,237,32.90,0.52,39.11,,,
Jun,10,7.53,0.12,0.10,21,1332,32.50,0.28,15.78,,,
Jul,10,7.25,0.32,0.33,2,261,32.00,0.46,22.86,,,
Aug,10,7.25,0.38,0.39,5,45,30.80,0.48,19.62,,,
Dec,10,8.00,0.29,0.30,4,18,29.00,0.37,6.99,,,
C'wlth Bank  of Aust  Last Sale Price $52.64,,,,,,,,,,,,
May,10,45.00,7.70,7.85,4,2,40.70,0.99,3.81,,,
May,10,46.00,6.71,6.61,20,-,40.50,0.99,4.85,,,
May,10,49.00,3.88,6.44,19,43,39.80,0.89,16.99,,,
May,10,50.00,3.00,2.84,4,28,37.60,0.82,25.31,,,
May,10,51.00,2.19,2.04,10,83,35.50,0.73,38.14,,,
May,10,52.00,1.48,1.34,154,95,33.40,0.61,58.24,,,
May,10,53.00,0.90,0.88,32,69,31.30,0.47,62.06,,,
May,10,54.00,0.46,0.54,65,305,29.20,0.31,31.90,,,
May,10,55.00,0.21,0.24,214,407,28.30,0.18,14.56,,,
May,10,56.00,0.09,0.07,322,1060,27.70,0.09,5.89,,,
May,10,56.50,0.06,0.05,30,541,27.90,0.06,3.81,,,
May,10,57.00,0.04,0.05,21,918,28.40,0.04,2.77,,,
May,10,58.00,0.02,0.03,1,920,29.60,0.02,1.39,,,
May,10,59.00,0.01,0.01,5,586,32.90,0.02,1.04,,,
May,10,60.00,0.01,0.01,1,617,33.30,-,0.42,,,
Jun,10,47.00,6.17,8.50,1,68,31.70,0.89,9.58,,,
