Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4877.7 at 16:36 18/3/2010  Report at 19:05 Thursday 18/3/2010. Processed 19:18 Thursday 18/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.97,,,,,,,,,,,,
May,10,41.50,2.91,2.98,7,552,23.60,0.71,14.89,,,
May,10,42.50,2.25,2.20,8,231,22.80,0.62,18.88,,,
May,10,43.00,1.94,1.90,14,405,22.30,0.58,21.20,,,
May,10,43.50,1.68,1.66,98,394,22.10,0.53,19.95,,,
May,10,44.00,1.41,1.40,4,648,21.80,0.49,16.79,,,
May,10,44.50,1.17,1.12,12,88,21.20,0.44,13.94,,,
May,10,45.00,0.97,0.95,2,192,20.80,0.39,11.55,,,
May,10,46.00,0.65,0.70,8,144,20.40,0.29,7.74,,,
May,10,47.00,0.41,0.41,5,76,20.00,0.21,4.88,,,
May,10,47.50,0.32,0.35,28,47,19.80,0.18,3.81,,,
May,10,48.00,0.25,0.36,10,188,19.80,0.15,2.98,,,
Jun,10,42.00,3.06,2.85,405,292,24.50,0.66,16.23,,,
Jun,10,43.00,2.44,2.52,123,655,23.70,0.59,19.52,,,
Jun,10,43.50,2.19,2.16,11,425,23.60,0.55,18.66,,,
Jun,10,44.00,1.93,1.96,1,1030,23.40,0.51,16.49,,,
Jun,10,44.50,1.67,1.90,1,28,22.80,0.47,14.27,,,
Jun,10,45.00,1.46,1.55,25,783,22.60,0.43,12.43,,,
Jun,10,47.00,0.80,0.79,3,160,22.00,0.29,6.79,,,
Jul,10,42.00,3.58,4.10,2,61,25.20,0.65,15.24,,,
Jul,10,44.50,2.19,-,7,-,23.80,0.50,13.79,,,
Jul,10,49.00,0.71,0.70,12,-,22.30,0.24,4.48,,,
Aug,10,50.00,0.79,0.75,4,-,23.00,0.24,4.12,,,
Sep,10,42.00,4.20,3.20,400,807,26.30,0.65,13.51,,,
Sep,10,43.50,3.34,3.30,5,20,25.60,0.58,14.84,,,
Sep,10,52.00,0.57,0.58,10,307,22.70,0.19,2.54,,,
Dec,10,38.00,7.66,7.59,3,1015,28.40,0.79,7.52,,,
Dec,10,40.00,6.31,6.36,1,299,27.70,0.73,9.48,,,
Dec,10,43.00,4.53,4.35,1,11,26.50,0.63,13.14,,,
Mar,11,36.00,9.95,10.05,1,-,31.20,0.85,6.33,,,
Boral Ltd Last Sale Price $5.60,,,,,,,,,,,,
Mar,10,5.50,0.14,0.15,5,519,23.20,0.73,28.52,,,
Apr,10,5.50,0.25,0.23,3,237,23.00,0.64,21.98,,,
Apr,10,5.75,0.11,0.12,30,484,21.60,0.41,16.67,,,
Apr,10,6.25,0.03,-,25,-,25.40,0.12,4.55,,,
BlueScope Steel Last Sale Price $2.84,,,,,,,,,,,,
Mar,10,2.63,0.22,0.22,213,1203,34.90,0.95,8.03,,,
Mar,10,2.81,0.07,0.07,189,2127,28.50,0.62,56.23,,,
Mar,10,3.00,0.01,0.01,19,1462,31.40,0.11,11.25,,,
Apr,10,2.75,0.17,0.17,20,3606,30.80,0.66,25.41,,,
Apr,10,3.00,0.06,0.06,39,1297,28.10,0.32,16.44,,,
Apr,10,3.25,0.01,0.01,37,326,29.90,0.11,4.48,,,
May,10,2.50,0.40,0.40,15,218,31.80,0.86,9.96,,,
May,10,2.75,0.21,0.21,16,130,30.30,0.65,21.72,,,
May,10,3.00,0.09,0.10,44,485,29.20,0.39,16.29,,,
Jun,10,3.00,0.13,0.16,50,994,30.10,0.43,16.23,,,
Jun,10,3.50,0.03,0.03,8,219,30.00,0.12,3.25,,,
Jul,10,3.00,0.16,0.17,16,180,30.30,0.46,15.35,,,
Sep,10,3.00,0.22,0.15,14,80,31.20,0.50,14.54,,,
Brambles Ltd Last Sale Price $7.43,,,,,,,,,,,,
Mar,10,7.00,0.45,0.42,4,109,31.50,0.92,9.21,,,
Mar,10,7.50,0.10,0.08,12,7488,31.70,0.43,61.41,,,
Apr,10,7.75,0.17,0.16,40,469,28.60,0.38,19.99,,,
May,10,7.75,0.27,0.25,7,93,28.90,0.43,18.34,,,
C'wlth Bank  of Aust  Last Sale Price $56.61,,,,,,,,,,,,
Mar,10,0.01,56.64,56.63,70,1421,-,-,3.22,,,
Mar,10,52.01,4.64,4.60,1,15,21.90,1.00,3.22,,,
Mar,10,53.00,3.66,3.70,5,975,21.90,0.99,4.03,,,
Mar,10,54.00,2.67,2.85,7,911,17.60,0.98,4.43,,,
Mar,10,54.01,2.67,2.65,1,42,21.20,0.95,6.04,,,
Mar,10,55.00,1.74,1.98,33,732,18.30,0.88,10.48,,,
Mar,10,55.50,1.30,1.60,88,1639,17.80,0.81,15.72,,,
Mar,10,56.00,0.90,1.10,188,1754,16.40,0.70,23.37,,,
Mar,10,56.50,0.58,0.62,37,10,16.20,0.56,38.28,,,
Mar,10,57.00,0.32,0.43,219,892,15.10,0.40,25.79,,,
Mar,10,57.01,0.33,0.40,20,44,15.50,0.40,26.60,,,
Mar,10,58.00,0.08,0.12,112,283,15.10,0.14,6.45,,,
Mar,10,59.00,0.01,0.02,4,490,15.10,0.03,0.81,,,
Apr,10,50.00,6.87,6.84,12,57,18.20,0.98,3.82,,,
Apr,10,53.00,4.07,4.16,10,778,18.20,0.89,6.90,,,
Apr,10,55.00,2.46,2.45,8,403,17.60,0.73,12.82,,,
Apr,10,56.00,1.75,1.93,16,978,16.70,0.63,17.17,,,
Apr,10,57.00,1.15,1.18,16,585,15.80,0.51,17.24,,,
Apr,10,58.00,0.69,0.75,185,313,15.00,0.37,10.35,,,
Apr,10,59.00,0.40,0.42,103,202,14.80,0.25,5.92,,,
Apr,10,60.00,0.21,0.22,37,195,14.70,0.16,3.15,,,
Apr,10,61.00,0.10,0.11,44,10,14.40,0.09,1.42,,,
May,10,51.00,6.23,3.10,2,84,19.90,0.91,5.63,,,
May,10,54.00,3.79,3.78,3,218,19.70,0.76,10.76,,,
May,10,55.00,3.01,3.00,6,94,18.60,0.70,12.71,,,
May,10,56.00,2.31,2.47,14,83,17.60,0.63,15.44,,,
May,10,58.00,1.25,1.13,12,303,16.80,0.44,11.40,,,
May,10,59.00,0.85,0.95,38,27,16.30,0.35,7.72,,,
May,10,60.00,0.57,0.62,17,61,16.10,0.26,5.18,,,
May,10,62.00,0.23,0.21,3,339,15.80,0.13,2.09,,,
Jun,10,51.50,6.25,2.60,2,12,21.40,0.85,7.39,,,
Jun,10,56.00,2.81,2.97,2,81,18.40,0.63,14.36,,,
Jun,10,60.00,1.04,1.02,15,334,17.70,0.34,6.77,,,
Jun,10,64.00,0.23,0.25,26,-,16.50,0.11,1.53,,,
Jul,10,58.00,2.42,1.50,1,9,19.30,0.51,11.62,,,
Jul,10,60.00,1.55,1.46,20,6,18.60,0.39,7.48,,,
Dec,10,48.00,10.35,10.44,2,201,23.00,0.87,3.98,,,
Dec,10,56.00,4.79,5.00,2,100,20.90,0.65,9.59,,,
