WBC Jul15 3701 ,33 ,"[13]",,,
WBC Jul15 3751 ,30 ,"[20]",,,
WBC Jul15 3901 ,12 ,"[30]",,,
WBC Aug15 3701 ,50 ,"[60]",,,
WBC Sep15 3092 ,441 ,"[53]",,,
WBC Sep15 3690 ,75 ,"[18]",,,
WBC Oct15 3251 ,334.5 ,"[20]",,,
WBC Dec15 3579 ,135 ,"[206]",,,
WBC Dec15 3927 ,36 ,"[100]",,,
WBC Dec15 4026 ,24 ,"[5]",,,
WES May15 4401 ,81.5 ,"[72]",,,
WFD Aug15 1051 ,22 ,"[30]",,,
WFD Sep15 601 ,370 ,"[63]",,,
WOW May15 3001 ,50, 52.5 ,"[265]",,,
WOW May15 3051 ,28 ,"[20]",,,
WOW May15 3101 ,24 ,"[30]",,,
WOW Jul15 3001 ,107, 107.5 ,"[54]",,,
WOW Dec15 3101 ,114 ,"[4]",,,
XJO May15 547500 ,323 ,"[1]",,,
XJO May15 550000 ,328, 301 ,"[28]",,,
XJO May15 560000 ,244 ,"[7]",,,
XJO May15 565000 ,192, 195, 185, 170 ,"[548]",,,
XJO May15 575000 ,114, 104, 114, 104, 100, 114, 116, 113 ,"[160]",,,
XJO May15 577500 ,102, 84, 83, 86, 90, 96, 102, 97, 100 ,"[233]",,,
XJO May15 580000 ,75, 88, 90, 85, 68, 71, 82, 81 ,"[730]",,,
XJO May15 582500 ,75, 78, 70 ,"[58]",,,
XJO May15 585000 ,55, 56, 55, 57, 55, 50, 54, 61, 62, 63, 62, 63, 66, 60, 56, 57, 50, 45, 49, 51, 53, 54, 55, 56, 57, 59, 57, 59 ,"[765]",,,
XJO May15 587500 ,43 ,"[95]",,,
XJO May15 590000 ,37, 35, 36, 32, 34, 35, 41, 44, 43, 38, 35, 34, 29, 30, 38 ,"[808]",,,
XJO May15 592500 ,26, 25, 29 ,"[40]",,,
XJO May15 595000 ,23, 21, 18, 17, 18, 21, 25, 26, 24, 23, 18, 22, 23, 22, 23 ,"[1,042]",,,
XJO May15 597500 ,17 ,"[9]",,,
XJO May15 600000 ,14, 12, 14, 15, 14, 12, 10, 14 ,"[314]",,,
XJO May15 602500 ,9 ,"[29]",,,
XJO May15 605000 ,9, 8 ,"[115]",,,
XJO May15 610000 ,5, 6, 5, 4 ,"[263]",,,
XJO May15 612500 ,3 ,"[1,322]",,,
XJO May15 617500 ,2 ,"[110]",,,
XJO May15 620000 ,2 ,"[30]",,,
XJO Jun15 100 ,5823 ,"[2]",,,
XJO Jun15 520000 ,622 ,"[57]",,,
XJO Jun15 550000 ,333 ,"[1]",,,
XJO Jun15 575000 ,165 ,"[10]",,,
XJO Jun15 577500 ,132 ,"[2]",,,
XJO Jun15 580000 ,116, 125 ,"[10]",,,
XJO Jun15 582500 ,103, 111, 125 ,"[42]",,,
XJO Jun15 585000 ,106, 102, 96, 104, 103 ,"[282]",,,
XJO Jun15 590000 ,85, 66, 65, 76, 79 ,"[96]",,,
XJO Jun15 592500 ,60, 68 ,"[69]",,,
XJO Jun15 595000 ,58, 52, 59 ,"[39]",,,
XJO Jun15 597500 ,42 ,"[31]",,,
XJO Jun15 600000 ,38, 40, 45, 44, 45, 44 ,"[134]",,,
XJO Jun15 605000 ,25, 28, 24 ,"[177]",,,
XJO Jun15 607500 ,28, 23, 25 ,"[187]",,,
XJO Jun15 610000 ,19, 18, 23 ,"[60]",,,
XJO Jun15 612500 ,17, 16 ,"[14]",,,
XJO Jun15 615000 ,13 ,"[51]",,,
XJO Jun15 617500 ,11, 12 ,"[76]",,,
XJO Jun15 620000 ,9, 8, 9 ,"[144]",,,
XJO Jun15 622500 ,8 ,"[25]",,,
XJO Jun15 625000 ,7 ,"[24]",,,
XJO Jun15 630000 ,5 ,"[20]",,,
XJO Jun15 632500 ,3 ,"[22]",,,
XJO Jun15 637500 ,3 ,"[28]",,,
XJO Jun15 645000 ,2 ,"[20]",,,
XJO Jul15 580000 ,157 ,"[20]",,,
XJO Jul15 585000 ,135 ,"[10]",,,
XJO Jul15 630000 ,9 ,"[3]",,,
XJO Sep15 595000 ,122 ,"[30]",,,
XJO Sep15 610000 ,64, 65, 67, 63, 68, 70, 71, 70, 72 ,"[245]",,,
XJO Sep15 635000 ,22 ,"[26]",,,
XJO Sep15 640000 ,21 ,"[4]",,,
XJO Dec15 590000 ,189 ,"[10]",,,
XJO Dec15 620000 ,92, 93, 86, 89 ,"[136]",,,
XJO Dec15 667500 ,16 ,"[186]",,,
PUT OPTIONS:OATS,,
AMC Jul15 1401 ,60 ,"[18]",,,
BHP May15 3001 ,10 ,"[50]",,,
BHP May15 3101 ,20.5, 22 ,"[90]",,,
BHP May15 3151 ,27.5 ,"[50]",,,
BHP May15 3201 ,40 ,"[100]",,,
BHP May15 3401 ,130 ,"[45]",,,
BHP Jun15 2801 ,15, 14, 14.5 ,"[100]",,,
BHP Jun15 2901 ,22.5, 22 ,"[100]",,,
BHP Jun15 3001 ,31, 32.5 ,"[30]",,,
BHP Jun15 3501 ,221, 227, 230 ,"[62]",,,
BHP Jun15 3801 ,479 ,"[20]",,,
BHP Jul15 2801 ,32, 30 ,"[40]",,,
BHP Sep15 2801 ,61, 60 ,"[50]",,,
BHP Sep15 2901 ,87 ,"[10]",,,
BHP Sep15 3001 ,104 ,"[3]",,,
BHP Sep15 3701 ,492, 485, 478 ,"[17]",,,
BHP Dec15 2901 ,122 ,"[20]",,,
BHP Dec15 3001 ,141.5, 142 ,"[30]",,,
FMG Jun15 301 ,65 ,"[10]",,,
XJO May15 510000 ,2 ,"[105]",,,
XJO May15 515000 ,3 ,"[280]",,,
XJO May15 517500 ,4 ,"[30]",,,
XJO May15 530000 ,6 ,"[110]",,,
XJO May15 540000 ,10, 12, 10 ,"[275]",,,
XJO May15 545000 ,15 ,"[35]",,,
XJO May15 550000 ,18, 19, 17, 16, 19, 21, 20 ,"[924]",,,
XJO May15 557500 ,29, 30, 24 ,"[57]",,,
XJO May15 560000 ,29, 30, 34, 30, 28, 27, 28, 32, 33, 35, 32, 31, 30, 29, 30, 29, 28, 29 ,"[1,111]",,,
XJO May15 562500 ,35, 30, 36 ,"[78]",,,
XJO May15 565000 ,43, 47, 39 ,"[250]",,,
XJO May15 567500 ,45 ,"[2]",,,
XJO May15 570000 ,46, 51, 52, 60, 51 ,"[342]",,,
XJO May15 572500 ,62 ,"[2]",,,
XJO May15 575000 ,63, 61, 64, 65, 71, 66, 61, 56, 64, 71, 62 ,"[189]",,,
XJO May15 577500 ,72, 74, 80, 71, 69, 80, 88, 84, 74, 73, 71, 70, 72 ,"[168]",,,
XJO May15 580000 ,84, 92, 86, 80, 77, 71, 75, 78, 77, 90, 95, 92, 82 ,"[433]",,,
XJO May15 582500 ,87, 82, 93, 97 ,"[65]",,,
XJO May15 585000 ,110, 113, 118, 113, 112, 92, 102, 103, 113, 110 ,"[638]",,,
XJO May15 590000 ,135, 144, 127, 122 ,"[85]",,,
XJO May15 600000 ,231, 204, 245 ,"[26]",,,
XJO Jun15 490000 ,5 ,"[10]",,,
XJO Jun15 520000 ,15, 17 ,"[38]",,,
XJO Jun15 525000 ,19 ,"[250]",,,
XJO Jun15 537500 ,29 ,"[33]",,,
XJO Jun15 540000 ,34, 29, 31, 32 ,"[127]",,,
XJO Jun15 547500 ,40, 41 ,"[26]",,,
XJO Jun15 550000 ,44 ,"[203]",,,
XJO Jun15 565000 ,74 ,"[46]",,,
XJO Jun15 570000 ,99 ,"[27]",,,
XJO Jun15 580000 ,125, 111, 125, 118 ,"[18]",,,
XJO Jun15 585000 ,136, 149 ,"[68]",,,
XJO Jun15 590000 ,166, 176, 178, 190, 188, 169 ,"[26]",,,
XJO Jul15 510000 ,22 ,"[2]",,,
XJO Jul15 580000 ,145, 158 ,"[36]",,,
XJO Jul15 585000 ,161, 167 ,"[27]",,,
XJO Jul15 590000 ,190 ,"[1]",,,
XJO Sep15 470000 ,25, 29 ,"[3]",,,
XJO Sep15 480000 ,31, 35, 32, 35, 32 ,"[18]",,,
XJO Sep15 530000 ,91, 90, 89 ,"[125]",,,
XJO Sep15 535000 ,102 ,"[10]",,,
XJO Sep15 537500 ,107 ,"[10]",,,
XJO Sep15 540000 ,112 ,"[10]",,,
XJO Sep15 547500 ,129 ,"[10]",,,
XJO Sep15 550000 ,136 ,"[18]",,,
XJO Sep15 555000 ,147, 146, 145, 144 ,"[175]",,,
XJO Sep15 560000 ,169 ,"[52]",,,
XJO Sep15 580000 ,237 ,"[1]",,,
XJO Sep15 590000 ,303 ,"[8]",,,
XJO Dec15 380000 ,10 ,"[10]",,,
XJO Dec15 502500 ,96 ,"[1]",,,
XJO Mar16 490000 ,120 ,"[2]",,,
ASX SPECIALS,,
CALL OPTIONS SPECIALS:OATS,,
XJO May15 590000 ,38 ,"[100]",,,
XJO May15 612500 ,5 ,"[1,155]",,,
XJO May15 615000 ,5 ,"[1,155]",,,
XJO Jul15 605000 ,50 ,"[700]",,,
PUT OPTIONS SPECIALS:OATS,,
XJO May15 555000 ,23 ,"[500]",,,
XJO Jun15 500000 ,9 ,"[500]",,,
XJO Jul15 525000 ,37.1 ,"[825]",,,
XJO Jul15 555000 ,80 ,"[825]",,,
XJO Sep15 575000 ,220 ,"[500]",,,
XJO Mar16 570000 ,342 ,"[500]",,,
OVERSEAS,,
CALL OPTIONS OVERSEAS:OATS,,
PUT OPTIONS OVERSEAS:OATS,,
,
