Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4913.5 at 16:37 23/4/2010  Report at 19:06 Friday 23/4/2010. Processed 19:30 Friday 23/4/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
Gazal Corp,GZL,1.48,-,1.48,1.565,-,-,-,1.575,1.45,1.575,0.85,8,f,1.29,0.69,5.41,10.3,14.4,-9.5,-6.03
GLG Corp Ltd,GLE,0.28,-,0.28,0.35,-,-,-,0.28,0.28,0.40,0.14,-,,-,0.49,-,7.78,3.6,-,-
Globe Intl,GLB,0.46,-,0.46,0.47,449,0.46,0.46,0.46,0.46,0.525,0.125,-,,-,0.70,-,3.12,14.7,-,-
GUD Hldgs,GUD,9.52,1,9.36,9.55,694,9.57,9.44,9.86,8.75,10.62,5.95,61,f,1.18,1.09,6.41,71.73,13.3,56.0,6.25
Headline Grp Ltd,HLD,0.335,0.5,0.325,0.335,595,0.335,0.325,0.34,0.315,0.35,0.10,-,,-,0.08,-,-1.79,-,1.0,3.08
Island Sky Aust,ISK,0.07,-0.4,0.07,0.078,1420,0.071,0.07,0.074,0.07,0.287,0.07,-,,-,0.03,-,-2.07,-,-1.9,-21.35
  opt nov11,ISKO,0.025,-,0.002,0.025,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-
Kathmandu Hldgs,KMD,1.91,-1,1.91,1.92,5125,1.92,1.895,1.96,1.895,1.97,1.48,-,,-,-0.09,-,-0.17,-,-4.0,-2.05
Kresta Hldgs,KRS,0.41,1.5,0.40,0.405,1180,0.42,0.41,0.42,0.395,0.46,0.11,3,f,1.52,0.18,7.32,4.57,9.0,-1.0,-2.38
McPherson's Ltd,MCP,3.19,-3,3.19,3.25,892,3.22,3.18,3.22,3.12,3.48,0.645,10,f,2.96,0.02,3.13,29.6,10.8,2.0,0.63
Merchant House,MHI,0.16,-,0.14,0.16,-,-,-,0.16,0.16,0.18,0.095,1,,4.40,0.27,6.25,4.4,3.6,-,-
Mesbon China Nylon,MES,0.10,-0.5,0.10,0.105,600,0.10,0.10,0.105,0.098,0.14,0.061,0.5,,4.08,0.32,5.00,2.04,4.9,0.8,8.7
Photo-Me Aust,PTO,0.005,-,0.005,0.008,-,-,-,0.005,0.005,0.012,0.004,-,,-,0.01,-,-2.08,-,-,-
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-
Quantum Energy,QTM,0.12,-1.5,0.12,0.13,4105,0.135,0.12,0.165,0.12,0.42,0.10,-,,-,0.03,-,2.41,5.0,-1.5,-11.11
Shenhua Ltd,SHU,0.50,-,0.10,0.495,-,-,-,0.50,0.475,0.55,0.45,-,,-,-,-,5.2,9.6,2.5,5.26
Tamawood Ltd,TWD,2.50,4,2.50,2.55,120,2.50,2.44,2.55,2.44,2.76,1.644,21,f,1.39,0.91,8.40,29.22,8.6,-4.0,-1.57
Thomas Bryson Int,TBI,0.35,-,-,-,-,-,-,0.35,0.35,0.53,0.35,1,,-,-,2.86,-2.26,-,-,-
Treyo Leisure,TYO,0.35,-,-,0.35,-,-,-,0.35,0.35,0.35,0.23,-,,-,0.11,-,2.3,15.2,-,-
TWT Grp Ltd,TWT,0.12,-,0.105,0.13,-,-,-,0.13,0.12,0.175,0.09,-,,-,0.31,-,-5.24,-,-2.0,-14.29
Undercoverwear,UCW,0.27,-,0.27,0.32,17,0.27,0.27,0.275,0.27,0.35,0.195,2.25,f,-,0.09,8.33,-5.65,-,-0.5,-1.82
Vmoto Ltd,VMT,0.15,-0.5,0.15,0.16,5527,0.155,0.15,0.16,0.15,0.215,0.036,-,,-,0.02,-,-1.07,-,-1.5,-9.09
Waterco Ltd,WAT,1.00,-,1.00,1.05,-,-,-,1.00,1.00,1.01,0.48,6,f,1.72,1.26,6.00,10.3,9.7,-,-
INDUSTRY GROUP: Hotels Restaurants & Leisure,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.135,1,0.125,0.13,202,0.135,0.125,0.135,0.125,0.22,0.065,-,,-,0.01,-,-4.95,-,1.0,8
Aircruising Aust,AIG,0.11,-,0.03,-,-,-,-,0.11,0.11,0.11,0.098,-,,-,-0.11,-,-8.38,-,-,-
Allied Brands Ltd,ABQ,0.10,-1,0.10,0.105,9599,0.11,0.10,0.11,0.10,0.245,0.097,0.5,,4.60,0.06,5.00,2.3,4.3,-1.0,-9.09
  opt dec10,ABQO,0.001,-,-,0.002,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-
Aristocrat Leisure,ALL,4.39,-6,4.38,4.46,7642,4.46,4.39,4.51,4.34,5.75,3.24,4.5,,-,0.07,1.03,-31.3,-,-1.0,-0.23
Artist & Entertain,AEM,0.012,-,0.01,0.012,-,-,-,0.013,0.012,0.025,0.005,-,,-,-,-,-1.54,-,-0.1,-7.69
Centrebet Internat,CIL,1.69,1,1.69,1.70,248,1.69,1.68,1.69,1.56,1.89,0.86,10.5,,1.02,0.11,6.21,10.7,15.8,7.0,4.32
Crown Ltd,CWN,8.06,-19,8.05,8.15,20185,8.21,8.06,8.32,8.06,9.39,6.38,37,p,-,3.24,4.59,-92.35,-,-10.0,-1.23
Domino Pizza Enterpr,DMP,5.68,-,5.58,5.75,287,5.75,5.55,5.75,5.39,5.80,2.95,14,f,1.86,0.69,2.46,26,21.8,17.0,3.09
Early Learning Serv,ELY,0.59,-2,0.59,0.61,188,0.59,0.59,0.64,0.59,0.685,0.07,-,,-,-0.27,-,-0.35,-,-4.5,-7.09
eBet Ltd,EBT,0.08,-,0.082,0.083,110,0.08,0.08,0.085,0.08,0.105,0.044,-,,-,-0.01,-,0.52,15.4,-,-
Eumundi Grp Ltd,EBG,0.054,-,0.054,0.06,-,-,-,0.059,0.054,0.09,0.05,-,,-,0.19,-,-6,-,-0.5,-8.47
Flight Centre,FLT,19.97,-22,19.94,20.00,2232,20.10,19.80,20.89,19.42,21.43,5.25,26,f,2.44,2.56,1.30,63.4,31.5,-143.0,-6.68
Garratt's Ltd,GRT,0.56,-,0.45,0.65,-,-,-,0.56,0.56,0.56,0.22,3,,1.43,0.14,5.36,4.28,13.1,-,-
Integrated Legal,IAW,0.105,-,0.105,0.12,-,-,-,0.11,0.105,0.17,0.10,0.25,f,2.16,0.06,2.38,0.54,19.4,-,-
Invocare Ltd,IVC,6.17,-3,6.14,6.19,654,6.19,6.15,6.20,6.01,6.50,4.95,25.25,f,1.30,0.48,4.09,32.9,18.8,-,-
Jetset Travelworld,JET,0.965,3.5,0.93,0.99,304,0.965,0.93,0.965,0.92,1.70,0.65,3.6,f,0.63,0.12,3.73,2.28,42.3,0.5,0.52
Kip McGrath Edu Cntr,KME,0.30,-1,0.30,0.33,93,0.31,0.30,0.32,0.30,0.45,0.105,2,,8.59,-0.10,6.67,17.19,1.7,-2.0,-6.25
Macro Corp Ltd,MAC,0.032,-,0.001,0.025,-,-,-,0.032,0.032,0.04,0.027,-,,-,0.08,-,-0.43,-,-,-
National Leisure,NLG,0.017,0.1,0.016,0.018,1667,0.017,0.016,0.018,0.016,0.044,0.006,-,,-,-0.32,-,0.34,5.0,-0.1,-5.56
Navitas Ltd,NVT,5.29,6,5.21,5.30,3468,5.35,5.25,5.35,5.00,5.56,2.28,16.9,f,0.99,-0.25,3.19,16.8,31.5,11.0,2.12
Newhaven Hotels,NHH,1.90,-,1.96,2.50,-,-,-,1.90,1.90,2.20,1.75,6,f,0.96,1.09,3.16,5.74,33.1,-,-
Ocean Capital,OCE,0.26,-,0.255,0.355,-,-,-,0.26,0.26,0.40,0.24,1.5,,0.93,0.41,5.77,1.39,18.7,-,-
Odyssey Gaming,ODG,0.043,-,0.043,-,-,-,-,0.043,0.043,0.07,0.017,-,,-,0.06,-,0.5,8.6,-,-
Planet Platinum,PPN,0.25,-,0.25,0.34,-,-,-,0.25,0.25,0.30,0.11,2.06,,2.17,0.21,8.24,4.46,5.6,-,-
Qld Trustees Invest,QTI,0.435,-,0.40,0.43,-,-,-,0.435,0.435,0.50,0.38,-,,-,0.78,-,1.02,42.6,-,-
Reef Casino Tr unt,RCT,2.08,-,2.01,2.08,-,-,-,2.08,2.00,2.15,1.70,24,,1.07,2.04,11.54,25.7,8.1,8.0,4
Retail Food Grp,RFG,2.80,-3,2.77,2.89,234,2.89,2.75,2.90,2.75,3.10,1.36,10,f,2.54,-0.70,3.57,25.4,11.0,3.0,1.08
Sino Strategic Intl,SSI,0.40,-,0.395,0.40,-,-,-,0.40,0.40,0.92,0.30,-,,-,-0.05,-,-67,-,-,-
Sky City Entertain,SKC,2.51,4,2.50,2.57,2139,2.55,2.49,2.55,2.44,2.89,2.03,11.69,,1.63,0.53,4.66,19.09,13.1,2.0,0.8
Slater & Gordon,SGH,1.55,-1,1.55,1.56,73,1.56,1.55,1.59,1.55,1.82,1.425,5.25,f,3.16,0.82,3.39,16.6,9.3,-2.0,-1.27
Stanfield Funds,SFN,0.012,-,0.012,0.013,-,-,-,0.012,0.012,0.028,0.009,-,,-,-0.01,-,-0.14,-,-,-
Success Res Global,SGU,0.012,-,0.005,0.024,-,-,-,0.012,0.012,0.06,0.003,-,,-,-,-,1.26,1.0,-0.3,-20
Superwoman Grp,SPG,0.009,-,0.001,0.009,-,-,-,0.009,0.009,0.02,0.007,-,,-,-,-,-0.39,-,0.1,12.5
Tabcorp Hldgs Ltd,TAH,6.87,-3,6.87,6.88,16764,6.95,6.87,7.00,6.87,7.70,6.32,60,f,1.44,-1.53,8.73,86.1,8.0,-12.0,-1.72
Tatts Grp Ltd,TTS,2.47,3,2.46,2.47,32247,2.48,2.44,2.48,2.42,2.87,2.19,21,f,1.04,-0.51,8.50,21.9,11.3,3.0,1.23
Transmetro Corp,TCO,0.70,-,0.43,-,-,-,-,0.70,0.70,0.70,0.67,3,,2.28,1.18,4.29,6.85,10.2,-,-
Viagold Capital,VIA,0.25,-,0.25,0.50,-,-,-,0.25,0.25,1.30,0.046,-,,-,0.36,-,3,8.3,-,-
Webjet Ltd,WEB,2.43,2,2.43,2.45,2893,2.48,2.36,2.69,2.25,2.70,1.047,8,f,1.52,0.41,3.29,12.2,19.9,-15.0,-5.81
Xiaoxiao Education,XXL,0.15,-,0.105,0.20,-,-,-,0.15,0.15,0.30,0.15,-,,-,-,-,-,-,-,-
INDUSTRY GROUP: Media,,,,,,,,,,,,,,,,,,,,,
Adcorp Aust,AAU,0.22,1,0.21,0.22,411,0.22,0.205,0.22,0.20,0.31,0.18,1,,-,0.07,4.55,-2.18,-,2.0,10
Amalgamated Hldgs,AHD,5.97,4,5.91,6.00,682,6.00,5.91,6.05,5.83,6.24,3.73,35,f,1.96,4.65,5.86,68.5,8.7,7.0,1.19
APN News & Media,APN,2.43,5,2.38,2.44,19046,2.44,2.36,2.47,2.19,2.61,1.129,4,f,4.17,-0.78,1.65,16.7,14.6,18.0,8
Aspermont Ltd,ASP,0.14,-,0.12,0.14,-,-,-,0.14,0.12,0.271,0.11,-,,-,-0.03,-,0.88,15.9,-,-
Austar United,AUN,1.16,-1.5,1.155,1.16,72274,1.175,1.155,1.185,1.15,1.465,0.715,-,,-,-0.31,-,4.7,24.7,-3.5,-2.93
Austereo Grp Ltd,AEO,1.85,3,1.825,1.86,277,1.86,1.83,1.89,1.80,1.925,1.15,9.1,f,1.32,-0.57,4.92,11.98,15.4,-4.0,-2.12
Beyond Intl,BYI,0.74,-,0.73,0.89,-,-,-,0.74,0.74,0.78,0.50,6,,1.36,0.45,8.11,8.18,9.0,-,-
Brisbane Broncos,BBL,0.37,-,0.33,0.36,-,-,-,0.37,0.34,0.40,0.31,0.5,f,1.78,0.12,1.35,0.89,41.6,3.0,8.82
BSA Ltd,BSA,0.22,-,0.225,0.23,-,-,-,0.23,0.21,0.34,0.125,2,f,1.49,-0.01,9.09,2.99,7.4,0.5,2.33
Commstrat Ltd,COJ,0.005,-,0.004,0.008,-,-,-,0.005,0.005,0.01,0.003,-,,-,-,-,0.06,8.3,-,-
Consolidated Media,CMJ,3.10,1,3.08,3.11,3520,3.12,3.08,3.14,3.08,3.44,2.01,16.5,f,3.48,0.88,5.32,57.44,5.4,-2.0,-0.64
Facilitate Digital,FAC,0.066,-,0.065,0.08,-,-,-,0.066,0.066,0.149,0.035,-,,-,0.01,-,0.29,22.8,-,-
  def,FACN,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Fairfax Media Ltd,FXJ,1.75,0.5,1.75,1.76,134979,1.76,1.73,1.78,1.72,1.885,0.985,1.1,,8.45,-0.31,0.63,9.3,18.8,-1.0,-0.57
Hyro Ltd,HYO,0.025,-,0.024,0.025,1300,0.025,0.023,0.025,0.022,0.044,0.017,-,,-,-,-,2.39,1.0,-,-
Infochoice Ltd,ICH,0.485,-,-,0.44,-,-,-,0.485,0.485,0.485,0.485,-,,-,0.02,-,-1.35,-,-,-
IPGA Ltd,IPP,0.34,4,0.32,0.34,2446,0.34,0.32,0.35,0.285,0.375,0.079,-,,-,-,-,-1.69,-,-,-
Macq Radio,MRN,0.84,-,0.85,0.89,110,0.84,0.84,0.84,0.81,0.90,0.17,4,f,0.96,0.02,4.76,3.84,21.9,-,-
MCM Entertainment Gr,MEG,0.18,-,-,0.18,-,-,-,0.18,0.18,0.23,0.12,-,,-,0.04,-,1.01,17.8,-,-
Media Grp Int Ltd,MUI,0.013,-,0.01,0.013,-,-,-,0.013,0.013,0.25,0.009,-,,-,-,-,-2.68,-,-,-
Medic Vision Ltd,MVH,0.025,0.2,0.025,0.027,770,0.025,0.02,0.025,0.02,0.045,0.017,-,,-,-,-,-1.06,-,0.5,25
  opt jan12,MVHOA,0.003,-,0.001,-,-,-,-,0.003,0.003,0.008,0.003,-,,-,-,-,-,-,-,-
Mitchell Comms,MCU,0.93,-0.5,0.91,0.95,2330,0.935,0.91,0.985,0.91,0.985,0.52,4.4,f,1.50,-,4.73,6.6,14.1,-3.0,-3.12
News Corp b voting,NWS,19.86,-4,19.80,19.95,35214,19.98,19.79,20.07,19.46,20.07,11.88,5.14,,14.51,0.45,0.26,74.58,26.6,55.0,2.85
  a nonvote,NWSLV,17.23,-11,17.10,17.56,21510,17.30,17.15,17.38,16.88,17.38,10.40,12.87,,-,-,0.75,-,-,48.0,2.87
Oohmedia Grp Ltd,OOH,0.13,-1,0.13,0.14,20,0.13,0.13,0.14,0.13,0.14,0.06,-,,-,-0.08,-,1.3,10.0,-1.0,-7.14
Pac Star Net,PNW,0.06,0.2,0.06,0.072,668,0.065,0.06,0.065,0.058,0.065,0.025,-,,-,0.01,-,0.1,60.0,0.2,3.45
Photon Grp Ltd,PGA,1.325,-1,1.325,1.34,51273,1.37,1.305,1.37,1.16,2.182,0.959,9.5,f,1.87,-1.43,7.17,17.72,7.5,12.0,9.96
Prime Media Grp,PRT,0.80,-,0.76,0.80,-,-,-,0.805,0.80,0.86,0.455,2.2,f,-,-,2.75,-2.7,-,-,-
Q Ltd,QXQ,0.082,-,0.079,0.082,1500,0.082,0.082,0.082,0.079,0.236,0.056,-,,-,0.02,-,-237.1,-,-0.4,-4.65
REA Grp,REA,12.50,13,12.41,12.50,349,12.60,12.44,12.60,11.78,12.60,4.20,10,,1.00,0.45,0.80,10.04,124.5,37.0,3.05
Resourc & En Grp,REZ,0.14,-,0.14,0.17,100,0.14,0.14,0.17,0.13,0.375,0.046,-,,-,0.07,-,-1.35,-,-3.0,-17.65
Seven Network   ,SEV,7.68,3,7.60,7.73,3399,7.71,7.60,7.89,7.52,8.09,5.03,34,f,7.60,9.70,4.43,258.43,3.0,-10.0,-1.29
Sky Net,SKT,3.94,3,3.80,3.94,2076,3.94,3.91,3.94,3.76,4.15,3.05,11.39,,1.72,-0.47,2.89,19.63,20.1,1.0,0.25
Sthn Cross Media,SXL,2.21,-1,2.08,2.22,6948,2.25,2.19,2.29,2.13,2.31,0.919,6.7,,-,-0.51,3.03,-36.65,-,5.0,2.31
STW Comms,SGN,0.855,-,0.83,0.855,1891,0.855,0.835,0.90,0.825,0.95,0.44,3.5,f,2.09,0.15,4.09,7.32,11.7,-3.5,-3.93
Ten Network Hldgs,TEN,1.85,-1,1.82,1.855,48103,1.875,1.84,1.875,1.775,1.94,0.81,2,,2.31,-0.29,1.08,4.62,40.0,2.0,1.09
TPL Corp Ltd,TPL,0.025,-0.2,0.024,0.026,38133,0.027,0.024,0.028,0.019,0.028,0.003,-,,-,-,-,-0.21,-,0.5,25
Two Way Ltd,TTV,0.04,-,0.04,0.045,117,0.04,0.04,0.04,0.039,0.078,0.017,-,,-,0.01,-,-3.44,-,0.1,2.56
Village Roadshow,VRL,2.46,-,2.46,2.51,246,2.50,2.44,2.51,2.35,2.51,0.77,3.75,,11.12,-1.97,1.52,41.69,5.9,1.0,0.41
  'a' pref,VRLPA,2.66,6,2.65,2.70,980,2.67,2.65,2.67,2.40,2.67,0.49,3.75,,-,-,1.41,-,-,6.0,2.31
WAG Ltd,WAG,0.01,-,0.01,0.011,8200,0.01,0.01,0.01,0.01,0.011,0.003,-,,-,-,-,-0.01,-,-,-
West Aust News,WAN,8.22,9,8.11,8.30,3242,8.28,8.09,8.40,8.08,8.48,3.96,29,f,1.29,-,3.53,37.3,22.0,-22.0,-2.61
World Wide Ent Grp,WWG,0.08,-0.5,0.08,0.10,50,0.08,0.08,0.09,0.08,0.20,0.055,-,,-,-,-,3.05,2.6,-1.0,-11.11
INDUSTRY GROUP: Retailing,,,,,,,,,,,,,,,,,,,,,
Adtrans Grp,ADG,3.55,-5,3.55,3.70,44,3.60,3.55,3.60,3.50,3.70,2.00,20,f,1.86,2.44,5.63,37.1,9.6,5.0,1.43
Adultshop Com,ASC,0.01,-,0.01,0.011,-,-,-,0.011,0.009,0.015,0.004,-,,-,0.02,-,-0.19,-,0.1,11.11
  opt dec11,ASCO,0.002,-,0.002,0.004,-,-,-,0.002,0.002,0.005,0.002,-,,-,-,-,-,-,-,-
AMA Grp Ltd,AMA,0.05,-,0.046,0.05,500,0.05,0.048,0.05,0.046,0.078,0.019,-,,-,-0.09,-,7.75,0.6,0.2,4.17
AP Eagers Ltd,APE,12.75,-,12.75,12.90,1,12.75,12.75,12.95,12.70,13.55,6.15,62,f,1.96,8.81,4.86,121.6,10.5,-20.0,-1.54
ARB Corp,ARP,6.12,7,6.10,6.15,363,6.19,6.07,6.19,5.79,6.19,2.777,17.5,f,2.31,1.22,2.86,40.44,15.1,22.0,3.73
Automotive Hldgs,AHE,2.82,2,2.80,2.82,1805,2.86,2.80,2.87,2.69,2.87,1.15,17,f,1.66,0.75,6.03,28.14,10.0,10.0,3.68
Beyond Sportswear,BSI,0.018,-,0.013,0.018,-,-,-,0.018,0.018,0.045,0.007,-,,-,-0.01,-,-0.57,-,-,-
Breville Grp Ltd,BRG,2.25,-1,2.26,2.29,65,2.25,2.25,2.27,2.17,2.45,0.625,7.5,,1.68,0.59,3.33,12.62,17.8,4.0,1.81
Cash Convert ord/div   ,CCV,0.58,1.5,0.58,0.585,9125,0.58,0.56,0.58,0.555,0.71,0.395,3,f,2.32,0.23,5.17,6.97,8.3,1.0,1.75
Clive Peeters,CPR,0.24,1,0.23,0.24,320,0.24,0.235,0.25,0.23,0.74,0.105,-,,-,0.27,-,-7.6,-,-1.0,-4
Country Road Ltd,CTY,3.65,-,3.67,-,-,-,-,3.65,3.65,4.00,3.10,13.32,f,1.57,0.97,3.65,20.85,17.5,-,-
David Jones Ltd,DJS,4.62,8,4.59,4.63,16818,4.62,4.52,4.62,4.44,5.96,2.94,29,f,1.14,1.22,6.28,33,14.0,6.0,1.32
Fantastic Hldgs,FAN,3.57,-8,3.57,3.78,7,3.65,3.57,3.78,3.57,4.29,2.27,11.75,f,2.06,0.81,3.29,24.21,14.7,-1.0,-0.28
Harvey Norman,HVN,3.51,4,3.50,3.52,45695,3.53,3.47,3.59,3.37,4.85,2.75,13,f,1.98,2.10,3.70,25.78,13.6,-8.0,-2.23
Hire Intelligence,HII,0.14,-,0.13,0.25,-,-,-,0.14,0.14,0.20,0.13,1,,0.98,-,7.14,0.98,14.3,-,-
JB Hi-Fi Ltd,JBH,19.50,18,19.40,19.53,14390,19.53,19.31,19.53,18.69,23.71,12.00,62,f,1.67,1.71,3.18,103.42,18.9,16.0,0.83
Joyce Corp,JYC,0.39,-,0.37,0.40,-,-,-,0.39,0.39,0.58,0.37,3.5,,-,0.67,8.97,-8.49,-,-,-
Manaccom Corp Ltd,MNL,0.315,-,0.315,0.355,120,0.315,0.315,0.32,0.315,0.55,0.20,1.5,f,4.79,-,4.76,7.18,4.4,-4.5,-12.5
Myer Hldgs Ltd,MYR,3.16,4,3.16,3.17,40921,3.18,3.12,3.20,3.10,3.98,3.10,10.5,f,0.39,-0.21,3.32,4.1,77.1,-3.0,-0.94
Nick Scali Ltd,NCK,1.70,5,1.65,1.70,349,1.70,1.70,1.70,1.53,1.75,0.54,10.5,f,1.00,0.22,6.18,10.46,16.3,11.0,6.92
Noni B Ltd,NBL,1.37,-,1.39,1.40,51,1.40,1.37,1.40,1.33,1.50,0.81,6,f,1.77,0.51,4.38,10.6,12.9,5.0,3.79
Orotongrp Ltd,ORL,7.00,10,7.00,7.08,214,7.00,6.90,7.10,6.86,7.21,2.855,44,f,1.25,0.74,6.29,54.92,12.7,-6.0,-0.85
Pac Brands,PBG,1.24,0.5,1.235,1.245,38540,1.245,1.22,1.27,1.215,1.52,0.412,-,,-,-0.04,-,-7.6,-,-2.5,-1.98
Premier Invest,PMV,7.31,-1,7.29,7.34,1847,7.35,7.30,7.60,7.27,8.934,4.014,36,f,1.38,2.19,4.92,49.85,14.7,-26.0,-3.43
Quickflix Ltd,QFX,0.067,-,0.067,0.069,-,-,-,0.07,0.067,0.09,0.038,-,,-,-,-,-1.64,-,-0.1,-1.47
RCG Corp Ltd,RCG,0.53,-0.5,0.53,0.535,100,0.53,0.53,0.54,0.53,0.64,0.265,2.25,f,1.19,0.09,4.25,2.67,19.9,-1.0,-1.85
Ruralco Hldgs,RHL,2.83,-2,2.83,2.85,906,2.83,2.80,2.85,2.80,3.00,1.72,12,f,1.33,1.76,4.24,15.97,17.7,-2.0,-0.7
Specialty Fashion,SFH,1.42,4,1.40,1.42,2965,1.44,1.37,1.475,1.275,1.65,0.36,4,f,4.45,0.25,2.82,17.8,8.0,-5.5,-3.73
Super Cheap Auto ,SUL,5.07,-5,5.06,5.10,921,5.20,5.03,5.20,4.87,5.95,2.83,20,f,1.60,0.74,3.94,31.9,15.9,9.0,1.81
The Reject Shop,TRS,16.85,-5,16.84,17.00,301,16.97,16.72,17.04,16.61,17.39,10.50,62,f,1.39,2.17,3.68,86.4,19.5,-5.0,-0.3
Thorn Grp Ltd,TGA,1.075,-0.5,1.065,1.08,1425,1.09,1.07,1.10,1.07,1.28,0.55,5.47,f,2.46,0.47,5.09,13.43,8.0,-1.5,-1.38
TVN Corp Ltd,TVN,0.01,-,0.01,0.012,-,-,-,0.01,0.009,0.013,0.004,-,,-,-,-,-0.14,-,0.1,11.11
Vita Grp Ltd,VTG,0.28,-,0.28,0.285,-,-,-,0.295,0.28,0.345,0.085,-,,-,-0.05,-,6.56,4.3,-,-
Warehouse Grp,WHS,2.95,4,2.83,3.02,8363,2.95,2.95,2.95,2.91,3.694,2.561,17.83,,1.22,0.83,6.04,21.82,13.5,4.0,1.37
