Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4925.9 at 16:34 1/4/2010  Report at 17:17 Thursday 1/4/2010. Processed 18:07 Thursday 1/4/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
Gale Pacific Ltd,GAP,0.17,-,0.165,0.175,-,-,-,0.17,0.17,0.205,0.037,-,,-,0.24,-,3.11,5.5,-,-
Gazal Corp,GZL,1.43,-,1.43,1.59,-,-,-,1.43,1.43,1.55,0.85,8,f,1.29,0.69,5.59,10.3,13.9,-,-
GLG Corp Ltd,GLE,0.28,-,0.29,0.37,-,-,-,0.39,0.28,0.40,0.14,-,,-,0.49,-,7.78,3.6,-11.0,-28.21
Globe Intl,GLB,0.46,-,0.46,0.47,20,0.46,0.46,0.46,0.46,0.525,0.125,-,,-,0.70,-,3.12,14.7,-,-
GUD Hldgs,GUD,9.30,4,9.30,9.33,1676,9.41,9.26,9.71,9.25,10.62,5.95,61,f,1.18,1.09,6.56,71.73,13.0,-30.0,-3.12
Headline Grp Ltd,HLD,0.335,1,0.335,0.345,15046,0.35,0.325,0.35,0.315,0.35,0.08,-,,-,0.08,-,-1.79,-,2.5,8.06
Island Sky Aust,ISK,0.076,0.1,0.076,0.079,800,0.077,0.076,0.077,0.073,0.287,0.07,-,,-,0.03,-,-2.07,-,0.5,7.04
  opt nov11,ISKO,0.025,-,0.012,0.03,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-
Kathmandu Hldgs,KMD,1.89,-,1.885,1.895,12095,1.90,1.88,1.90,1.86,1.925,1.48,-,,-,-0.09,-,-0.17,-,4.0,2.16
Kresta Hldgs,KRS,0.365,-3,0.365,0.37,15379,0.375,0.355,0.44,0.355,0.46,0.11,3,f,1.52,0.18,8.22,4.57,8.0,-7.5,-17.05
McPherson's Ltd,MCP,3.13,2,3.12,3.14,6541,3.13,3.12,3.19,3.10,3.48,0.63,10,f,2.96,0.02,3.19,29.6,10.6,-5.0,-1.57
Merchant House,MHI,0.16,-,0.155,0.16,-,-,-,0.16,0.16,0.18,0.095,1,,4.40,0.27,6.25,4.4,3.6,-,-
Mesbon China Nylon,MES,0.09,-,0.085,0.09,-,-,-,0.091,0.085,0.14,0.061,0.5,,4.08,0.32,5.56,2.04,4.4,-,-
Photo-Me Aust,PTO,0.005,-,0.005,0.007,-,-,-,0.005,0.005,0.012,0.004,-,,-,0.01,-,-2.08,-,-,-
  opt jul11,PTOO,0.001,-,-,-,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-
Quantum Energy,QTM,0.10,-,0.105,0.11,-,-,-,0.105,0.10,0.42,0.10,-,,-,0.03,-,2.41,4.1,-0.5,-4.76
Shenhua Ltd,SHU,0.51,-,0.40,0.51,-,-,-,0.51,0.51,0.55,0.45,-,,-,-,-,5.2,9.8,-,-
Tamawood Ltd,TWD,2.66,-,2.66,2.69,-,-,-,2.67,2.66,2.76,1.644,21,f,1.39,0.91,7.89,29.22,9.1,-,-
Thomas Bryson Int,TBI,0.35,-,-,-,-,-,-,0.35,0.35,0.56,0.35,1,,-,-,2.86,-2.26,-,-,-
Treyo Leisure,TYO,0.30,-,-,0.35,-,-,-,0.30,0.30,0.30,0.23,-,,-,0.11,-,2.3,13.0,-,-
TWT Grp Ltd,TWT,0.14,-,0.13,0.14,-,-,-,0.14,0.14,0.175,0.08,-,,-,0.31,-,-5.24,-,-,-
Undercoverwear,UCW,0.30,-,0.27,0.30,-,-,-,0.35,0.29,0.35,0.18,2.25,f,-,0.09,7.50,-5.65,-,-5.0,-14.29
Vmoto Ltd,VMT,0.15,0.5,0.145,0.15,17824,0.15,0.145,0.15,0.13,0.215,0.036,-,,-,0.02,-,-1.07,-,1.5,11.11
Waterco Ltd,WAT,0.97,-,0.95,0.97,-,-,-,0.97,0.97,1.01,0.48,6,f,1.72,1.26,6.19,10.3,9.4,-,-
INDUSTRY GROUP: Hotels Restaurants & Leisure,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.135,-,0.135,0.145,566,0.135,0.135,0.15,0.135,0.22,0.065,-,,-,0.01,-,-4.95,-,-,-
Aircruising Aust,AIG,0.11,-,0.001,-,-,-,-,0.11,0.11,0.12,0.098,-,,-,-0.11,-,-8.38,-,-,-
Allied Brands Ltd,ABQ,0.12,-,0.115,0.12,100,0.12,0.12,0.12,0.115,0.245,0.10,0.5,,4.60,0.06,4.17,2.3,5.2,-,-
  opt dec10,ABQO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-
Aristocrat Leisure,ALL,4.47,-6,4.46,4.47,16176,4.53,4.41,4.69,4.41,5.75,3.24,4.5,,-,0.07,1.01,-31.3,-,-18.0,-3.87
Artist & Entertain,AEM,0.014,-,0.013,0.014,4910,0.014,0.014,0.014,0.012,0.025,0.005,-,,-,-,-,-1.54,-,0.2,16.67
Centrebet Internat,CIL,1.69,4,1.65,1.695,359,1.69,1.65,1.77,1.615,1.89,0.86,10.5,,1.02,0.11,6.21,10.7,15.8,-1.0,-0.59
Crown Ltd,CWN,8.10,-8,8.08,8.10,11906,8.16,8.02,8.34,8.02,9.39,5.95,37,p,-,3.24,4.57,-92.35,-,-9.0,-1.1
Domino Pizza Enterpr,DMP,5.43,6,5.42,5.46,299,5.46,5.37,5.46,5.33,5.58,2.89,14,f,1.86,0.69,2.58,26,20.9,4.0,0.74
Early Learning Serv,ELY,0.55,7,0.55,0.60,1044,0.55,0.485,0.55,0.46,0.55,0.07,-,,-,-0.27,-,-0.35,-,10.0,22.22
eBet Ltd,EBT,0.075,0.2,0.076,0.077,1200,0.075,0.075,0.078,0.073,0.105,0.044,-,,-,-0.01,-,0.52,14.4,0.2,2.74
Eumundi Grp Ltd,EBG,0.065,-,0.053,0.065,-,-,-,0.065,0.065,0.09,0.05,-,,-,0.19,-,-6,-,1.5,30
Flight Centre,FLT,20.57,-41,20.57,20.58,3527,20.93,20.52,21.31,20.52,21.31,5.25,26,f,2.44,2.56,1.26,63.4,32.4,-18.0,-0.87
Garratt's Ltd,GRT,0.50,-,0.36,0.56,-,-,-,0.50,0.50,0.53,0.22,3,,1.43,0.14,6.00,4.28,11.7,-,-
Integrated Legal,IAW,0.115,-1,0.115,0.125,370,0.115,0.105,0.125,0.105,0.17,0.105,0.25,f,2.16,0.06,2.17,0.54,21.3,-1.0,-8
Invocare Ltd,IVC,5.95,-,5.95,5.96,1535,5.98,5.94,6.00,5.90,6.50,4.88,25.25,f,1.30,0.48,4.24,32.9,18.1,1.0,0.17
Jetset Travelworld,JET,0.92,-,0.915,0.92,-,-,-,0.92,0.92,1.70,0.62,3.6,f,0.63,0.12,3.91,2.28,40.4,-,-
Kip McGrath Edu Cntr,KME,0.32,-,0.315,0.32,371,0.32,0.32,0.32,0.32,0.45,0.105,2,,8.59,-0.10,6.25,17.19,1.9,-,-
Macro Corp Ltd,MAC,0.032,-,-,-,-,-,-,0.032,0.032,0.04,0.027,-,,-,0.08,-,-0.43,-,-,-
National Leisure,NLG,0.018,0.2,0.016,0.018,2700,0.018,0.018,0.018,0.014,0.044,0.006,-,,-,-0.32,-,0.34,5.3,-0.1,-5.26
Navitas Ltd,NVT,5.25,15,5.24,5.26,8270,5.35,5.11,5.35,5.01,5.56,2.26,16.9,f,0.99,-0.25,3.22,16.8,31.2,16.0,3.14
Newhaven Hotels,NHH,1.90,-,1.95,2.50,-,-,-,1.90,1.90,2.20,1.75,6,f,0.96,1.09,3.16,5.74,33.1,-,-
Ocean Capital,OCE,0.26,-,0.265,0.355,-,-,-,0.26,0.26,0.40,0.24,1.5,,0.93,0.41,5.77,1.39,18.7,-,-
Odyssey Gaming,ODG,0.043,-,0.043,-,-,-,-,0.043,0.043,0.07,0.017,-,,-,0.06,-,0.5,8.6,-,-
Planet Platinum,PPN,0.25,-,0.20,0.24,-,-,-,0.25,0.25,0.30,0.11,2.06,,2.17,0.21,8.24,4.46,5.6,-,-
Qld Trustees Invest,QTI,0.41,1,0.40,0.435,500,0.41,0.41,0.41,0.40,0.50,0.38,-,,-,0.78,-,1.02,40.2,1.0,2.5
Reef Casino Tr unt,RCT,2.00,-,1.98,2.00,-,-,-,2.00,1.95,2.15,1.70,24,,1.07,2.04,12.00,25.7,7.8,5.0,2.56
Retail Food Grp,RFG,2.50,-10,2.48,2.50,1563,2.60,2.47,2.65,2.47,3.10,1.36,10,f,2.54,-0.70,4.00,25.4,9.8,-12.0,-4.58
Sino Strategic Intl,SSI,0.385,-1.5,0.39,0.47,518,0.45,0.37,0.45,0.37,0.92,0.30,-,,-,-0.05,-,-67,-,-1.5,-3.75
Sky City Entertain,SKC,2.45,-4,2.46,2.53,2567,2.49,2.45,2.51,2.45,2.89,2.03,11.69,,1.63,0.53,4.77,19.09,12.8,-7.0,-2.78
Slater & Gordon,SGH,1.55,-,1.56,1.60,-,-,-,1.55,1.52,1.82,1.425,5.25,f,3.16,0.82,3.39,16.6,9.3,2.0,1.31
Stanfield Funds,SFN,0.012,-,0.011,0.016,-,-,-,0.016,0.012,0.03,0.009,-,,-,-0.01,-,-0.14,-,-0.3,-20
Success Res Global,SGU,0.015,-,0.013,0.025,-,-,-,0.015,0.015,0.06,0.003,-,,-,-,-,1.26,1.2,-,-
Superwoman Grp,SPG,0.01,-,0.001,0.01,-,-,-,0.01,0.01,0.02,0.007,-,,-,-,-,-0.39,-,-,-
Tabcorp Hldgs Ltd,TAH,6.93,3,6.92,6.93,22792,6.95,6.88,6.97,6.85,7.70,6.32,60,f,1.44,-1.53,8.66,86.1,8.0,5.0,0.73
Tatts Grp Ltd,TTS,2.45,-1,2.45,2.46,42238,2.46,2.43,2.51,2.43,2.87,2.19,21,f,1.04,-0.51,8.57,21.9,11.2,-2.0,-0.81
Transmetro Corp,TCO,0.70,-,-,-,-,-,-,0.70,0.70,0.80,0.67,3,,2.28,1.18,4.29,6.85,10.2,-,-
Viagold Capital,VIA,0.25,-,0.26,0.88,-,-,-,0.25,0.25,1.30,0.046,-,,-,0.36,-,3,8.3,-,-
Webjet Ltd,WEB,2.52,-,2.51,2.52,2973,2.53,2.49,2.57,2.49,2.70,1.047,8,f,1.52,0.41,3.17,12.2,20.7,-,-
Xiaoxiao Education,XXL,0.21,-,0.17,0.28,-,-,-,0.21,0.205,0.30,0.18,-,,-,-,-,-,-,2.0,10.53
INDUSTRY GROUP: Media,,,,,,,,,,,,,,,,,,,,,
Adcorp Aust,AAU,0.195,-,0.195,0.20,205,0.195,0.195,0.195,0.195,0.31,0.18,1,,-,0.07,5.13,-2.18,-,-,-
Amalgamated Hldgs,AHD,5.70,2,5.65,5.71,138,5.70,5.66,5.75,5.61,6.24,3.664,35,f,1.96,4.65,6.14,68.5,8.3,-,-
APN News & Media,APN,2.30,-1,2.29,2.30,11135,2.32,2.30,2.33,2.26,2.61,1.129,4,f,4.17,-0.78,1.74,16.7,13.8,-1.0,-0.43
Aspermont Ltd,ASP,0.14,-,0.12,0.14,-,-,-,0.14,0.14,0.271,0.11,-,,-,-0.03,-,0.88,15.9,-,-
Austar United,AUN,1.185,-0.5,1.185,1.19,32138,1.205,1.175,1.205,1.16,1.465,0.67,-,,-,-0.31,-,4.7,25.2,2.5,2.16
Austereo Grp Ltd,AEO,1.76,5,1.74,1.77,1860,1.77,1.70,1.77,1.605,1.785,1.15,9.1,f,1.32,-0.57,5.17,11.98,14.7,13.0,7.98
Beyond Intl,BYI,0.74,-,0.72,0.90,-,-,-,0.74,0.74,0.78,0.50,6,,1.36,0.45,8.11,8.18,9.0,-,-
Brisbane Broncos,BBL,0.39,-,0.36,0.39,-,-,-,0.385,0.385,0.40,0.24,0.5,f,1.78,0.12,1.28,0.89,43.8,0.5,1.3
BSA Ltd,BSA,0.23,-0.5,0.225,0.23,302,0.24,0.23,0.24,0.225,0.34,0.125,2,f,1.49,-0.01,8.70,2.99,7.7,-0.5,-2.13
Commstrat Ltd,COJ,0.005,-,0.004,0.005,-,-,-,0.005,0.005,0.01,0.003,-,,-,-,-,0.06,8.3,-,-
Consolidated Media,CMJ,3.15,-,3.15,3.16,6939,3.20,3.13,3.20,3.08,3.44,1.96,16.5,f,3.48,0.88,5.24,57.44,5.5,1.0,0.32
Facilitate Digital,FAC,0.075,-,0.075,0.08,400,0.075,0.075,0.075,0.07,0.149,0.035,-,,-,0.01,-,0.29,25.9,-1.0,-11.37
Fairfax Media Ltd,FXJ,1.795,-0.5,1.79,1.795,71843,1.81,1.78,1.83,1.775,1.885,0.985,1.1,,8.45,-0.31,0.61,9.3,19.3,0.5,0.28
Hyro Ltd,HYO,0.021,-,0.021,0.023,-,-,-,0.024,0.02,0.044,0.017,-,,-,-,-,2.39,0.9,-0.3,-12.5
Infochoice Ltd,ICH,0.485,-,-,0.44,-,-,-,0.485,0.485,0.485,0.485,-,,-,0.02,-,-1.35,-,-,-
IPGA Ltd,IPP,0.31,3,0.30,0.31,4433,0.32,0.30,0.32,0.28,0.32,0.079,-,,-,-,-,-1.69,-,5.0,19.23
Macq Radio,MRN,0.79,1,0.80,0.85,10,0.79,0.79,0.79,0.78,0.90,0.17,4,f,0.96,0.02,5.06,3.84,20.6,1.0,1.28
MCM Entertainment Gr,MEG,0.18,-,-,0.18,-,-,-,0.18,0.18,0.23,0.12,-,,-,0.04,-,1.01,17.8,-,-
Media Grp Int Ltd,MUI,0.009,-,0.009,0.012,-,-,-,0.012,0.009,0.25,0.009,-,,-,-,-,-2.68,-,-0.2,-18.18
Mitchell Comms,MCU,0.90,2.5,0.895,0.905,2098,0.90,0.89,0.90,0.87,0.95,0.475,4.4,f,1.50,-,4.89,6.6,13.6,1.0,1.12
News Corp b voting,NWS,18.63,13,18.59,18.63,14085,18.64,18.43,18.97,18.43,18.97,11.38,5.14,,14.51,0.45,0.28,74.58,25.0,-16.0,-0.85
  a nonvote,NWSLV,15.71,-,15.71,15.72,849,15.77,15.50,16.13,15.50,16.13,10.00,12.87,,-,-,0.82,-,-,-25.0,-1.57
Oohmedia Grp Ltd,OOH,0.12,0.5,0.12,0.19,1600,0.12,0.115,0.12,0.105,0.12,0.06,-,,-,-0.08,-,1.3,9.2,1.5,14.29
Pac Star Net,PNW,0.05,-,0.05,0.06,-,-,-,0.05,0.05,0.06,0.023,-,,-,0.01,-,0.1,50.0,-,-
Photon Grp Ltd,PGA,1.085,-4,1.06,1.085,5307,1.115,1.07,1.15,1.07,2.182,0.855,9.5,f,1.87,-1.43,8.76,17.72,6.1,-3.5,-3.13
Prime Media Grp,PRT,0.83,1,0.82,0.84,655,0.84,0.83,0.84,0.77,0.86,0.45,2.2,f,-,-,2.65,-2.7,-,7.0,9.21
Q Ltd,QXQ,0.082,-,0.082,0.085,-,-,-,0.085,0.082,0.236,0.056,-,,-,0.02,-,-237.1,-,-0.3,-3.53
REA Grp,REA,11.90,17,11.80,11.90,1900,11.90,11.74,11.95,11.65,11.96,4.01,10,,1.00,0.45,0.84,10.04,118.5,20.0,1.71
Resourc & En Grp,REZ,0.14,1.5,0.14,0.155,47,0.14,0.14,0.14,0.125,0.375,0.046,-,,-,0.07,-,-1.35,-,1.5,12
Seven Network   ,SEV,7.50,2,7.50,7.52,17255,7.52,7.39,7.63,7.35,8.09,5.03,34,f,7.60,9.70,4.53,258.43,2.9,7.0,0.94
Sky Net,SKT,3.98,-,4.00,4.22,-,-,-,3.98,3.98,4.15,3.05,11.39,,1.72,-0.47,2.86,19.63,20.3,-,-
Sthn Cross Media,SXL,2.18,1,2.18,2.20,12029,2.21,2.17,2.21,2.11,2.26,0.798,6.7,,-,-0.51,3.07,-36.65,-,5.0,2.35
STW Comms,SGN,0.83,-2,0.83,0.845,1129,0.85,0.83,0.85,0.825,0.95,0.44,3.5,f,2.09,0.15,4.22,7.32,11.3,0.5,0.61
Ten Network Hldgs,TEN,1.895,-0.5,1.89,1.895,57296,1.91,1.855,1.94,1.84,1.94,0.735,2,,2.31,-0.29,1.06,4.62,41.0,5.5,2.99
TPL Corp Ltd,TPL,0.023,0.1,0.023,0.025,10000,0.023,0.023,0.024,0.022,0.028,0.002,-,,-,-,-,-0.21,-,-,-
Two Way Ltd,TTV,0.043,-,0.043,0.045,-,-,-,0.045,0.043,0.078,0.015,-,,-,0.01,-,-3.44,-,-0.2,-4.44
Village Roadshow,VRL,2.42,-,2.42,2.50,58,2.42,2.42,2.48,2.40,2.48,0.77,3.75,,11.12,-1.97,1.55,41.69,5.8,2.0,0.83
  'a' pref,VRLPA,2.43,3,2.43,2.49,2,2.43,2.43,2.43,2.40,2.43,0.49,3.75,,-,-,1.54,-,-,3.0,1.25
WAG Ltd,WAG,0.009,-0.1,0.008,0.01,21130,0.01,0.009,0.01,0.008,0.011,0.003,-,,-,-,-,-0.01,-,0.3,50
West Aust News,WAN,7.93,-,7.93,7.94,6844,7.96,7.86,8.00,7.72,8.48,3.96,29,f,1.29,-,3.66,37.3,21.3,13.0,1.67
World Wide Ent Grp,WWG,0.09,-,0.09,0.095,200,0.09,0.09,0.093,0.085,0.20,0.055,-,,-,-,-,3.05,3.0,3.5,63.64
INDUSTRY GROUP: Retailing,,,,,,,,,,,,,,,,,,,,,
Adtrans Grp,ADG,3.50,-,2.76,3.50,-,-,-,3.60,3.50,3.70,2.00,20,f,1.86,2.44,5.71,37.1,9.4,-,-
Adultshop Com,ASC,0.011,-,0.01,0.011,15455,0.011,0.01,0.011,0.01,0.015,0.004,-,,-,0.02,-,-0.19,-,-,-
  opt dec11,ASCO,0.004,-,0.003,0.004,-,-,-,0.004,0.004,0.005,0.002,-,,-,-,-,-,-,-,-
AMA Grp Ltd,AMA,0.048,-,0.048,0.056,-,-,-,0.051,0.047,0.078,0.017,-,,-,-0.09,-,7.75,0.6,-0.2,-4
AP Eagers Ltd,APE,12.55,-,12.55,13.25,1,12.55,12.55,12.55,12.55,13.55,5.35,62,f,1.96,8.81,4.94,121.6,10.3,-,-
ARB Corp,ARP,5.44,-22,5.44,5.66,678,5.66,5.41,5.71,5.41,5.78,2.535,17.5,f,2.31,1.22,3.22,40.44,13.5,-22.0,-3.89
Automotive Hldgs,AHE,2.60,-,2.52,2.60,1177,2.65,2.57,2.65,2.56,2.74,0.85,17,f,1.66,0.75,6.54,28.14,9.2,-1.0,-0.38
Beyond Sportswear,BSI,0.018,-,0.018,0.023,-,-,-,0.018,0.018,0.045,0.007,-,,-,-0.01,-,-0.57,-,-,-
Breville Grp Ltd,BRG,1.95,-,1.96,2.00,-,-,-,2.05,1.95,2.45,0.605,7.5,,1.68,0.59,3.85,12.62,15.5,-10.0,-4.88
Cash Convert ord/div   ,CCV,0.575,-0.5,0.575,0.58,6344,0.59,0.57,0.60,0.57,0.71,0.36,3,f,2.32,0.23,5.22,6.97,8.2,-3.0,-4.96
Clive Peeters,CPR,0.285,2.5,0.26,0.285,753,0.285,0.255,0.29,0.255,0.74,0.079,-,,-,0.27,-,-7.6,-,-0.5,-1.72
Country Road Ltd,CTY,3.65,-,3.66,-,-,-,-,3.65,3.65,4.00,3.10,13.32,f,1.57,0.97,3.65,20.85,17.5,-,-
David Jones Ltd,DJS,4.72,-3,4.71,4.73,18140,4.79,4.70,4.94,4.70,5.96,2.78,29,f,1.14,1.22,6.14,33,14.3,-29.0,-5.79
Fantastic Hldgs,FAN,3.55,-15,3.55,3.70,41,3.70,3.55,3.72,3.46,4.29,2.05,11.75,f,2.06,0.81,3.31,24.21,14.7,9.0,2.6
Harvey Norman,HVN,3.65,3,3.65,3.66,56757,3.66,3.62,3.68,3.61,4.85,2.61,13,f,1.98,2.10,3.56,25.78,14.2,-1.0,-0.27
Hire Intelligence,HII,0.14,-,0.12,0.40,-,-,-,0.14,0.13,0.20,0.13,1,,0.98,-,7.14,0.98,14.3,1.0,7.69
JB Hi-Fi Ltd,JBH,20.26,-4,20.25,20.34,7231,20.70,20.20,20.91,20.17,23.71,11.66,62,f,1.67,1.71,3.06,103.42,19.6,-2.0,-0.1
Joyce Corp,JYC,0.39,-,0.39,0.40,-,-,-,0.39,0.39,0.58,0.37,3.5,,-,0.67,8.97,-8.49,-,-,-
Manaccom Corp Ltd,MNL,0.345,-,0.345,0.365,30,0.345,0.345,0.35,0.345,0.55,0.20,1.5,f,4.79,-,4.35,7.18,4.8,0.5,1.47
Myer Hldgs Ltd,MYR,3.32,-3,3.32,3.33,25839,3.37,3.31,3.39,3.31,3.98,3.12,10.5,f,0.39,-0.21,3.16,4.1,81.0,-5.0,-1.48
Nick Scali Ltd,NCK,1.59,-,1.52,1.59,-,-,-,1.59,1.59,1.75,0.54,10.5,f,1.00,0.22,6.60,10.46,15.2,-,-
Noni B Ltd,NBL,1.44,2,1.425,1.44,344,1.44,1.41,1.44,1.385,1.44,0.81,6,f,1.77,0.51,4.17,10.6,13.6,5.5,3.97
Orotongrp Ltd,ORL,6.79,3,6.62,6.80,225,6.80,6.66,6.80,6.49,7.21,2.546,44,f,1.25,0.74,6.48,54.92,12.4,19.0,2.88
Pac Brands,PBG,1.31,-1.5,1.31,1.315,36494,1.325,1.30,1.35,1.30,1.52,0.29,-,,-,-0.04,-,-7.6,-,-2.0,-1.5
Premier Invest,PMV,7.55,-5,7.55,7.60,2406,7.60,7.50,7.80,7.50,8.934,3.813,36,f,1.38,2.19,4.77,49.85,15.1,-32.0,-4.07
Quickflix Ltd,QFX,0.07,-,0.06,0.07,6,0.07,0.07,0.075,0.07,0.09,0.016,-,,-,-,-,-1.64,-,-0.7,-9.09
RCG Corp Ltd,RCG,0.55,-,0.53,0.55,2750,0.55,0.53,0.57,0.53,0.64,0.256,2.25,f,1.19,0.09,4.09,2.67,20.6,-1.0,-1.79
Ruralco Hldgs,RHL,2.71,-9,2.74,2.80,6,2.71,2.71,3.00,2.62,3.00,1.72,12,f,1.33,1.76,4.43,15.97,17.0,9.0,3.44
Specialty Fashion,SFH,1.505,-2,1.50,1.53,2884,1.53,1.495,1.53,1.485,1.65,0.36,4,f,4.45,0.25,2.66,17.8,8.5,0.5,0.33
Super Cheap Auto ,SUL,5.15,-20,5.11,5.30,565,5.35,5.15,5.41,5.15,5.95,2.32,20,f,1.60,0.74,3.88,31.9,16.1,-17.0,-3.2
The Reject Shop,TRS,16.33,20,16.33,16.35,917,16.33,16.05,16.66,16.00,17.39,10.50,62,f,1.39,2.17,3.80,86.4,18.9,21.0,1.3
Thorn Grp Ltd,TGA,1.085,-3.5,1.085,1.12,3141,1.12,1.055,1.125,1.055,1.28,0.46,5.47,f,2.46,0.47,5.04,13.43,8.1,-4.0,-3.56
TVN Corp Ltd,TVN,0.008,-,0.008,0.015,513,0.008,0.008,0.008,0.008,0.013,0.002,-,,-,-,-,-0.14,-,-,-
Vita Grp Ltd,VTG,0.285,-,0.285,0.30,271,0.285,0.285,0.305,0.285,0.345,0.062,-,,-,-0.05,-,6.56,4.3,-1.5,-5
Warehouse Grp,WHS,2.97,6,2.85,2.97,20,2.97,2.95,2.97,2.91,3.694,2.443,17.83,,1.22,0.83,6.00,21.82,13.6,6.0,2.06
Wotif Com Hldgs,WTF,7.25,-,7.25,7.29,3403,7.37,7.25,7.52,7.20,7.87,3.54,20,f,1.21,-0.06,2.76,24.23,29.9,-6.0,-0.82
SECTOR: Consumer Staple,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Food & Staples Retailing,,,,,,,,,,,,,,,,,,,,,
