Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4479.0 at 16:37 28/5/2010  Report at 19:06 Friday 28/5/2010. Processed 07:19 Saturday 29/5/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.10,-,0.10,0.12,110,0.10,0.10,0.105,0.10,0.22,0.065,-,,-,0.01,-,-4.95,-,-0.5,-4.76,
Aircruising Aust,AIG,0.11,-,0.005,-,-,-,-,0.11,0.11,0.11,0.10,-,,-,-0.11,-,-8.38,-,-,-,
Allied Brands Ltd,ABQ,0.085,-,0.084,0.085,660,0.085,0.084,0.085,0.075,0.245,0.071,0.5,,4.60,0.06,5.88,2.3,3.7,0.9,11.84,
  opt dec10,ABQO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-,
Aristocrat Leisure,ALL,4.04,8,3.98,4.05,16849,4.11,4.00,4.11,3.92,5.75,3.37,4.5,,-,0.07,1.11,-31.3,-,-4.0,-0.98,
Artist & Entertain,AEM,0.01,-,0.009,0.012,-,-,-,0.01,0.01,0.025,0.009,-,,-,-,-,-1.54,-,-,-,
Centrebet Internat,CIL,1.60,-,1.55,1.60,168,1.60,1.60,1.67,1.58,1.89,0.86,10.5,,1.02,0.11,6.56,10.7,15.0,-5.0,-3.03,
Crown Ltd,CWN,7.70,5,7.55,7.75,20899,7.75,7.51,7.87,7.41,9.39,6.41,37,p,-,3.24,4.81,-92.35,-,9.0,1.18,
Domino Pizza Enterpr,DMP,5.50,-,5.40,5.50,866,5.62,5.49,5.62,5.25,5.80,2.99,14,f,1.86,0.69,2.55,26,21.2,7.0,1.29,
Early Learning Serv,ELY,0.60,-1,0.60,0.63,1410,0.61,0.60,0.63,0.52,0.685,0.07,-,,-,-0.27,-,-0.35,-,9.0,17.65,
eBet Ltd,EBT,0.081,-,0.086,0.088,-,-,-,0.09,0.08,0.105,0.044,-,,-,-0.01,-,0.52,15.6,0.1,1.25,
Eumundi Grp Ltd,EBG,0.05,0.5,0.05,0.07,100,0.05,0.05,0.05,0.041,0.081,0.03,-,,-,0.19,-,-6,-,0.9,21.95,
Flight Centre,FLT,16.40,3,16.35,16.43,5599,16.71,15.88,17.51,15.79,21.43,7.21,26,f,2.44,2.56,1.59,63.4,25.9,13.0,0.8,
Garratt's Ltd,GRT,0.56,-,0.37,0.50,-,-,-,0.56,0.56,0.56,0.30,3,,1.43,0.14,5.36,4.28,13.1,-,-,
Integrated Legal,IAW,0.091,-,0.091,0.099,100,0.091,0.091,0.10,0.091,0.17,0.091,0.25,f,2.16,0.06,2.75,0.54,16.9,-0.9,-9,
Invocare Ltd,IVC,5.93,4,5.88,5.94,1319,5.93,5.82,5.98,5.70,6.50,5.25,25.25,f,1.30,0.48,4.26,32.9,18.0,4.0,0.68,
Jetset Travelworld,JET,0.90,3,0.87,0.90,21,0.90,0.90,0.90,0.87,1.70,0.68,3.6,f,0.63,0.12,4.00,2.28,39.5,1.5,1.69,
Kip McGrath Edu Cntr,KME,0.335,-,0.335,0.35,-,-,-,0.335,0.33,0.45,0.105,2,,8.59,-0.10,5.97,17.19,1.9,0.5,1.52,
Macro Corp Ltd,MAC,0.025,-,0.005,0.032,-,-,-,0.025,0.025,0.04,0.025,-,,-,0.08,-,-0.43,-,-,-,
