Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4771.9 at 16:36 22/1/2010  Report at 19:05 Friday 22/1/2010. Processed 19:42 Friday 22/1/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
Gale Pacific Ltd,GAP,0.17,-1.5,0.17,0.18,3055,0.205,0.17,0.205,0.135,0.205,0.035,-,,-,0.24,-,-6.75,-,3.0,21.43
Gazal Corp,GZL,1.25,-,1.205,1.25,50,1.25,1.25,1.39,1.25,1.55,0.85,8,f,1.41,0.60,6.40,11.3,11.1,-14.0,-10.07
GLG Corp Ltd,GLE,0.40,-,0.28,-,-,-,-,0.40,0.40,0.40,0.13,-,,-,0.45,-,3.55,11.3,-,-
Globe Intl,GLB,0.45,-,0.45,0.48,196,0.45,0.445,0.45,0.445,0.525,0.125,-,,-,0.70,-,-21.39,-,-,-
GUD Hldgs,GUD,9.10,-21,9.10,9.45,1304,9.31,9.00,9.45,9.00,9.67,4.87,60,f,1.00,0.66,6.59,60,15.2,-26.0,-2.78
Headline Grp Ltd,HLD,0.195,-,0.195,0.205,5644,0.20,0.195,0.205,0.195,0.215,0.08,-,,-,0.12,-,-1.31,-,-0.5,-2.5
Island Sky Aust,ISK,0.13,-1.5,0.125,0.135,2312,0.15,0.13,0.15,0.13,0.335,0.089,-,,-,0.08,-,0.63,20.6,-,-
  opt nov11,ISKO,0.025,-,0.026,0.065,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-
Kathmandu Hldgs,KMD,1.57,-1,1.56,1.57,2052,1.58,1.555,1.62,1.555,1.82,1.515,-,,-,-,-,-,-,-4.5,-2.79
Kresta Hldgs,KRS,0.24,-0.5,0.24,0.245,58,0.24,0.24,0.255,0.24,0.255,0.08,1,f,2.68,0.16,4.17,2.68,9.0,-1.0,-4
McPherson's Ltd,MCP,3.08,-6,3.08,3.10,698,3.10,3.08,3.14,3.07,3.48,0.27,-,,-,-0.52,-,30.2,10.2,-5.0,-1.6
Merchant House,MHI,0.16,-,0.135,0.175,-,-,-,0.165,0.16,0.18,0.08,1,,4.40,0.27,6.25,4.4,3.6,-0.5,-3.03
Mesbon China Nylon,MES,0.10,-,0.10,0.11,-,-,-,0.115,0.10,0.14,0.05,-,,-,0.32,-,-1.3,-,-1.5,-13.04
Photo-Me Aust,PTO,0.005,-,0.005,0.007,-,-,-,0.007,0.005,0.021,0.004,-,,-,-0.02,-,-2.5,-,-0.2,-28.57
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.006,0.001,-,,-,-,-,-,-,-,-
Quantum Energy,QTM,0.13,-1,0.125,0.13,8889,0.14,0.125,0.155,0.125,0.42,0.09,-,,-,0.02,-,2.97,4.4,-1.0,-7.14
Shenhua Ltd,SHU,0.51,-,-,0.515,-,-,-,0.51,0.45,0.55,0.45,-,,-,-,-,-,-,6.0,13.33
Tamawood Ltd,TWD,2.60,-3,2.45,2.60,38,2.60,2.60,2.63,2.35,2.69,1.393,21,f,1.16,1.06,8.08,24.35,10.7,25.0,10.64
Thomas Bryson Int,TBI,0.35,-,0.30,-,-,-,-,0.35,0.35,0.57,0.35,-,,-,-,-,-,-,-,-
Treyo Leisure,TYO,0.30,-,-,0.33,-,-,-,0.30,0.30,0.30,0.23,-,,-,-,-,-,-,-,-
TWT Grp Ltd,TWT,0.135,-0.5,0.135,0.265,632,0.135,0.135,0.16,0.135,0.235,0.07,-,,-,0.33,-,-6.18,-,-3.5,-20.59
Undercoverwear,UCW,0.31,-,0.31,0.35,-,-,-,0.31,0.31,0.32,0.16,2,f,-,0.10,6.45,-4.72,-,-,-
Vmoto Ltd,VMT,0.17,-0.5,0.165,0.17,1545,0.17,0.16,0.18,0.16,0.215,0.03,-,,-,0.01,-,-1.27,-,-1.0,-5.56
Waterco Ltd,WAT,1.01,-,0.98,1.00,-,-,-,1.01,1.01,1.01,0.48,5,f,1.60,1.36,4.95,8,12.6,3.0,3.06
INDUSTRY GROUP: Hotels Restaurants & Leisure,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.18,-,0.18,0.195,50,0.18,0.18,0.20,0.18,0.22,0.05,-,,-,0.02,-,-4.45,-,-1.0,-5.26
Aircruising Aust,AIG,0.11,-,0.07,-,-,-,-,0.11,0.11,0.12,0.098,-,,-,-0.07,-,-5.34,-,-,-
Allied Brands Ltd,ABQ,0.15,-0.5,0.15,0.165,3120,0.16,0.15,0.16,0.15,0.245,0.10,0.5,f,5.60,0.05,3.33,2.8,5.4,-1.0,-6.25
  opt dec10,ABQO,0.001,-,0.001,0.002,1500,0.001,0.001,0.003,0.001,0.029,0.001,-,,-,-,-,-,-,-0.2,-66.67
Aristocrat Leisure,ALL,4.07,-,4.05,4.07,79481,4.08,4.00,4.15,3.98,5.75,3.16,14.5,f,-,0.35,3.56,-0.2,-,2.0,0.49
Artist & Entertain,AEM,0.015,-0.1,0.014,0.015,11250,0.016,0.015,0.018,0.012,0.025,0.004,-,,-,-,-,2.83,0.5,-,-
Celtex Ltd,CXE,0.013,-,0.012,0.013,986,0.013,0.013,0.013,0.01,0.03,0.009,-,,-,-0.01,-,-0.72,-,0.1,8.33
Centrebet Internat,CIL,1.54,-1,1.54,1.56,2961,1.54,1.50,1.60,1.41,1.60,0.86,9.5,,1.00,0.08,6.17,9.5,16.2,14.0,10
Crown Ltd,CWN,7.66,-11,7.64,7.69,41987,7.75,7.64,7.88,7.64,9.39,4.56,37,p,-,3.42,4.83,-166.89,-,-18.0,-2.3
Domino Pizza Enterpr,DMP,5.22,-6,5.13,5.30,1729,5.26,5.20,5.30,5.20,5.50,2.74,12.4,f,1.82,0.69,2.38,22.6,23.1,2.0,0.38
Early Learning Serv,ELY,0.31,-1.5,0.31,0.36,1655,0.325,0.30,0.45,0.30,0.45,0.07,-,,-,-,-,-25.22,-,-6.0,-16.22
eBet Ltd,EBT,0.073,-,0.072,0.079,406,0.073,0.073,0.08,0.072,0.105,0.024,-,,-,-0.01,-,0.7,10.4,-0.7,-8.75
Eumundi Grp Ltd,EBG,0.075,-,0.065,0.075,-,-,-,0.075,0.075,0.10,0.06,-,,-,0.27,-,-5.89,-,-,-
Flight Centre,FLT,19.30,-46,19.20,19.50,3613,19.70,19.16,20.15,17.35,20.15,3.39,9,,4.26,1.92,0.47,38.3,50.4,157.0,8.86
Garratt's Ltd,GRT,0.50,-,0.30,0.48,-,-,-,0.50,0.50,0.53,0.22,3,,1.43,0.13,6.00,4.3,11.6,-,-
Integrated Legal,IAW,0.12,-,0.125,0.16,400,0.12,0.12,0.125,0.12,0.17,0.12,-,,-,0.05,-,0.89,13.5,-,-
  new,IAWN,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
  new 0309,IAWNA,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Invocare Ltd,IVC,5.91,-,5.85,6.01,2314,5.93,5.76,6.04,5.76,6.48,4.48,24.5,f,1.22,0.35,4.15,29.9,19.8,-9.0,-1.5
Jetset Travelworld,JET,1.535,-8.5,1.45,1.55,360,1.535,1.52,1.70,1.52,1.70,0.55,7,f,1.06,0.10,4.56,7.39,20.8,-1.5,-0.97
Kip McGrath Edu Cntr,KME,0.39,-,0.31,0.385,-,-,-,0.39,0.39,0.45,0.105,2,f,8.50,-0.09,5.13,17,2.3,-,-
Macro Corp Ltd,MAC,0.027,-,-,0.03,-,-,-,0.029,0.029,0.04,0.027,-,,-,0.07,-,-0.37,-,-0.2,-6.9
National Leisure,NLG,0.031,0.4,0.03,0.031,3960,0.031,0.03,0.031,0.027,0.044,0.005,-,,-,-0.30,-,0.08,38.8,0.1,3.33
Navitas Ltd,NVT,4.40,-4,4.37,4.40,2500,4.53,4.37,4.59,4.32,4.59,2.08,14.3,f,1.00,-0.23,3.25,14.3,30.8,12.0,2.8
Newhaven Hotels,NHH,1.88,-,1.90,2.50,-,-,-,1.84,1.84,2.20,1.75,6,f,0.88,1.06,3.19,5.3,35.5,4.0,2.17
Ocean Capital,OCE,0.38,-,0.35,0.38,-,-,-,0.38,0.38,0.40,0.24,1.5,f,0.89,0.41,3.95,1.33,28.6,-,-
Odyssey Gaming,ODG,0.07,-,0.05,-,-,-,-,0.07,0.07,0.07,0.017,-,,-,0.06,-,0.24,29.2,-,-
Planet Platinum,PPN,0.23,-,0.245,0.29,-,-,-,0.23,0.23,0.30,0.096,2.06,f,0.97,0.20,8.96,2,11.5,-,-
Qld Trustees Invest,QTI,0.50,-,0.45,0.50,-,-,-,0.50,0.50,0.50,0.37,-,,-,0.79,-,1.3,38.5,-,-
Reef Casino Tr unt,RCT,2.00,-6,1.96,2.06,17,2.00,2.00,2.06,1.94,2.15,1.65,24.5,,0.04,2.64,12.25,1.1,181.8,6.0,3.09
Retail Food Grp,RFG,2.90,-1,2.86,2.90,277,2.94,2.82,3.00,2.82,3.10,1.07,9.25,f,2.56,-0.86,3.19,23.7,12.2,-10.0,-3.33
Sino Strategic Intl,SSI,0.64,-1,0.64,0.695,406,0.66,0.64,0.705,0.64,0.92,0.30,-,,-,-0.04,-,-70,-,-8.5,-11.72
Sky City Entertain,SKC,2.68,8,2.61,2.68,5539,2.68,2.61,2.75,2.59,2.89,1.90,5.44,,3.46,0.47,2.03,18.83,14.2,6.0,2.29
Slater & Gordon,SGH,1.55,-,1.54,1.62,-,-,-,1.635,1.55,1.82,1.425,4.25,f,3.74,0.80,2.74,15.9,9.7,-4.5,-2.82
Success Res Global,SGU,0.02,-,0.021,0.029,-,-,-,0.02,0.02,0.06,0.003,-,,-,-,-,0.09,22.2,-,-
Superwoman Grp,SPG,0.011,-,0.001,0.011,-,-,-,0.011,0.011,0.03,0.007,-,,-,-,-,-0.3,-,-,-
Tabcorp Hldgs Ltd,TAH,7.25,5,7.20,7.26,29315,7.25,7.12,7.28,7.11,7.70,6.05,65,f,1.43,-0.02,8.97,93.2,7.8,9.0,1.26
Tatts Grp Ltd,TTS,2.42,-1,2.41,2.42,40714,2.43,2.40,2.46,2.40,2.97,2.33,21,f,1.04,-0.56,8.68,21.9,11.1,-3.0,-1.22
Transmetro Corp,TCO,0.70,-,0.50,-,-,-,-,0.70,0.70,0.80,0.67,3,f,3.97,1.17,4.29,11.9,5.9,-,-
Viagold Capital,VIA,0.20,-,0.07,0.23,-,-,-,0.21,0.17,1.30,0.046,-,,-,0.36,-,3,6.7,5.0,33.33
Webjet Ltd,WEB,2.34,4,2.31,2.35,1329,2.38,2.27,2.38,2.17,2.38,0.992,5.5,f,1.86,0.38,2.35,10.24,22.9,13.0,5.88
INDUSTRY GROUP: Media,,,,,,,,,,,,,,,,,,,,,
Adcorp Aust,AAU,0.23,-,0.235,0.245,-,-,-,0.24,0.23,0.31,0.165,1,,0.45,0.08,4.35,0.45,51.1,-0.5,-2.13
Amalgamated Hldgs,AHD,5.75,-,5.55,5.75,661,5.75,5.49,5.75,5.49,6.24,3.598,32,f,1.67,4.48,5.57,53.5,10.7,5.0,0.88
APN News & Media,APN,2.36,2,2.36,2.37,43440,2.36,2.27,2.45,2.27,2.61,0.866,12,,-,-1.23,5.08,-13.1,-,-2.0,-0.84
Aspermont Ltd,ASP,0.13,-,0.13,0.17,-,-,-,0.135,0.13,0.271,0.11,-,,-,-0.06,-,-0.22,-,-0.5,-3.7
Austar United,AUN,1.34,-,1.30,1.345,18995,1.35,1.31,1.355,1.31,1.465,0.65,-,,-,-0.33,-,-2.4,-,1.0,0.75
Austereo Grp Ltd,AEO,1.60,-4,1.60,1.62,4883,1.605,1.575,1.785,1.575,1.785,1.04,9.1,f,1.32,-0.01,5.69,11.98,13.4,-18.5,-10.36
Beyond Intl,BYI,0.75,-,0.78,0.80,-,-,-,0.75,0.75,0.75,0.50,5,,1.46,0.42,6.67,7.28,10.3,7.0,10.29
Brisbane Broncos,BBL,0.40,-,0.34,0.40,-,-,-,0.40,0.40,0.40,0.23,-,,-,0.12,-,1.42,28.2,-,-
BSA Ltd,BSA,0.325,0.5,0.32,0.33,1210,0.325,0.32,0.33,0.32,0.34,0.125,2,f,2.00,0.03,6.15,4.01,8.1,0.5,1.56
Commstrat Ltd,COJ,0.005,-,0.005,0.007,-,-,-,0.005,0.005,0.01,0.003,-,,-,-,-,0.02,25.0,-,-
Consolidated Media,CMJ,3.04,1,3.04,3.07,7299,3.05,3.00,3.09,3.00,3.44,1.71,16.5,,3.75,0.66,5.43,61.91,4.9,-1.0,-0.33
Facilitate Digital,FAC,0.04,-2,0.011,0.05,2500,0.045,0.04,0.06,0.04,0.15,0.01,-,,-,0.01,-,-7.71,-,-2.0,-33.33
Fairfax Media Ltd,FXJ,1.79,-4,1.785,1.795,213252,1.815,1.755,1.885,1.755,1.885,0.795,2,,-,-0.37,1.12,-21.6,-,1.0,0.56
Hyro Ltd,HYO,0.028,-,0.027,0.028,-,-,-,0.031,0.028,0.044,0.01,-,,-,-0.05,-,-5.38,-,-,-
Infochoice Ltd,ICH,0.485,-,-,0.44,-,-,-,0.485,0.485,0.485,0.485,-,,-,0.02,-,-7.22,-,-,-
IPGA Ltd,IPP,0.12,-,0.14,0.195,-,-,-,0.15,0.12,0.17,0.07,-,,-,-,-,-1.53,-,-2.0,-14.29
Macq Radio,MRN,0.82,-,0.73,0.82,-,-,-,0.82,0.79,0.85,0.17,-,,-,-0.03,-,0.04,2050.0,7.0,9.33
MCM Entertainment Gr,MEG,0.19,-,0.19,0.22,-,-,-,0.20,0.19,0.23,0.071,-,,-,0.03,-,0.03,633.3,-1.0,-5
Media Grp Int Ltd,MUI,0.011,-0.2,0.012,0.014,500,0.011,0.011,0.017,0.011,0.25,0.011,-,,-,-0.08,-,-3.74,-,-0.6,-35.29
Mitchell Comms,MCU,0.895,1.5,0.875,0.90,1355,0.895,0.87,0.90,0.85,0.95,0.355,4,f,1.65,-0.22,4.47,6.6,13.6,5.5,6.55
News Corp b voting,NWS,16.78,-22,16.72,16.80,18871,16.93,16.70,17.31,16.70,18.41,8.93,5.14,,14.51,-0.04,0.31,74.58,22.5,-42.0,-2.44
  a nonvote,NWSLV,14.26,-10,13.89,14.50,6435,14.31,14.15,14.67,14.15,15.65,7.86,13.73,,-,-,0.96,-,-,-28.0,-1.93
Oohmedia Grp Ltd,OOH,0.11,-,0.09,0.10,-,-,-,0.11,0.10,0.12,0.06,-,,-,-0.10,-,1.17,9.4,1.0,10
Pac Star Net,PNW,0.05,-,0.04,0.05,-,-,-,0.05,0.041,0.05,0.023,-,,-,0.01,-,0.06,83.3,0.9,21.95
Palamedia Ltd,PMX,0.004,-,0.004,0.023,500,0.004,0.004,0.006,0.004,0.02,0.004,-,,-,-,-,-0.26,-,-0.2,-33.33
Photon Grp Ltd,PGA,1.40,1,1.395,1.42,759,1.405,1.375,1.525,1.35,2.182,0.80,12.5,f,1.69,-0.03,8.93,21.08,6.6,-10.0,-6.67
Prime Media Grp,PRT,0.75,-1,0.75,0.80,5912,0.75,0.74,0.79,0.74,0.927,0.441,3,f,-,-0.22,4.00,-24.5,-,-1.0,-1.32
Q Ltd,QXQ,0.09,-0.8,0.09,0.097,3514,0.092,0.09,0.099,0.09,0.236,0.056,-,,-,-0.23,-,4.1,2.2,-0.9,-9.09
REA Grp,REA,9.04,-13,8.82,9.04,952,9.04,8.65,9.60,8.65,9.92,3.38,10,f,0.07,0.30,1.11,0.74,1221.6,-56.0,-5.83
Seven Network   ,SEV,6.65,-6,6.53,6.69,1923,6.71,6.51,6.90,6.51,7.09,5.03,34,f,0.19,7.27,5.11,6.38,104.2,1.0,0.15
Sky Net fpo nz,SKT,3.95,-16,3.85,4.04,783,4.04,3.95,4.15,3.95,4.15,2.96,11.48,,1.59,0.50,2.91,18.27,21.6,-13.0,-3.19
Sth Cross Media stpld,SXL,1.90,-0.5,1.90,1.92,5140,1.905,1.83,1.965,1.83,2.16,0.413,6.7,,-,-2.66,3.53,-40.3,-,-2.0,-1.04
STW Comms,SGN,0.825,-2,0.815,0.83,2389,0.835,0.81,0.855,0.81,0.95,0.284,4.7,f,1.73,-0.15,5.70,8.15,10.1,-3.0,-3.51
Ten Network Hldgs,TEN,1.64,-,1.62,1.645,33367,1.645,1.57,1.72,1.57,1.745,0.615,2,,-,-0.35,1.22,-9.62,-,-8.5,-4.93
TPL Corp Ltd,TPL,0.022,-,0.021,0.024,-,-,-,0.027,0.016,0.028,0.002,-,,-,-,-,-0.06,-,-0.4,-15.38
Two Way Ltd,TTV,0.052,-,0.052,0.055,1000,0.052,0.052,0.056,0.045,0.078,0.015,-,,-,0.02,-,-3.1,-,-1.0,-16.13
Village Roadshow,VRL,2.13,-6,2.09,2.20,162,2.14,2.13,2.26,2.09,2.26,0.77,9.75,f,-,-1.18,4.58,-2.17,-,5.0,2.4
  'a' pref,VRLPA,2.14,-,2.11,2.14,237,2.14,2.08,2.35,2.08,2.35,0.49,12.75,,-,-,5.96,-,-,-1.0,-0.47
WAG Ltd,WAG,0.009,-,0.008,0.009,-,-,-,0.009,0.009,0.011,0.002,-,,-,-,-,-0.12,-,-,-
West Aust News,WAN,7.50,-28,7.45,7.57,5811,7.63,7.42,7.94,7.42,8.48,3.62,33,f,1.28,-,4.40,42.1,17.8,-23.0,-2.98
World Wide Ent Grp,WWG,0.09,-,0.091,0.16,-,-,-,0.09,0.09,0.25,0.09,-,,-,0.31,-,2,4.5,-,-
INDUSTRY GROUP: Retailing,,,,,,,,,,,,,,,,,,,,,
Adtrans Grp,ADG,3.35,-10,3.35,3.50,65,3.35,3.33,3.45,3.33,3.53,1.65,16,f,1.74,2.37,4.78,27.9,12.0,-5.0,-1.47
Adultshop Com,ASC,0.012,-,0.011,0.012,165,0.012,0.012,0.014,0.012,0.014,0.003,-,,-,0.04,-,-0.28,-,-,-
  opt dec11,ASCO,0.004,-,0.004,0.005,-,-,-,0.005,0.004,0.005,0.002,-,,-,-,-,-,-,0.1,33.33
AMA Grp Ltd,AMA,0.054,-,0.054,0.058,888,0.054,0.054,0.059,0.052,0.078,0.017,-,,-,-0.23,-,-43.5,-,0.2,3.85
AP Eagers Ltd,APE,12.10,10,12.00,12.45,52,12.33,12.00,12.60,12.00,13.00,4.45,44,f,0.82,8.41,3.64,36.1,33.5,-50.0,-3.97
ARB Corp,ARP,5.41,-1,5.37,5.43,346,5.42,5.38,5.48,5.27,5.48,2.368,16.5,f,2.05,1.22,3.05,33.86,16.0,13.0,2.46
Automotive Hldgs,AHE,2.45,-,2.35,2.45,1102,2.45,2.35,2.48,2.35,2.60,0.52,14,f,0.89,0.69,5.71,12.4,19.8,2.0,0.82
Beyond Sportswear,BSI,0.016,-,0.016,0.024,-,-,-,0.017,0.016,0.045,0.007,-,,-,-0.01,-,-0.23,-,-,-
Breville Grp Ltd,BRG,1.68,1,1.68,1.72,55,1.68,1.68,1.73,1.66,2.45,0.465,5.5,,1.65,0.49,3.27,9.08,18.5,-1.0,-0.59
Cash Convert ord/div   ,CCV,0.645,-3,0.645,0.66,13997,0.665,0.57,0.70,0.57,0.71,0.29,3,f,2.26,0.09,4.65,6.77,9.5,-5.0,-7.19
Cheviot Bridge,CVB,0.038,-,0.038,0.04,125,0.038,0.038,0.04,0.036,0.07,0.01,-,,-,-,-,0.97,3.9,-0.7,-15.56
Clive Peeters,CPR,0.415,-2,0.42,0.425,1890,0.43,0.415,0.45,0.415,0.74,0.075,-,,-,0.27,-,-7.1,-,-4.0,-8.79
Country Road Ltd,CTY,3.70,-,3.75,-,-,-,-,3.70,3.70,3.75,3.10,13.32,f,1.70,0.92,3.60,22.66,16.3,-,-
David Jones Ltd,DJS,4.96,-4,4.95,4.98,30128,4.99,4.87,5.14,4.87,5.96,2.02,28,f,1.13,1.16,5.65,31.5,15.7,-18.0,-3.5
Fantastic Hldgs,FAN,3.90,6,3.75,3.90,2996,3.90,3.80,4.00,3.80,4.29,1.65,9.5,f,2.04,0.72,2.44,19.37,20.1,-10.0,-2.5
Harvey Norman,HVN,3.80,-12,3.80,3.81,53617,3.84,3.78,3.95,3.72,4.85,1.805,11,f,1.83,2.01,2.89,20.18,18.8,-3.0,-0.78
Hire Intelligence,HII,0.15,-,0.14,0.145,-,-,-,0.15,0.15,0.20,0.14,1,f,1.25,0.12,6.67,1.25,12.0,-,-
JB Hi-Fi Ltd,JBH,22.17,17,22.11,22.25,6458,22.20,21.67,22.34,21.61,23.71,8.48,44,f,2.01,1.21,1.98,88.26,25.1,32.0,1.46
Joyce Corp,JYC,0.52,-,0.52,0.60,-,-,-,0.52,0.52,0.60,0.37,3.5,,-,0.69,6.73,-6.54,-,1.0,1.96
Manaccom Corp Ltd,MNL,0.38,-3,0.37,0.405,1052,0.39,0.36,0.455,0.36,0.55,0.20,1.5,f,4.60,0.03,3.95,6.9,5.5,-7.5,-16.48
Myer Hldgs Ltd,MYR,3.47,-3,3.46,3.48,32757,3.48,3.43,3.60,3.43,3.98,3.43,-,,-,-,-,-,-,-15.0,-4.14
Nick Scali Ltd,NCK,1.49,-,1.50,1.55,-,-,-,1.49,1.47,1.49,0.38,6,f,0.98,0.20,4.03,5.9,25.3,4.0,2.76
Noni B Ltd,NBL,1.25,-1,1.21,1.25,138,1.26,1.25,1.30,1.22,1.38,0.70,2,,3.55,0.32,1.60,7.1,17.6,3.0,2.46
Orotongrp Ltd,ORL,6.28,-2,6.20,6.25,67,6.28,6.28,6.39,6.15,6.50,1.984,38,f,1.26,0.63,6.05,47.7,13.2,8.0,1.29
Pac Brands,PBG,1.135,-1.5,1.13,1.14,25704,1.145,1.12,1.17,1.12,1.52,0.127,-,,-,-0.06,-,-39.9,-,-3.0,-2.58
Premier Invest,PMV,8.39,3,8.26,8.40,1041,8.42,8.27,8.59,8.21,9.15,3.268,35,f,1.78,2.07,4.17,62.44,13.4,11.0,1.33
Quickflix Ltd,QFX,0.067,-,0.065,0.067,-,-,-,0.069,0.065,0.08,0.01,-,,-,-,-,-1.86,-,-0.2,-2.9
RCG Corp Ltd,RCG,0.56,0.5,0.56,0.59,154,0.56,0.55,0.595,0.55,0.64,0.218,1.5,f,1.77,0.11,2.68,2.66,21.1,-1.0,-1.75
Ruralco Hldgs,RHL,2.33,-12,2.33,2.40,249,2.39,2.33,2.45,2.31,3.05,1.72,12,f,1.33,1.76,5.15,15.97,14.6,-2.0,-0.85
Specialty Fashion,SFH,1.50,-4.5,1.50,1.52,2130,1.53,1.50,1.605,1.50,1.65,0.175,-,,-,0.10,-,11.8,12.7,-11.0,-6.83
Super Cheap Auto ,SUL,5.49,-11,5.49,5.59,1121,5.57,5.49,5.69,5.49,5.95,2.04,18,f,1.68,0.69,3.28,30.2,18.2,-4.0,-0.72
The Reject Shop,TRS,13.23,-27,13.20,13.30,684,13.44,13.21,13.68,13.21,14.49,9.50,55,f,1.34,1.53,4.16,73.6,18.0,-27.0,-2
Thorn Grp Ltd,TGA,1.16,-4,1.16,1.175,1932,1.20,1.14,1.24,1.14,1.28,0.385,5.47,f,2.46,0.47,4.72,13.43,8.6,-5.5,-4.53
TVN Corp Ltd,TVN,0.013,-,0.008,0.013,-,-,-,0.013,0.013,0.013,0.002,-,,-,-,-,-0.19,-,-,-
Vita Grp Ltd,VTG,0.30,-,0.295,0.30,646,0.30,0.30,0.31,0.29,0.345,0.058,-,,-,-0.10,-,3.84,7.8,1.0,3.45
