Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4651.4 at 16:47 11/12/2009  Report at 19:05 Friday 11/12/2009. Processed 08:13 Sunday 13/12/2009.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
Funtastic Ltd,FUN,0.21,-,0.205,0.21,11715,0.215,0.21,0.245,0.21,0.30,0.105,-,,-,0.05,-,-49.5,-,-3.0,-12.5
Gale Pacific Ltd,GAP,0.15,-,0.14,0.155,-,-,-,0.15,0.15,0.17,0.035,-,,-,0.24,-,-6.75,-,-,-
Gazal Corp,GZL,1.35,-,1.35,1.39,-,-,-,1.35,1.32,1.55,0.85,8,f,1.41,0.60,5.93,11.3,11.9,3.5,2.66
GLG Corp Ltd,GLE,0.39,4,0.28,0.40,250,0.39,0.39,0.39,0.35,0.39,0.13,-,,-,0.45,-,3.55,11.0,4.0,11.43
Globe Intl,GLB,0.435,-,0.45,0.47,-,-,-,0.48,0.425,0.50,0.125,-,,-,0.70,-,-21.39,-,-4.5,-9.37
GUD Hldgs,GUD,8.50,-22,8.50,8.80,974,8.75,8.50,8.91,8.42,9.67,4.85,60,f,1.00,0.66,7.06,60,14.2,-35.0,-3.95
Headline Grp Ltd,HLD,0.19,0.5,0.19,0.20,300,0.19,0.19,0.205,0.185,0.215,0.08,-,,-,0.12,-,-1.31,-,-1.0,-5
Island Sky Aust,ISK,0.12,-0.5,0.105,0.13,349,0.125,0.12,0.135,0.12,0.355,0.12,-,,-,0.08,-,0.63,19.0,-1.5,-11.11
  def,ISKN,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
  optnov11d,ISKO,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Kathmandu Hldgs,KMD,1.67,2.5,1.65,1.68,4468,1.68,1.65,1.68,1.615,1.82,1.60,-,,-,-,-,-,-,1.0,0.6
Kresta Hldgs,KRS,0.21,-,0.20,0.21,-,-,-,0.21,0.205,0.225,0.08,1,f,2.68,0.16,4.76,2.68,7.8,-,-
McPherson's Ltd,MCP,3.16,6,3.10,3.17,930,3.16,3.05,3.16,3.05,3.36,0.27,13,,2.32,-0.52,4.11,30.2,10.5,7.0,2.27
Merchant House,MHI,0.145,-,0.15,0.195,-,-,-,0.145,0.125,0.145,0.08,1,,4.40,0.27,6.90,4.4,3.3,2.0,16
Mesbon China Nylon,MES,0.10,-,0.09,0.095,-,-,-,0.10,0.10,0.14,0.04,2,,-,0.32,20.00,-1.3,-,-,-
Photo-Me Aust,PTO,0.013,-,0.005,0.008,-,-,-,0.008,0.008,0.021,0.004,-,,-,-0.02,-,-2.5,-,0.5,69.58
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.006,0.001,-,,-,-,-,-,-,-,-
Quantum Energy,QTM,0.16,0.5,0.15,0.16,3238,0.16,0.155,0.17,0.14,0.42,0.09,-,,-,0.02,-,2.97,5.4,-1.0,-5.88
Shenhua Ltd,SHU,0.45,-,0.45,0.50,-,-,-,0.45,0.45,0.55,0.45,-,,-,-,-,-,-,-,-
Tamawood Ltd,TWD,2.30,-5,2.13,2.22,22,2.30,2.30,2.50,2.30,2.69,1.393,21,f,1.16,1.06,9.13,24.35,9.4,-20.0,-8
Thomas Bryson Int,TBI,0.40,-,0.40,0.37,14,0.40,0.40,0.40,0.40,0.57,0.35,-,,-,-,-,-,-,-,-
Treyo Leisure,TYO,0.30,-,-,0.33,-,-,-,0.30,0.30,0.30,0.23,-,,-,-,-,-,-,-,-
TWT Grp Ltd,TWT,0.17,-,0.15,0.17,-,-,-,0.175,0.17,0.245,0.07,3.5,,-,0.33,20.59,-6.18,-,-0.5,-2.86
Undercoverwear,UCW,0.32,-,0.305,0.40,-,-,-,0.32,0.32,0.32,0.16,2,f,-,0.10,6.25,-4.72,-,-,-
Vmoto Ltd,VMT,0.20,-0.5,0.195,0.20,12660,0.20,0.19,0.21,0.185,0.215,0.03,-,,-,0.01,-,-1.27,-,1.0,5.26
Waterco Ltd,WAT,0.935,-,0.95,1.05,-,-,-,0.95,0.935,1.00,0.48,5,f,1.60,1.36,5.35,8,11.7,-0.5,-0.53
INDUSTRY GROUP: Hotels Restaurants & Leisure,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.20,1,0.195,0.20,295,0.20,0.20,0.20,0.19,0.22,0.05,-,,-,0.02,-,-4.45,-,0.5,2.56
Aircruising Aust,AIG,0.11,-,-,-,-,-,-,0.11,0.11,0.12,0.098,-,,-,-0.07,-,-5.34,-,-,-
Allied Brands Ltd,ABQ,0.15,0.5,0.14,0.15,3128,0.15,0.14,0.15,0.14,0.28,0.10,0.5,f,5.60,0.05,3.33,2.8,5.4,-,-
  opt dec10,ABQO,0.005,-,0.002,0.005,-,-,-,0.005,0.005,0.029,0.001,-,,-,-,-,-,-,-,-
Aristocrat Leisure,ALL,3.85,10,3.80,3.90,14903,3.90,3.79,3.91,3.71,5.75,3.16,14.5,f,-,0.35,3.77,-0.2,-,6.0,1.58
Artist & Entertain,AEM,0.014,-,0.014,0.015,-,-,-,0.014,0.014,0.025,0.003,-,,-,-,-,2.83,0.5,-,-
Capital Intelligence,CPT,0.03,-,0.015,0.029,-,-,-,0.03,0.03,0.06,0.003,-,,-,-,-,0.09,33.3,-,-
Celtex Ltd,CXE,0.02,-,0.02,0.022,-,-,-,0.02,0.016,0.03,0.015,-,,-,-0.01,-,-0.72,-,0.4,25
Centrebet Internat,CIL,1.15,1,1.115,1.15,711,1.15,1.12,1.19,1.12,1.39,0.86,9.5,,1.00,0.08,8.26,9.5,12.1,-4.0,-3.36
Crown Ltd,CWN,7.76,8,7.75,7.79,12120,7.93,7.76,8.07,7.63,9.39,4.56,37,p,-,3.42,4.77,-166.89,-,-27.0,-3.36
Domino Pizza Enterpr,DMP,4.80,5,4.65,4.85,74,4.83,4.75,4.85,4.60,4.95,2.55,12.4,f,1.82,0.69,2.58,22.6,21.2,-10.0,-2.04
Early Learning Serv,ELY,0.11,-,0.11,0.135,-,-,-,0.11,0.105,0.135,0.07,-,,-,-,-,-25.22,-,0.5,4.76
eBet Ltd,EBT,0.078,-0.2,0.078,0.08,200,0.078,0.078,0.083,0.078,0.105,0.024,-,,-,-0.01,-,0.7,11.1,0.4,5.41
Enerji Ltd,ERJ,0.21,-,-,-,-,-,-,0.209,0.209,0.239,0.004,-,,-,-,-,-3.71,-,0.1,0.43
Eumundi Grp Ltd,EBG,0.07,-,0.065,0.075,-,-,-,0.07,0.07,0.14,0.06,-,,-,0.27,-,-5.89,-,-,-
Flight Centre,FLT,16.96,-12,16.76,17.00,1338,17.20,16.79,17.46,16.70,18.86,3.39,9,,4.26,1.92,0.53,38.3,44.3,24.0,1.44
Garratt's Ltd,GRT,0.50,-,0.34,0.50,-,-,-,0.50,0.50,0.53,0.22,3,,1.43,0.13,6.00,4.3,11.6,-,-
Integrated Legal,IAW,0.12,-,0.12,0.13,45,0.12,0.12,0.12,0.12,0.18,0.12,2.2,,0.40,0.05,18.33,0.89,13.5,-,-
  new,IAWN,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
  new 0309,IAWNA,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Invocare Ltd,IVC,5.71,6,5.65,5.72,2368,5.79,5.69,5.86,5.55,6.48,4.48,24.5,f,1.22,0.35,4.29,29.9,19.1,-14.0,-2.39
Jetset Travelworld,JET,1.36,-,1.36,1.40,40,1.36,1.36,1.36,1.35,1.47,0.55,7,f,1.06,0.10,5.15,7.39,18.4,1.0,0.74
Kip McGrath Edu Cntr,KME,0.27,-,0.28,0.30,-,-,-,0.31,0.27,0.45,0.105,2,f,8.50,-0.09,7.41,17,1.6,-4.0,-12.9
Macro Corp Ltd,MAC,0.029,-,0.001,0.027,-,-,-,0.029,0.029,0.04,0.028,-,,-,0.07,-,-0.37,-,-,-
National Leisure,NLG,0.034,0.3,0.033,0.034,14095,0.034,0.031,0.034,0.022,0.044,0.005,-,,-,-0.30,-,0.08,42.5,0.4,13.33
Navitas Ltd,NVT,3.88,3,3.87,3.90,1232,3.95,3.85,3.95,3.73,4.24,2.01,14.3,f,1.00,-0.23,3.69,14.3,27.1,5.0,1.31
Newhaven Hotels,NHH,1.88,-,1.90,2.49,-,-,-,1.88,1.88,2.35,1.75,6,f,0.88,1.06,3.19,5.3,35.5,-,-
Ocean Capital,OCE,0.37,-,0.35,0.40,-,-,-,0.37,0.37,0.40,0.24,1.5,f,0.89,0.41,4.05,1.33,27.8,-,-
Odyssey Gaming,ODG,0.07,-,0.07,0.50,-,-,-,0.07,0.07,0.07,0.017,-,,-,0.06,-,0.24,29.2,-,-
Planet Platinum,PPN,0.18,-,0.195,0.25,-,-,-,0.18,0.18,0.30,0.08,2.06,f,0.97,0.20,11.44,2,9.0,-,-
Qld Trustees Invest,QTI,0.47,-,0.50,0.60,-,-,-,0.47,0.47,0.475,0.37,-,,-,0.79,-,1.3,36.2,-,-
Reef Casino Tr unt,RCT,2.00,4,1.98,2.00,43,2.00,2.00,2.01,1.93,2.15,1.65,24.5,,0.04,2.64,12.25,1.1,181.8,3.5,1.78
Retail Food Grp,RFG,2.50,-5,2.50,2.53,721,2.55,2.45,2.62,2.45,2.90,1.05,9.25,f,2.56,-0.86,3.70,23.7,10.5,-5.0,-1.96
Sino Strategic Intl,SSI,0.575,-,0.575,0.58,-,-,-,0.575,0.53,0.92,0.315,-,,-,-0.04,-,-70,-,4.5,8.49
Sky City Entertain,SKC,2.60,-3,2.60,2.69,12,2.63,2.58,2.69,2.55,2.89,1.90,5.44,,3.46,0.47,2.09,18.83,13.8,-9.0,-3.35
Slater & Gordon,SGH,1.51,8.5,1.40,1.51,39,1.51,1.425,1.56,1.425,1.82,1.33,4.25,f,3.74,0.80,2.81,15.9,9.5,-1.0,-0.66
Superwoman Grp,SPG,0.011,-,-,0.025,-,-,-,0.012,0.011,0.04,0.007,-,,-,-,-,-0.3,-,-0.1,-8.33
Tabcorp Hldgs Ltd,TAH,6.92,-1,6.91,6.94,12877,6.99,6.88,7.12,6.86,7.70,6.05,65,f,1.43,-0.02,9.39,93.2,7.4,2.0,0.29
Tatts Grp Ltd,TTS,2.38,1,2.38,2.39,25572,2.40,2.36,2.45,2.36,2.97,2.35,21,f,1.04,-0.56,8.82,21.9,10.9,-5.0,-2.06
Transmetro Corp,TCO,0.70,-,0.60,-,-,-,-,0.70,0.70,0.80,0.67,3,f,3.97,1.17,4.29,11.9,5.9,-,-
Viagold Capital,VIA,0.07,-,0.07,-,-,-,-,0.07,0.07,1.30,0.046,-,,-,0.36,-,3,2.3,-,-
Webjet Ltd,WEB,1.82,0.5,1.82,1.85,785,1.85,1.795,1.86,1.72,2.00,0.933,5.5,f,1.86,0.38,3.02,10.24,17.8,7.0,4
INDUSTRY GROUP: Media,,,,,,,,,,,,,,,,,,,,,
Adcorp Aust,AAU,0.245,-,0.245,0.27,328,0.26,0.245,0.26,0.245,0.345,0.165,1,,0.45,0.08,4.08,0.45,54.4,-,-
Amalgamated Hldgs,AHD,5.53,2,5.50,5.53,459,5.59,5.52,5.90,5.36,6.24,3.598,32,f,1.67,4.48,5.79,53.5,10.3,-33.0,-5.63
APN News & Media,APN,2.25,-,2.25,2.30,5856,2.30,2.25,2.41,2.22,2.61,0.866,12,,-,-1.23,5.33,-13.1,-,-14.0,-5.86
Aspermont Ltd,ASP,0.15,-,0.15,0.155,-,-,-,0.155,0.15,0.271,0.14,0.13,,-,-0.06,0.87,-0.22,-,-,-
Austar United,AUN,1.30,3.5,1.295,1.305,16242,1.305,1.27,1.32,1.25,1.465,0.60,-,,-,-0.33,-,-2.4,-,2.5,1.96
Austereo Grp Ltd,AEO,1.51,-0.5,1.485,1.55,75,1.53,1.485,1.53,1.46,1.74,1.04,9.1,f,1.32,-0.01,6.03,11.98,12.6,1.0,0.67
Beyond Intl,BYI,0.66,-,0.68,0.78,-,-,-,0.66,0.645,0.67,0.50,5,,1.46,0.42,7.58,7.28,9.1,1.5,2.33
Brisbane Broncos,BBL,0.40,8,0.32,0.40,13,0.40,0.40,0.40,0.32,0.40,0.23,-,,-,0.12,-,1.42,28.2,8.0,25
BSA Ltd,BSA,0.31,0.5,0.305,0.31,1042,0.31,0.31,0.325,0.305,0.325,0.12,2,f,2.00,0.03,6.45,4.01,7.7,-,-
Commstrat Ltd,COJ,0.01,-,0.005,0.01,-,-,-,0.01,0.01,0.01,0.003,-,,-,-,-,0.02,50.0,-,-
Consolidated Media,CMJ,3.05,5,3.00,3.07,8280,3.06,2.98,3.16,2.98,3.44,1.71,16.5,,3.75,0.66,5.41,61.91,4.9,-5.0,-1.61
Facilitate Digital,FAC,0.061,-,0.06,0.13,-,-,-,0.067,0.061,0.15,0.01,-,,-,0.01,-,-7.71,-,-0.5,-7.58
Fairfax Media Ltd,FXJ,1.63,5,1.63,1.635,76535,1.63,1.57,1.665,1.56,1.805,0.795,2,,-,-0.37,1.23,-21.6,-,-0.5,-0.31
Hyro Ltd,HYO,0.029,-,0.029,0.031,1529,0.029,0.029,0.031,0.029,0.044,0.01,-,,-,-0.05,-,-5.38,-,-0.2,-6.45
Infochoice Ltd,ICH,0.485,-,-,0.435,-,-,-,0.485,0.485,0.485,0.485,-,,-,0.02,-,-7.22,-,-,-
IPGA Ltd,IPP,0.084,-,0.085,0.09,-,-,-,0.10,0.084,0.17,0.07,-,,-,-,-,-1.53,-,-1.6,-16
Macq Media stpld,MMG,1.96,1.5,1.90,1.975,6659,1.975,1.905,2.00,1.905,2.16,0.413,7.7,,-,-2.66,3.93,-40.3,-,-3.0,-1.51
Macq Radio,MRN,0.85,4,0.80,0.85,60,0.85,0.795,0.85,0.70,0.85,0.17,1.5,,0.03,-0.03,1.76,0.04,2125.0,13.0,18.06
MCM Entertainment Gr,MEG,0.205,-,0.21,0.22,-,-,-,0.205,0.205,0.21,0.06,-,,-,0.03,-,0.03,683.3,-,-
Media Grp Int Ltd,MUI,0.017,-,0.017,0.018,5247,0.017,0.017,0.017,0.017,0.25,0.015,-,,-,-0.08,-,-3.74,-,-,-
Mitchell Comms,MCU,0.79,1,0.79,0.805,440,0.80,0.78,0.815,0.78,0.95,0.355,4,f,1.65,-0.22,5.06,6.6,12.0,-1.0,-1.25
News Corp b voting,NWS,16.20,43,16.13,16.26,18038,16.29,16.11,16.29,15.50,16.64,8.93,5.14,,14.51,-0.04,0.32,74.58,21.7,105.0,6.93
  a nonvote,NWSLV,13.70,42,13.69,13.70,3308,13.76,13.62,13.76,13.07,14.23,7.86,13.73,,-,-,1.00,-,-,100.0,7.87
Oohmedia Grp Ltd,OOH,0.11,-,0.072,0.094,-,-,-,0.11,0.11,0.14,0.06,-,,-,-0.10,-,1.17,9.4,-,-
Pac Star Net,PNW,0.05,-,0.041,0.05,-,-,-,0.05,0.045,0.05,0.023,-,,-,0.01,-,0.06,83.3,0.5,11.11
Palamedia Ltd,PMX,0.006,-,0.005,0.012,-,-,-,0.006,0.006,0.02,0.005,-,,-,-,-,-0.26,-,-,-
Photon Grp Ltd,PGA,1.62,-1,1.60,1.62,193,1.63,1.60,1.68,1.58,2.182,0.80,12.5,f,1.69,-0.03,7.72,21.08,7.7,-4.5,-2.7
Prime Media Grp,PRT,0.75,-,0.73,0.75,63,0.75,0.735,0.75,0.71,1.218,0.441,3,f,-,-0.22,4.00,-24.5,-,1.5,2.04
Q Ltd,QXQ,0.105,-,0.10,0.105,500,0.105,0.105,0.11,0.105,0.262,0.056,-,,-,-0.23,-,4.1,2.6,-0.5,-4.55
REA Grp,REA,8.53,3,8.53,8.60,18,8.55,8.51,8.65,8.35,8.73,3.38,10,f,0.07,0.30,1.17,0.74,1152.7,13.0,1.55
Real Brand Hldgs def,RBHDA,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Seven Network   ,SEV,6.42,2,6.40,6.44,1344,6.48,6.40,6.48,6.36,7.24,5.03,34,f,0.19,7.27,5.30,6.38,100.6,2.0,0.31
Sky Net fpo nz,SKT,3.80,-,3.60,3.85,-,-,-,3.80,3.80,4.05,2.96,11.48,,1.59,0.50,3.02,18.27,20.8,-,-
STW Comms,SGN,0.685,0.5,0.68,0.685,3474,0.69,0.675,0.72,0.675,0.95,0.284,4.7,f,1.73,-0.15,6.86,8.15,8.4,-3.5,-4.86
Ten Network Hldgs,TEN,1.55,2,1.54,1.55,69673,1.575,1.53,1.60,1.48,1.62,0.615,2,,-,-0.35,1.29,-9.62,-,-1.5,-0.96
TPL Corp Ltd,TPL,0.022,0.1,0.021,0.022,9836,0.022,0.022,0.024,0.021,0.026,0.002,-,,-,-,-,-0.06,-,0.1,4.76
Two Way Ltd,TTV,0.064,-,0.058,0.065,-,-,-,0.07,0.061,0.078,0.015,-,,-,0.02,-,-3.1,-,0.3,4.92
Village Roadshow,VRL,1.72,-,1.72,1.74,738,1.72,1.70,1.83,1.70,1.93,0.77,9.75,f,-,-1.18,5.67,-2.17,-,-7.5,-4.18
  'a' pref,VRLPA,1.72,-1,1.72,1.75,80,1.72,1.72,1.745,1.70,1.87,0.49,12.75,,-,-,7.41,-,-,-2.5,-1.43
WAG Ltd,WAG,0.008,-,0.007,0.008,4500,0.008,0.008,0.008,0.008,0.011,0.002,-,,-,-,-,-0.12,-,-,-
West Aust News,WAN,7.79,23,7.75,7.82,2631,7.81,7.56,7.93,7.54,8.48,3.62,33,f,1.28,-,4.24,42.1,18.5,-2.0,-0.26
World Wide Ent Grp,WWG,0.09,-,0.16,0.18,-,-,-,0.17,0.09,0.25,0.09,-,,-,0.31,-,2,4.5,-0.3,-3.23
INDUSTRY GROUP: Retailing,,,,,,,,,,,,,,,,,,,,,
Adtrans Grp,ADG,3.48,-,3.31,3.48,-,-,-,3.48,3.25,3.48,1.65,16,f,1.74,2.37,4.60,27.9,12.5,33.0,10.48
Adultshop Com,ASC,0.01,-0.1,0.009,0.01,6321,0.01,0.01,0.011,0.009,0.012,0.003,-,,-,0.04,-,-0.28,-,-,-
  opt dec11,ASCO,0.003,-,0.002,0.003,2250,0.003,0.003,0.004,0.003,0.004,0.002,-,,-,-,-,-,-,-0.1,-25
AMA Grp Ltd,AMA,0.045,-0.3,0.051,0.058,786,0.045,0.045,0.054,0.045,0.078,0.017,-,,-,-0.23,-,-43.5,-,-0.9,-16.67
AP Eagers Ltd,APE,10.50,-10,10.50,10.85,87,10.85,10.50,10.85,10.10,11.65,4.45,44,f,0.82,8.41,4.19,36.1,29.1,48.0,4.79
ARB Corp,ARP,4.89,8,4.81,4.90,635,4.90,4.85,4.94,4.80,5.20,2.368,16.5,f,2.05,1.22,3.37,33.86,14.4,4.0,0.82
Automotive Hldgs,AHE,2.40,1,2.40,2.41,1424,2.42,2.37,2.42,2.33,2.60,0.48,14,f,0.89,0.69,5.83,12.4,19.4,3.0,1.27
Beyond Sportswear,BSI,0.024,-,0.006,0.019,-,-,-,0.024,0.024,0.045,0.007,-,,-,-0.01,-,-0.23,-,-,-
Breville Grp Ltd,BRG,2.31,-,2.16,2.28,-,-,-,2.31,2.26,2.45,0.465,5.5,,1.65,0.49,2.38,9.08,25.4,1.0,0.43
Cash Convert ord/div   ,CCV,0.67,1.5,0.655,0.67,21989,0.68,0.65,0.68,0.625,0.68,0.255,3,f,2.26,0.09,4.48,6.77,9.9,4.0,6.35
Cheviot Bridge,CVB,0.052,-,0.051,0.06,-,-,-,0.052,0.052,0.07,0.01,-,,-,-,-,0.97,5.4,-0.3,-5.45
Clive Peeters,CPR,0.55,-1,0.545,0.55,151,0.56,0.55,0.565,0.545,0.74,0.075,1.5,,-,0.27,2.73,-7.1,-,1.0,1.85
Country Road Ltd,CTY,3.24,-,3.41,-,-,-,-,3.24,3.24,3.53,3.10,13.32,f,1.70,0.92,4.11,22.66,14.3,-,-
Danks Hldgs,DKS,13.30,-,-,-,-,-,-,13.30,13.30,14.00,4.90,75,f,1.44,-,5.64,108.1,12.3,-,-
David Jones Ltd,DJS,5.50,6,5.49,5.51,14119,5.54,5.45,5.67,5.34,5.96,2.02,28,f,1.13,1.16,5.09,31.5,17.5,-11.0,-1.96
Fantastic Hldgs,FAN,3.85,2,3.85,3.95,22,3.88,3.83,3.90,3.76,4.25,1.65,9.5,f,2.04,0.72,2.47,19.37,19.9,-3.0,-0.77
Harvey Norman,HVN,4.20,14,4.19,4.22,28665,4.23,4.12,4.37,4.00,4.85,1.805,11,f,1.83,2.01,2.62,20.18,20.8,-10.0,-2.33
Hire Intelligence,HII,0.145,-,0.145,0.17,-,-,-,0.15,0.145,0.20,0.14,1,f,1.25,0.12,6.90,1.25,11.6,-0.5,-3.33
JB Hi-Fi Ltd,JBH,23.00,20,22.80,23.09,6046,23.30,22.82,23.30,22.24,23.71,8.41,44,f,2.01,1.21,1.91,88.26,26.1,9.0,0.39
Joyce Corp,JYC,0.55,-,0.42,0.55,-,-,-,0.53,0.53,0.70,0.37,3.5,,-,0.69,6.36,-6.54,-,2.0,3.77
Manaccom Corp Ltd,MNL,0.415,-1,0.415,0.435,43,0.415,0.415,0.46,0.415,0.55,0.185,1.5,f,4.60,0.03,3.61,6.9,6.0,-3.5,-7.78
Myer Hldgs Ltd,MYR,3.83,3,3.81,3.85,34911,3.86,3.81,3.86,3.69,3.98,3.60,-,,-,-,-,-,-,2.0,0.52
Nick Scali Ltd,NCK,1.35,-,1.32,1.35,-,-,-,1.35,1.35,1.39,0.38,6,f,0.98,0.20,4.44,5.9,22.9,-,-
Noni B Ltd,NBL,1.15,-1,1.10,1.15,63,1.15,1.15,1.18,1.08,1.30,0.70,2,,3.55,0.32,1.74,7.1,16.2,1.0,0.88
Orotongrp Ltd,ORL,6.35,-2,6.30,6.35,23,6.37,6.30,6.40,6.25,6.50,1.984,38,f,1.26,0.63,5.98,47.7,13.3,3.0,0.47
Pac Brands,PBG,1.235,-1,1.235,1.25,16005,1.26,1.235,1.29,1.235,1.52,0.127,8.5,,-,-0.06,6.88,-39.9,-,-1.5,-1.2
Premier Invest,PMV,8.28,5,8.27,8.30,239,8.29,8.20,8.66,7.89,9.15,3.268,35,f,1.78,2.07,4.23,62.44,13.3,-34.0,-3.94
Quickflix Ltd,QFX,0.065,0.4,0.063,0.07,210,0.065,0.065,0.077,0.061,0.08,0.01,-,,-,-,-,-1.86,-,0.9,16.07
RCG Corp Ltd,RCG,0.53,-,0.51,0.53,-,-,-,0.535,0.505,0.59,0.213,1.5,f,1.77,0.11,2.83,2.66,19.9,1.5,2.91
Ruralco Hldgs,RHL,2.25,6,2.19,2.25,1720,2.25,2.24,2.30,2.18,3.09,1.72,12,f,1.33,1.76,5.33,15.97,14.1,-5.0,-2.17
Specialty Fashion,SFH,1.52,1.5,1.52,1.535,2532,1.55,1.505,1.55,1.38,1.55,0.175,2,,5.90,0.10,1.32,11.8,12.9,15.0,10.95
Super Cheap Auto ,SUL,5.38,11,5.32,5.39,621,5.42,5.30,5.42,5.21,5.95,2.04,18,f,1.68,0.69,3.35,30.2,17.8,4.0,0.75
The Reject Shop,TRS,13.85,-15,13.76,13.85,4305,14.28,13.81,14.28,13.70,14.30,8.94,55,f,1.34,1.53,3.97,73.6,18.8,15.0,1.09
Thorn Grp Ltd,TGA,1.185,5.5,1.18,1.185,3902,1.185,1.145,1.185,1.10,1.185,0.385,5.47,f,2.46,0.47,4.62,13.43,8.8,12.0,11.27
