Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4651.5 at 16:42 24/9/2010  Report at 19:07 Friday 24/9/2010. Processed 22:23 Sunday 26/9/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
Slater & Gordon,SGH,1.61,1,1.61,1.63,143,1.645,1.61,1.645,1.56,1.74,1.38,5,f,3.58,1.08,3.11,17.9,9.0,4.0,2.55,
Stanfield Funds,SFN,0.014,-,0.012,0.013,-,-,-,0.014,0.01,0.025,0.008,-,,-,-,-,0.04,35.0,0.4,40,
Success Res Global,SGU,0.01,-,0.008,0.02,-,-,-,0.01,0.007,0.03,0.007,-,,-,-,-,-0.39,-,0.3,42.86,
Tabcorp Hldgs Ltd,TAH,6.87,-1,6.87,6.90,50617,6.90,6.84,7.00,6.80,7.52,6.18,55,f,1.40,-1.35,8.01,77.1,8.9,-5.0,-0.72,
Tatts Grp Ltd,TTS,2.34,-1,2.34,2.36,23879,2.36,2.33,2.39,2.31,2.433,2.089,10,f,0.94,-1.26,4.27,9.4,24.9,1.0,0.43,
Transmetro Corp,TCO,0.70,-,0.43,-,-,-,-,0.67,0.67,0.70,0.67,3,f,1.85,1.16,4.29,5.56,12.6,3.0,4.48,
Vealls Ltd capital,VELCP,4.51,-,4.55,10.30,-,-,-,4.51,4.51,5.00,4.10,1,,50.15,0.07,0.22,50.15,9.0,-,-,
  income,VELIN,1.70,-,1.65,1.80,-,-,-,1.70,1.70,2.10,1.70,9.8,,-,-,5.76,-,-,-,-,
  7% cum pf,VELPA,3.00,-,-,-,-,-,-,3.00,3.00,3.00,3.00,0.7,,-,-,0.23,-,-,-,-,
Viagold Capital,VIA,1.35,5,1.20,1.55,14,1.35,1.35,1.35,1.25,1.45,0.05,-,,-,0.24,-,20,6.8,10.0,8,
Webjet Ltd,WEB,2.35,-2,2.35,2.39,810,2.36,2.30,2.52,2.28,2.70,1.50,10.5,f,1.33,0.44,4.47,13.93,16.9,-10.0,-4.08,
Xiaoxiao Education,XXL,0.072,-,0.072,0.105,-,-,-,0.10,0.072,0.30,0.072,-,,-,-,-,-1.21,-,-2.8,-28,
INDUSTRY GROUP: Media,,,,,,,,,,,,,,,,,,,,,,
Adcorp Aust,AAU,0.20,-,0.20,0.21,72,0.20,0.20,0.20,0.19,0.305,0.145,-,,-,0.08,-,-11.03,-,1.0,5.26,
Amalgamated Hldgs,AHD,5.83,1,5.72,5.83,217,5.85,5.73,5.91,5.72,6.24,4.561,37,f,1.79,4.57,6.35,66.4,8.8,-4.0,-0.68,
APN News & Media,APN,1.98,1,1.975,1.99,8089,1.985,1.96,1.985,1.86,2.61,1.68,9,,1.86,-0.75,4.55,16.7,11.9,10.0,5.32,
Aspermont Ltd,ASP,0.14,-,0.11,0.12,-,-,-,0.12,0.12,0.18,0.10,-,,-,-0.04,-,0.46,30.4,2.0,16.67,
Austar United,AUN,0.925,-1,0.92,0.935,28440,0.935,0.92,0.94,0.90,1.465,0.835,-,,-,-0.28,-,3.5,26.4,-,-,
Austereo Grp Ltd,AEO,1.64,-,1.63,1.665,33,1.64,1.63,1.66,1.60,1.925,1.365,9.7,f,1.41,-0.01,5.91,13.66,12.0,3.0,1.86,
Beyond Intl,BYI,0.72,-,0.72,0.85,-,-,-,0.69,0.69,0.78,0.50,6,,1.40,0.44,8.33,8.4,8.6,-,-,
Brisbane Broncos,BBL,0.29,-,0.28,0.39,-,-,-,0.34,0.29,0.40,0.29,0.5,,1.02,0.12,1.72,0.51,56.9,-5.0,-14.71,
BSA Ltd,BSA,0.255,1,0.25,0.255,5344,0.26,0.245,0.26,0.245,0.34,0.175,2,f,2.24,0.03,7.84,4.48,5.7,0.5,2,
Commstrat Ltd,COJ,0.003,-,0.003,0.005,-,-,-,0.004,0.003,0.01,0.003,-,,-,-,-,-0.04,-,-0.1,-25,
Consolidated Media,CMJ,3.32,2,3.31,3.33,4348,3.32,3.28,3.32,3.28,3.34,2.75,16.5,,3.70,0.73,4.97,61.12,5.4,4.0,1.22,
Facilitate Digital,FAC,0.09,-,0.086,0.12,-,-,-,0.09,0.09,0.149,0.04,-,,-,1.14,-,0.01,900.0,-,-,
Fairfax Media Ltd,FXJ,1.50,-1.5,1.49,1.51,110393,1.505,1.47,1.565,1.47,1.885,1.26,2.5,f,4.60,-0.27,1.67,11.5,13.0,0.5,0.33,
Hyro Ltd,HYO,0.015,-,0.014,0.018,-,-,-,0.016,0.015,0.038,0.015,-,,-,-0.01,-,1.4,1.1,-0.3,-16.67,
Infochoice Ltd,ICH,0.45,-,-,0.485,-,-,-,0.45,0.45,0.485,0.44,-,,-,0.03,-,-0.12,-,-,-,
IPGA Ltd,IPP,0.34,-,0.33,0.335,-,-,-,0.34,0.31,0.58,0.079,-,,-,0.01,-,-1.7,-,3.0,9.68,
Macq Radio,MRN,0.99,-,0.88,0.99,-,-,-,0.99,0.95,0.99,0.39,8,f,1.03,-,8.08,8.26,12.0,-,-,
MCM Entertainment Gr,MEG,0.10,-,0.10,0.15,-,-,-,0.10,0.10,0.23,0.10,-,,-,0.05,-,0.91,11.0,-,-,
Media Grp Int Ltd,MUI,0.011,-,0.011,0.012,180,0.011,0.011,0.013,0.011,0.025,0.005,-,,-,-,-,-0.13,-,-0.1,-8.33,
Medic Vision Ltd,MVH,0.074,-,0.074,0.077,-,-,-,0.091,0.074,0.091,0.01,-,,-,-,-,-0.5,-,-0.9,-10.84,
  opt jan12,MVHOA,0.023,-,0.01,0.023,-,-,-,0.023,0.023,0.023,0.001,-,,-,-,-,-,-,-,-,
Mitchell Comms,MCU,1.26,0.5,1.255,1.26,2725,1.26,1.255,1.26,1.245,1.26,0.73,7.3,f,0.89,-0.26,5.79,6.5,19.4,1.0,0.8,
News Corp b voting,NWS,16.13,-13,16.11,16.15,16678,16.23,16.03,16.71,16.03,20.18,14.81,13.9,,8.19,1.56,0.86,113.81,14.2,-29.0,-1.77,
  a nonvote,NWSLV,14.32,6,14.32,14.89,13402,14.34,14.27,14.90,14.03,17.56,12.55,13.9,,-,-,0.97,-,-,-18.0,-1.24,
Oohmedia Grp Ltd,OOH,0.225,-,0.215,0.225,643,0.225,0.215,0.225,0.215,0.225,0.09,-,,-,-0.07,-,1.8,12.5,-,-,
Pac Star Net,PNW,0.036,-,0.036,0.049,-,-,-,0.036,0.036,0.065,0.03,-,,-,0.01,-,0.13,27.7,-,-,
Photon Grp Ltd,PGA,0.099,-0.1,0.099,0.10,14158,0.10,0.099,0.11,0.099,2.05,0.09,9.5,f,-,-0.01,95.96,-26.83,-,-0.1,-1,
Prime Media Grp,PRT,0.635,-1.5,0.635,0.66,9202,0.635,0.635,0.65,0.63,0.86,0.525,2.6,f,-,-0.24,4.09,-15,-,-1.5,-2.31,
Q Ltd,QXQ,0.035,-0.1,0.035,0.04,28,0.035,0.035,0.036,0.035,0.19,0.026,-,,-,0.01,-,-50.65,-,-0.1,-2.78,
REA Grp,REA,11.75,-14,11.60,11.75,641,11.85,11.50,12.39,11.50,12.60,7.40,16,f,2.47,0.65,1.36,39.5,29.7,-70.0,-5.62,
Resourc & En Grp,REZ,0.10,-,0.10,0.105,-,-,-,0.105,0.10,0.235,0.046,-,,-,0.18,-,2.88,3.5,-0.5,-4.76,
RGM Media Ltd,RGM,0.14,-,0.05,0.14,-,-,-,0.14,0.14,0.775,0.015,-,,-,-0.01,-,-1.27,-,-,-,
Sky Net,SKT,4.10,-,-,-,-,-,-,4.10,4.00,4.15,3.57,11.18,,1.92,0.42,2.73,21.47,19.1,10.0,2.5,
Sthn Cross Media,SXL,2.06,-1,2.01,2.07,12631,2.09,2.03,2.12,2.03,2.31,1.438,9.7,f,-,-0.10,4.71,-25.67,-,-4.0,-1.9,
STW Comms,SGN,0.865,-1,0.855,0.87,2338,0.87,0.855,0.885,0.85,1.03,0.665,4.3,f,1.50,-0.03,4.97,6.45,13.4,-,-,
Swish Grp Ltd,SWG,0.001,-,0.001,0.001,-,-,-,0.001,0.001,0.003,0.001,-,,-,-,-,0.04,2.5,-,-,
Ten Network Hldgs,TEN,1.34,-,1.33,1.345,84913,1.355,1.335,1.44,1.335,1.94,1.335,-,,-,-0.29,-,4.62,29.0,-7.5,-5.3,
TPL Corp Ltd,TPL,0.015,0.1,0.014,0.016,4583,0.015,0.014,0.016,0.014,0.028,0.007,-,,-,0.01,-,-0.28,-,-0.3,-16.67,
Two Way Ltd,TTV,0.027,-,0.027,0.03,-,-,-,0.03,0.027,0.078,0.027,-,,-,-,-,-1.6,-,-0.1,-3.57,
Village Roadshow,VRL,2.54,6,2.50,2.62,295,2.57,2.52,2.57,2.48,2.58,1.455,3.75,,21.25,-1.74,1.48,79.68,3.2,4.0,1.6,
  'a' pref,VRLPA,2.60,-,2.51,2.58,105,2.60,2.60,2.60,2.55,2.71,1.325,3.75,,-,-,1.44,-,-,-,-,
WAG Ltd,WAG,0.004,-,0.005,0.006,-,-,-,0.005,0.004,0.01,0.004,-,,-,-,-,-0.11,-,-0.2,-33.33,
West Aust News,WAN,7.40,-1,7.34,7.42,11663,7.43,7.29,7.43,6.99,8.48,6.24,45,f,1.01,-,6.08,45.4,16.3,39.0,5.56,
World Wide Ent Grp,WWG,0.095,-,-,0.08,-,-,-,0.095,0.095,0.20,0.045,-,,-,-0.14,-,-21.9,-,-,-,
INDUSTRY GROUP: Retailing,,,,,,,,,,,,,,,,,,,,,,
Adtrans Grp,ADG,3.97,-2,3.97,4.00,74,3.97,3.97,4.00,3.97,4.19,2.75,23,f,1.60,2.54,5.79,36.7,10.8,-3.0,-0.75,
Adultshop Com,ASC,0.014,-0.2,0.014,0.016,25,0.014,0.014,0.016,0.014,0.019,0.008,-,,-,0.02,-,-0.43,-,-,-,
  opt dec11,ASCO,0.004,-,0.004,0.006,-,-,-,0.005,0.004,0.008,0.002,-,,-,-,-,-,-,-0.1,-20,
AMA Grp Ltd,AMA,0.046,-,0.046,0.048,-,-,-,0.046,0.046,0.078,0.033,-,,-,0.08,-,2.01,2.3,-,-,
AP Eagers Ltd,APE,12.60,-,12.65,12.99,2,12.60,12.60,12.60,12.50,13.55,9.45,63,f,1.90,8.60,5.00,120,10.5,10.0,0.8,
ARB Corp,ARP,7.30,4,7.28,7.30,849,7.40,7.24,7.53,7.20,7.60,4.104,19.5,f,2.37,1.39,2.67,46.28,15.8,-19.0,-2.54,
Automotive Hldgs,AHE,2.30,-2,2.27,2.31,22584,2.31,2.26,2.37,2.26,2.88,1.935,17,f,1.57,0.80,7.39,26.7,8.6,-5.0,-2.13,
Beyond Sportswear,BSI,0.007,-,0.009,0.013,-,-,-,0.007,0.007,0.024,0.007,-,,-,-0.01,-,0.17,4.1,-0.3,-30,
Breville Grp Ltd,BRG,2.60,-,2.49,2.64,160,2.60,2.55,2.63,2.50,2.63,1.425,11,,1.59,0.63,4.23,17.44,14.9,2.0,0.78,
Cash Convert ord/div   ,CCV,0.585,-1,0.585,0.595,924,0.595,0.585,0.61,0.585,0.71,0.50,3,f,2.20,0.24,5.13,6.6,8.9,-1.0,-1.68,
Country Road Ltd,CTY,3.60,-,3.60,4.55,-,-,-,3.60,3.60,4.00,3.24,8.81,f,2.03,1.06,2.45,17.86,20.2,-5.0,-1.37,
David Jones Ltd,DJS,4.94,-6,4.93,4.96,60143,5.00,4.93,5.25,4.93,5.96,4.10,30,f,1.13,1.27,6.07,34,14.5,-30.0,-5.73,
Fantastic Hldgs,FAN,2.13,-1,2.13,2.17,94,2.13,2.11,2.25,2.10,4.29,1.90,10.25,f,1.76,0.80,4.81,18.08,11.8,-6.0,-2.74,
Harvey Norman,HVN,3.80,-8,3.78,3.80,36350,3.86,3.77,3.93,3.77,4.85,3.22,14,f,1.56,-,3.68,21.78,17.4,-14.0,-3.55,
Hire Intelligence,HII,0.083,-,0.066,0.195,-,-,-,0.083,0.083,0.18,0.055,0.4,f,1.88,-,4.82,0.75,11.1,2.5,43.1,
JB Hi-Fi Ltd,JBH,21.40,24,21.20,21.43,4728,21.62,21.00,22.32,20.78,23.71,17.77,66,f,1.66,1.82,3.08,109.74,19.5,-66.0,-2.99,
Joyce Corp,JYC,0.37,-,0.25,0.35,-,-,-,0.37,0.37,0.55,0.33,2,,-,0.26,5.41,-40.8,-,-,-,
Kathmandu Hldgs,KMD,1.385,2.5,1.36,1.385,20874,1.385,1.36,1.385,1.31,1.97,1.24,-,,-,-0.09,-,-0.17,-,8.0,6.13,
Manaccom Corp Ltd,MNL,0.325,0.5,0.32,0.33,1500,0.33,0.325,0.33,0.31,0.55,0.215,0.5,,-,0.01,1.54,-17,-,-0.5,-1.52,
Myer Hldgs Ltd,MYR,3.86,-4,3.85,3.87,35200,3.88,3.77,4.02,3.77,4.02,2.86,-,f,-,-0.23,-,-,-,-10.0,-2.53,
Nick Scali Ltd,NCK,1.50,-,1.50,1.55,-,-,-,1.52,1.48,1.75,1.10,9,f,1.54,0.24,6.00,13.9,10.8,-2.0,-1.32,
Noni B Ltd,NBL,1.20,-,1.20,1.22,-,-,-,1.23,1.20,1.50,0.96,9,f,1.34,0.39,7.50,12.1,9.9,-1.0,-0.83,
Orotongrp Ltd,ORL,7.95,-2,7.93,8.00,762,8.03,7.90,8.10,7.90,8.25,5.30,44,f,1.25,0.74,5.53,54.92,14.5,-,-,
Pac Brands,PBG,1.12,-1.5,1.12,1.13,33818,1.145,1.11,1.17,1.11,1.52,0.78,-,,-,0.08,-,5.7,19.6,-2.0,-1.75,
Premier Invest,PMV,7.17,-7,7.17,7.35,1164,7.26,7.12,7.33,6.85,8.934,5.94,36,f,1.47,2.31,5.02,52.78,13.6,22.0,3.17,
Quickflix Ltd,QFX,0.034,0.4,0.031,0.034,3300,0.034,0.034,0.038,0.03,0.086,0.03,-,,-,-,-,-1.78,-,-0.4,-11.53,
RCG Corp Ltd,RCG,0.55,-2,0.55,0.565,500,0.55,0.55,0.57,0.55,0.629,0.393,2,f,1.48,0.10,3.64,2.96,18.6,-1.0,-1.79,
Ruralco Hldgs,RHL,2.62,-,2.62,2.68,-,-,-,2.65,2.60,3.00,2.18,14,f,1.26,1.79,5.34,17.67,14.8,6.0,2.34,
Specialty Fashion,SFH,1.41,-1.5,1.41,1.42,1398,1.42,1.40,1.45,1.40,1.65,0.925,8,f,2.00,0.10,5.67,16,8.8,-,-,
Strathfield Grp,SRA,0.005,0.1,0.005,0.006,1700,0.005,0.005,0.006,0.004,0.023,0.004,-,,-,-,-,0.08,6.3,-,-,
Super Cheap Auto ,SUL,6.30,-,6.25,6.34,779,6.35,6.21,6.37,6.13,6.37,4.51,21.5,f,1.58,1.28,3.41,34,18.5,10.0,1.61,
The Reject Shop,TRS,17.35,24,17.35,17.39,535,17.35,16.82,17.86,16.82,17.86,12.29,67,f,1.34,1.98,3.86,90,19.3,-45.0,-2.53,
