Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4803.3 at 14:41 24/12/2009  Report at 15:42 Thursday 24/12/2009. Processed 16:08 Thursday 24/12/2009.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
Gale Pacific Ltd,GAP,0.14,-,0.14,0.155,-,-,-,0.14,0.14,0.17,0.035,-,,-,0.24,-,-6.75,-,-,-
Gazal Corp,GZL,1.39,-,1.25,1.39,-,-,-,1.39,1.39,1.55,0.85,8,f,1.41,0.60,5.76,11.3,12.3,-,-
GLG Corp Ltd,GLE,0.40,1,0.28,0.49,300,0.40,0.40,0.40,0.39,0.40,0.13,-,,-,0.45,-,3.55,11.3,1.0,2.56
Globe Intl,GLB,0.50,3,0.40,0.50,60,0.50,0.46,0.50,0.46,0.50,0.125,-,,-,0.70,-,-21.39,-,3.0,6.38
GUD Hldgs,GUD,8.60,15,8.45,8.60,464,8.60,8.48,8.60,8.22,9.67,4.87,60,f,1.00,0.66,6.98,60,14.3,28.0,3.37
Headline Grp Ltd,HLD,0.21,-,0.19,0.21,-,-,-,0.21,0.19,0.215,0.08,-,,-,0.12,-,-1.31,-,2.0,10.53
Island Sky Aust,ISK,0.11,0.5,0.10,0.11,90,0.11,0.105,0.11,0.095,0.355,0.089,-,,-,0.08,-,0.63,17.5,1.5,15.79
  opt nov11,ISKO,-,-,0.005,0.07,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Kathmandu Hldgs,KMD,1.64,1.5,1.625,1.645,10530,1.645,1.625,1.645,1.61,1.82,1.60,-,,-,-,-,-,-,1.0,0.61
Kresta Hldgs,KRS,0.20,-1,0.20,0.22,20,0.20,0.20,0.21,0.20,0.225,0.08,1,f,2.68,0.16,5.00,2.68,7.5,-,-
McPherson's Ltd,MCP,3.20,9,3.10,3.20,286,3.20,3.11,3.27,3.10,3.38,0.27,13,,2.32,-0.52,4.06,30.2,10.6,-10.0,-3.03
Merchant House,MHI,0.145,1,0.145,0.165,128,0.145,0.145,0.16,0.135,0.17,0.08,1,,4.40,0.27,6.90,4.4,3.3,-1.5,-9.38
Mesbon China Nylon,MES,0.095,-,0.095,0.10,-,-,-,0.095,0.095,0.14,0.04,2,,-,0.32,21.05,-1.3,-,-,-
Photo-Me Aust,PTO,0.009,-,0.005,0.01,1000,0.009,0.009,0.009,0.006,0.021,0.004,-,,-,-0.02,-,-2.5,-,0.3,50
  def,PTON,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.006,0.001,-,,-,-,-,-,-,-,-
Quantum Energy,QTM,0.14,-,0.13,0.14,-,-,-,0.145,0.115,0.42,0.09,-,,-,0.02,-,2.97,4.7,0.5,3.7
Shenhua Ltd,SHU,0.45,-,0.45,0.50,-,-,-,0.45,0.45,0.55,0.45,-,,-,-,-,-,-,-,-
Tamawood Ltd,TWD,2.42,11,2.32,2.42,55,2.42,2.33,2.42,2.21,2.69,1.393,21,f,1.16,1.06,8.68,24.35,9.9,21.0,9.5
Thomas Bryson Int,TBI,0.42,-,-,-,-,-,-,0.42,0.35,0.57,0.35,-,,-,-,-,-,-,7.0,20
Treyo Leisure,TYO,0.30,-,0.25,0.30,-,-,-,0.30,0.30,0.30,0.23,-,,-,-,-,-,-,-,-
TWT Grp Ltd,TWT,0.165,-,0.105,0.17,-,-,-,0.165,0.165,0.245,0.07,3.5,,-,0.33,21.21,-6.18,-,-,-
Undercoverwear,UCW,0.29,-,0.29,0.315,660,0.29,0.29,0.29,0.29,0.32,0.16,2,f,-,0.10,6.90,-4.72,-,-,-
Vmoto Ltd,VMT,0.18,-0.5,0.18,0.185,2670,0.185,0.18,0.185,0.18,0.215,0.03,-,,-,0.01,-,-1.27,-,-,-
Waterco Ltd,WAT,0.95,-,0.95,1.15,-,-,-,0.95,0.95,1.00,0.48,5,f,1.60,1.36,5.26,8,11.9,-,-
INDUSTRY GROUP: Hotels Restaurants & Leisure,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.19,-,0.19,0.195,-,-,-,0.20,0.19,0.22,0.05,-,,-,0.02,-,-4.45,-,-,-
Aircruising Aust,AIG,0.11,-,-,-,-,-,-,0.11,0.11,0.12,0.098,-,,-,-0.07,-,-5.34,-,-,-
Allied Brands Ltd,ABQ,0.19,-,0.185,0.19,5849,0.195,0.185,0.195,0.155,0.28,0.10,0.5,f,5.60,0.05,2.63,2.8,6.8,3.5,22.58
  opt dec10,ABQO,0.003,-,0.003,0.005,-,-,-,0.005,0.003,0.029,0.001,-,,-,-,-,-,-,-0.2,-40
Aristocrat Leisure,ALL,4.05,-6,4.01,4.08,5064,4.10,4.00,4.11,3.98,5.75,3.16,14.5,f,-,0.35,3.58,-0.2,-,-2.0,-0.49
Artist & Entertain,AEM,0.016,0.3,0.013,0.016,800,0.016,0.016,0.016,0.013,0.025,0.003,-,,-,-,-,2.83,0.6,-,-
Capital Intelligence,CPT,0.029,-,-,-,-,-,-,0.029,0.029,0.06,0.003,-,,-,-,-,0.09,32.2,-,-
Celtex Ltd,CXE,0.023,-,0.022,0.08,-,-,-,0.023,0.023,0.03,0.015,-,,-,-0.01,-,-0.72,-,-,-
Centrebet Internat,CIL,1.27,1,1.26,1.28,108,1.28,1.26,1.28,1.21,1.39,0.86,9.5,,1.00,0.08,7.48,9.5,13.4,5.0,4.1
Crown Ltd,CWN,7.75,7,7.67,7.75,3083,7.76,7.68,7.78,7.59,9.39,4.56,37,p,-,3.42,4.77,-166.89,-,6.0,0.78
Domino Pizza Enterpr,DMP,4.92,-8,4.93,5.02,34,4.92,4.92,5.09,4.92,5.10,2.60,12.4,f,1.82,0.69,2.52,22.6,21.8,-16.0,-3.15
Early Learning Serv,ELY,0.245,-1.5,0.245,0.26,1161,0.27,0.245,0.30,0.17,0.30,0.07,-,,-,-,-,-25.22,-,10.0,68.97
eBet Ltd,EBT,0.072,-0.3,0.073,0.078,56,0.075,0.072,0.078,0.072,0.105,0.024,-,,-,-0.01,-,0.7,10.3,-0.6,-7.69
Enerji Ltd,ERJ,0.21,-,-,-,-,-,-,0.209,0.209,0.239,0.004,-,,-,-,-,-3.71,-,0.1,0.43
  opt dec16,ERJO,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Eumundi Grp Ltd,EBG,0.075,-,0.065,-,-,-,-,0.075,0.07,0.14,0.06,-,,-,0.27,-,-5.89,-,0.5,7.14
Flight Centre,FLT,17.40,5,17.35,17.43,389,17.47,17.28,17.60,17.12,18.86,3.39,9,,4.26,1.92,0.52,38.3,45.4,-16.0,-0.91
Garratt's Ltd,GRT,0.50,-,0.34,0.50,-,-,-,0.50,0.50,0.53,0.22,3,,1.43,0.13,6.00,4.3,11.6,-,-
Integrated Legal,IAW,0.125,-,0.12,0.13,-,-,-,0.125,0.12,0.18,0.12,2.2,,0.40,0.05,17.60,0.89,14.0,0.5,4.17
  new,IAWN,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
  new 0309,IAWNA,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Invocare Ltd,IVC,6.07,5,5.98,6.07,1205,6.09,5.98,6.09,5.81,6.48,4.48,24.5,f,1.22,0.35,4.04,29.9,20.3,22.0,3.76
Jetset Travelworld,JET,1.38,-,1.37,1.425,-,-,-,1.40,1.37,1.47,0.55,7,f,1.06,0.10,5.07,7.39,18.7,-4.5,-3.16
Kip McGrath Edu Cntr,KME,0.28,-,0.28,0.30,-,-,-,0.28,0.275,0.45,0.105,2,f,8.50,-0.09,7.14,17,1.6,0.5,1.82
Macro Corp Ltd,MAC,0.027,-,0.001,0.04,-,-,-,0.029,0.029,0.04,0.027,-,,-,0.07,-,-0.37,-,-,-
National Leisure,NLG,0.033,-,0.032,0.034,-,-,-,0.036,0.027,0.044,0.005,-,,-,-0.30,-,0.08,41.3,-0.3,-8.33
Navitas Ltd,NVT,4.08,-1,4.06,4.12,595,4.13,4.06,4.17,3.99,4.24,2.01,14.3,f,1.00,-0.23,3.50,14.3,28.5,-4.0,-0.97
Newhaven Hotels,NHH,1.88,-,1.90,2.49,-,-,-,1.88,1.88,2.20,1.75,6,f,0.88,1.06,3.19,5.3,35.5,-,-
Ocean Capital,OCE,0.38,-,0.35,0.40,-,-,-,0.38,0.38,0.40,0.24,1.5,f,0.89,0.41,3.95,1.33,28.6,-,-
Odyssey Gaming,ODG,0.07,-,0.031,0.25,-,-,-,0.07,0.07,0.07,0.017,-,,-,0.06,-,0.24,29.2,-,-
Planet Platinum,PPN,0.25,-,0.30,0.355,-,-,-,0.25,0.25,0.30,0.096,2.06,f,0.97,0.20,8.24,2,12.5,-,-
Qld Trustees Invest,QTI,0.50,-,0.44,0.50,-,-,-,0.50,0.47,0.50,0.37,-,,-,0.79,-,1.3,38.5,3.0,6.38
Reef Casino Tr unt,RCT,1.93,-,1.93,1.99,-,-,-,2.05,1.93,2.15,1.65,24.5,,0.04,2.64,12.69,1.1,175.5,-7.0,-3.5
Retail Food Grp,RFG,2.56,2,2.56,2.57,1158,2.56,2.53,2.58,2.50,2.90,1.05,9.25,f,2.56,-0.86,3.61,23.7,10.8,7.0,2.81
Sino Strategic Intl,SSI,0.45,-,0.355,0.43,-,-,-,0.45,0.39,0.92,0.30,-,,-,-0.04,-,-70,-,6.0,15.38
Sky City Entertain,SKC,2.60,-7,2.60,2.69,27,2.68,2.60,2.68,2.57,2.89,1.90,5.44,,3.46,0.47,2.09,18.83,13.8,-8.0,-2.99
Slater & Gordon,SGH,1.55,-,1.55,1.60,100,1.55,1.55,1.55,1.465,1.82,1.33,4.25,f,3.74,0.80,2.74,15.9,9.7,3.0,1.97
Success Res Global,SGU,-,-,0.026,0.029,-,-,-,0.029,0.029,0.06,0.003,-,,-,-,-,0.09,-,-,-
Superwoman Grp,SPG,0.011,-,0.001,0.022,-,-,-,0.011,0.011,0.04,0.007,-,,-,-,-,-0.3,-,-,-
Tabcorp Hldgs Ltd,TAH,6.93,1,6.92,6.95,5399,6.96,6.91,6.96,6.82,7.70,6.05,65,f,1.43,-0.02,9.38,93.2,7.4,6.0,0.87
Tatts Grp Ltd,TTS,2.43,1,2.42,2.43,9992,2.43,2.40,2.43,2.35,2.97,2.33,21,f,1.04,-0.56,8.64,21.9,11.1,8.0,3.4
Transmetro Corp,TCO,0.70,-,0.51,-,-,-,-,0.70,0.70,0.80,0.67,3,f,3.97,1.17,4.29,11.9,5.9,-,-
Viagold Capital,VIA,0.07,-,0.07,-,-,-,-,0.07,0.07,1.30,0.046,-,,-,0.36,-,3,2.3,-,-
Webjet Ltd,WEB,1.90,-,1.885,1.90,285,1.90,1.885,1.90,1.84,2.00,0.933,5.5,f,1.86,0.38,2.89,10.24,18.6,6.0,3.26
INDUSTRY GROUP: Media,,,,,,,,,,,,,,,,,,,,,
Adcorp Aust,AAU,0.25,-,0.24,0.25,-,-,-,0.25,0.24,0.34,0.165,1,,0.45,0.08,4.00,0.45,55.6,1.0,4.17
Amalgamated Hldgs,AHD,5.46,5,5.40,5.46,39,5.47,5.40,5.50,5.30,6.24,3.598,32,f,1.67,4.48,5.86,53.5,10.2,1.0,0.18
APN News & Media,APN,2.32,5,2.31,2.33,3274,2.33,2.27,2.33,2.22,2.61,0.866,12,,-,-1.23,5.17,-13.1,-,7.0,3.11
Aspermont Ltd,ASP,0.14,-,0.11,0.14,-,-,-,0.14,0.14,0.271,0.14,0.13,,-,-0.06,0.93,-0.22,-,-,-
Austar United,AUN,1.435,1,1.395,1.44,7108,1.45,1.41,1.45,1.37,1.465,0.65,-,,-,-0.33,-,-2.4,-,3.5,2.5
Austereo Grp Ltd,AEO,1.595,-,1.58,1.61,-,-,-,1.61,1.50,1.74,1.04,9.1,f,1.32,-0.01,5.71,11.98,13.3,8.5,5.63
Beyond Intl,BYI,0.68,-,0.68,0.80,-,-,-,0.68,0.66,0.68,0.50,5,,1.46,0.42,7.35,7.28,9.3,2.0,3.03
Brisbane Broncos,BBL,0.40,-,0.32,0.40,-,-,-,0.40,0.40,0.40,0.23,-,,-,0.12,-,1.42,28.2,-,-
BSA Ltd,BSA,0.30,-,0.29,0.30,-,-,-,0.30,0.29,0.325,0.12,2,f,2.00,0.03,6.67,4.01,7.5,-,-
Commstrat Ltd,COJ,0.01,-,0.005,0.01,-,-,-,0.01,0.01,0.01,0.003,-,,-,-,-,0.02,50.0,-,-
Consolidated Media,CMJ,3.10,1,3.06,3.10,1196,3.11,3.06,3.14,3.05,3.44,1.71,16.5,,3.75,0.66,5.32,61.91,5.0,1.0,0.32
Facilitate Digital,FAC,0.058,-,0.041,0.14,-,-,-,0.058,0.058,0.15,0.01,-,,-,0.01,-,-7.71,-,-,-
Fairfax Media Ltd,FXJ,1.695,1,1.685,1.70,23860,1.695,1.66,1.695,1.61,1.805,0.795,2,,-,-0.37,1.18,-21.6,-,6.5,3.99
Hyro Ltd,HYO,0.031,-,0.03,0.031,-,-,-,0.032,0.03,0.044,0.01,-,,-,-0.05,-,-5.38,-,0.2,6.9
Infochoice Ltd,ICH,0.485,-,-,0.435,-,-,-,0.485,0.485,0.485,0.485,-,,-,0.02,-,-7.22,-,-,-
IPGA Ltd,IPP,0.10,-,0.10,0.12,-,-,-,0.10,0.10,0.17,0.07,-,,-,-,-,-1.53,-,-,-
Macq Media stpld,MMG,1.96,4,1.93,1.96,1311,1.96,1.92,1.98,1.835,2.16,0.413,6.7,,-,-2.66,3.42,-40.3,-,14.0,7.69
Macq Radio,MRN,0.75,-,0.72,0.85,-,-,-,0.75,0.75,0.85,0.17,1.5,,0.03,-0.03,2.00,0.04,1875.0,-0.5,-0.66
MCM Entertainment Gr,MEG,0.20,-,0.175,0.20,330,0.20,0.20,0.20,0.20,0.23,0.06,-,,-,0.03,-,0.03,666.7,-,-
Media Grp Int Ltd,MUI,0.018,-,0.018,0.021,480,0.018,0.018,0.018,0.018,0.25,0.015,-,,-,-0.08,-,-3.74,-,-,-
Mitchell Comms,MCU,0.795,-0.5,0.79,0.80,100,0.80,0.795,0.835,0.77,0.95,0.355,4,f,1.65,-0.22,5.03,6.6,12.0,-1.5,-1.85
News Corp b voting,NWS,17.80,-5,17.72,17.92,5525,17.94,17.63,18.18,17.45,18.18,8.93,5.14,,14.51,-0.04,0.29,74.58,23.9,46.0,2.65
  a nonvote,NWSLV,15.22,-17,15.16,15.64,10771,15.43,15.20,15.48,14.84,15.48,7.86,13.73,,-,-,0.90,-,-,39.0,2.63
Oohmedia Grp Ltd,OOH,0.095,-,0.072,0.11,-,-,-,0.10,0.095,0.14,0.06,-,,-,-0.10,-,1.17,8.1,-0.1,-1.04
Pac Star Net,PNW,0.05,-,0.041,0.049,-,-,-,0.05,0.05,0.05,0.023,-,,-,0.01,-,0.06,83.3,-,-
Palamedia Ltd,PMX,0.006,-,0.005,0.009,-,-,-,0.006,0.006,0.02,0.005,-,,-,-,-,-0.26,-,-,-
Photon Grp Ltd,PGA,1.435,0.5,1.43,1.435,1088,1.445,1.435,1.50,1.43,2.182,0.80,12.5,f,1.69,-0.03,8.71,21.08,6.8,-3.5,-2.38
Prime Media Grp,PRT,0.81,-,0.77,0.80,-,-,-,0.81,0.745,1.191,0.441,3,f,-,-0.22,3.70,-24.5,-,6.0,8
Q Ltd,QXQ,0.099,0.3,0.097,0.105,550,0.099,0.097,0.10,0.096,0.236,0.056,-,,-,-0.23,-,4.1,2.4,-0.1,-1
REA Grp,REA,9.25,5,9.25,9.35,1095,9.30,9.24,9.35,9.09,9.35,3.38,10,f,0.07,0.30,1.08,0.74,1250.0,18.0,1.98
Resourc & En Grp,REZ,-,-,-,-,-,-,-,0.23,0.23,0.375,0.046,-,,-,0.01,-,-0.28,-,18.4,400
Seven Network   ,SEV,6.70,8,6.55,6.71,721,6.70,6.60,6.70,6.50,7.24,5.03,34,f,0.19,7.27,5.07,6.38,105.0,22.0,3.4
Sky Net fpo nz,SKT,3.98,-,3.61,3.79,-,-,-,4.05,3.95,4.05,2.96,11.48,,1.59,0.50,2.88,18.27,21.8,3.0,0.76
STW Comms,SGN,0.76,-0.5,0.76,0.77,1350,0.775,0.76,0.775,0.735,0.95,0.284,4.7,f,1.73,-0.15,6.18,8.15,9.3,1.0,1.33
Ten Network Hldgs,TEN,1.575,3.5,1.545,1.575,15761,1.575,1.53,1.59,1.505,1.62,0.615,2,,-,-0.35,1.27,-9.62,-,-,-
TPL Corp Ltd,TPL,0.024,-,0.023,0.024,-,-,-,0.024,0.023,0.026,0.002,-,,-,-,-,-0.06,-,0.1,4.35
Two Way Ltd,TTV,0.064,-,0.057,0.062,-,-,-,0.064,0.064,0.078,0.015,-,,-,0.02,-,-3.1,-,-,-
Village Roadshow,VRL,1.76,4,1.76,1.785,76,1.795,1.76,1.80,1.72,1.93,0.77,9.75,f,-,-1.18,5.54,-2.17,-,3.5,2.03
  'a' pref,VRLPA,1.775,3,1.735,1.775,116,1.775,1.765,1.775,1.72,1.87,0.49,12.75,,-,-,7.18,-,-,5.5,3.2
WAG Ltd,WAG,0.008,-0.1,0.007,0.008,4600,0.008,0.008,0.009,0.007,0.011,0.002,-,,-,-,-,-0.12,-,0.1,14.29
West Aust News,WAN,8.10,-7,8.01,8.11,1210,8.15,8.00,8.18,7.81,8.48,3.62,33,f,1.28,-,4.07,42.1,19.2,7.0,0.87
World Wide Ent Grp,WWG,0.20,-,0.15,0.20,-,-,-,0.20,0.18,0.25,0.09,-,,-,0.31,-,2,10.0,2.0,11.11
INDUSTRY GROUP: Retailing,,,,,,,,,,,,,,,,,,,,,
Adtrans Grp,ADG,3.45,-,3.42,3.50,-,-,-,3.53,3.45,3.53,1.65,16,f,1.74,2.37,4.64,27.9,12.4,-3.0,-0.86
Adultshop Com,ASC,0.01,-,0.01,0.011,-,-,-,0.011,0.01,0.012,0.003,-,,-,0.04,-,-0.28,-,-,-
  opt dec11,ASCO,0.003,-,0.003,0.004,-,-,-,0.003,0.003,0.004,0.002,-,,-,-,-,-,-,-,-
AMA Grp Ltd,AMA,0.052,-0.2,0.052,0.055,1584,0.052,0.052,0.054,0.05,0.078,0.017,-,,-,-0.23,-,-43.5,-,0.2,4
AP Eagers Ltd,APE,12.00,-,12.01,12.69,-,-,-,12.69,12.00,13.00,4.45,44,f,0.82,8.41,3.67,36.1,33.2,-12.0,-0.99
ARB Corp,ARP,5.08,3,5.04,5.08,1851,5.08,5.05,5.09,4.99,5.20,2.368,16.5,f,2.05,1.22,3.25,33.86,15.0,9.0,1.8
Automotive Hldgs,AHE,2.39,2,2.33,2.39,836,2.39,2.33,2.40,2.24,2.60,0.485,14,f,0.89,0.69,5.86,12.4,19.3,1.0,0.42
Beyond Sportswear,BSI,0.019,-,0.01,0.019,-,-,-,0.024,0.024,0.045,0.007,-,,-,-0.01,-,-0.23,-,-,-
Breville Grp Ltd,BRG,1.68,-,1.68,1.70,79,1.69,1.68,1.73,1.645,2.45,0.465,5.5,,1.65,0.49,3.27,9.08,18.5,4.0,2.44
Cash Convert ord/div   ,CCV,0.66,-0.5,0.65,0.66,3658,0.66,0.65,0.675,0.65,0.70,0.275,3,f,2.26,0.09,4.55,6.77,9.7,-,-
Cheviot Bridge,CVB,0.045,-,-,0.045,-,-,-,0.045,0.045,0.07,0.01,-,,-,-,-,0.97,4.6,-,-
Clive Peeters,CPR,0.48,-,0.47,0.48,-,-,-,0.515,0.47,0.74,0.075,1.5,,-,0.27,3.13,-7.1,-,-2.0,-4
Country Road Ltd,CTY,3.24,-,3.58,-,-,-,-,3.24,3.24,3.53,3.10,13.32,f,1.70,0.92,4.11,22.66,14.3,-,-
David Jones Ltd,DJS,5.33,-5,5.32,5.35,8078,5.35,5.30,5.43,5.23,5.96,2.02,28,f,1.13,1.16,5.25,31.5,16.9,8.0,1.52
Fantastic Hldgs,FAN,3.99,5,4.02,4.09,7,3.99,3.99,3.99,3.91,4.25,1.65,9.5,f,2.04,0.72,2.38,19.37,20.6,10.0,2.57
Harvey Norman,HVN,4.21,-,4.18,4.22,4709,4.22,4.16,4.26,4.15,4.85,1.805,11,f,1.83,2.01,2.61,20.18,20.9,-,-
Hire Intelligence,HII,0.15,-,0.15,0.165,-,-,-,0.15,0.145,0.20,0.14,1,f,1.25,0.12,6.67,1.25,12.0,0.5,3.45
JB Hi-Fi Ltd,JBH,22.24,-11,22.20,22.27,2115,22.48,22.07,22.70,22.00,23.71,8.48,44,f,2.01,1.21,1.98,88.26,25.2,-10.0,-0.45
Joyce Corp,JYC,0.55,-,0.50,0.75,-,-,-,0.55,0.52,0.60,0.37,3.5,,-,0.69,6.36,-6.54,-,2.0,3.77
Manaccom Corp Ltd,MNL,0.48,5.5,0.44,0.48,931,0.48,0.435,0.48,0.425,0.55,0.20,1.5,f,4.60,0.03,3.13,6.9,7.0,3.0,6.67
Myer Hldgs Ltd,MYR,3.66,1,3.65,3.66,9359,3.67,3.63,3.72,3.63,3.98,3.60,-,,-,-,-,-,-,-2.0,-0.54
Nick Scali Ltd,NCK,1.32,-,1.32,1.35,-,-,-,1.35,1.32,1.39,0.38,6,f,0.98,0.20,4.55,5.9,22.4,-,-
Noni B Ltd,NBL,1.30,-5,1.27,1.30,200,1.30,1.30,1.35,1.30,1.38,0.70,2,,3.55,0.32,1.54,7.1,18.3,-,-
Orotongrp Ltd,ORL,6.00,8,6.00,6.05,446,6.00,5.89,6.25,5.81,6.50,1.984,38,f,1.26,0.63,6.33,47.7,12.6,-25.0,-4
Pac Brands,PBG,1.13,2,1.13,1.135,13492,1.14,1.105,1.14,1.085,1.52,0.127,8.5,,-,-0.06,7.52,-39.9,-,2.5,2.26
Premier Invest,PMV,8.25,-5,8.21,8.29,375,8.32,8.21,8.43,8.00,9.15,3.268,35,f,1.78,2.07,4.24,62.44,13.2,-,-
Quickflix Ltd,QFX,0.068,-,0.06,0.069,-,-,-,0.068,0.068,0.08,0.01,-,,-,-,-,-1.86,-,-,-
RCG Corp Ltd,RCG,0.53,1,0.51,0.53,500,0.53,0.52,0.53,0.50,0.59,0.213,1.5,f,1.77,0.11,2.83,2.66,19.9,2.0,3.92
Ruralco Hldgs,RHL,2.25,-,2.25,2.33,201,2.25,2.25,2.26,2.19,3.09,1.72,12,f,1.33,1.76,5.33,15.97,14.1,-1.0,-0.44
Specialty Fashion,SFH,1.31,-8,1.30,1.31,8388,1.385,1.29,1.45,1.29,1.55,0.175,2,,5.90,0.10,1.53,11.8,11.1,-9.0,-6.43
Super Cheap Auto ,SUL,5.27,-,5.27,5.43,434,5.35,5.26,5.61,5.25,5.95,2.04,18,f,1.68,0.69,3.42,30.2,17.5,-28.0,-5.05
The Reject Shop,TRS,14.00,-10,13.70,14.00,514,14.09,13.84,14.24,13.45,14.30,9.37,55,f,1.34,1.53,3.93,73.6,19.0,39.0,2.87
Thorn Grp Ltd,TGA,1.15,1,1.145,1.17,380,1.15,1.13,1.15,1.12,1.28,0.385,5.47,f,2.46,0.47,4.76,13.43,8.6,1.0,0.88
TVN Corp Ltd,TVN,0.011,-,0.008,0.01,-,-,-,0.011,0.011,0.011,0.002,-,,-,-,-,-0.19,-,-,-
Vita Grp Ltd,VTG,0.285,-,0.285,0.30,-,-,-,0.30,0.285,0.345,0.058,1,,3.84,-0.10,3.51,3.84,7.4,0.5,1.79
