Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4596.9 at 16:34 29/1/2010  Report at 19:05 Friday 29/1/2010. Processed 19:54 Friday 29/1/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
Fisher & Paykel App,FPA,0.47,-1.5,0.465,0.48,171,0.48,0.47,0.50,0.445,0.725,0.207,3.87,,-,-,8.23,-38.56,-,-2.0,-4.08
Funtastic Ltd,FUN,0.225,-,0.22,0.225,3579,0.235,0.225,0.235,0.225,0.30,0.105,-,,-,0.05,-,-49.5,-,-1.0,-4.26
Gale Pacific Ltd,GAP,0.165,0.5,0.165,0.185,500,0.165,0.165,0.175,0.16,0.205,0.035,-,,-,0.24,-,-6.75,-,-0.5,-2.94
Gazal Corp,GZL,1.25,-,1.21,1.25,-,-,-,1.25,1.25,1.55,0.85,8,f,1.41,0.60,6.40,11.3,11.1,-,-
GLG Corp Ltd,GLE,0.40,-,0.28,0.385,-,-,-,0.40,0.40,0.40,0.13,-,,-,0.45,-,3.55,11.3,-,-
Globe Intl,GLB,0.45,-,0.45,0.48,4,0.45,0.45,0.45,0.45,0.525,0.125,-,,-,0.70,-,-21.39,-,-,-
GUD Hldgs,GUD,9.34,-12,9.32,9.42,1785,9.58,9.34,9.60,8.90,9.67,4.87,60,f,1.20,1.09,6.42,71.73,13.0,24.0,2.64
Headline Grp Ltd,HLD,0.21,1,0.20,0.215,5863,0.215,0.205,0.215,0.20,0.215,0.08,-,,-,0.12,-,-1.31,-,1.5,7.69
Island Sky Aust,ISK,0.115,-0.5,0.105,0.125,361,0.115,0.115,0.12,0.115,0.335,0.089,-,,-,0.08,-,0.63,18.3,-1.5,-11.54
  opt nov11,ISKO,0.025,-,0.03,0.065,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-
Kathmandu Hldgs,KMD,1.55,-3.5,1.55,1.595,6103,1.575,1.55,1.60,1.55,1.82,1.515,-,,-,-,-,-,-,-2.0,-1.27
Kresta Hldgs,KRS,0.325,4,0.29,0.325,266651,0.33,0.285,0.33,0.24,0.33,0.08,1,f,2.68,0.16,3.08,2.68,12.1,8.5,35.42
McPherson's Ltd,MCP,2.78,-13,2.77,2.81,2574,2.91,2.71,3.10,2.71,3.48,0.27,-,,-,-0.52,-,30.2,9.2,-30.0,-9.74
Merchant House,MHI,0.165,-,0.145,0.175,-,-,-,0.165,0.16,0.18,0.08,1,,4.40,0.27,6.06,4.4,3.8,0.5,3.13
Mesbon China Nylon,MES,0.10,-,0.096,0.10,1000,0.10,0.10,0.10,0.10,0.14,0.05,-,,-,0.32,-,-1.3,-,-,-
Photo-Me Aust,PTO,0.005,-,0.005,0.007,-,-,-,0.005,0.005,0.021,0.004,-,,-,-0.02,-,-2.5,-,-,-
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.006,0.001,-,,-,-,-,-,-,-,-
Quantum Energy,QTM,0.125,-1,0.125,0.14,1050,0.13,0.125,0.14,0.125,0.42,0.09,-,,-,0.02,-,2.97,4.2,-0.5,-3.85
Shenhua Ltd,SHU,0.51,-,-,0.515,-,-,-,0.51,0.51,0.55,0.45,-,,-,-,-,-,-,-,-
Tamawood Ltd,TWD,2.55,-10,2.65,2.76,4,2.55,2.55,2.65,2.42,2.69,1.393,21,f,1.16,1.06,8.24,24.35,10.5,-5.0,-1.92
Thomas Bryson Int,TBI,0.35,-,0.30,-,-,-,-,0.35,0.35,0.57,0.35,-,,-,-,-,-,-,-,-
Treyo Leisure,TYO,0.30,-,-,0.33,-,-,-,0.30,0.30,0.30,0.23,-,,-,-,-,-,-,-,-
TWT Grp Ltd,TWT,0.135,-,0.13,0.265,-,-,-,0.135,0.135,0.235,0.07,-,,-,0.33,-,-6.18,-,-,-
Undercoverwear,UCW,0.30,-,0.30,0.32,-,-,-,0.31,0.29,0.32,0.16,2,f,-,0.10,6.67,-4.72,-,-1.0,-3.23
Vmoto Ltd,VMT,0.15,-1,0.15,0.155,4002,0.16,0.15,0.17,0.15,0.215,0.03,-,,-,0.01,-,-1.27,-,-2.0,-11.76
Waterco Ltd,WAT,1.01,-,0.98,1.05,48,1.01,1.00,1.01,1.00,1.01,0.48,5,f,1.60,1.36,4.95,8,12.6,-,-
INDUSTRY GROUP: Hotels Restaurants & Leisure,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.175,-,0.165,0.175,3082,0.175,0.165,0.18,0.165,0.22,0.05,-,,-,0.02,-,-4.45,-,-0.5,-2.78
Aircruising Aust,AIG,0.11,-,0.07,-,-,-,-,0.11,0.11,0.12,0.098,-,,-,-0.07,-,-5.34,-,-,-
Allied Brands Ltd,ABQ,0.14,-0.5,0.14,0.15,2000,0.15,0.14,0.15,0.14,0.245,0.10,0.5,f,5.60,0.05,3.57,2.8,5.0,-1.0,-6.67
  opt dec10,ABQO,0.001,-,0.001,0.002,-,-,-,0.001,0.001,0.029,0.001,-,,-,-,-,-,-,-,-
Aristocrat Leisure,ALL,3.97,-5,3.92,4.04,12519,4.06,3.96,4.06,3.92,5.75,3.16,14.5,f,-,0.35,3.65,-0.2,-,-10.0,-2.46
Artist & Entertain,AEM,0.012,-0.3,0.011,0.013,12049,0.015,0.012,0.015,0.012,0.025,0.004,-,,-,-,-,2.83,0.4,-0.3,-20
Celtex Ltd,CXE,0.013,-,0.012,0.013,-,-,-,0.013,0.013,0.03,0.009,-,,-,-0.01,-,-0.72,-,-,-
Centrebet Internat,CIL,1.50,-,1.45,1.50,933,1.50,1.475,1.56,1.475,1.60,0.86,9.5,,1.00,0.08,6.33,9.5,15.8,-4.0,-2.6
Crown Ltd,CWN,7.76,10,7.73,7.76,15276,7.81,7.61,7.81,7.51,9.39,4.56,37,p,-,3.42,4.77,-166.89,-,10.0,1.31
Domino Pizza Enterpr,DMP,5.24,-4,5.23,5.25,60,5.25,5.24,5.34,5.20,5.50,2.88,12.4,f,1.82,0.69,2.37,22.6,23.2,2.0,0.38
Early Learning Serv,ELY,0.35,-2,0.34,0.36,485,0.37,0.35,0.385,0.32,0.45,0.07,-,,-,-,-,-25.22,-,4.0,12.9
eBet Ltd,EBT,0.066,-0.4,0.066,0.077,1750,0.07,0.066,0.084,0.066,0.105,0.024,-,,-,-0.01,-,0.7,9.4,-0.7,-9.59
Enerji Ltd,ERJ,0.15,-1,0.145,0.15,5620,0.155,0.15,0.165,0.15,0.239,0.004,-,,-,-,-,-3.71,-,-2.0,-11.76
  opt dec16,ERJO,0.075,0.5,0.072,0.075,2110,0.075,0.075,0.10,0.07,0.10,0.05,-,,-,-,-,-,-,-2.5,-25
Eumundi Grp Ltd,EBG,0.073,-0.2,0.065,0.073,500,0.073,0.073,0.075,0.073,0.10,0.06,-,,-,0.27,-,-5.89,-,-0.2,-2.67
Flight Centre,FLT,19.87,22,19.50,20.00,5689,20.06,19.46,20.06,18.70,20.15,3.39,9,,4.26,1.92,0.45,38.3,51.9,57.0,2.95
Garratt's Ltd,GRT,0.50,-,0.31,0.48,-,-,-,0.50,0.50,0.53,0.22,3,,1.43,0.13,6.00,4.3,11.6,-,-
Integrated Legal,IAW,0.125,-,0.13,0.16,-,-,-,0.125,0.125,0.17,0.12,-,,-,0.05,-,0.89,14.0,0.5,4.17
  new,IAWN,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
  new 0309,IAWNA,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Invocare Ltd,IVC,5.51,-15,5.51,5.59,1854,5.73,5.50,5.90,5.50,6.48,4.48,24.5,f,1.22,0.35,4.45,29.9,18.4,-40.0,-6.77
Jetset Travelworld,JET,1.455,-8,1.40,1.68,60,1.455,1.45,1.57,1.45,1.70,0.55,7,f,1.06,0.10,4.81,7.39,19.7,-8.0,-5.21
Kip McGrath Edu Cntr,KME,0.38,-,0.37,0.38,-,-,-,0.39,0.37,0.45,0.105,2,f,8.50,-0.09,5.26,17,2.2,-1.0,-2.56
Macro Corp Ltd,MAC,0.027,-,-,0.03,-,-,-,0.029,0.029,0.04,0.027,-,,-,0.07,-,-0.37,-,-0.2,-6.9
National Leisure,NLG,0.03,-0.1,0.03,0.031,200,0.03,0.03,0.031,0.03,0.044,0.005,-,,-,-0.30,-,0.08,37.5,-0.1,-3.23
Navitas Ltd,NVT,4.48,7,4.46,4.54,7777,4.53,4.41,4.53,4.32,4.59,2.13,14.3,f,1.00,-0.23,3.19,14.3,31.3,8.0,1.82
Newhaven Hotels,NHH,1.88,-,1.90,2.50,-,-,-,1.84,1.84,2.20,1.75,6,f,0.88,1.06,3.19,5.3,35.5,4.0,2.17
Ocean Capital,OCE,0.38,-,0.35,0.37,-,-,-,0.38,0.38,0.40,0.24,1.5,f,0.89,0.41,3.95,1.33,28.6,-,-
Odyssey Gaming,ODG,0.07,-,0.05,-,-,-,-,0.07,0.07,0.07,0.017,-,,-,0.06,-,0.24,29.2,-,-
Planet Platinum,PPN,0.255,-,0.265,0.29,-,-,-,0.255,0.23,0.30,0.10,2.06,f,0.97,0.20,8.08,2,12.8,2.5,10.87
Qld Trustees Invest,QTI,0.50,-,0.45,0.495,-,-,-,0.50,0.50,0.50,0.37,-,,-,0.79,-,1.3,38.5,-,-
Reef Casino Tr unt,RCT,1.95,-,2.00,2.06,-,-,-,1.96,1.95,2.15,1.65,24.5,,0.04,2.64,12.56,1.1,177.3,-5.0,-2.5
Retail Food Grp,RFG,2.75,5,2.70,2.79,277,2.78,2.70,2.89,2.60,3.10,1.07,9.25,f,2.56,-0.86,3.36,23.7,11.6,-15.0,-5.17
Sino Strategic Intl,SSI,0.57,-7,0.60,0.64,262,0.58,0.51,0.65,0.51,0.92,0.30,-,,-,-0.04,-,-70,-,-7.0,-10.94
Sky City Entertain,SKC,2.60,-5,2.50,2.61,160,2.64,2.58,2.70,2.58,2.89,1.90,5.44,,3.46,0.47,2.09,18.83,13.8,-8.0,-2.99
Slater & Gordon,SGH,1.515,-,1.52,1.575,-,-,-,1.515,1.515,1.82,1.425,4.25,f,3.74,0.80,2.81,15.9,9.5,-3.5,-2.26
Success Res Global,SGU,0.02,-,0.02,0.029,-,-,-,0.02,0.02,0.06,0.003,-,,-,-,-,0.09,22.2,-,-
Superwoman Grp,SPG,0.013,-,0.012,0.016,-,-,-,0.016,0.011,0.03,0.007,-,,-,-,-,-0.3,-,0.2,18.18
Tabcorp Hldgs Ltd,TAH,7.03,-20,7.02,7.10,19845,7.24,7.03,7.24,7.03,7.70,6.05,65,f,1.43,-0.02,9.25,93.2,7.5,-22.0,-3.03
Tatts Grp Ltd,TTS,2.30,-3,2.30,2.31,58862,2.34,2.30,2.41,2.30,2.97,2.30,21,f,1.04,-0.56,9.13,21.9,10.5,-12.0,-4.96
Transmetro Corp,TCO,0.70,-,0.45,-,-,-,-,0.70,0.70,0.80,0.67,3,f,3.97,1.17,4.29,11.9,5.9,-,-
Viagold Capital,VIA,0.21,0.5,0.07,0.23,50,0.21,0.21,0.21,0.20,1.30,0.046,-,,-,0.36,-,3,7.0,1.0,5
Webjet Ltd,WEB,2.37,7,2.35,2.37,3699,2.38,2.30,2.38,2.25,2.38,1.022,8,f,1.28,0.38,3.38,10.24,23.1,3.0,1.28
INDUSTRY GROUP: Media,,,,,,,,,,,,,,,,,,,,,
Adcorp Aust,AAU,0.205,-2,0.21,0.245,400,0.225,0.205,0.235,0.205,0.31,0.165,1,,0.45,0.08,4.88,0.45,45.6,-2.5,-10.87
Amalgamated Hldgs,AHD,5.59,-14,5.61,5.70,49,5.73,5.56,5.75,5.42,6.24,3.598,32,f,1.67,4.48,5.72,53.5,10.4,-16.0,-2.78
APN News & Media,APN,2.30,-,2.30,2.34,25458,2.35,2.26,2.35,2.26,2.61,0.866,12,,-,-1.23,5.22,-13.1,-,-6.0,-2.54
Aspermont Ltd,ASP,0.13,-,0.13,0.155,-,-,-,0.13,0.13,0.271,0.11,-,,-,-0.06,-,-0.22,-,-,-
Austar United,AUN,1.28,-4,1.26,1.29,21580,1.31,1.26,1.335,1.26,1.465,0.65,-,,-,-0.33,-,-2.4,-,-6.0,-4.48
Austereo Grp Ltd,AEO,1.67,5,1.67,1.69,460,1.685,1.61,1.685,1.57,1.785,1.04,9.1,f,1.32,-0.01,5.45,11.98,13.9,7.0,4.37
Beyond Intl,BYI,0.75,-,0.78,0.90,-,-,-,0.75,0.75,0.75,0.50,5,,1.46,0.42,6.67,7.28,10.3,-,-
Brisbane Broncos,BBL,0.38,-,0.32,0.40,-,-,-,0.40,0.38,0.40,0.23,-,,-,0.12,-,1.42,26.8,-2.0,-5
BSA Ltd,BSA,0.305,-1.5,0.30,0.305,3045,0.34,0.305,0.34,0.305,0.34,0.125,2,f,2.00,0.03,6.56,4.01,7.6,-2.0,-6.15
Commstrat Ltd,COJ,0.005,-,0.005,0.007,1090,0.005,0.005,0.005,0.005,0.01,0.003,-,,-,-,-,0.02,25.0,-,-
Consolidated Media,CMJ,3.01,-2,2.99,3.03,4277,3.03,3.00,3.04,2.99,3.44,1.71,16.5,,3.75,0.66,5.48,61.91,4.9,-3.0,-0.99
Facilitate Digital,FAC,0.04,-,0.045,0.05,-,-,-,0.04,0.04,0.15,0.01,-,,-,0.01,-,-7.71,-,-,-
Fairfax Media Ltd,FXJ,1.73,-2,1.73,1.745,174024,1.765,1.71,1.815,1.71,1.885,0.795,2,,-,-0.37,1.16,-21.6,-,-6.0,-3.35
Hyro Ltd,HYO,0.025,-0.2,0.024,0.026,2643,0.027,0.025,0.028,0.025,0.044,0.01,-,,-,-0.05,-,-5.38,-,-0.3,-10.71
Infochoice Ltd,ICH,0.485,-,-,0.44,-,-,-,0.485,0.485,0.485,0.485,-,,-,0.02,-,-7.22,-,-,-
IPGA Ltd,IPP,0.12,-,0.13,0.165,-,-,-,0.12,0.12,0.17,0.07,-,,-,-,-,-1.53,-,-,-
Macq Radio,MRN,0.82,-,0.76,0.82,-,-,-,0.82,0.82,0.85,0.17,-,,-,-0.03,-,0.04,2050.0,-,-
MCM Entertainment Gr,MEG,0.19,-,0.18,0.19,-,-,-,0.19,0.19,0.23,0.071,-,,-,0.03,-,0.03,633.3,-,-
Media Grp Int Ltd,MUI,0.014,-0.1,0.014,0.015,370,0.014,0.014,0.016,0.013,0.25,0.011,-,,-,-0.08,-,-3.74,-,0.3,27.27
Mitchell Comms,MCU,0.85,-3,0.845,0.88,1386,0.88,0.85,0.90,0.85,0.95,0.355,4,f,1.65,-0.22,4.71,6.6,12.9,-4.5,-5.03
News Corp b voting,NWS,16.51,-21,16.44,16.52,52157,16.56,16.19,16.88,16.19,18.41,8.93,5.14,,14.51,-0.04,0.31,74.58,22.1,-27.0,-1.61
  a nonvote,NWSLV,14.06,-13,13.98,14.14,2369,14.10,13.84,14.31,13.84,15.65,7.86,13.73,,-,-,0.98,-,-,-20.0,-1.4
Oohmedia Grp Ltd,OOH,0.10,-,0.09,0.10,300,0.10,0.10,0.11,0.098,0.12,0.06,-,,-,-0.10,-,1.17,8.5,-1.0,-9.09
Pac Star Net,PNW,0.04,-1,0.04,0.05,-,0.04,0.04,0.05,0.04,0.05,0.023,-,,-,0.01,-,0.06,66.7,-1.0,-20
Palamedia Ltd,PMX,0.004,-,0.004,0.005,1798,0.004,0.004,0.004,0.004,0.02,0.004,-,,-,-,-,-0.26,-,-,-
Photon Grp Ltd,PGA,1.22,-5.5,1.215,1.23,9950,1.25,1.22,1.385,1.22,2.182,0.80,12.5,f,1.69,-0.03,10.25,21.08,5.8,-18.0,-12.86
Prime Media Grp,PRT,0.74,-1,0.74,0.76,5427,0.75,0.74,0.77,0.74,0.927,0.441,3,f,-,-0.22,4.05,-24.5,-,-1.0,-1.33
Q Ltd,QXQ,0.094,-,0.09,0.095,-,-,-,0.094,0.09,0.236,0.056,-,,-,-0.23,-,4.1,2.3,0.4,4.44
REA Grp,REA,9.31,15,9.30,9.49,768,9.41,9.18,9.41,8.85,9.92,3.38,10,f,0.07,0.30,1.07,0.74,1258.1,27.0,2.99
Seven Network   ,SEV,6.69,-2,6.57,6.71,4174,6.73,6.57,6.73,6.50,7.09,5.03,34,f,0.19,7.27,5.08,6.38,104.9,4.0,0.6
Sky Net fpo nz,SKT,3.86,-,3.65,3.99,-,-,-,3.99,3.86,4.15,2.96,11.48,,1.59,0.50,2.97,18.27,21.1,-9.0,-2.28
Sth Cross Media stpld,SXL,1.85,4.5,1.83,1.865,6737,1.85,1.775,1.875,1.74,2.16,0.413,6.7,,-,-2.66,3.62,-40.3,-,-5.0,-2.63
STW Comms,SGN,0.78,-1.5,0.78,0.785,5963,0.795,0.78,0.825,0.78,0.95,0.284,4.7,f,1.73,-0.15,6.03,8.15,9.6,-4.5,-5.45
Ten Network Hldgs,TEN,1.535,-3.5,1.52,1.55,65015,1.55,1.485,1.62,1.485,1.745,0.615,2,,-,-0.35,1.30,-9.62,-,-10.5,-6.4
TPL Corp Ltd,TPL,0.023,0.1,0.02,0.023,10883,0.023,0.02,0.023,0.02,0.028,0.002,-,,-,-,-,-0.06,-,0.1,4.55
Two Way Ltd,TTV,0.047,-0.2,0.047,0.05,8645,0.047,0.045,0.052,0.045,0.078,0.015,-,,-,0.02,-,-3.1,-,-0.5,-9.62
Village Roadshow,VRL,2.10,5,2.02,2.10,224,2.12,2.02,2.12,2.02,2.26,0.77,9.75,f,-,-1.18,4.64,-2.17,-,-3.0,-1.41
  'a' pref,VRLPA,2.11,-1,2.09,2.20,251,2.12,2.09,2.14,2.05,2.35,0.49,12.75,,-,-,6.04,-,-,-3.0,-1.4
WAG Ltd,WAG,0.008,-,0.007,0.009,-,-,-,0.008,0.008,0.011,0.002,-,,-,-,-,-0.12,-,-0.1,-11.11
West Aust News,WAN,7.33,-7,7.30,7.35,3663,7.45,7.30,7.54,7.23,8.48,3.62,33,f,1.28,-,4.50,42.1,17.4,-17.0,-2.27
World Wide Ent Grp,WWG,0.09,-,0.09,0.16,-,-,-,0.09,0.09,0.25,0.09,-,,-,0.31,-,2,4.5,-,-
INDUSTRY GROUP: Retailing,,,,,,,,,,,,,,,,,,,,,
Adtrans Grp,ADG,3.50,25,3.40,3.70,174,3.50,3.50,3.50,3.20,3.53,1.65,16,f,1.74,2.37,4.57,27.9,12.5,15.0,4.48
Adultshop Com,ASC,0.01,-,0.01,0.012,-,-,-,0.011,0.01,0.014,0.003,-,,-,0.04,-,-0.28,-,-0.2,-16.67
  opt dec11,ASCO,0.003,-,0.002,0.004,-,-,-,0.004,0.003,0.005,0.002,-,,-,-,-,-,-,-0.1,-25
AMA Grp Ltd,AMA,0.055,-,0.055,0.059,2092,0.055,0.053,0.056,0.053,0.078,0.017,-,,-,-0.23,-,-43.5,-,0.1,1.85
AP Eagers Ltd,APE,13.00,30,12.50,12.99,15,13.00,12.90,13.00,12.10,13.00,4.45,44,f,0.82,8.41,3.38,36.1,36.0,90.0,7.44
ARB Corp,ARP,5.22,-6,5.16,5.22,620,5.30,5.18,5.45,5.18,5.48,2.368,16.5,f,2.05,1.22,3.16,33.86,15.4,-19.0,-3.51
Automotive Hldgs,AHE,2.38,-5,2.32,2.38,1204,2.39,2.30,2.48,2.30,2.60,0.535,14,f,0.89,0.69,5.88,12.4,19.2,-7.0,-2.86
Beyond Sportswear,BSI,0.016,-,0.017,0.024,-,-,-,0.016,0.016,0.045,0.007,-,,-,-0.01,-,-0.23,-,-,-
Breville Grp Ltd,BRG,1.60,-4.5,1.60,1.62,180,1.64,1.60,1.73,1.60,2.45,0.465,5.5,,1.65,0.49,3.44,9.08,17.6,-8.0,-4.76
Cash Convert ord/div   ,CCV,0.645,-1.5,0.635,0.645,3104,0.66,0.63,0.66,0.61,0.71,0.29,3,f,2.26,0.09,4.65,6.77,9.5,-,-
Cheviot Bridge,CVB,0.04,-,0.038,0.045,-,-,-,0.04,0.038,0.07,0.01,-,,-,-,-,0.97,4.1,0.2,5.26
Clive Peeters,CPR,0.405,-1.5,0.405,0.42,744,0.43,0.405,0.44,0.405,0.74,0.075,-,,-,0.27,-,-7.1,-,-1.0,-2.41
Country Road Ltd,CTY,3.70,-,3.75,-,-,-,-,3.70,3.70,3.75,3.10,13.32,f,1.70,0.92,3.60,22.66,16.3,-,-
David Jones Ltd,DJS,4.76,-1,4.75,4.77,50613,4.85,4.71,4.92,4.71,5.96,2.02,28,f,1.13,1.16,5.88,31.5,15.1,-20.0,-4.03
Fantastic Hldgs,FAN,3.70,-5,3.55,3.72,24,3.70,3.70,3.84,3.70,4.29,1.65,9.5,f,2.04,0.72,2.57,19.37,19.1,-20.0,-5.13
Harvey Norman,HVN,3.68,-15,3.66,3.70,40828,3.74,3.66,3.83,3.64,4.85,1.805,11,f,1.83,2.01,2.99,20.18,18.2,-12.0,-3.16
Hire Intelligence,HII,0.14,-,0.115,0.14,-,-,-,0.14,0.14,0.20,0.14,1,f,1.25,0.12,7.14,1.25,11.2,-1.0,-6.67
JB Hi-Fi Ltd,JBH,20.17,-83,20.16,20.29,8528,20.80,20.07,21.90,20.07,23.71,8.48,44,f,2.01,1.21,2.18,88.26,22.9,-200.0,-9.02
Joyce Corp,JYC,0.52,-,0.52,0.60,-,-,-,0.52,0.52,0.60,0.37,3.5,,-,0.69,6.73,-6.54,-,-,-
Manaccom Corp Ltd,MNL,0.41,-,0.37,0.40,-,-,-,0.41,0.34,0.55,0.20,1.5,f,4.60,0.03,3.66,6.9,5.9,3.0,7.89
Myer Hldgs Ltd,MYR,3.20,-10,3.20,3.21,59727,3.27,3.17,3.47,3.17,3.98,3.17,-,,-,-,-,-,-,-27.0,-7.78
Nick Scali Ltd,NCK,1.50,-,1.495,1.50,-,-,-,1.52,1.50,1.52,0.45,6,f,0.98,0.20,4.00,5.9,25.4,1.0,0.67
Noni B Ltd,NBL,1.20,-2,1.20,1.35,265,1.21,1.20,1.25,1.20,1.38,0.70,2,,3.55,0.32,1.67,7.1,16.9,-5.0,-4
Orotongrp Ltd,ORL,5.85,-50,5.85,6.00,101,6.14,5.85,6.54,5.85,6.54,1.984,38,f,1.26,0.63,6.50,47.7,12.3,-43.0,-6.85
Pac Brands,PBG,1.10,-1.5,1.09,1.11,71654,1.105,1.09,1.13,1.09,1.52,0.127,-,,-,-0.06,-,-39.9,-,-3.5,-3.08
Premier Invest,PMV,8.04,-12,8.04,8.18,3549,8.16,7.96,8.47,7.91,9.15,3.268,35,f,1.78,2.07,4.35,62.44,12.9,-35.0,-4.17
Quickflix Ltd,QFX,0.06,-,0.06,0.067,-,-,-,0.065,0.06,0.08,0.01,-,,-,-,-,-1.86,-,-0.7,-10.45
RCG Corp Ltd,RCG,0.54,-,0.54,0.55,10400,0.55,0.54,0.56,0.54,0.64,0.218,1.5,f,1.77,0.11,2.78,2.66,20.3,-2.0,-3.57
Ruralco Hldgs,RHL,2.33,-,2.32,2.33,89,2.34,2.33,2.37,2.32,3.05,1.72,12,f,1.33,1.76,5.15,15.97,14.6,-,-
Specialty Fashion,SFH,1.36,-7,1.355,1.375,2566,1.41,1.325,1.52,1.325,1.65,0.175,-,,-,0.10,-,11.8,11.5,-14.0,-9.33
Super Cheap Auto ,SUL,4.80,-10,4.60,4.80,2078,4.80,4.59,5.48,4.59,5.95,2.04,18,f,1.68,0.69,3.75,30.2,15.9,-69.0,-12.57
The Reject Shop,TRS,13.27,-,13.21,13.35,1118,13.59,13.21,13.68,13.16,14.49,9.50,55,f,1.34,1.53,4.14,73.6,18.0,4.0,0.3
