Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4414.5 at 16:35 9/7/2010  Report at 19:06 Friday 9/7/2010. Processed 20:49 Friday 9/7/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
Garratt's Ltd,GRT,0.38,-,0.365,0.50,-,-,-,0.38,0.38,0.56,0.305,3,,1.43,0.14,7.89,4.28,8.9,-,-,
Integrated Legal,IAW,0.10,-,0.10,0.115,-,-,-,0.10,0.10,0.17,0.091,0.25,f,2.16,0.06,2.50,0.54,18.5,-,-,
Invocare Ltd,IVC,6.00,3,5.95,6.02,1270,6.05,5.92,6.17,5.81,6.50,5.33,25.25,f,1.30,0.48,4.21,32.9,18.2,-13.0,-2.12,
Jetset Travelworld,JET,0.85,-,0.82,0.85,-,-,-,0.85,0.84,1.70,0.68,3.6,f,0.63,0.12,4.24,2.28,37.3,2.0,2.41,
Kip McGrath Edu Cntr,KME,0.26,-,0.26,0.30,-,-,-,0.26,0.26,0.45,0.105,2,,8.59,-0.10,7.69,17.19,1.5,-,-,
Macro Corp Ltd,MAC,0.024,-,0.005,0.03,-,-,-,0.024,0.024,0.04,0.024,-,,-,0.08,-,-0.43,-,-,-,
National Leisure,NLG,0.006,-0.1,0.006,0.008,14667,0.007,0.006,0.007,0.006,0.044,0.006,-,,-,-0.32,-,0.34,1.8,-0.1,-14.29,
Navitas Ltd,NVT,4.19,4,4.17,4.30,3173,4.20,4.17,4.45,4.13,5.56,2.65,16.9,f,0.99,-0.25,4.03,16.8,24.9,-28.0,-6.26,
Newhaven Hotels,NHH,1.96,-,1.96,2.50,-,-,-,1.96,1.96,2.20,1.75,6,f,0.96,1.09,3.06,5.74,34.1,-,-,
Ocean Capital,OCE,0.25,-,0.25,0.355,-,-,-,0.25,0.25,0.40,0.25,1.5,,0.93,0.41,6.00,1.39,18.0,-,-,
Odyssey Gaming,ODG,0.04,-,0.039,-,-,-,-,0.04,0.04,0.07,0.017,-,,-,0.06,-,0.5,8.0,-,-,
Planet Platinum,PPN,0.18,-,0.16,0.30,-,-,-,0.18,0.18,0.30,0.16,2.06,,2.17,0.21,11.44,4.46,4.0,-,-,
Qld Trustees Invest,QTI,0.34,-,0.34,0.39,-,-,-,0.34,0.34,0.50,0.34,-,,-,0.78,-,1.02,33.3,-,-,
Reef Casino Tr unt,RCT,1.87,1,1.87,1.90,35,1.875,1.87,1.90,1.86,2.15,1.70,24,,1.07,2.04,12.83,25.7,7.3,-3.0,-1.58,
Retail Food Grp,RFG,2.55,4,2.55,2.58,2,2.55,2.55,2.66,2.50,3.10,1.67,10,f,2.54,-0.70,3.92,25.4,10.0,-10.0,-3.77,
Sino Strategic Intl,SSI,0.235,-,0.235,0.255,-,-,-,0.25,0.235,0.92,0.23,-,,-,-0.05,-,-67,-,-,-,
Sky City Entertain,SKC,2.36,-3,2.34,2.36,1650,2.36,2.28,2.48,2.28,2.89,2.09,11.69,,1.63,0.53,4.95,19.09,12.4,1.0,0.43,
Slater & Gordon,SGH,1.45,1,1.44,1.46,4,1.45,1.45,1.48,1.44,1.79,1.425,5.25,f,3.16,0.82,3.62,16.6,8.7,-,-,
Stanfield Funds,SFN,0.01,-,0.009,0.01,-,-,-,0.012,0.008,0.028,0.008,-,,-,-0.01,-,-0.14,-,0.2,25,
Success Res Global,SGU,0.01,-,0.01,0.016,-,-,-,0.01,0.01,0.06,0.008,-,,-,-,-,1.26,0.8,-,-,
Tabcorp Hldgs Ltd,TAH,6.47,1,6.45,6.47,17619,6.51,6.45,6.51,6.33,7.52,6.28,60,f,1.44,-1.53,9.27,86.1,7.5,9.0,1.41,
Tatts Grp Ltd,TTS,2.29,-,2.28,2.29,20841,2.31,2.28,2.31,2.22,2.67,2.19,21,f,1.04,-0.51,9.17,21.9,10.5,6.0,2.69,
Transmetro Corp,TCO,0.70,-,0.43,-,-,-,-,0.70,0.70,0.70,0.67,3,,2.28,1.18,4.29,6.85,10.2,-,-,
Viagold Capital,VIA,0.60,5,0.36,0.60,30,0.60,0.60,0.60,0.475,0.60,0.046,-,,-,0.24,-,20,3.0,14.0,30.43,
Webjet Ltd,WEB,2.09,3,2.03,2.09,657,2.10,2.06,2.10,1.95,2.70,1.096,8,f,1.52,0.41,3.83,12.2,17.1,14.5,7.46,
Xiaoxiao Education,XXL,0.17,-,0.16,0.20,-,-,-,0.17,0.17,0.30,0.13,-,,-,-,-,-,-,-,-,
INDUSTRY GROUP: Media,,,,,,,,,,,,,,,,,,,,,,
Adcorp Aust,AAU,0.20,-,0.20,0.22,-,-,-,0.20,0.15,0.305,0.145,-,,-,0.07,-,-2.18,-,5.0,33.33,
Amalgamated Hldgs,AHD,5.78,8,5.70,5.78,275,5.90,5.74,5.90,5.64,6.24,3.995,35,f,1.96,4.65,6.06,68.5,8.4,5.0,0.87,
APN News & Media,APN,1.98,-,1.95,1.995,20126,2.02,1.945,2.02,1.875,2.61,1.38,4,f,4.17,-0.78,2.02,16.7,11.9,-3.0,-1.49,
Aspermont Ltd,ASP,0.14,-,0.011,0.11,-,-,-,0.14,0.14,0.256,0.10,-,,-,-0.03,-,0.88,15.9,-,-,
Austar United,AUN,0.98,-,0.955,0.995,10887,0.985,0.97,0.985,0.97,1.465,0.82,-,,-,-0.31,-,4.7,20.9,1.0,1.03,
Austereo Grp Ltd,AEO,1.635,-1.5,1.635,1.65,533,1.665,1.60,1.675,1.585,1.925,1.27,9.1,f,1.32,-0.57,5.57,11.98,13.6,-3.5,-2.1,
Beyond Intl,BYI,0.68,-,0.62,0.65,-,-,-,0.68,0.68,0.78,0.50,6,,1.36,0.45,8.82,8.18,8.3,-,-,
Brisbane Broncos,BBL,0.33,-,0.32,0.36,-,-,-,0.33,0.33,0.40,0.30,0.5,f,1.78,0.12,1.52,0.89,37.1,-,-,
BSA Ltd,BSA,0.21,-,0.21,0.22,465,0.21,0.21,0.21,0.20,0.34,0.125,2,f,1.49,-0.01,9.52,2.99,7.0,1.0,5,
Commstrat Ltd,COJ,0.004,-,0.005,0.006,-,-,-,0.004,0.004,0.01,0.003,-,,-,-,-,0.06,6.7,-,-,
Consolidated Media,CMJ,3.12,2,3.11,3.18,123018,3.16,3.10,3.16,3.06,3.44,2.59,16.5,f,3.48,0.88,5.29,57.44,5.4,-2.0,-0.64,
Facilitate Digital,FAC,0.06,-0.2,0.06,0.07,286,0.062,0.06,0.062,0.06,0.149,0.035,-,,-,0.01,-,0.29,20.7,-0.2,-3.23,
Fairfax Media Ltd,FXJ,1.39,2,1.37,1.405,109532,1.405,1.37,1.405,1.29,1.885,1.105,1.1,,8.45,-0.31,0.79,9.3,14.9,3.5,2.58,
Hyro Ltd,HYO,0.018,-,0.018,0.02,-,-,-,0.02,0.018,0.044,0.017,-,,-,-,-,2.39,0.8,-,-,
Infochoice Ltd,ICH,0.45,-,0.45,0.485,-,-,-,0.45,0.45,0.485,0.44,-,,-,0.02,-,-1.35,-,-,-,
IPGA Ltd,IPP,0.38,-,0.38,0.385,-,-,-,0.40,0.38,0.58,0.079,-,,-,-,-,-1.69,-,-2.0,-5,
Macq Radio,MRN,0.78,-,0.73,0.78,-,-,-,0.78,0.78,0.90,0.30,4,f,0.96,0.02,5.13,3.84,20.3,-,-,
MCM Entertainment Gr,MEG,0.16,-4,0.16,0.185,100,0.16,0.16,0.20,0.16,0.23,0.15,-,,-,0.04,-,1.01,15.8,-4.0,-20,
Media Grp Int Ltd,MUI,0.01,-,0.007,0.01,-,-,-,0.01,0.01,0.025,0.006,-,,-,-,-,-2.68,-,-,-,
Medic Vision Ltd,MVH,0.02,0.6,0.017,0.02,2807,0.02,0.017,0.02,0.014,0.045,0.01,-,,-,-,-,-1.06,-,0.8,66.67,
  opt jan12,MVHOA,0.001,-,-,-,-,-,-,0.001,0.001,0.008,0.001,-,,-,-,-,-,-,-,-,
Mitchell Comms,MCU,1.00,4,0.99,1.00,4530,1.01,0.99,1.01,0.90,1.01,0.63,4.4,f,1.50,-,4.40,6.6,15.2,8.0,8.7,
News Corp b voting,NWS,16.36,25,16.32,16.36,18807,16.42,16.07,16.42,15.63,20.18,12.32,5.14,,14.51,0.45,0.31,74.58,21.9,29.0,1.8,
  a nonvote,NWSLV,14.40,14,14.36,14.85,1152,14.47,14.20,14.47,13.84,17.56,10.46,12.87,,-,-,0.89,-,-,23.0,1.62,
Oohmedia Grp Ltd,OOH,0.16,-,0.165,0.17,-,-,-,0.16,0.16,0.165,0.06,-,,-,-0.08,-,1.3,12.3,-,-,
Pac Star Net,PNW,0.049,-,0.04,0.049,-,-,-,0.05,0.049,0.065,0.03,-,,-,0.01,-,0.1,49.0,-0.1,-2,
Prime Media Grp,PRT,0.72,1,0.72,0.735,1760,0.72,0.72,0.72,0.71,0.86,0.50,2.2,f,-,-,3.06,-2.7,-,-1.0,-1.37,
Q Ltd,QXQ,0.045,1.9,0.037,0.045,605,0.045,0.045,0.045,0.026,0.198,0.026,-,,-,0.02,-,-237.1,-,1.9,73.08,
REA Grp,REA,10.39,19,9.90,10.39,173,10.40,9.78,10.79,9.78,12.60,5.14,10,,1.00,0.45,0.96,10.04,103.5,-11.0,-1.05,
Resourc & En Grp,REZ,0.10,-,0.10,0.135,-,-,-,0.12,0.081,0.375,0.046,-,,-,0.07,-,-1.35,-,-2.0,-16.67,
Sky Net,SKT,3.90,-,3.70,3.85,-,-,-,3.90,3.90,4.15,3.23,11.39,,1.72,-0.47,2.92,19.63,19.9,-,-,
Sthn Cross Media,SXL,1.71,-1,1.70,1.82,3339,1.755,1.705,1.825,1.61,2.31,1.045,6.7,,-,-0.51,3.92,-36.65,-,-3.0,-1.72,
STW Comms,SGN,0.91,-2.5,0.90,0.94,1991,0.94,0.90,0.96,0.90,1.03,0.575,3.5,f,2.09,0.15,3.85,7.32,12.4,-2.5,-2.67,
Swish Grp Ltd,SWG,0.001,-,0.001,0.002,-,-,-,0.002,0.001,0.005,0.001,-,,-,-,-,-0.53,-,-0.1,-50,
Ten Network Hldgs,TEN,1.625,0.5,1.615,1.645,57506,1.645,1.61,1.66,1.58,1.94,1.00,2,,2.31,-0.29,1.23,4.62,35.2,-1.5,-0.91,
TPL Corp Ltd,TPL,0.017,-,0.017,0.02,9163,0.017,0.017,0.017,0.016,0.028,0.004,-,,-,-,-,-0.21,-,-0.2,-10.53,
Two Way Ltd,TTV,0.032,-,0.032,0.038,-,-,-,0.035,0.032,0.078,0.03,-,,-,0.01,-,-3.44,-,-0.3,-8.57,
Village Roadshow,VRL,1.92,2,1.91,2.08,43,1.92,1.92,2.03,1.90,2.54,0.91,3.75,,11.12,-1.97,1.95,41.69,4.6,-11.0,-5.42,
  'a' pref,VRLPA,2.06,4,1.99,2.09,116,2.06,1.99,2.09,1.99,2.71,0.54,3.75,,-,-,1.82,-,-,-1.0,-0.48,
WAG Ltd,WAG,0.005,-,0.005,0.007,-,-,-,0.006,0.005,0.011,0.003,-,,-,-,-,-0.01,-,-,-,
West Aust News,WAN,6.59,-1,6.50,6.60,5828,6.62,6.41,6.67,6.34,8.48,4.35,29,f,1.29,-,4.40,37.3,17.7,-,-,
World Wide Ent Grp,WWG,0.06,-,0.065,0.08,-,-,-,0.06,0.055,0.20,0.045,-,,-,-,-,3.05,2.0,0.5,9.09,
INDUSTRY GROUP: Retailing,,,,,,,,,,,,,,,,,,,,,,
Adtrans Grp,ADG,3.50,-,3.20,3.70,61,3.50,3.50,3.50,3.50,3.70,2.18,20,f,1.86,2.44,5.71,37.1,9.4,-10.0,-2.78,
Adultshop Com,ASC,0.009,-,0.009,0.01,479,0.009,0.009,0.009,0.009,0.015,0.004,-,,-,0.02,-,-0.19,-,-,-,
