Derivatives: Put Options - Weekly
"Traded positions for the week ending Friday, September 18, 2015"
"Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:11 PM."



ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,
PUT OPTIONS,
AGL Energy Last Sale Price $16.36,
Sep,2015,35.51,7.10,8.60,50,181,67.00,-1.00,-,
Sep,2015,36.01,7.61,7.75,255,769,71.70,-1.00,-,
Sep,2015,42.01,13.60,9.80,75,93,76.80,-1.00,-,
Oct,2015,23.50,.12,.21,95,465,40.20,-.06,3.67,
Oct,2015,24.00,.16,.15,100,84,39.30,-.08,4.90,
Oct,2015,24.50,.20,.32,22,249,38.20,-.10,6.12,
Oct,2015,25.00,.25,.29,1160,5362,36.90,-.13,7.65,
Oct,2015,25.50,.31,.27,60,354,35.50,-.16,9.49,
Oct,2015,26.00,.38,.66,187,1802,34.20,-.19,11.63,
Oct,2015,26.01,.38,.35,200,1412,34.10,-.19,11.63,
Oct,2015,26.50,.47,.78,107,5290,32.80,-.23,14.38,
Oct,2015,27.00,.58,.64,370,7460,31.50,-.28,17.75,
Oct,2015,27.01,.58,.91,10,903,31.50,-.28,17.75,
Oct,2015,27.50,.72,.80,205,3382,30.30,-.34,22.03,
Oct,2015,27.51,.71,.70,40,1005,30.30,-.34,21.88,
Oct,2015,28.00,.89,.82,30,1834,29.10,-.40,27.08,
Oct,2015,28.50,1.09,1.00,100,4816,28.00,-.48,30.14,
Oct,2015,29.00,1.33,1.20,500,1502,26.90,-.56,22.19,
Oct,2015,29.01,1.33,.98,1065,1712,26.90,-.56,21.88,
Oct,2015,30.00,1.94,1.92,215,1158,25.00,-.72,10.40,
Oct,2015,31.01,2.71,2.68,10,661,23.60,-.88,2.91,
Oct,2015,31.51,3.14,2.35,100,565,23.20,-.95,.92,
Oct,2015,33.01,4.57,5.20,40,548,23.90,-1.00,-,
Nov,2015,21.00,.15,.29,31,199,43.40,-.04,2.75,
Nov,2015,23.00,.29,.45,70,70,38.10,-.08,5.42,
Nov,2015,25.50,.68,.90,208,526,32.30,-.18,12.48,
Nov,2015,26.50,.95,1.05,100,760,30.20,-.25,17.53,
Nov,2015,27.00,1.13,1.05,30,3980,29.30,-.30,20.75,
Nov,2015,28.00,1.56,1.53,200,4160,27.40,-.40,28.64,
Nov,2015,29.00,2.13,3.05,20,761,25.80,-.53,28.00,
Nov,2015,29.50,2.46,2.31,100,369,25.10,-.60,24.97,
Nov,2015,30.00,2.83,2.77,100,1221,24.50,-.67,22.49,
Nov,2015,32.01,4.54,5.08,10,600,23.40,-.92,16.98,
Dec,2015,22.00,.28,.68,1000,872,39.10,-.07,4.03,
Dec,2015,23.00,.39,.48,30,1580,36.90,-.09,5.51,
Dec,2015,25.00,.71,1.12,17,1372,32.70,-.17,10.03,
Dec,2015,25.01,.71,.89,10,180,32.70,-.17,10.03,
Dec,2015,27.50,1.49,1.99,30,727,28.00,-.35,20.97,
Dec,2015,28.00,1.72,1.58,770,1625,27.20,-.40,24.29,
Dec,2015,28.01,1.71,1.85,170,290,27.20,-.40,24.15,
Dec,2015,29.00,2.27,3.16,4,1246,25.80,-.51,23.59,
Dec,2015,29.50,2.59,3.17,15,1651,25.20,-.57,21.04,
Dec,2015,30.00,2.94,4.42,15,3303,24.60,-.63,18.93,
Dec,2015,31.00,3.73,3.70,45,6721,23.70,-.76,15.89,
Dec,2015,31.50,4.15,1.54,35,655,23.40,-.82,14.83,
Dec,2015,32.01,4.55,5.60,165,1145,23.20,-.88,13.35,
Dec,2015,33.00,5.53,3.86,25,4773,23.20,-.99,13.13,
Dec,2015,34.50,7.00,1.65,100,598,24.50,-1.00,12.64,
Dec,2015,35.01,7.43,7.93,191,346,25.20,-1.00,11.58,
Dec,2015,35.51,7.92,2.14,50,250,26.00,-1.00,11.44,
Dec,2015,42.51,14.86,10.05,100,115,32.70,-1.00,10.52,
Jan,2016,28.01,1.87,1.13,20,145,25.50,-.40,18.07,
