Warrants Market - Daily,,,,,,,,,,,,
XAO 4262.7 at 16:36 1/7/2010  Report at 19:05 Thursday 1/7/2010. Processed 19:37 Thursday 1/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.20,,,,,,,,,,,,
RIOUMK,68.00,23/09/10,4:1,1.03,1.105,1.055,-64.5,35,,,,
RIOVMG,70.00,23/09/10,4:1,0.82,0.885,0.88,-,400,,,,
RIOUML,72.00,23/09/10,4:1,0.645,0.70,0.70,-5.5,200,,,,
RIOVMH,76.00,23/09/10,4:1,0.395,0.435,0.41,-,2000,,,,
RIOUMM,80.00,23/09/10,4:1,0.30,0.335,0.32,-5.5,515,,,,
RIOWMH,95.00,23/09/10,4:1,0.032,0.04,0.03,-2.2,2433,,,,
RIOWMI,100.00,23/09/10,4:1,0.018,-,0.051,-,-,,,,
RIOVMI,65.00,27/01/11,4:1,2.26,2.35,-,-,-,,,,
RIOVMJ,70.00,27/01/11,4:1,1.685,1.76,-,-,-,,,,
RIOVMK,75.00,27/01/11,4:1,1.22,1.285,-,-,-,,,,
RIOVML,80.00,27/01/11,4:1,0.87,0.92,-,-,-,,,,
RIOVMM,85.00,27/01/11,4:1,0.61,0.65,-,-,-,,,,
Santos Ltd Last Sale Price $12.36,,,,,,,,,,,,
STOWOC,13.50,26/08/10,4:1,0.105,0.11,0.185,-,-,,,,
STOWOD,15.00,26/08/10,4:1,0.047,0.052,0.054,-1.4,500,,,,
STOUMC,13.00,23/09/10,4:1,0.175,0.185,0.25,-,-,,,,
STOUMD,14.00,23/09/10,4:1,0.091,0.10,-,-,-,,,,
Suncorp-Metway Last Sale Price $7.86,,,,,,,,,,,,
SUNUMC,8.00,23/09/10,4:1,0.115,0.125,-,-,-,,,,
Ten Network Hldgs Last Sale Price $1.62,,,,,,,,,,,,
TENWMH,1.75,23/09/10,1:1,0.11,0.115,-,-,-,,,,
Telstra Corp Last Sale Price $3.18,,,,,,,,,,,,
TLSWOE,3.10,26/08/10,2:1,0.075,0.08,0.08,-3,100,,,,
TLSWOF,3.35,26/08/10,2:1,0.031,0.036,-,-,-,,,,
TLSUMD,2.92,23/09/10,1:1,0.33,0.35,0.375,13.5,300,,,,
TLSUMF,3.15,23/09/10,1:1,0.165,0.18,-,-,-,,,,
TLSWMH,3.24,23/09/10,1:1,0.12,0.135,0.11,-,-,,,,
TLSVMF,3.40,23/09/10,1:1,0.06,0.07,-,-,-,,,,
TLSWMI,3.65,23/09/10,1:1,0.046,0.053,0.076,-,-,,,,
Toll Hldgs Ltd Last Sale Price $5.40,,,,,,,,,,,,
TOLUMC,7.00,23/09/10,1:1,0.024,0.03,0.145,-,-,,,,
Westpac Banking Last Sale Price $20.81,,,,,,,,,,,,
WBCVZF,25.00,28/07/10,4:1,0.014,-,-,-,-,,,,
WBCVMF,20.00,23/09/10,4:1,0.54,0.555,0.535,-,300,,,,
WBCUMG,22.00,23/09/10,4:1,0.275,0.28,0.27,-5,220,,,,
WBCUMH,24.00,23/09/10,4:1,0.12,0.125,0.19,-,-,,,,
WBCWOH,24.50,23/09/10,4:1,0.095,0.10,0.10,-12.5,340,,,,
WBCUMI,26.00,23/09/10,4:1,0.045,0.048,0.049,-0.5,300,,,,
WBCWOI,26.00,23/09/10,4:1,0.049,0.054,0.09,-,-,,,,
WBCWOJ,28.00,23/09/10,4:1,0.023,0.028,0.12,-,-,,,,
WBCWMH,29.00,23/09/10,4:1,0.007,-,0.058,-,-,,,,
WBCWMI,31.00,23/09/10,4:1,0.001,-,0.18,-,-,,,,
WBCVMG,21.00,27/01/11,4:1,0.59,0.60,-,-,-,,,,
WBCVMH,25.00,27/01/11,4:1,0.23,0.24,-,-,-,,,,
WBCVMI,28.00,27/01/11,4:1,0.105,0.11,-,-,-,,,,
WBCVMJ,32.00,27/01/11,4:1,0.033,0.037,-,-,-,,,,
Wesfarmers Ltd Last Sale Price $27.77,,,,,,,,,,,,
WESWOC,30.00,26/08/10,5:1,0.105,0.11,-,-,-,,,,
WESWOA,32.00,26/08/10,5:1,0.043,0.048,0.095,-,-,,,,
WESUMB,28.00,23/09/10,4:1,0.40,0.415,0.62,-,-,,,,
WESUMC,31.00,23/09/10,4:1,0.145,0.16,0.17,-17.5,270,,,,
WorleyParsons Ltd Last Sale Price $21.20,,,,,,,,,,,,
WORUMB,26.00,23/09/10,4:1,0.063,0.078,0.18,-,-,,,,
Woolworths Ltd Last Sale Price $26.64,,,,,,,,,,,,
WOWWOB,28.50,26/08/10,4:1,0.083,0.088,0.18,-,-,,,,
WOWVMF,24.00,23/09/10,4:1,0.765,0.81,0.795,-,10,,,,
WOWUMC,27.00,23/09/10,4:1,0.235,0.265,0.455,-,-,,,,
WOWUMD,30.00,23/09/10,4:1,0.03,0.039,-,-,-,,,,
Woodside Pet Last Sale Price $42.03,,,,,,,,,,,,
WPLVZE,48.00,28/07/10,5:1,0.08,0.095,-,-,-,,,,
WPLWOA,46.00,26/08/10,5:1,0.14,0.145,0.13,1.5,800,,,,
WPLWOB,50.00,26/08/10,5:1,0.048,0.053,-,-,-,,,,
WPLUMC,44.00,23/09/10,4:1,0.495,0.55,0.475,-,-,,,,
WPLWMH,45.00,23/09/10,4:1,0.385,0.435,0.37,-,-,,,,
Equity Put Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.20,,,,,,,,,,,,
AMPWOP,5.75,23/09/10,3:1,0.245,0.25,-,-,-,,,,
AMPWOQ,6.25,23/09/10,3:1,0.385,0.39,0.395,-,-,,,,
ANZ Banking Grp Last Sale Price $21.08,,,,,,,,,,,,
ANZVZS,22.00,28/07/10,4:1,0.355,0.385,0.31,-,-,,,,
ANZVMP,18.00,23/09/10,4:1,0.135,0.145,-,-,-,,,,
ANZVMQ,20.00,23/09/10,4:1,0.255,0.265,-,-,-,,,,
ANZWOV,20.50,23/09/10,4:1,0.30,0.305,0.29,0.5,100,,,,
ANZWMV,22.00,23/09/10,4:1,0.465,0.48,-,-,-,,,,
ANZWOW,22.00,23/09/10,4:1,0.465,0.47,0.25,-,-,,,,
ANZVMR,24.00,23/09/10,4:1,0.785,0.81,-,-,-,,,,
ANZWOX,24.00,23/09/10,4:1,0.775,0.78,0.585,-,-,,,,
ANZVMS,26.00,23/09/10,4:1,1.195,1.22,-,-,-,,,,
ANZVMT,20.00,27/01/11,4:1,0.495,0.51,-,-,-,,,,
ANZVMV,22.00,27/01/11,4:1,0.73,0.745,-,-,-,,,,
ANZVMW,24.00,27/01/11,4:1,1.03,1.05,-,-,-,,,,
ANZVMX,26.00,27/01/11,4:1,1.39,1.415,-,-,-,,,,
ASX Ltd Last Sale Price $28.80,,,,,,,,,,,,
ASXUMP,32.00,23/09/10,4:1,1.015,1.035,0.815,-,-,,,,
BHP Billiton Ltd Last Sale Price $37.11,,,,,,,,,,,,
BHPVZS,37.00,28/07/10,4:1,0.41,0.44,0.43,-,-,,,,
BHPWOR,30.00,26/08/10,4:1,0.073,0.078,0.08,3.4,500,,,,
BHPWOT,33.00,26/08/10,4:1,0.185,0.19,0.30,-,-,,,,
BHPWOU,36.00,26/08/10,4:1,0.405,0.41,0.28,-,-,,,,
BHPVOR,39.00,26/08/10,4:1,0.745,0.75,0.78,6.5,120,,,,
BHPVOS,40.50,26/08/10,4:1,1.00,1.005,0.66,-,-,,,,
BHPVOT,42.00,26/08/10,4:1,1.285,1.29,1.26,-,480,,,,
BHPUMU,34.00,23/09/10,4:1,0.365,0.385,0.285,-,-,,,,
BHPUMW,36.00,23/09/10,4:1,0.515,0.545,0.55,5.5,16,,,,
BHPUMV,38.00,23/09/10,4:1,0.775,0.81,0.535,-,-,,,,
BHPWMV,40.00,23/09/10,4:1,1.035,1.075,0.99,-,-,,,,
BHPVMP,42.00,23/09/10,4:1,1.39,1.435,-,-,-,,,,
BHPVMQ,40.00,27/01/11,4:1,1.32,1.355,-,-,-,,,,
BHPVMR,42.00,27/01/11,4:1,1.625,1.665,-,-,-,,,,
BHPVMS,44.00,27/01/11,4:1,1.97,2.01,-,-,-,,,,
BHPVMT,46.00,27/01/11,4:1,2.34,2.39,-,-,-,,,,
BlueScope Steel Last Sale Price $2.08,,,,,,,,,,,,
BSLWOQ,2.75,26/08/10,2:1,0.345,0.35,-,-,-,,,,
BSLUMP,2.00,28/10/10,1:1,0.20,0.215,-,-,-,,,,
Brambles Ltd Last Sale Price $5.48,,,,,,,,,,,,
BXBWOQ,7.00,26/08/10,3:1,0.51,0.515,0.41,-,-,,,,
BXBVMS,5.00,23/09/10,1:1,0.33,0.34,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $47.47,,,,,,,,,,,,
CBAVZU,50.00,28/07/10,5:1,0.685,0.72,0.60,-,-,,,,
CBAUMU,45.00,23/09/10,4:1,0.655,0.68,1.23,-,-,,,,
CBAWOV,48.00,23/09/10,5:1,0.83,0.84,0.545,-,-,,,,
CBAUMV,50.00,23/09/10,4:1,1.34,1.37,0.78,-,-,,,,
CBAWOW,51.50,23/09/10,5:1,1.25,1.265,1.00,-,-,,,,
CBAUMW,52.00,23/09/10,4:1,1.70,1.735,1.675,-,100,,,,
CBAWOX,54.00,23/09/10,5:1,1.615,1.63,1.28,-,-,,,,
CBAWMV,55.00,23/09/10,4:1,2.29,2.33,2.75,-,-,,,,
CBAVMP,57.00,23/09/10,4:1,2.72,2.76,-,-,-,,,,
CBAVMQ,48.00,27/01/11,4:1,1.435,1.46,-,-,-,,,,
CBAVMR,52.00,27/01/11,4:1,2.02,2.06,-,-,-,,,,
CBAVMS,56.00,27/01/11,4:1,2.72,2.75,-,-,-,,,,
CBAVMT,60.00,27/01/11,4:1,3.49,3.53,-,-,-,,,,
Computershare Ltd Last Sale Price $10.35,,,,,,,,,,,,
CPUUMP,11.50,23/09/10,1:1,1.525,1.555,-,-,-,,,,
CSL Ltd Last Sale Price $32.08,,,,,,,,,,,,
CSLUMP,34.00,23/09/10,4:1,0.755,0.785,-,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.00,,,,,,,,,,,,
FMGUMP,4.50,23/09/10,1:1,0.755,0.775,-,-,-,,,,
Incitec Pivot Last Sale Price $2.63,,,,,,,,,,,,
IPLUMP,3.00,23/09/10,1:1,0.435,0.46,-,-,-,,,,
Macq Grp Ltd Last Sale Price $36.44,,,,,,,,,,,,
MQGVZY,44.00,28/07/10,5:1,1.515,1.565,1.49,-,-,,,,
