Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4403.9 at 2011-10-27T16:36:25. Report at Thursday, October 27, 2011. Processed Friday at 2011-10-28T01:00:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $22.00,
SKISRX,0.53,06/08/21,1:1,.645,.655,,,,,
,
SPDR Prop Fund Last Sale Price $7.31,
SLFIOL,4.00,25/05/12,1:1,3.55,3.56,3.31,,,,
SLFSOA,13.16,28/06/12,1:1,.45,.46,2.23,,,,
SLFSMW,15.01,29/06/12,1:1,.425,,.765,,,,
SLFSMA,10.39,28/06/13,1:1,.225,,.83,,,,
SLFSZB,9.60,30/06/16,1:1,1.005,,1.915,,,,
SLFSZX,3.16,04/02/19,1:1,3.90,4.24,4.07,,,,
SLFSZW,4.36,04/02/19,1:1,2.71,3.05,2.80,,,,
SLFSOX,3.97,19/11/20,1:1,3.29,,,,,,
SLFSRX,2.96,06/08/21,1:1,4.11,4.45,,,,,
SLFSRY,3.44,06/08/21,1:1,3.63,,,,,,
,
Ishares S&P 500 Etf,
SP5SZ5,120.20,29/06/12,1:1,16.42,,,,,,
SP5SZ3,133.32,29/06/12,1:1,8.44,,,,,,
SP5SZ4,133.32,29/06/12,1:1,8.72,,,,,,
SP5SZ1,139.12,29/06/12,1:1,4.24,,5.54,,,,
SP5SRX,59.18,06/08/21,1:1,60.38,60.45,,,,,
,
Santos Last Sale Price $13.31,
STOIZQ,7.00,02/12/11,1:1,6.32,6.40,4.73,,,,
STOIOO,9.00,15/12/11,1:1,4.40,,2.24,,,,
STOIOI,13.00,15/12/11,1:1,.92,.93,.865,+46.5,1050,,
STOIOU,10.00,29/03/12,1:1,3.86,3.87,3.77,+87,31,,
STOIOL,12.50,25/05/12,1:1,2.37,2.38,1.48,,,,
STOSOA,7.45,28/06/12,1:1,6.23,6.24,5.70,,,,
STOIOE,8.00,28/06/12,1:1,5.88,5.89,4.41,,,,
STOIRZ,9.00,28/06/12,1:1,4.99,5.04,,,,,
STOISM,14.52,28/06/12,1:1,1.95,2.28,,,,,
STOSSR,6.70,29/06/12,1:1,7.03,7.04,4.99,,,,
STOSST,9.71,29/06/12,1:1,4.37,4.38,3.27,,,,
STOIOW,6.00,30/08/12,1:1,7.82,7.83,6.97,,,,
STOIRA,6.25,27/09/12,1:1,7.56,7.61,,,,,
STOIZZ,9.00,03/12/12,1:1,5.43,5.48,4.65,,,,
STOSOB,10.19,27/06/13,1:1,5.17,5.18,6.23,,,,
STOSMA,6.74,28/06/13,1:1,6.97,,7.88,,,,
STOSOC,6.59,26/06/14,1:1,7.69,7.70,5.83,,,,
STOSOD,8.72,26/06/15,1:1,6.99,7.00,9.93,,,,
STOSZA,2.60,30/06/15,1:1,10.59,,12.21,,,,
STOSMC,8.36,30/06/15,1:1,6.88,,7.09,,,,
STOSOE,6.35,23/06/16,1:1,8.45,8.46,6.60,,,,
STOSWB,5.91,30/06/16,1:1,7.83,,7.12,,,,
STOSZB,6.63,30/06/16,1:1,6.63,,6.32,,,,
STOSWG,7.23,30/06/16,1:1,7.87,7.89,9.32,,,,
STOSZW,6.51,04/02/19,1:1,6.75,6.80,4.68,,,,
STOSZX,8.25,04/02/19,1:1,5.02,5.07,4.13,,,,
STOSRX,5.25,06/08/21,1:1,8.01,8.06,,,,,
,
SPDR 200 Fund Last Sale Price $41.34,
STWIZQ,23.40,02/12/11,1:1,18.05,18.12,18.85,,,,
STWIO1,22.00,11/05/12,1:1,21.04,21.05,20.53,,,,
STWIOM,24.00,25/05/12,1:1,18.75,18.76,16.57,,,,
STWIRZ,30.75,28/06/12,1:1,13.54,13.60,,,,,
STWSOA,37.39,28/06/12,1:1,7.33,7.34,5.99,,,,
STWSSR,21.18,29/06/12,1:1,20.94,,19.55,,,,
STWSST,31.82,29/06/12,1:1,12.38,,,,,,
STWSMW,35.02,29/06/12,1:1,8.18,,6.99,,,,
STWSZ5,39.83,29/06/12,1:1,5.48,,,,,,
STWSSC,43.98,29/06/12,1:1,3.43,,4.19,,,,
STWSZ3,44.07,29/06/12,1:1,3.27,,,,,,
STWSZ4,44.07,29/06/12,1:1,3.08,,,,,,
STWMMI,46.81,29/06/12,1:1,4.57,,1.445,,,,
STWIRA,21.00,27/09/12,1:1,22.19,22.26,,,,,
STWIZW,26.00,03/12/12,1:1,18.37,18.43,19.35,,,,
STWSMA,32.22,28/06/13,1:1,11.25,,14.52,,,,
STWSOC,16.32,26/06/14,1:1,26.30,26.31,23.98,,,,
STWSOD,27.06,26/06/15,1:1,19.81,19.82,19.80,+99,2,,
STWSOE,19.50,23/06/16,1:1,25.12,25.13,23.71,,,,
STWSOF,23.50,23/06/16,1:1,22.82,22.83,,,,,
STWSWI,17.00,30/06/16,1:1,27.40,27.44,,,,,
STWSWH,20.00,30/06/16,1:1,25.60,25.64,,,,,
STWSWB,20.03,30/06/16,1:1,22.45,,19.81,,,,
STWSWC,25.39,30/06/16,1:1,17.97,,15.54,,,,
