Warrants Market - Daily,,,,,,,,,,,,
XAO 4628.8 at 16:34 2/2/2010  Report at 19:05 Tuesday 2/2/2010. Processed 19:19 Tuesday 2/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.21,,,,,,,,,,,,
RIOVMC,75.00,25/03/10,6:1,0.515,0.52,0.48,15,150,,,,
RIOVZD,75.00,25/03/10,6:1,0.755,0.785,-,-,-,,,,
RIOWOD,73.00,29/04/10,6:1,0.765,0.78,0.775,9.5,300,,,,
RIOVME,80.00,29/04/10,6:1,0.505,0.51,0.70,-,-,,,,
RIOWOE,80.00,29/04/10,6:1,0.395,0.41,0.39,-8,100,,,,
RIOVMF,85.00,29/04/10,6:1,0.31,0.315,0.23,-,-,,,,
RIOWOC,85.00,29/04/10,6:1,0.245,0.255,0.235,2.5,350,,,,
Santos Ltd Last Sale Price $12.97,,,,,,,,,,,,
STOVMA,15.00,25/03/10,3:1,0.032,-,0.054,-,-,,,,
STOVZM,15.00,25/03/10,4:1,0.054,0.068,-,-,-,,,,
STOWOA,15.50,25/03/10,4:1,0.02,0.025,0.084,-,-,,,,
STOWOB,17.00,25/03/10,4:1,0.012,0.017,-,-,-,,,,
STOVME,17.00,29/04/10,3:1,0.018,-,0.052,-,-,,,,
Telstra Corp Last Sale Price $3.38,,,,,,,,,,,,
TLSWOA,3.25,25/03/10,2:1,0.075,0.08,0.10,-,-,,,,
TLSVMA,3.36,25/03/10,2:1,0.055,0.058,0.085,-,-,,,,
TLSWOB,3.60,25/03/10,2:1,0.017,0.022,-,-,-,,,,
TLSVMB,3.61,25/03/10,2:1,0.022,-,0.063,-,-,,,,
TLSVZB,3.75,25/03/10,2:1,0.008,0.04,-,-,-,,,,
TLSVME,3.85,29/04/10,2:1,0.02,-,-,-,-,,,,
Westpac Banking Last Sale Price $23.60,,,,,,,,,,,,
WBCWOK,25.00,25/02/10,4:1,0.071,0.089,0.078,-,-,,,,
WBCWZA,25.00,25/02/10,4:1,0.10,0.13,-,-,-,,,,
WBCWOL,27.00,25/02/10,4:1,0.014,0.019,0.081,-,-,,,,
WBCWOJ,29.00,25/02/10,4:1,0.002,0.01,0.007,-,-,,,,
WBCVZA,24.00,25/03/10,4:1,0.31,0.34,-,-,-,,,,
WBCVZB,25.00,25/03/10,4:1,0.215,0.245,-,-,-,,,,
WBCVMA,26.00,25/03/10,5:1,0.091,0.094,0.30,-,-,,,,
WBCVMB,28.00,25/03/10,5:1,0.021,-,0.08,-,-,,,,
WBCVMC,30.00,25/03/10,5:1,0.005,-,0.03,-,-,,,,
WBCWOA,23.50,29/04/10,4:1,0.44,0.46,0.42,-1.5,300,,,,
WBCWOB,25.00,29/04/10,4:1,0.24,0.255,0.24,-2,100,,,,
WBCWOC,27.00,29/04/10,4:1,0.105,0.12,0.105,-3,500,,,,
WBCVME,32.00,29/04/10,5:1,0.004,0.035,0.008,-2.7,500,,,,
Wesfarmers Ltd Last Sale Price $27.34,,,,,,,,,,,,
WESVMA,30.00,25/03/10,4:1,0.105,0.11,0.135,-,-,,,,
WESWOB,30.00,25/03/10,4:1,0.079,0.084,0.085,-6,660,,,,
WorleyParsons Ltd Last Sale Price $23.45,,,,,,,,,,,,
WORVMA,30.00,25/03/10,4:1,0.058,0.061,0.061,-2,400,,,,
Woolworths Ltd Last Sale Price $25.66,,,,,,,,,,,,
WOWVMA,28.00,25/03/10,4:1,0.055,0.058,0.055,-0.2,4760,,,,
WOWVMB,30.00,25/03/10,4:1,0.007,-,0.042,-,-,,,,
Woodside Pet Last Sale Price $43.20,,,,,,,,,,,,
WPLWOD,47.50,25/03/10,5:1,0.11,1.005,0.155,-,-,,,,
WPLVMA,49.62,25/03/10,5:1,0.105,0.11,0.22,-,-,,,,
WPLVZA,50.00,25/03/10,5:1,0.18,0.21,0.17,-,100,,,,
WPLWOE,50.00,25/03/10,5:1,0.072,0.077,-,-,-,,,,
WPLWOF,53.00,25/03/10,5:1,0.029,0.034,0.024,-,-,,,,
WPLVME,54.59,29/04/10,5:1,0.085,0.088,0.08,-1.8,500,,,,
Equity Put Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.21,,,,,,,,,,,,
AMPWOP,5.50,25/02/10,3:1,0.025,0.03,-,-,-,,,,
AMPWOQ,6.25,25/02/10,3:1,0.105,0.11,0.185,-,-,,,,
ANZ Banking Grp Last Sale Price $21.89,,,,,,,,,,,,
ANZWOY,20.00,25/02/10,4:1,0.044,0.049,0.05,-2.9,64,,,,
ANZWZX,20.00,25/02/10,4:1,0.035,0.049,0.068,-,-,,,,
ANZWOZ,22.00,25/02/10,4:1,0.17,0.175,0.14,-,-,,,,
ANZVOP,24.00,25/02/10,4:1,0.535,0.54,0.705,-,-,,,,
ANZWZZ,20.00,25/03/10,4:1,0.11,0.14,-,-,-,,,,
ANZWZY,21.00,25/03/10,4:1,0.20,0.23,-,-,-,,,,
ANZVMS,22.00,25/03/10,3:1,0.41,0.415,0.425,7,130,,,,
ANZVMT,24.00,25/03/10,3:1,0.81,0.815,-,-,-,,,,
ANZWOP,21.00,29/04/10,4:1,0.22,0.24,0.235,-,100,,,,
ANZWOQ,23.00,29/04/10,4:1,0.425,0.455,0.315,-,-,,,,
ANZWOR,25.00,29/04/10,4:1,0.785,0.825,-,-,-,,,,
ANZVMU,26.00,29/04/10,3:1,1.42,1.425,-,-,-,,,,
ASX Ltd Last Sale Price $34.56,,,,,,,,,,,,
ASXVMS,35.00,25/03/10,4:1,0.595,0.60,-,-,-,,,,
ASXVMU,37.00,29/04/10,4:1,1.005,1.01,0.985,-,-,,,,
BHP Billiton Ltd Last Sale Price $40.46,,,,,,,,,,,,
BHPWOU,36.00,25/02/10,4:1,0.037,0.047,0.083,-,-,,,,
BHPVOV,39.00,25/02/10,4:1,0.16,0.165,0.28,-,-,,,,
BHPWOR,40.50,25/02/10,4:1,0.305,0.31,0.325,-9.5,1000,,,,
BHPWOT,42.50,25/02/10,4:1,0.60,0.605,0.67,-,-,,,,
BHPWZV,46.00,25/02/10,4:1,1.43,1.46,1.10,-,-,,,,
BHPVMS,37.00,25/03/10,4:1,0.29,0.295,0.275,-,-,,,,
BHPVMT,39.00,25/03/10,4:1,0.47,0.475,0.46,16.5,38,,,,
BHPWZX,39.00,25/03/10,4:1,0.59,0.62,-,-,-,,,,
BHPWZW,40.00,25/03/10,4:1,0.715,0.745,0.775,-,-,,,,
BHPWOP,32.00,29/04/10,4:1,0.105,0.11,0.11,-4,200,,,,
BHPWOQ,35.00,29/04/10,4:1,0.215,0.22,0.205,-,-,,,,
BHPWOS,37.50,29/04/10,4:1,0.37,0.375,0.38,-4.5,60,,,,
BHPVMU,40.00,29/04/10,4:1,0.755,0.76,0.855,-,-,,,,
BHPWOV,40.50,29/04/10,4:1,0.63,0.635,0.64,6.5,90,,,,
BlueScope Steel Last Sale Price $2.63,,,,,,,,,,,,
BSLWOP,2.75,25/03/10,2:1,0.135,0.14,-,-,-,,,,
BSLVMS,3.25,25/03/10,2:1,0.31,-,0.355,-2.5,200,,,,
BSLWOR,3.25,25/03/10,2:1,0.32,0.325,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $53.55,,,,,,,,,,,,
CBAWOY,41.00,25/02/10,5:1,0.005,0.01,0.006,-,-,,,,
CBAVOP,46.00,25/02/10,5:1,0.03,0.035,0.033,-,-,,,,
CBAWZZ,48.00,25/02/10,5:1,0.073,0.087,0.23,-,-,,,,
CBAWOZ,50.00,25/02/10,5:1,0.125,0.135,0.105,-,-,,,,
CBAVZQ,50.00,25/03/10,5:1,0.375,0.405,-,-,-,,,,
CBAVZP,52.00,25/03/10,5:1,0.555,0.585,-,-,-,,,,
CBAVMS,53.00,25/03/10,5:1,0.61,0.615,0.515,-,-,,,,
CBAVMT,55.00,25/03/10,5:1,0.835,0.84,0.615,-,-,,,,
CBAWOP,45.00,29/04/10,5:1,0.185,0.19,-,-,-,,,,
CBAWOQ,49.00,29/04/10,5:1,0.355,0.365,0.395,-1.5,45,,,,
CBAWOR,52.50,29/04/10,5:1,0.58,0.59,0.495,-,-,,,,
CBAVMU,57.00,29/04/10,5:1,1.255,1.26,0.935,-,-,,,,
Computershare Ltd Last Sale Price $11.65,,,,,,,,,,,,
CPUVMS,11.00,25/03/10,2:1,0.215,0.22,-,-,-,,,,
CSL Ltd Last Sale Price $31.13,,,,,,,,,,,,
CSLVMS,33.00,25/03/10,4:1,0.67,0.675,-,-,-,,,,
Incitec Pivot Last Sale Price $3.33,,,,,,,,,,,,
IPLVMS,3.00,25/03/10,2:1,0.058,0.061,0.054,-,-,,,,
Lihir Gold Ltd Last Sale Price $2.85,,,,,,,,,,,,
LGLWOP,3.00,25/03/10,2:1,0.15,0.155,-,-,-,,,,
LGLVMS,3.50,25/03/10,2:1,0.35,0.355,0.28,-,-,,,,
LGLWOQ,3.50,25/03/10,2:1,0.335,0.34,0.21,-,-,,,,
Macq Grp Ltd Last Sale Price $50.40,,,,,,,,,,,,
MQGWOP,45.00,25/02/10,6:1,0.075,0.08,0.10,-,-,,,,
MQGVZU,45.00,25/03/10,5:1,0.515,0.545,0.81,-,-,,,,
MQGVZT,47.00,25/03/10,5:1,0.675,0.705,1.21,-,-,,,,
MQGWOQ,48.00,29/04/10,6:1,0.445,0.45,0.435,-,-,,,,
National Aust Bank Last Sale Price $25.95,,,,,,,,,,,,
NABWOY,24.50,25/02/10,4:1,0.10,0.105,0.14,-,-,,,,
NABWZU,26.00,25/02/10,4:1,0.215,0.245,0.30,-,-,,,,
NABWOZ,26.50,25/02/10,4:1,0.27,0.275,0.265,0.5,500,,,,
NABVOP,28.50,25/02/10,4:1,0.645,0.65,0.58,-,-,,,,
NABWZW,25.00,25/03/10,4:1,0.245,0.275,-,-,-,,,,
NABWZV,27.00,25/03/10,4:1,0.505,0.535,0.39,-,-,,,,
NABVMS,29.00,25/03/10,5:1,0.66,0.665,0.745,-,-,,,,
NABVMT,31.00,25/03/10,5:1,1.01,1.015,-,-,-,,,,
NABWOP,25.00,29/04/10,4:1,0.285,0.29,0.23,-,-,,,,
NABWOQ,27.50,29/04/10,4:1,0.57,0.575,-,-,-,,,,
NABWOR,30.00,29/04/10,4:1,1.02,1.025,0.95,-,-,,,,
NABVMU,33.00,29/04/10,5:1,1.415,1.425,-,-,-,,,,
Newcrest Min Last Sale Price $31.71,,,,,,,,,,,,
NCMWOR,30.00,25/03/10,4:1,0.315,0.32,0.25,-,-,,,,
NCMWOS,34.00,25/03/10,4:1,0.815,0.82,0.375,-,-,,,,
NCMWZY,35.00,25/03/10,4:1,1.125,1.155,-,-,-,,,,
NCMVMS,37.00,25/03/10,4:1,1.40,1.415,1.35,-,-,,,,
NCMVMU,39.00,29/04/10,4:1,1.905,1.91,-,-,-,,,,
News Corp Last Sale Price $16.87,,,,,,,,,,,,
NWSVMS,16.00,25/03/10,4:1,0.16,0.165,0.195,-,-,,,,
NWSVMU,18.00,29/04/10,4:1,0.475,0.48,0.50,-,-,,,,
OZ Minerals Last Sale Price $1.07,,,,,,,,,,,,
OZLWOP,1.10,25/03/10,2:1,0.058,0.063,0.062,-1.1,5000,,,,
QBE Insurance Grp Last Sale Price $23.10,,,,,,,,,,,,
QBEWOR,20.00,25/03/10,4:1,0.073,0.078,-,-,-,,,,
QBEWOS,22.50,25/03/10,4:1,0.265,0.27,-,-,-,,,,
QBEVMS,25.00,25/03/10,4:1,0.705,0.71,0.64,-,-,,,,
QBEVMU,27.00,29/04/10,4:1,1.15,1.155,0.825,-,-,,,,
Rio Tinto Ltd Last Sale Price $71.01,,,,,,,,,,,,
RIOWOS,64.00,25/02/10,6:1,0.145,0.155,0.155,-,708,,,,
RIOVZT,70.00,25/02/10,6:1,0.645,0.675,0.46,-,-,,,,
RIOVZU,68.00,25/03/10,6:1,0.81,0.84,0.775,-,-,,,,
RIOVMS,70.00,25/03/10,6:1,0.73,0.735,0.925,-,-,,,,
RIOWZV,70.00,25/03/10,6:1,0.975,1.005,-,-,-,,,,
RIOVMT,75.00,25/03/10,6:1,1.20,1.205,1.115,-,-,,,,
RIOWOT,60.00,29/04/10,6:1,0.305,0.315,0.30,-,-,,,,
RIOWOU,66.00,29/04/10,6:1,0.58,0.585,0.575,-16.5,40,,,,
RIOWOV,71.00,29/04/10,6:1,0.93,0.935,0.95,-1,10,,,,
RIOVMU,80.00,29/04/10,6:1,1.955,1.96,1.33,-,-,,,,
Santos Ltd Last Sale Price $12.97,,,,,,,,,,,,
STOWZQ,13.00,25/03/10,4:1,0.23,0.26,-,-,-,,,,
STOWOR,15.00,25/03/10,4:1,0.575,0.58,-,-,-,,,,
STOVMU,16.00,29/04/10,3:1,1.085,1.09,-,-,-,,,,
Telstra Corp Last Sale Price $3.38,,,,,,,,,,,,
TLSWOP,3.00,25/03/10,2:1,0.034,0.039,-,-,-,,,,
TLSWOQ,3.30,25/03/10,2:1,0.084,0.089,-,-,-,,,,
TLSVZQ,3.50,25/03/10,2:1,0.14,0.17,-,-,-,,,,
TLSVMS,3.61,25/03/10,2:1,0.195,0.20,-,-,-,,,,
TLSVMU,3.85,29/04/10,2:1,0.31,0.315,-,-,-,,,,
Westpac Banking Last Sale Price $23.60,,,,,,,,,,,,
WBCVZY,23.00,25/02/10,4:1,0.15,0.18,0.13,-,-,,,,
WBCWOZ,23.00,25/02/10,4:1,0.095,0.115,0.088,-,-,,,,
WBCVOP,24.50,25/02/10,4:1,0.265,0.30,0.225,-,-,,,,
WBCWOY,26.00,25/02/10,4:1,0.55,0.595,0.25,-,-,,,,
WBCVZR,21.00,25/03/10,4:1,0.094,0.105,-,-,-,,,,
WBCVZQ,23.00,25/03/10,4:1,0.25,0.28,-,-,-,,,,
WBCVMS,28.00,25/03/10,5:1,0.875,0.88,0.86,-,-,,,,
WBCVMT,30.00,25/03/10,5:1,1.25,-,1.105,-,-,,,,
WBCWOP,21.00,29/04/10,4:1,0.12,0.13,0.12,-,-,,,,
WBCWOQ,23.00,29/04/10,4:1,0.25,0.275,0.155,-,-,,,,
WBCWOR,24.50,29/04/10,4:1,0.405,0.435,0.30,-,-,,,,
WBCVMU,32.00,29/04/10,5:1,1.63,-,-,-,-,,,,
Wesfarmers Ltd Last Sale Price $27.34,,,,,,,,,,,,
WESWOQ,28.00,25/03/10,4:1,0.50,0.505,-,-,-,,,,
WESVMS,30.00,25/03/10,4:1,0.87,0.875,0.455,-,-,,,,
WorleyParsons Ltd Last Sale Price $23.45,,,,,,,,,,,,
WORVMS,30.00,25/03/10,4:1,1.70,1.705,1.43,-,-,,,,
Woolworths Ltd Last Sale Price $25.66,,,,,,,,,,,,
WOWVMS,30.00,25/03/10,4:1,1.195,1.20,0.73,-,-,,,,
Woodside Pet Last Sale Price $43.20,,,,,,,,,,,,
WPLWOP,45.00,25/03/10,5:1,0.69,0.695,-,-,-,,,,
WPLWOQ,49.00,25/03/10,5:1,1.29,1.295,0.745,-,-,,,,
WPLVMS,49.62,25/03/10,5:1,1.45,1.455,-,-,-,,,,
WPLVMU,54.59,29/04/10,5:1,2.39,2.40,-,-,-,,,,
Basket Put Warrants ,,,,,,,,,,,,
Equity Endowment Warrants ,,,,,,,,,,,,
ANZ Banking Grp Last Sale Price $21.89,,,,,,,,,,,,
ANZEEA,5.95,15/02/12,1:1,15.74,-,17.20,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $53.55,,,,,,,,,,,,
CBAEEA,11.31,15/02/12,1:1,42.03,-,46.19,-,-,,,,
National Aust Bank Last Sale Price $25.95,,,,,,,,,,,,
NABEEA,19.02,15/02/12,1:1,6.74,-,8.34,-,-,,,,
Telecom Corp Last Sale Price $1.88,,,,,,,,,,,,
TELEEA,1.52,15/02/12,1:1,0.365,-,1.50,-,-,,,,
Telstra Corp Last Sale Price $3.38,,,,,,,,,,,,
TLSEEA,2.24,02/10/12,1:1,1.15,-,1.27,-,-,,,,
Westpac Banking Last Sale Price $23.60,,,,,,,,,,,,
WBCEEA,4.51,15/02/12,1:1,18.97,-,21.32,-,-,,,,
Equity Installment Warrants ,,,,,,,,,,,,
Alinta Energy Grp Last Sale Price $0.08,,,,,,,,,,,,
AEJJMG,1.49,30/06/10,1:1,0.001,-,-,-,-,,,,
AEJSMW,1.94,29/06/12,1:1,0.011,-,-,-,-,,,,
APN European Retail Last Sale Price $0.07,,,,,,,,,,,,
AEZSZC,0.75,30/06/17,1:1,0.057,-,0.022,-,-,,,,
Aust Foundation Last Sale Price $5.30,,,,,,,,,,,,
AFISMW,3.25,29/06/12,1:1,2.18,-,1.805,-,-,,,,
AFISMA,3.47,28/06/13,1:1,2.00,-,-,-,-,,,,
AFISZB,2.44,30/06/16,1:1,3.22,-,2.52,-,-,,,,
