Warrants Market - Daily,,,,,,,,,,,,
XAO 4680.0 at 16:37 23/9/2010  Report at 17:17 Thursday 23/9/2010. Processed 13:10 Friday 24/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.62,,,,,,,,,,,,
BHPVMJ,44.00,27/01/11,4:1,0.30,0.305,0.385,-,-,,,,
BHPVMK,46.00,27/01/11,4:1,0.18,0.185,0.17,-,-,,,,
BHPWMD,41.00,24/03/11,4:1,0.725,0.735,-,-,-,,,,
BHPWME,43.00,24/03/11,4:1,0.525,0.535,-,-,-,,,,
Boart Longyear Last Sale Price $3.28,,,,,,,,,,,,
BLYWMA,3.00,27/01/11,1:1,0.58,0.59,-,-,-,,,,
BlueScope Steel Last Sale Price $2.34,,,,,,,,,,,,
BSLUMB,2.50,28/10/10,1:1,0.078,0.085,0.105,-,-,,,,
BSLUMC,2.25,27/01/11,1:1,0.325,0.34,-,-,-,,,,
Brambles Ltd Last Sale Price $6.24,,,,,,,,,,,,
BXBVME,5.00,23/09/10,1:1,1.225,-,0.67,-,-,,,,
BXBVMF,6.00,24/03/11,1:1,0.815,0.83,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $52.43,,,,,,,,,,,,
CBAUMG,50.00,23/09/10,4:1,0.61,-,0.545,-25.5,70,,,,
CBAVZE,52.00,23/09/10,5:1,0.074,0.053,0.055,-8.5,51,,,,
CBAUMH,53.00,23/09/10,4:1,-,-,0.215,-,-,,,,
CBAWOG,54.00,23/09/10,5:1,-,-,0.027,-,-,,,,
CBAUMI,55.00,23/09/10,4:1,-,-,0.042,-,-,,,,
CBAWOH,56.50,23/09/10,5:1,-,-,0.105,-,-,,,,
CBAWMI,57.00,23/09/10,4:1,-,-,0.001,-,-,,,,
CBAWMH,58.00,23/09/10,4:1,-,-,0.01,-,-,,,,
CBAWOI,59.00,23/09/10,5:1,-,-,0.012,-,-,,,,
CBAVZF,55.00,28/10/10,5:1,0.055,0.079,0.17,-,-,,,,
CBAWOA,48.00,25/11/10,5:1,1.145,1.14,0.86,-,-,,,,
CBAWOB,50.50,25/11/10,5:1,0.785,0.79,0.59,-,-,,,,
CBAWOC,52.50,25/11/10,5:1,0.545,0.55,0.56,-,-,,,,
CBAWOJ,55.00,25/11/10,5:1,0.315,0.325,0.32,-3.5,400,,,,
CBAVZG,56.00,25/11/10,5:1,0.105,0.14,-,-,-,,,,
CBAWOK,57.50,25/11/10,5:1,0.175,0.185,0.18,-2,500,,,,
CBAVMF,49.00,27/01/11,4:1,1.57,1.585,-,-,-,,,,
CBAVMG,52.00,27/01/11,4:1,1.11,1.125,1.095,-,-,,,,
CBAVMH,53.00,27/01/11,4:1,1.005,1.02,1.095,-,-,,,,
CBAVMI,60.00,27/01/11,4:1,0.385,0.395,0.38,-3,300,,,,
CBAWOD,53.00,28/01/11,5:1,0.745,0.75,-,-,-,,,,
CBAWOE,55.00,28/01/11,5:1,0.54,0.545,-,-,-,,,,
CBAWOF,58.00,28/01/11,5:1,0.325,0.33,-,-,-,,,,
CBAUMA,54.00,24/03/11,4:1,1.075,1.085,-,-,-,,,,
Coca-Cola Amatil Last Sale Price $12.10,,,,,,,,,,,,
CCLWMA,12.00,27/01/11,1:1,0.925,0.93,-,-,-,,,,
Computershare Ltd Last Sale Price $9.85,,,,,,,,,,,,
CPUUMB,11.50,23/09/10,1:1,0.001,-,0.20,-,-,,,,
CPUUMC,10.00,27/01/11,1:1,0.95,0.96,-,-,-,,,,
CSL Ltd Last Sale Price $33.73,,,,,,,,,,,,
CSLUMB,34.00,23/09/10,4:1,0.001,-,0.091,-,-,,,,
CSLUMC,37.00,23/09/10,4:1,0.001,-,-,-,-,,,,
David Jones Ltd Last Sale Price $5.00,,,,,,,,,,,,
DJSWMA,5.00,27/01/11,1:1,0.43,0.435,-,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.99,,,,,,,,,,,,
FMGUMB,4.50,23/09/10,1:1,0.485,-,0.51,-,-,,,,
FMGUMC,4.50,27/01/11,1:1,0.87,0.885,-,-,-,,,,
FMGUMD,5.00,27/01/11,1:1,0.605,0.615,-,-,-,,,,
Incitec Pivot Last Sale Price $3.48,,,,,,,,,,,,
IPLUMC,3.00,23/09/10,1:1,0.475,-,0.485,-,-,,,,
IPLWMA,3.50,27/01/11,1:1,0.33,0.34,-,-,-,,,,
IPLWMB,4.00,24/03/11,1:1,0.215,0.225,-,-,-,,,,
JB Hi-Fi Ltd Last Sale Price $21.16,,,,,,,,,,,,
JBHWMA,22.00,27/01/11,4:1,0.475,0.48,-,-,-,,,,
James Hardie Ind Last Sale Price $5.65,,,,,,,,,,,,
JHXWMA,5.50,24/03/11,1:1,1.015,1.02,0.905,-,-,,,,
Leighton Hldgs Last Sale Price $33.20,,,,,,,,,,,,
LEIWMA,32.00,24/03/11,4:1,1.17,1.19,1.325,-,-,,,,
Macarthur Coal Last Sale Price $11.70,,,,,,,,,,,,
MCCWMA,12.00,27/01/11,1:1,1.615,1.645,-,-,-,,,,
Mount Gibson Iron Last Sale Price $1.67,,,,,,,,,,,,
MGXWMA,1.80,27/01/11,1:1,0.235,0.245,0.355,-,-,,,,
Macq Grp Ltd Last Sale Price $36.74,,,,,,,,,,,,
MQGVZC,36.00,23/09/10,5:1,0.092,0.115,0.425,-,-,,,,
MQGWOB,50.00,23/09/10,6:1,0.001,0.001,0.001,-0.3,350,,,,
MQGWOC,57.50,23/09/10,6:1,0.001,-,0.014,-,-,,,,
MQGVZD,38.00,28/10/10,5:1,0.115,0.175,0.175,-,-,,,,
MQGWOA,36.00,25/11/10,6:1,0.415,0.42,0.425,-,-,,,,
MQGVZE,38.00,25/11/10,5:1,0.195,0.23,-,-,-,,,,
MQGWOF,40.00,25/11/10,6:1,0.15,0.155,0.16,-,-,,,,
MQGWOG,45.00,25/11/10,6:1,0.035,0.04,0.036,-,-,,,,
MQGWOE,33.00,28/01/11,6:1,0.88,0.885,-,-,-,,,,
MQGWOH,36.00,28/01/11,6:1,0.57,0.575,-,-,-,,,,
MQGWOI,40.00,28/01/11,6:1,0.28,0.285,-,-,-,,,,
Myer Hldgs Ltd Last Sale Price $3.90,,,,,,,,,,,,
MYRWMA,4.00,27/01/11,1:1,0.20,0.21,-,-,-,,,,
National Aust Bank Last Sale Price $25.95,,,,,,,,,,,,
NABWOI,25.00,23/09/10,4:1,0.21,-,0.25,-,-,,,,
NABVZF,26.00,23/09/10,4:1,0.001,0.012,0.04,-,-,,,,
NABWOG,26.00,23/09/10,4:1,0.001,-,0.10,-,-,,,,
NABWOH,28.00,23/09/10,4:1,-,-,0.01,-,-,,,,
NABVZG,27.00,28/10/10,4:1,0.068,0.092,0.10,-,-,,,,
NABWOA,23.50,25/11/10,4:1,0.595,0.60,0.615,-1,174,,,,
NABWOB,25.50,25/11/10,4:1,0.27,0.275,0.285,-0.5,750,,,,
NABVZH,26.00,25/11/10,4:1,0.15,0.185,-,-,-,,,,
NABWOC,27.00,25/11/10,4:1,0.145,0.15,-,-,-,,,,
NABWOJ,28.50,25/11/10,4:1,0.067,0.072,-,-,-,,,,
NABWOK,30.00,25/11/10,4:1,0.031,0.041,-,-,-,,,,
