Warrants Market - Daily,,,,,,,,,,,,
XAO 4695.2 at 16:47 7/12/2009  Report at 19:05 Monday 7/12/2009. Processed 19:20 Monday 7/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.16,,,,,,,,,,,,
RIOVZB,80.00,25/02/10,6:1,0.795,0.82,-,-,-
RIOVMA,65.00,25/03/10,6:1,1.91,1.92,1.91,-5.5,165
RIOVMB,70.00,25/03/10,6:1,1.425,1.43,1.36,-14,40
RIOVMC,75.00,25/03/10,6:1,1.04,1.045,-,-,-
RIOVME,80.00,29/04/10,6:1,0.93,0.935,-,-,-
RIOVMF,85.00,29/04/10,6:1,0.675,0.68,0.94,-,-
Santos Ltd Last Sale Price $14.75,,,,,,,,
STOVZL,15.50,17/12/09,4:1,0.042,0.056,-,-,-
STOWOE,15.50,17/12/09,4:1,0.025,0.03,0.055,-,-
STOWOF,17.00,17/12/09,4:1,0.012,0.017,-,-,-
STOVMA,15.00,25/03/10,3:1,0.365,0.37,0.435,-,-
STOVME,17.00,29/04/10,3:1,0.185,0.19,-,-,-
Telstra Corp Last Sale Price $3.45,,,,,,,,
TLSVZA,3.35,17/12/09,2:1,0.063,0.068,0.077,-,-
TLSVMA,3.36,25/03/10,2:1,0.135,0.14,0.145,-,-
TLSVMB,3.61,25/03/10,2:1,0.077,0.08,-,-,-
TLSVME,3.85,29/04/10,2:1,0.066,0.069,-,-,-
Westpac Banking Last Sale Price $23.89,,,,,,,,
WBCWOD,19.50,17/12/09,4:1,1.045,1.055,1.775,-,-
WBCWOI,23.00,17/12/09,4:1,0.23,0.24,0.385,-,-
WBCVZO,24.00,17/12/09,4:1,0.135,0.165,-,-,-
WBCVZN,25.00,17/12/09,4:1,0.059,0.073,0.47,-,-
WBCWOH,25.00,17/12/09,4:1,0.016,0.029,0.026,-1,80
WBCWOK,25.00,25/02/10,4:1,0.235,0.24,0.26,-4.5,50
WBCWZA,25.00,25/02/10,4:1,0.34,0.365,-,-,-
WBCWOL,27.00,25/02/10,4:1,0.10,0.125,0.11,-4,1496
WBCWOJ,29.00,25/02/10,4:1,0.04,0.045,0.047,-5.8,250
WBCVMA,26.00,25/03/10,5:1,0.22,0.225,0.19,-,-
WBCVMB,28.00,25/03/10,5:1,0.11,0.115,-,-,-
WBCVMC,30.00,25/03/10,5:1,0.05,0.053,-,-,-
WBCVME,32.00,29/04/10,5:1,0.045,0.048,-,-,-
Wesfarmers Ltd Last Sale Price $28.79,,,,,,,,
