Warrants Market - Daily,,,,,,,,,,,,
XAO 4526.8 at 16:43 1/9/2010  Report at 19:06 Wednesday 1/9/2010. Processed 19:14 Wednesday 1/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.12,,,,,,,,,,,,
QBEUMD,21.00,23/09/10,4:1,0.001,-,0.035,-,-,,,,
QBEWOB,22.50,23/09/10,4:1,0.006,0.016,0.006,-,-,,,,
QBEWOC,24.50,23/09/10,4:1,0.001,-,0.006,-,-,,,,
QBEWOD,18.00,25/11/10,4:1,0.155,0.16,0.16,-1.5,500,,,,
QBEWOE,19.50,25/11/10,4:1,0.068,0.073,0.085,-,-,,,,
QBEWOA,21.50,25/11/10,4:1,0.024,0.034,-,-,-,,,,
Rio Tinto Ltd Last Sale Price $72.24,,,,,,,,,,,,
RIOUMI,63.00,23/09/10,4:1,2.42,2.43,2.45,29,25,,,,
RIOUMJ,65.00,23/09/10,4:1,1.97,1.975,1.98,49.5,15,,,,
RIOUMK,68.00,23/09/10,4:1,1.34,1.345,0.82,-,-,,,,
RIOVMG,70.00,23/09/10,4:1,0.97,0.975,0.63,-,-,,,,
RIOUML,72.00,23/09/10,4:1,0.66,0.665,0.675,15,60,,,,
RIOVZI,72.00,23/09/10,6:1,0.34,0.405,0.355,18,95,,,,
RIOVMH,76.00,23/09/10,4:1,0.255,0.26,0.11,-,-,,,,
RIOUMM,80.00,23/09/10,4:1,0.075,-,0.053,-,-,,,,
RIOWMH,95.00,23/09/10,4:1,0.001,-,0.001,-,-,,,,
RIOWMI,100.00,23/09/10,4:1,0.001,-,0.001,-,-,,,,
RIOWOC,71.00,28/10/10,6:1,0.835,0.84,0.735,12,250,,,,
RIOVZJ,72.00,28/10/10,6:1,0.605,0.655,-,-,-,,,,
RIOWOD,75.00,28/10/10,6:1,0.485,0.49,0.335,-,-,,,,
RIOWOE,80.00,28/10/10,6:1,0.24,0.245,0.22,2.5,100,,,,
RIOVMI,65.00,27/01/11,4:1,2.94,2.95,-,-,-,,,,
RIOVMJ,70.00,27/01/11,4:1,2.14,2.15,1.80,-,-,,,,
RIOVMK,75.00,27/01/11,4:1,1.50,1.505,1.375,14.5,400,,,,
RIOVML,80.00,27/01/11,4:1,1.005,1.01,0.935,-,-,,,,
RIOVMM,85.00,27/01/11,4:1,0.65,0.655,0.70,-,-,,,,
Santos Ltd Last Sale Price $14.29,,,,,,,,,,,,
STOUMC,13.00,23/09/10,4:1,0.355,-,0.335,-,-,,,,
STOUMD,14.00,23/09/10,4:1,0.17,0.175,0.26,-,-,,,,
STOWOA,14.00,28/10/10,4:1,0.235,0.24,0.205,-,-,,,,
STOWOB,16.00,28/10/10,4:1,0.07,0.075,-,-,-,,,,
Suncorp-Metway Last Sale Price $8.55,,,,,,,,,,,,
SUNUMC,8.00,23/09/10,4:1,0.155,0.16,0.10,-,-,,,,
Ten Network Hldgs Last Sale Price $1.41,,,,,,,,,,,,
TENWMH,1.75,23/09/10,1:1,0.001,-,-,-,-,,,,
Telstra Corp Last Sale Price $2.79,,,,,,,,,,,,
TLSUMD,2.92,23/09/10,1:1,0.016,-,0.046,-,-,,,,
TLSUMF,3.15,23/09/10,1:1,0.001,-,-,-,-,,,,
TLSWMH,3.24,23/09/10,1:1,0.001,-,0.11,-,-,,,,
TLSVMF,3.40,23/09/10,1:1,0.001,-,-,-,-,,,,
TLSWMI,3.65,23/09/10,1:1,0.001,-,0.039,-,-,,,,
TLSWOA,3.25,28/10/10,2:1,0.014,0.024,0.019,-,-,,,,
TLSWOB,3.50,28/10/10,2:1,0.011,0.021,-,-,-,,,,
Toll Hldgs Ltd Last Sale Price $6.17,,,,,,,,,,,,
TOLUMC,7.00,23/09/10,1:1,0.02,-,0.13,-,-,,,,
Westpac Banking Last Sale Price $22.35,,,,,,,,,,,,
WBCVMF,20.00,23/09/10,4:1,0.635,0.64,0.63,20.5,280,,,,
WBCUMG,22.00,23/09/10,4:1,0.235,0.24,0.21,1.5,60,,,,
WBCUMH,24.00,23/09/10,4:1,0.036,0.033,0.058,-,-,,,,
WBCVZH,24.00,23/09/10,4:1,0.02,0.04,-,-,-,,,,
WBCWOH,24.50,23/09/10,4:1,0.028,0.033,0.068,-,-,,,,
WBCUMI,26.00,23/09/10,4:1,0.001,-,0.034,-,-,,,,
WBCWOI,26.00,23/09/10,4:1,0.012,0.022,0.078,-,-,,,,
WBCWOJ,28.00,23/09/10,4:1,0.01,0.02,0.12,-,-,,,,
WBCWMH,29.00,23/09/10,4:1,0.001,-,0.001,-,-,,,,
WBCWMI,31.00,23/09/10,4:1,0.001,-,0.001,-17.9,700,,,,
WBCVZI,22.00,28/10/10,4:1,0.305,0.345,-,-,-,,,,
WBCWOA,23.00,25/11/10,4:1,0.225,0.23,0.22,2,120,,,,
WBCWOB,25.00,25/11/10,4:1,0.086,0.091,0.091,2.1,480,,,,
WBCWOC,26.50,25/11/10,4:1,0.04,0.05,-,-,-,,,,
WBCWOD,28.00,25/11/10,4:1,0.022,0.032,-,-,-,,,,
WBCWOK,29.50,25/11/10,4:1,0.014,0.024,-,-,-,,,,
WBCVMG,21.00,27/01/11,4:1,0.66,0.665,0.605,-,-,,,,
WBCVMJ,23.00,27/01/11,4:1,-,-,-,-,-,,,,
WBCVMH,25.00,27/01/11,4:1,0.22,0.225,0.375,-,-,,,,
WBCVMI,28.00,27/01/11,4:1,0.064,0.067,0.064,-,-,,,,
Wesfarmers Ltd Last Sale Price $32.72,,,,,,,,,,,,
WESUMB,28.00,23/09/10,4:1,1.215,1.22,0.815,-,-,,,,
WESUMC,31.00,23/09/10,4:1,0.54,0.545,0.25,-,-,,,,
WESWOB,31.00,28/10/10,5:1,0.55,0.555,-,-,-,,,,
WESWOD,33.00,28/10/10,5:1,0.30,0.305,-,-,-,,,,
WorleyParsons Ltd Last Sale Price $21.25,,,,,,,,,,,,
WORUMB,26.00,23/09/10,4:1,0.001,-,0.083,-,-,,,,
Woolworths Ltd Last Sale Price $28.23,,,,,,,,,,,,
