Warrants Market - Daily,,,,,,,,,,,,
XAO 4483.1 at 16:36 30/8/2010  Report at 19:05 Monday 30/8/2010. Processed 19:17 Monday 30/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.09,,,,,,,,,,,,
TENWMH,1.75,23/09/10,1:1,0.001,-,-,-,-,,,,
Telstra Corp Last Sale Price $2.78,,,,,,,,,,,,
TLSUMD,2.92,23/09/10,1:1,0.022,-,0.046,-,-,,,,
TLSUMF,3.15,23/09/10,1:1,0.001,-,-,-,-,,,,
TLSWMH,3.24,23/09/10,1:1,0.001,-,0.11,-,-,,,,
TLSVMF,3.40,23/09/10,1:1,0.001,-,-,-,-,,,,
TLSWMI,3.65,23/09/10,1:1,0.001,-,0.039,-,-,,,,
TLSWOA,3.25,28/10/10,2:1,0.014,0.019,0.019,-,-,,,,
TLSWOB,3.50,28/10/10,2:1,0.011,0.016,-,-,-,,,,
Toll Hldgs Ltd Last Sale Price $6.15,,,,,,,,,,,,
TOLUMC,7.00,23/09/10,1:1,0.02,-,0.13,-,-,,,,
Westpac Banking Last Sale Price $22.33,,,,,,,,,,,,
WBCVMF,20.00,23/09/10,4:1,0.64,0.655,0.425,-,-,,,,
WBCUMG,22.00,23/09/10,4:1,0.26,0.27,0.255,-0.5,45,,,,
WBCUMH,24.00,23/09/10,4:1,0.06,0.07,0.058,1.7,320,,,,
WBCVZH,24.00,23/09/10,4:1,0.025,0.04,-,-,-,,,,
WBCWOH,24.50,23/09/10,4:1,0.033,0.038,0.068,-,-,,,,
WBCUMI,26.00,23/09/10,4:1,0.005,-,0.034,-,-,,,,
WBCWOI,26.00,23/09/10,4:1,0.013,0.018,0.078,-,-,,,,
WBCWOJ,28.00,23/09/10,4:1,0.01,0.015,0.12,-,-,,,,
WBCWMH,29.00,23/09/10,4:1,0.001,-,0.001,-,-,,,,
WBCWMI,31.00,23/09/10,4:1,0.001,-,0.18,-,-,,,,
WBCWOA,23.00,25/11/10,4:1,0.235,0.24,0.16,-,-,,,,
WBCWOB,25.00,25/11/10,4:1,0.092,0.095,0.07,-,-,,,,
WBCWOC,26.50,25/11/10,4:1,0.043,0.048,-,-,-,,,,
WBCWOD,28.00,25/11/10,4:1,0.022,0.027,-,-,-,,,,
WBCWOK,29.50,25/11/10,4:1,0.015,0.02,-,-,-,,,,
WBCVMG,21.00,27/01/11,4:1,0.68,0.69,1.01,-,-,,,,
WBCVMH,25.00,27/01/11,4:1,0.23,0.24,0.375,-,-,,,,
WBCVMI,28.00,27/01/11,4:1,0.085,0.09,0.064,-,-,,,,
WBCVMJ,32.00,27/01/11,4:1,0.017,-,-,-,-,,,,
Wesfarmers Ltd Last Sale Price $31.94,,,,,,,,,,,,
WESUMB,28.00,23/09/10,4:1,1.02,1.03,0.815,-,-,,,,
WESUMC,31.00,23/09/10,4:1,0.405,0.41,0.25,-,-,,,,
WESWOB,31.00,28/10/10,5:1,0.43,0.435,-,-,-,,,,
WESWOD,33.00,28/10/10,5:1,0.22,0.225,-,-,-,,,,
WorleyParsons Ltd Last Sale Price $21.17,,,,,,,,,,,,
WORUMB,26.00,23/09/10,4:1,0.001,-,0.083,-,-,,,,
Woolworths Ltd Last Sale Price $28.06,,,,,,,,,,,,
WOWVMF,24.00,23/09/10,4:1,1.015,-,1.075,-,-,,,,
WOWUMC,27.00,23/09/10,4:1,0.295,0.31,0.31,15.5,25,,,,
WOWUMD,30.00,23/09/10,4:1,0.005,-,-,-,-,,,,
WOWWOA,25.50,28/10/10,4:1,0.60,0.605,-,-,-,,,,
WOWWOC,27.00,28/10/10,4:1,0.34,0.345,0.365,-,-,,,,
Woodside Pet Last Sale Price $42.45,,,,,,,,,,,,
WPLUMC,44.00,23/09/10,4:1,0.18,0.19,0.30,-,-,,,,
WPLVZG,44.00,23/09/10,5:1,0.10,0.125,-,-,-,,,,
WPLWMH,45.00,23/09/10,4:1,0.11,0.12,0.11,-2.5,180,,,,
WPLWOC,42.00,28/10/10,5:1,0.50,0.505,-,-,-,,,,
WPLWOD,45.00,28/10/10,5:1,0.245,0.25,0.23,-,-,,,,
WPLWOE,47.00,28/10/10,5:1,0.135,0.14,-,-,-,,,,
Equity Put Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.09,,,,,,,,,,,,
AMPWOP,5.50,23/09/10,3:1,0.195,0.20,-,-,-,,,,
AMPWOQ,6.25,23/09/10,3:1,0.435,0.445,0.345,-,-,,,,
AMPWOS,5.00,25/11/10,3:1,0.12,0.125,-,-,-,,,,
AMPWOR,5.75,25/11/10,3:1,0.285,0.29,-,-,-,,,,
ANZ Banking Grp Last Sale Price $22.95,,,,,,,,,,,,
ANZVMP,18.00,23/09/10,4:1,0.003,-,0.045,-,-,,,,
ANZVMQ,20.00,23/09/10,4:1,0.023,0.03,-,-,-,,,,
ANZWOV,20.50,23/09/10,4:1,0.033,0.038,0.10,-,-,,,,
ANZVZU,22.00,23/09/10,4:1,0.073,0.087,0.18,-,-,,,,
ANZWMV,22.00,23/09/10,4:1,0.10,0.11,0.17,-,-,,,,
ANZWOW,22.00,23/09/10,4:1,0.094,0.099,0.155,-,-,,,,
ANZVMR,24.00,23/09/10,4:1,0.34,0.36,0.51,-,-,,,,
ANZWOX,24.00,23/09/10,4:1,0.33,0.335,0.48,-,-,,,,
ANZVMS,26.00,23/09/10,4:1,0.75,-,-,-,-,,,,
ANZWOY,19.00,25/11/10,4:1,0.089,0.094,-,-,-,,,,
ANZWOR,21.00,25/11/10,4:1,0.195,0.20,0.20,-,-,,,,
ANZWOQ,23.00,25/11/10,4:1,0.39,0.395,0.41,-,-,,,,
ANZWOP,24.50,25/11/10,4:1,0.62,0.625,-,-,-,,,,
