Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4694.9 at 16:36 1/3/2010  Report at 19:06 Monday 1/3/2010. Processed 19:45 Monday 1/3/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
0.41,0.09,0.30,0.30,APD,APN Prop Grp,0.30,,218,0.29,0.30,1.25,f,-,0.20,4.17,-18.08,-,
0.04,0.008,-,-,AOP,Apollo Cons,0.008,,-,0.007,0.008,-,,-,-,-,-0.91,-,
0.018,0.008,-,-,AQL,Aquacarotene Ltd,0.016,,-,0.013,0.015,-,,-,-,-,-0.35,-,
0.058,0.021,0.021,0.021,APB,Arafura Pearls,0.021,,1000,0.021,0.023,-,,-,0.22,-,2,1.1,
5.70,2.368,5.58,5.41,ARP,ARB Corp,5.53,-2,366,5.48,5.53,17.5,f,2.31,1.22,3.16,40.44,13.7,
1.845,0.79,1.48,1.41,AAD,Ardent Leisure Grp stp,1.45,1,4698,1.41,1.46,14.3,,0.19,1.10,9.86,2.73,53.1,
7.05,4.52,6.48,6.42,ARG,Argo Invest,6.47,-1,1132,6.43,6.47,25,f,-,6.56,3.86,-11.1,-,
1.098,0.006,0.25,0.25,ASV,Argus Solutions,0.25,-2,68,0.25,0.255,-,,-,-,-,-0.12,-,
0.37,0.205,0.27,0.27,ARA,Ariadne Aust,0.27,-0.5,1000,0.26,0.27,1,,-,0.32,3.70,-2.46,-,
5.75,3.16,4.41,4.22,ALL,Aristocrat Leisure,4.30,7,16827,4.28,4.38,4.5,,-,0.07,1.05,-31.3,-,
0.79,0.395,-,-,ARJ,ARK Fund Ltd (The),0.41,,-,-,-,7,f,1.15,1.08,17.07,8.07,5.1,
0.025,0.004,0.013,0.012,AEM,Artist & Entertain,0.013,0.2,14333,0.012,0.013,-,,-,-,-,2.83,0.5,
0.30,0.07,0.20,0.15,AKW,Arturus Capital,0.195,2.5,641,0.195,0.20,-,,-,0.43,-,51.76,0.4,
0.285,0.12,0.25,0.22,APH,Ascent Pharmahealth,0.22,-3,2926,0.23,0.245,-,,-,0.06,-,3.7,5.9,
1.94,0.332,1.855,1.785,AIO,Asciano Grp stp,1.805,0.5,109376,1.805,1.81,-,,-,0.10,-,-41.9,-,
0.43,0.06,0.085,0.085,AFA,ASF Grp Ltd,0.085,,411,0.085,0.093,-,,-,0.01,-,-2.61,-,
1.30,0.42,1.24,1.21,ASZ,ASG Grp Ltd,1.225,2.5,5022,1.225,1.235,6,f,1.57,0.06,4.90,9.43,13.0,
0.267,0.007,-,-,AJJ,Asia Liver Trans,0.10,,-,0.01,0.099,-,,-,-0.02,-,-2.51,-,
0.002,0.001,-,-,AJJO,  opt sep10,-,,-,-,-,-,,-,-,-,-,-,
1.06,0.77,-,-,AUF,Asian Masters Fund,1.00,,-,0.99,1.03,-,,-,1.02,-,-1.19,-,
0.37,0.125,-,-,AKF,ASK Funding Ltd,0.215,,-,0.11,0.20,1.3,f,4.15,0.35,6.05,5.4,4.0,
0.575,0.218,0.495,0.485,APZ,Aspen Grp stp,0.49,,16494,0.485,0.495,5.18,,-,0.68,10.57,-3.37,-,
0.271,0.11,-,-,ASP,Aspermont Ltd,0.15,,-,0.11,0.155,-,,-,-0.06,-,-0.22,-,
1.15,0.75,0.90,0.90,AIR,Astivita Renewables,0.90,,51,0.90,0.95,-,,-,0.38,-,8.23,10.9,
0.90,0.008,0.67,0.67,AKR,Astra Capital Ltd,0.67,,26,0.67,0.70,-,,-,1.60,-,-0.03,-,
0.515,0.16,0.35,0.34,AJA,Astro Jap Prop Grp stp,0.35,,6852,0.345,0.35,8.5,,-,0.76,24.29,-36.49,-,
2.70,1.50,2.11,2.06,ATR,Astron Ltd,2.11,5,980,1.93,2.13,-,,-,2.90,-,-11.79,-,
37.90,25.20,36.39,35.67,ASX,ASX Ltd,35.90,-56,11968,35.90,36.00,163.6,f,1.10,3.19,4.56,180.6,19.9,
0.24,0.15,0.155,0.15,ACG,Atcor Medical,0.15,-0.5,857,0.14,0.15,-,,-,0.04,-,-3.06,-,
0.048,0.005,0.03,0.03,ATI,Atlantic Ltd,0.03,0.1,9300,0.028,0.03,-,,-,0.01,-,-0.11,-,
0.039,0.003,0.02,0.02,ATIO,  opt dec11,0.02,0.3,6500,0.019,0.021,-,,-,-,-,-,-,
0.16,0.075,-,-,ATP,Atlas Southsea Pearl,0.105,,-,0.105,0.115,-,,-,0.20,-,-4.39,-,
0.04,0.01,-,-,ATW,Atos Wellness,0.018,,-,-,-,-,,-,0.01,-,-0.12,-,
1.654,1.171,1.46,1.44,AIA,Auckland Airport,1.45,,8419,1.45,1.465,6.7,,0.84,1.22,4.62,5.63,25.8,
7.50,0.977,-,-,AIB,Aurora Global Tr unt,1.135,,-,1.135,1.25,51.5,,-,1.22,45.37,-13.91,-,
5.40,4.35,-,-,AUP,Aurora Prop unt,5.00,,-,5.00,5.20,-,,-,5.28,-,-,-,
7.35,0.867,-,-,ABW,Aurora SAE ord unt,1.175,,-,1.18,1.19,20.5,,-,1.23,17.45,-57.97,-,
1.13,1.005,1.04,1.03,AOD,Aurora Sandringham unt,1.03,,928,1.03,1.04,4,f,-,1.05,3.88,-6.57,-,
1.70,1.62,1.70,1.62,AQF,AUS Gov Index Fund,1.62,-6,380,1.62,1.70,-,,-,-,-,-,-,
2.20,0.675,2.03,1.935,ASL,Ausdrill Ltd,2.00,,3152,2.00,2.02,11,f,2.11,1.73,5.50,23.23,8.6,
5.95,1.855,4.01,3.90,AAX,Ausenco Ltd,3.95,5,2925,3.95,4.00,9.5,f,2.00,0.62,2.41,19,20.8,
1.95,1.16,1.38,1.305,AAC,Aust Agriculture,1.38,9,6287,1.355,1.38,-,,-,2.42,-,-20.3,-,
0.016,0.002,0.007,0.007,AAK,Aust China Hldgs,0.007,,24693,0.006,0.007,-,,-,0.02,-,0.32,2.2,
0.005,0.001,-,-,AAKO,  opt dec13,0.002,,-,0.001,0.002,-,,-,-,-,-,-,
0.54,0.145,0.45,0.445,AEU,Aust Education unt,0.445,-0.5,1124,0.445,0.45,4,,-,1.33,8.99,-21.5,-,
6.45,5.00,-,-,AYF,Aust Enhanced unt,6.40,,-,6.30,6.40,60,p,-,7.50,9.38,-157,-,
37.00,17.00,-,-,AEF,Aust Ethical,28.00,,-,26.50,27.99,182,f,0.67,8.53,6.50,121.6,23.0,
5.41,3.45,5.02,4.96,AFI,Aust Foundation,4.98,1,3882,4.97,4.99,21,f,0.43,5.04,4.22,8.93,55.8,
1.95,0.991,1.94,1.845,AIX,Aust Infra unt,1.90,5,28662,1.89,1.905,10,p,1.94,2.62,5.26,19.37,9.8,
1.265,0.55,1.185,1.185,ALF,Aust Leaders,1.185,-0.5,100,1.185,1.195,7,f,7.66,1.51,5.91,53.65,2.2,
0.10,0.035,0.04,0.04,ALFO,  opt nov10,0.04,,827,0.04,0.044,-,,-,-,-,-,-,
0.939,0.312,0.565,0.525,API,Aust Pharmaceutical,0.565,,2880,0.55,0.565,2,f,2.95,0.84,3.54,5.9,9.6,
0.45,0.12,0.40,0.40,APK,Aust Power,0.40,-1,267,0.40,0.41,-,,-,-0.08,-,-9.8,-,
7.90,4.25,7.00,6.70,AUI,Aust United Invest,6.70,-35,75,6.70,7.05,25,f,0.75,7.10,3.73,18.7,35.8,
0.49,0.125,0.32,0.31,AVG,Aust Vintage Ltd,0.31,-1,2026,0.31,0.33,-,,-,0.98,-,11.2,2.8,
3.12,1.425,2.46,2.41,ASB,Austal Ltd,2.43,-1,352,2.43,2.46,6,,0.72,1.30,2.47,4.35,55.9,
1.465,0.65,1.155,1.125,AUN,Austar United,1.15,2.5,46996,1.11,1.155,-,,-,-0.31,-,4.7,24.5,
5.65,3.40,4.91,4.88,AUB,Austbrokers Hldgs,4.90,-2,530,4.75,4.90,21,f,1.51,0.88,4.29,31.7,15.5,
1.785,1.04,1.70,1.65,AEO,Austereo Grp Ltd,1.67,2,3394,1.66,1.68,9.1,f,1.32,-0.57,5.45,11.98,13.9,
3.47,0.80,2.86,2.73,ANG,Austin Engineer,2.75,-10,9038,2.73,2.80,8.5,f,3.10,0.52,3.09,26.32,10.4,
0.35,0.16,-,-,ACK,Austock Grp Ltd,0.30,,-,0.28,0.30,-,,-,0.19,-,-17.6,-,
1.25,0.75,1.20,1.20,AYX,Austofix Grp Ltd,1.20,20,50,1.00,1.60,-,,-,0.26,-,-6.3,-,
0.585,0.174,0.495,0.485,ALZ,Australand Prop stp,0.49,0.5,21757,0.485,0.495,8,,-,0.68,16.33,-13.4,-,
0.034,0.008,0.023,0.008,AIY,Authorised Invest,0.009,-2.1,618,0.009,0.03,-,,-,0.03,-,-0.23,-,
-,-,-,-,AIYO,  opt feb13,-,,-,-,0.005,-,,-,-,-,-,-,
0.01,0.01,-,-,AIYOA,  opt mar10,0.01,,-,-,0.001,-,,-,-,-,-,-,
0.151,0.028,0.05,0.05,ATJ,Auto Tech Ltd,0.05,-0.5,140,0.049,0.05,-,,-,0.01,-,-5.55,-,
-,-,-,-,ATJO,  opt jun11,-,,-,0.002,-,-,,-,-,-,-,-,
0.11,0.02,0.09,0.089,AIE,Autodom Ltd,0.089,-0.1,6396,0.089,0.09,-,,-,0.12,-,2.32,3.8,
2.60,0.56,2.40,2.39,AHE,Automotive Hldgs,2.40,2,3140,2.34,2.40,17,f,1.66,0.75,7.08,28.14,8.5,
0.025,0.01,-,-,AAT,Autron Corp,0.013,,-,0.01,0.015,-,,-,-,-,-1.63,-,
0.235,0.054,0.12,0.10,AVX,Avexa Ltd,0.11,-2,127156,0.11,0.115,-,,-,0.04,-,-4.17,-,
0.275,0.068,0.15,0.14,AVH,Avita Medical Ltd,0.14,-0.5,350,0.135,0.14,-,,-,0.05,-,-5.49,-,
0.63,0.16,-,-,AVJ,AVJennings,0.47,,-,0.47,0.495,-,,-,1.06,-,0.09,522.2,
1.337,0.592,1.045,1.025,AWB,AWB Ltd,1.04,2,18385,1.035,1.045,5,,3.70,1.81,4.81,18.5,5.6,
0.009,0.003,0.008,0.008,AWL,AWH Corp Ltd,0.008,-0.1,15137,0.007,0.008,-,,-,-,-,-0.31,-,
6.72,2.52,6.37,6.27,AXA,AXA Asia Pacific,6.30,-15,48291,6.29,6.33,18.5,p,1.89,1.12,2.94,34.89,18.1,
0.08,0.03,0.032,0.032,AXI,Axiom Prop,0.032,,800,0.032,0.039,-,,-,0.06,-,-2.76,-,
13.49,6.228,11.20,10.82,BOQ,Bank of Qld,11.18,31,6833,11.10,11.20,52,f,1.46,6.62,4.65,75.9,14.7,
0.02,0.01,-,-,BBX,BBX Hldgs,0.01,,-,0.01,0.04,-,,-,0.01,-,-12.17,-,
0.23,0.065,0.09,0.085,BEC,Becton Prop Grp stp,0.09,0.2,1243,0.085,0.09,-,,-,0.23,-,-167.28,-,
1.40,0.375,1.20,1.165,BFG,Bell Financial Grp,1.20,2,27584,1.18,1.20,8,f,1.41,0.25,6.67,11.3,10.6,
