Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4846.2 at 16:47 21/10/2009  Report at 19:05 Wednesday 21/10/2009. Processed 19:28 Wednesday 21/10/2009.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
0.72,0.43,0.72,0.70,AMH,Amcil Ltd,0.72,2.5,700,0.685,0.72,2,f,1.31,0.72,2.78,2.63,27.4
0.25,0.096,0.22,0.215,AMM,Amcom Telecomm,0.215,-1,2827,0.215,0.225,0.8,f,2.81,0.18,3.72,2.25,9.6
0.054,0.002,0.051,0.051,AMMO,  opt dec09,0.051,-0.3,19363,0.051,0.052,-,,-,-,-,-,-
6.082,3.50,5.67,5.56,AMC,Amcor Ltd,5.64,4,68783,5.63,5.67,34,,0.74,1.61,6.03,25.3,22.3
3.30,1.30,2.70,2.66,AEC,Ammtec Ltd,2.70,,194,2.70,2.71,16,f,1.69,0.77,5.93,27.1,10.0
1.265,0.61,1.095,1.08,AGF,AMP Capital China unt,1.095,,1243,1.08,1.095,3.9,,1.12,1.17,3.56,4.35,25.2
6.97,3.52,6.56,6.45,AMP,AMP Ltd,6.46,-13,78813,6.46,6.49,30,p,0.99,0.67,4.64,29.6,21.8
0.39,0.075,-,-,ANQ,Anaeco Ltd,0.25,,-,0.23,0.25,-,,-,0.02,-,-5.6,-
0.023,0.003,-,-,ANQO,  opt may10,0.003,,-,0.003,-,-,,-,-,-,-,-
0.016,0.001,-,-,ANQOA,  opt may12,0.004,,-,0.004,-,-,,-,-,-,-,-
0.08,0.018,0.021,0.019,ALT,Analytica Ltd,0.021,0.2,2122,0.02,0.022,-,,-,-,-,-0.6,-
13.83,7.51,10.74,10.55,ANN,Ansell Ltd,10.63,-16,4276,10.43,10.68,28,,3.19,1.98,2.63,89.2,11.9
0.065,0.02,-,-,ANO,Antaria Ltd,0.042,,-,0.042,0.055,-,,-,0.03,-,0.77,5.5
0.015,0.004,-,-,ADO,Anteo Diagnostics,0.008,,-,0.008,0.01,-,,-,0.01,-,-1.1,-
-,-,-,-,ADON,  def,-,,-,-,-,-,,-,-,-,-,-
-,-,-,-,ADOOA,  opt feb11,-,,-,-,0.009,-,,-,-,-,-,-
0.056,0.028,0.052,0.05,ANP,Antisense Therapeutic,0.052,,9208,0.05,0.054,-,,-,0.01,-,-0.46,-
25.25,11.83,24.00,23.63,ANZ,ANZ Banking Grp,23.84,5,92646,23.83,23.85,120,,1.42,10.72,5.03,170.4,14.0
10.80,4.45,10.25,10.25,APE,AP Eagers Ltd,10.25,-25,3,10.26,10.50,44,f,0.82,8.41,4.29,36.1,28.4
0.081,0.01,-,-,APP,APA Financial,0.02,,-,0.019,-,-,,-,-,-,-3.7,-
3.39,2.43,3.26,3.22,APA,APA Grp stpld,3.22,-2,8109,3.22,3.24,31,,0.52,1.18,9.63,16.2,19.9
0.14,0.014,0.095,0.093,AEZ,APN European Retail stpld,0.094,-0.1,15439,0.093,0.094,1,,-,0.33,10.64,-56.84,-
3.125,0.866,2.43,2.37,APN,APN News & Media,2.40,-1,14203,2.37,2.43,12,,-,-1.23,5.00,-13.1,-
0.40,0.09,0.35,0.34,APD,APN Prop Grp,0.34,-3,385,0.34,0.38,3,,-,0.20,8.82,-18.08,-
0.04,0.009,0.012,0.011,AOP,Apollo Cons,0.011,-0.1,64203,0.011,0.012,-,,-,-,-,-0.91,-
0.018,0.008,-,-,AQL,Aquacarotene Ltd,0.014,,-,0.014,0.018,-,,-,-,-,-0.35,-
0.085,0.036,0.058,0.058,APB,Arafura Pearls,0.058,,313,0.056,0.059,-,,-,0.22,-,2,2.9
5.40,2.55,5.34,5.27,ARP,ARB Corp,5.30,5,530,5.26,5.30,16.5,f,2.05,1.22,3.11,33.86,15.7
1.65,0.79,1.435,1.39,AAD,Ardent Leisure Grp stp,1.39,-4.5,4446,1.39,1.435,14.3,,-,1.18,10.29,-0.32,-
6.91,4.52,6.91,6.85,ARG,Argo Invest,6.91,3,1534,6.89,6.91,27,f,-,6.38,3.91,-11.1,-
0.017,0.007,-,-,ASV,Argus Solutions,0.008,,-,0.008,0.009,-,,-,-,-,-0.12,-
0.30,0.16,-,-,ARA,Ariadne Aust,0.275,,-,0.275,0.33,1,,-,0.30,3.64,-4.51,-
5.99,3.16,5.38,5.17,ALL,Aristocrat Leisure,5.30,14,28160,5.28,5.38,14.5,f,-,0.35,2.74,-0.2,-
0.80,0.44,0.65,0.65,ARJ,ARK Fund Ltd (The),0.65,4,45,0.615,0.65,7.75,f,1.04,1.08,11.92,8.07,8.1
0.05,0.003,0.017,0.016,AEM,Artist & Entertain,0.016,,6391,0.016,0.017,-,,-,-,-,2.83,0.6
0.25,0.12,0.25,0.225,APH,Ascent Pharmahealth,0.25,2.5,2834,0.225,0.25,0.5,,6.20,0.04,2.00,3.1,8.1
2.177,0.32,1.66,1.62,AIO,Asciano Grp stpld,1.65,1,232283,1.65,1.655,23,,-,-1.41,13.94,-32.5,-
0.43,0.036,0.22,0.20,AFA,ASF Grp Ltd,0.22,2,116,0.22,0.24,-,,-,0.01,-,-2.61,-
1.09,0.33,1.065,1.05,ASZ,ASG Grp Ltd,1.055,-0.5,5434,1.05,1.06,5.5,f,1.55,0.05,5.21,8.52,12.4
0.50,0.007,0.145,0.145,AJJ,Asia Liver Trans,0.145,,200,0.11,0.145,-,,-,-0.02,-,-2.51,-
0.002,0.001,-,-,AJJO,  opt sep10,-,,-,-,0.045,-,,-,-,-,-,-
