Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4721.2 at 16:47 4/12/2009  Report at 19:05 Friday 4/12/2009. Processed 19:29 Friday 4/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
5.75,3.16,4.00,3.77,ALL,Aristocrat Leisure,3.79,-18,14973,3.77,3.85,14.5,f,-,0.35,3.83,-0.2,-
0.80,0.44,0.57,0.57,ARJ,ARK Fund Ltd (The),0.57,,183,0.57,0.585,7,f,1.15,1.08,12.28,8.07,7.1
0.025,0.003,0.014,0.014,AEM,Artist & Entertain,0.014,,1180,0.014,0.015,-,,-,-,-,2.83,0.5
0.26,0.12,0.20,0.195,APH,Ascent Pharmahealth,0.20,-1.5,695,0.20,0.215,0.5,,6.20,0.04,2.50,3.1,6.5
1.76,0.32,1.72,1.675,AIO,Asciano Grp stpld,1.70,-2,127089,1.695,1.70,23,,-,-1.41,13.53,-32.5,-
0.43,0.036,-,-,AFA,ASF Grp Ltd,0.195,,-,0.175,0.195,-,,-,0.01,-,-2.61,-
1.195,0.33,1.15,1.12,ASZ,ASG Grp Ltd,1.145,-0.5,1779,1.12,1.145,5.5,f,1.55,0.05,4.80,8.52,13.4
0.50,0.007,-,-,AJJ,Asia Liver Trans,0.13,,-,0.10,0.13,-,,-,-0.02,-,-2.51,-
0.002,0.001,-,-,AJJO,  opt sep10,-,,-,-,0.035,-,,-,-,-,-,-
1.05,0.77,0.98,0.98,AUF,Asian Masters Fund,0.98,,300,0.99,1.00,-,,-,0.95,-,0.76,128.9
0.37,0.125,0.315,0.31,AKF,ASK Funding Ltd,0.315,,36883,0.29,0.315,1.3,f,4.15,0.35,4.13,5.4,5.8
0.575,0.218,0.51,0.495,APZ,Aspen Grp stpld,0.51,1,23737,0.495,0.51,6.17,,-,0.68,12.10,-22.53,-
0.271,0.14,-,-,ASP,Aspermont Ltd,0.15,,-,0.15,0.155,0.13,,-,-0.06,0.87,-0.22,-
1.10,0.008,-,-,AKR,Astra Capital Ltd,0.80,,-,0.78,0.85,-,,-,1.60,-,-0.03,-
0.515,0.16,0.445,0.43,AJA,Astro Jap Prop stp,0.435,-1.5,30161,0.43,0.44,9,,-,0.93,20.69,-71.94,-
2.70,1.41,1.70,1.70,ATR,Astron Ltd,1.70,-4.5,33,1.70,1.75,10,,-,0.03,5.88,-3.9,-
37.90,23.52,33.28,33.01,ASX,ASX Ltd,33.10,-23,8212,33.07,33.19,164.9,f,1.11,2.66,4.98,183.2,18.1
0.24,0.125,0.195,0.195,ACG,Atcor Medical,0.195,-0.5,750,0.19,0.195,-,,-,0.05,-,-1.7,-
0.048,0.005,0.039,0.037,ATI,Atlantic Ltd,0.037,-0.2,22315,0.037,0.038,-,,-,0.01,-,-0.11,-
0.039,0.003,0.028,0.027,ATIO,  opt dec11,0.027,,9970,0.027,0.03,-,,-,-,-,-,-
0.22,0.075,-,-,ATP,Atlas Southsea Pearl,0.115,,-,0.11,0.115,2,,-,0.20,17.39,-4.39,-
0.04,0.01,-,-,ATW,Atos Wellness,0.017,,-,0.008,0.029,-,,-,0.01,-,-0.12,-
1.66,1.175,1.48,1.48,AIA,Auckland Airport fpo nz,1.48,,3500,1.445,1.46,6.7,,0.41,1.21,4.53,2.74,54.0
-,-,-,-,ABWDA,Aurora Buy-Write def,-,,-,1.225,1.235,-,,-,7.25,-,-57.97,-
1.13,1.13,-,-,AIBDA,Aurora Global Tr def,1.13,,-,1.13,1.25,-,,-,8.07,-,-13.91,-
