Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4665.9 at 16:35 24/2/2010  Report at 19:05 Wednesday 24/2/2010. Processed 19:37 Wednesday 24/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.37,0.125,0.22,0.215,AKF,ASK Funding Ltd,0.215,-1.5,1150,0.15,0.25,1.3,f,4.15,0.35,6.05,5.4,4.0
0.575,0.218,0.485,0.475,APZ,Aspen Grp stpld,0.485,1,10707,0.48,0.485,5.18,,-,0.68,10.68,-3.37,-
0.271,0.11,-,-,ASP,Aspermont Ltd,0.155,,-,0.10,0.15,-,,-,-0.06,-,-0.22,-
1.15,0.75,-,-,AIR,Astivita Renewables,0.90,,-,0.90,0.95,-,,-,0.38,-,8.23,10.9
1.10,0.008,-,-,AKR,Astra Capital Ltd,0.70,,-,0.68,0.80,-,,-,1.60,-,-0.03,-
0.515,0.16,0.35,0.33,AJA,Astro Jap Prop stp,0.35,,12508,0.345,0.35,9,,-,0.93,25.71,-71.94,-
2.70,1.50,-,-,ATR,Astron Ltd,2.06,,-,1.94,2.06,-,,-,2.90,-,-11.79,-
37.90,25.20,36.84,36.15,ASX,ASX Ltd,36.61,-8,8411,36.60,36.75,163.6,f,1.10,3.19,4.47,180.6,20.3
0.24,0.155,-,-,ACG,Atcor Medical,0.165,,-,0.165,0.17,-,,-,0.04,-,-3.06,-
0.048,0.005,0.032,0.029,ATI,Atlantic Ltd,0.029,-0.3,39907,0.029,0.03,-,,-,0.01,-,-0.11,-
0.039,0.003,0.021,0.02,ATIO,  opt dec11,0.02,-0.1,630,0.019,0.02,-,,-,-,-,-,-
0.16,0.075,0.11,0.11,ATP,Atlas Southsea Pearl,0.11,,227,0.11,0.12,-,,-,0.20,-,-4.39,-
0.04,0.01,-,-,ATW,Atos Wellness,0.018,,-,-,-,-,,-,0.01,-,-0.12,-
1.654,1.171,1.47,1.41,AIA,Auckland Airport fpo nz,1.41,-5,1785,1.20,1.46,6.7,,0.41,1.21,4.75,2.74,51.5
7.50,0.977,-,-,AIB,Aurora Global Tr unt,1.12,,-,1.14,1.25,51.5,,-,1.22,45.98,-13.91,-
5.40,4.35,-,-,AUP,Aurora Prop unt,5.00,,-,5.00,5.20,-,,-,5.28,-,-,-
7.35,0.867,-,-,ABW,Aurora Sand Au Tr ord unt,1.185,,-,1.17,1.18,20.5,,-,1.23,17.30,-57.97,-
1.17,1.005,1.05,1.04,AOD,Aurora Sandringham ,1.04,-1,209,1.035,1.04,4,f,-,1.05,3.85,-6.57,-
1.68,1.62,-,-,AQF,AUS Gov Index Fund,1.68,,-,1.68,2.00,-,,-,-,-,-,-
2.20,0.675,2.04,2.01,ASL,Ausdrill Ltd,2.04,2,1408,2.00,2.04,11,f,2.11,1.73,5.39,23.23,8.8
5.95,1.855,4.19,3.92,AAX,Ausenco Ltd,3.95,-38,11814,3.93,4.00,18.5,f,2.38,0.76,4.68,43.94,9.0
1.485,0.10,-,-,AET,Ausmelt Ltd,1.35,,-,-,-,-,,-,-,-,-32.9,-
1.95,1.16,1.38,1.35,AAC,Aust Agriculture,1.37,-1.5,4484,1.34,1.38,-,,-,2.42,-,-20.3,-
0.016,0.002,-,-,AAK,Aust China Hldgs,0.008,,-,0.007,0.009,-,,-,0.02,-,0.32,2.5
0.005,0.001,-,-,AAKO,  opt dec13,0.002,,-,0.001,0.002,-,,-,-,-,-,-
0.54,0.145,0.455,0.455,AEU,Aust Education unt,0.455,-1,210,0.455,0.465,4,,-,1.33,8.79,-21.5,-
6.45,5.00,-,-,AYF,Aust Enhanced unt,6.40,,-,6.30,6.40,60,p,-,7.50,9.38,-157,-
37.00,17.00,26.50,26.00,AEF,Aust Ethical,26.00,-40,5,26.00,28.50,147,f,0.83,8.53,5.65,121.6,21.4
5.41,3.45,5.04,4.90,AFI,Aust Foundation,4.94,-9,3987,4.94,4.98,21,f,0.43,5.04,4.25,8.93,55.3
1.95,0.991,1.875,1.795,AIX,Aust Infra unt,1.85,2,19788,1.81,1.88,13,,2.03,3.14,7.03,26.33,7.0
1.265,0.55,1.20,1.19,ALF,Aust Leaders,1.19,-2,83,1.19,1.20,7,f,7.66,1.51,5.88,53.65,2.2
0.10,0.035,-,-,ALFO,  opt nov10,0.045,,-,0.039,0.045,-,,-,-,-,-,-
0.939,0.312,0.615,0.60,API,Aust Pharmaceutical,0.60,,1033,0.60,0.61,2,f,2.95,0.84,3.33,5.9,10.2
0.45,0.12,-,-,APK,Aust Power,0.41,,-,0.41,0.43,-,,-,-0.08,-,-9.8,-
7.90,4.25,7.00,6.95,AUI,Aust United Invest,7.00,-26,64,6.99,7.10,25,f,0.75,7.10,3.57,18.7,37.4
0.49,0.125,0.34,0.33,AVG,Aust Vintage Ltd,0.335,0.5,515,0.335,0.345,-,,-,0.98,-,11.2,3.0
3.12,1.425,2.46,2.40,ASB,Austal Ltd,2.44,-2,804,2.40,2.44,6,,0.72,1.30,2.46,4.35,56.1
1.465,0.65,1.25,1.115,AUN,Austar United,1.20,-5.5,71550,1.17,1.20,-,,-,-0.33,-,-2.4,-
5.65,3.40,4.93,4.80,AUB,Austbrokers Hldgs,4.91,-3,41,4.81,4.92,20.5,f,1.55,0.88,4.18,31.7,15.5
1.785,1.04,1.67,1.62,AEO,Austereo Grp Ltd,1.665,-0.5,1328,1.625,1.69,9.1,f,1.32,-0.57,5.47,11.98,13.9
3.47,0.80,2.97,2.90,ANG,Austin Engineer,2.94,-3,409,2.94,3.03,8.5,f,3.10,0.52,2.89,26.32,11.2
0.35,0.16,0.30,0.27,ACK,Austock Grp Ltd,0.30,5,1822,0.27,0.30,-,,-,0.19,-,-17.6,-
