Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:05 Friday 18/6/2010. Processed 19:10 Friday 18/6/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
0.275,0.092,0.135,0.13,AVH,Avita Medical Ltd,0.13,,207,0.13,0.135,-,,-,0.05,-,-3.66,-,
0.63,0.24,0.45,0.45,AVJ,AVJennings,0.45,0.5,180,0.445,0.465,-,,-,1.06,-,0.09,500.0,
1.337,0.865,1.04,1.02,AWB,AWB Ltd,1.03,,17451,1.025,1.035,-,,-,1.85,-,3.67,28.1,
0.011,0.003,-,-,AWL,AWH Corp Ltd,0.004,,-,0.004,0.005,-,,-,-,-,-0.2,-,
6.72,3.51,5.79,5.71,AXA,AXA Asia Pacific,5.72,-3,38270,5.71,5.75,18.5,p,1.89,1.12,3.23,34.89,16.4,
0.08,0.021,-,-,AXI,Axiom Prop,0.021,,-,0.017,0.022,-,,-,0.04,-,-3.74,-,
13.49,8.056,11.60,11.44,BOQ,Bank of Qld,11.44,,5774,11.43,11.52,52,f,1.78,7.20,4.55,92.4,12.4,
0.02,0.01,-,-,BBX,BBX Hldgs,0.01,,-,0.01,0.04,-,,-,0.06,-,19.48,0.1,
0.17,0.046,0.049,0.046,BEC,Becton Prop Grp stp,0.046,-0.2,2605,0.046,0.05,-,,-,0.16,-,-141.93,-,
1.40,0.65,1.00,0.98,BFG,Bell Financial Grp,1.00,4.5,180,0.97,1.00,8,f,1.41,0.25,8.00,11.3,8.8,
1.47,1.10,-,-,BET,Belmont Hldgs,1.30,,-,1.15,-,-,,-,1.78,-,-1.38,-,
10.48,6.00,8.98,8.83,BEN,Bendigo & Adelaide,8.83,-5,14253,8.82,8.90,43,f,0.83,5.16,4.87,35.53,24.9,
0.09,0.022,0.04,0.036,BLT,Benitec Ltd,0.036,0.2,8707,0.036,0.039,-,,-,-,-,-0.65,-,
0.037,0.008,-,-,BLTO,  opt apr14,0.008,,-,0.008,0.039,-,,-,-,-,-,-,
0.006,0.001,-,-,BLTOA,  opt apr11,0.001,,-,0.001,-,-,,-,-,-,-,-,
0.329,0.23,-,-,BEL,Bentley Capital,0.24,,-,0.235,0.24,1,f,10.62,0.45,4.17,10.62,2.3,
0.737,0.35,-,-,BER,Berklee Ltd,0.43,,-,0.43,0.48,-,,-,1.23,-,19.64,2.2,
0.78,0.50,-,-,BYI,Beyond Intl,0.72,,-,0.60,0.72,6,,1.36,0.45,8.33,8.18,8.8,
0.037,0.007,-,-,BSI,Beyond Sportswear,0.016,,-,0.015,0.02,-,,-,-0.01,-,-0.57,-,
0.215,0.05,0.185,0.18,BGL,Bigair Grp Ltd,0.185,0.5,200,0.18,0.185,-,,-,0.05,-,1.59,11.6,
12.32,7.93,9.59,9.38,BBG,Billabong Intl,9.38,-7,12208,9.35,9.48,36,p,1.59,0.84,3.84,57.2,16.4,
0.228,0.085,-,-,BDM,Biodiem Ltd,0.11,,-,0.11,0.155,-,,-,-,-,-4.26,-,
0.08,0.022,0.024,0.024,BOD,bioMD Ltd,0.024,-0.4,741,0.024,0.032,-,,-,-,-,-0.95,-,
0.016,0.006,-,-,BODOA,  opt dec11,0.006,,-,0.001,0.008,-,,-,-,-,-,-,
0.43,0.20,0.29,0.28,BNO,Bionomics Ltd,0.28,-1,464,0.29,0.305,-,,-,0.06,-,-2.4,-,
0.06,0.015,0.018,0.015,BPO,BioProspect Ltd,0.017,,11250,0.015,0.018,-,,-,-,-,-0.65,-,
3.336,1.01,1.195,1.145,BTA,Biota Hldgs,1.195,4.5,11982,1.16,1.20,-,,-,0.60,-,36.6,3.3,
0.31,0.16,-,-,BTC,Biotech Capital,0.25,,-,0.21,0.235,-,,-,0.32,-,0.47,53.2,
0.175,0.06,-,-,BIT,Biotron Ltd,0.072,,-,0.069,0.07,-,,-,-,-,-1.56,-,
0.037,0.015,0.015,0.015,BITO,  opt dec11,0.015,,2000,0.014,0.019,-,,-,-,-,-,-,
0.27,0.13,0.19,0.19,BIS,Bisalloy Steel,0.19,-1,50,0.19,0.205,-,,-,0.03,-,-3.44,-,
0.05,0.03,-,-,BSN,Bisan Ltd,0.035,,-,0.036,0.045,-,,-,0.04,-,-2.07,-,
1.325,1.026,1.17,1.15,BKI,BKI Invest Ltd,1.16,,2176,1.16,1.17,5.5,f,1.18,1.45,4.74,6.47,17.9,
0.013,0.003,-,-,BKM,BKM Management,0.006,,-,0.005,0.009,-,,-,-,-,-0.2,-,
