Industrial Market - Daily,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio
0.05,0.012,0.013,0.013,AEZ,APN European Ret stp,0.013,-,1487,0.013,0.014,-,,-,-,-,-13.43,-
2.54,1.455,1.555,1.5,APN,APN News & Media,1.54,3,18287,1.54,1.55,12,p,1.3,-0.65,7.79,15.6,9.9
0.34,0.165,0.2,0.18,APD,APN Prop Grp,0.185,-3.5,450,0.19,0.28,1.25,f,-,0.2,6.76,-10.21,-
0.022,0.007,0.007,0.007,AOP,Apollo Cons,0.007,-0.1,22056,0.006,0.007,-,,-,-,-,-0.16,-
0.02,0.008,0.014,0.013,APB,Arafura Pearls,0.014,-,3560,0.012,0.014,-,,-,0.02,-,-1,-
0.001,0.001,-,-,APBO,  opt may12,0.001,-,-,-,0.001,-,,-,-,-,-,-
7.99,5.4,7.98,7.81,ARP,ARB Corp,7.88,7,1185,7.79,7.88,22,f,2.22,1.47,2.79,48.75,16.2
1.485,0.92,1.43,1.34,AAD,Ardent Leisure Grp stp,1.405,2.5,9739,1.355,1.43,10.75,,0.95,0.95,7.65,10.2,13.8
6.6,5.51,6.04,5.93,ARG,Argo Invest,5.97,2,1530,5.94,6,26,f,1.03,6.3,4.36,26.7,22.4
0.33,0.23,-,-,ARA,Ariadne Aust,0.315,-,-,0.315,0.33,2,,1.58,0.33,6.35,3.15,10
4.73,2.52,3.26,3.19,ALL,Aristocrat Leisure,3.22,-3,20475,3.19,3.3,5,,2.9,0.14,1.55,14.5,22.2
0.015,0.007,-,-,AEM,Artist & Entertain,0.009,-,-,0.007,0.009,-,,-,-,-,-0.24,-
0.23,0.042,0.051,0.05,AKW,Arturus Capital,0.05,-0.1,1213,0.05,0.059,-,,-,-0.01,-,-22,-
0.39,0.24,0.385,0.38,APH,Ascent Pharmahealth,0.38,-,3133,0.375,0.385,-,,-,0.09,-,4.8,7.9
1.915,1.44,1.635,1.6,AIO,Asciano Grp,1.625,0.5,144685,1.62,1.625,1,f,-,0.13,0.62,-33.6,-
0.2,0.085,0.11,0.11,AFA,ASF Grp,0.11,-1,2020,0.105,0.115,-,,-,0.02,-,-1.29,-
1.55,0.985,1.055,1.05,ASZ,ASG Grp,1.05,-0.5,393,1.05,1.07,7,f,1.17,-,6.67,8.16,12.9
