Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4526.8 at 16:43 1/9/2010  Report at 19:06 Wednesday 1/9/2010. Processed 19:11 Wednesday 1/9/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
6.85,3.947,6.85,6.65,ARP,ARB Corp,6.80,-4,619,6.59,6.85,19.5,f,2.37,1.39,2.87,46.28,14.7,
1.845,0.92,0.97,0.94,AAD,Ardent Leisure stp,0.97,4.5,15164,0.96,0.985,10.75,,0.59,0.92,11.08,6.3,15.4,
7.05,5.51,5.80,5.72,ARG,Argo Invest,5.78,6,1903,5.75,5.80,25,f,1.04,6.03,4.33,26,22.2,
0.732,0.006,-,-,ASV,Argus Solutions,0.075,,-,0.075,0.095,-,,-,-0.06,-,-5.88,-,
0.37,0.23,0.285,0.285,ARA,Ariadne Aust,0.285,-1.5,12,0.285,0.30,1.5,,1.83,0.33,5.26,2.75,10.4,
5.75,3.34,3.78,3.67,ALL,Aristocrat Leisure,3.76,4,33836,3.67,3.78,3.5,,-,0.15,0.93,-15,-,
0.025,0.007,-,-,AEM,Artist & Entertain,0.008,,-,-,-,-,,-,-,-,-1.54,-,
0.30,0.042,-,-,AKW,Arturus Capital,0.08,,-,-,-,-,,-,0.25,-,21.65,0.4,
0.345,0.15,0.27,0.27,APH,Ascent Pharmahealth,0.27,1,100,0.27,0.28,-,,-,0.08,-,4.4,6.1,
1.94,1.435,1.74,1.675,AIO,Asciano Grp stp,1.725,5,187940,1.705,1.73,-,,-,0.08,-,-31.6,-,
0.43,0.085,0.13,0.13,AFA,ASF Grp Ltd,0.13,2,96,0.11,0.13,-,,-,0.02,-,-1.19,-,
1.55,0.81,1.36,1.32,ASZ,ASG Grp Ltd,1.34,1,1583,1.335,1.345,6.5,f,1.35,-,4.85,8.77,15.3,
0.19,0.055,-,-,AJJ,Asia Liver Trans,0.055,,-,-,-,0.5,,-,0.01,9.09,-0.25,-,
0.001,0.001,-,-,AJJO,  opt sep10,-,,-,-,-,-,,-,-,-,-,-,
1.06,0.98,1.03,1.03,AUF,Asian Masters Fund,1.03,,640,1.03,1.05,1,f,-,1.01,0.97,-1.19,-,
0.37,0.20,0.20,0.20,AKF,ASK Funding Ltd,0.20,-1,13,0.20,0.205,0.36,f,8.89,0.34,1.80,3.2,6.3,
0.575,0.415,0.47,0.46,APZ,Aspen Grp stp,0.47,,1366,0.465,0.47,4.2,,0.54,0.66,8.94,2.25,20.9,
0.20,0.10,-,-,ASP,Aspermont Ltd,0.14,2,-,-,-,-,,-,-0.03,-,0.88,15.9,
1.165,0.75,-,-,AIR,Astivita Renewables,0.94,,-,-,-,-,,-,0.46,-,27.61,3.4,
0.85,0.51,-,-,AKR,Astra Capital Ltd,0.80,,-,-,-,-,,-,1.62,-,-1.87,-,
0.515,0.28,0.295,0.285,AJA,Astro Jap Prop stp,0.295,1,9009,0.29,0.295,7,,-,0.64,23.73,-22.02,-,
2.70,1.625,-,-,ATR,Astron Ltd,1.94,,-,-,-,-,,-,-,-,1.8,107.8,
37.16,28.02,29.69,29.19,ASX,ASX Ltd,29.59,48,11546,29.51,29.60,173.1,f,1.10,3.49,5.85,190.4,15.5,
0.215,0.105,-,-,ACG,Atcor Medical,0.105,,-,-,-,-,,-,0.04,-,-1.2,-,
0.07,0.02,-,-,ATI,Atlantic Ltd,-,,-,-,-,-,,-,0.01,-,-0.12,-,
0.058,0.012,-,-,ATIO,  opt dec11,-,,-,-,-,-,,-,-,-,-,-,
0.145,0.08,-,-,ATP,Atlas Southsea Pearl,0.11,,-,-,-,-,,-,0.13,-,-6.75,-,
0.02,0.01,0.013,0.013,ATW,Atos Wellness,0.013,-0.7,2580,0.013,0.02,-,,-,0.02,-,-0.4,-,
1.654,1.395,-,-,AIA,Auckland Airport,1.58,,-,1.55,1.58,6.68,,0.29,1.19,4.23,1.95,81.0,
2.00,1.56,-,-,AFV,Aurora Funds Ltd,1.60,,-,-,-,-,,-,-,-,-,-,
7.50,0.977,-,-,AIB,Aurora Global Tr unt,1.15,,-,-,-,23.5,,-,1.14,20.43,-5.76,-,
5.40,4.50,-,-,AUP,Aurora Prop unt,5.30,,-,-,-,52,,-,5.34,9.81,-,-,
