Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4363.7 at 2012-02-08T16:38:36. Report at Wednesday, February 8, 2012. Processed Thursday at 2012-02-09T12:20:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
2.09,1.62,2.04,2.01,AIX,Aust Infrastructure Fd unt,,6115,2.02,-1,6100,2.01,2.05,10.00,,3.42,2.85,4.95,34.20,5.9,,
1.31,1.005,1.125,1.12,ALF,Aust Leaders Fund,,,1.125,+1,597,1.11,1.125,11.00,f,1.98,1.20,9.78,21.80,5.2,,
.44,.205,.295,.285,API,Aust Pharmaceutical,5c,6241,.29,,2144,.28,.295,2.50,,,.74,8.62,-4.80,,,
.62,.44,,,APK,Aust Power & Gas,20c,,.49,,,,,.50,,,,1.02,-6.70,,,
7.10,5.10,5.86,5.84,AUI,Aust United Invest,$1,2116,5.84,+9,32,5.73,5.84,26.50,f,1.18,6.28,4.54,31.40,18.6,,
.38,.22,.355,.35,AVG,Aust Vintage,,,.355,+1,751,.35,.355,2.50,f,2.04,1.03,7.04,5.10,7.0,,
3.28,1.95,2.03,1.95,ASB,Austal,20c,6907,1.95,-6,1672,1.93,2.00,6.00,f,1.98,1.43,3.08,11.90,16.4,,
1.46,.865,1.22,1.19,AUN,Austar United,,3340,1.19,-2,22822,1.19,1.20,,,,-.14,,13.30,8.9,,
6.60,5.40,6.05,6.05,AUB,Austbrokers Hldgs,,,6.05,-20,15,6.06,6.24,25.50,f,1.55,1.45,4.21,39.60,15.3,,
5.45,3.14,4.49,4.45,ANG,Austin Engineer,,,4.49,+6,299,4.45,4.49,11.50,f,2.64,.46,2.56,30.37,14.8,,
.165,.087,,,ACK,Austock Grp,,,.12,,,,,,,,.19,,4.02,3.0,,
3.20,2.17,2.69,2.63,ALZ,Australand Prop stp,,6248,2.64,+1,9960,2.64,2.66,21.50,,1.44,3.55,8.14,30.90,8.5,,
.065,.005,,,AIY,Authorised Invest,20c,,.006,,,,,,,,.01,,-.54,,,
.016,.01,,,AIYO,  opt feb13,,,.01,,,,,,,,,,,,,
.065,.011,,,AIE,Autodom,20c,2047,.035,,,,,,,,.04,,-5.95,,,
2.83,1.565,2.07,2.03,AHE,Automotive Hldgs,,,2.03,-4,442,2.03,2.05,17.00,f,.79,1.01,8.37,13.50,15.0,,
.08,.028,.029,.028,AVX,Avexa,,,.028,-.1,2921,.028,.029,,,,.03,,-.50,,,
.16,.095,.14,.13,AVH,Avita Medical,,,.135,+.5,3189,.13,.135,,,,.06,,-1.69,,,
.60,.375,.43,.40,AVJ,AVJennings,25c,3658,.43,,110,.40,.435,2.50,f,1.88,1.10,5.81,4.70,9.1,,
.041,.024,,,AXI,Axiom Prop,20c,6035,.031,,,.024,.037,,,,.05,,-.28,,,
.045,.026,,,AZV,Azure Healthcare,,,,,,.032,.04,,,,-.03,,-11.46,,,
