Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4673.9 at 16:34 18/2/2010  Report at 19:05 Thursday 18/2/2010. Processed 19:42 Thursday 18/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
1.098,0.006,0.27,0.27,ASV,Argus Solutions,0.27,,70,0.215,0.25,-,,-,-,-,-0.12,-
0.37,0.205,-,-,ARA,Ariadne Aust,0.25,,-,0.25,0.27,1,,-,0.30,4.00,-4.51,-
5.75,3.16,4.69,4.39,ALL,Aristocrat Leisure,4.41,-25,27390,4.41,4.46,14.5,f,-,0.35,3.29,-0.2,-
0.80,0.395,-,-,ARJ,ARK Fund Ltd (The),0.41,,-,-,-,7,f,1.15,1.08,17.07,8.07,5.1
0.025,0.004,0.01,0.01,AEM,Artist & Entertain,0.01,-0.2,1365,0.009,0.012,-,,-,-,-,2.83,0.4
0.30,0.07,-,-,AKW,Arturus Capital,0.195,,-,0.135,0.17,-,,-,0.43,-,51.76,0.4
0.26,0.12,0.175,0.17,APH,Ascent Pharmahealth,0.175,0.5,779,0.165,0.195,-,,-,0.04,-,3.1,5.6
1.94,0.32,1.81,1.76,AIO,Asciano Grp stpld,1.78,1,138682,1.76,1.79,-,,-,-1.41,-,-32.5,-
0.43,0.06,0.11,0.11,AFA,ASF Grp Ltd,0.11,-0.5,5180,0.105,0.12,-,,-,0.01,-,-2.61,-
1.30,0.42,1.235,1.21,ASZ,ASG Grp Ltd,1.21,-2.5,1930,1.20,1.24,6,f,1.57,0.06,4.96,9.43,12.8
0.267,0.007,-,-,AJJ,Asia Liver Trans,0.10,,-,0.021,0.099,-,,-,-0.02,-,-2.51,-
0.002,0.001,-,-,AJJO,  opt sep10,-,,-,-,-,-,,-,-,-,-,-
1.06,0.77,-,-,AUF,Asian Masters Fund,0.98,,-,0.99,1.03,-,,-,1.02,-,-1.19,-
0.37,0.125,0.225,0.225,AKF,ASK Funding Ltd,0.225,-1.5,250,0.23,0.24,1.3,f,4.15,0.35,5.78,5.4,4.2
0.575,0.218,0.455,0.445,APZ,Aspen Grp stpld,0.45,0.5,7389,0.445,0.45,5.18,,-,0.68,11.51,-22.53,-
0.271,0.11,-,-,ASP,Aspermont Ltd,0.155,,-,0.10,0.15,-,,-,-0.06,-,-0.22,-
1.15,0.75,1.00,1.00,AIR,Astivita Renewables,1.00,,14,0.99,1.00,-,,-,-,-,-,-
1.10,0.008,0.70,0.70,AKR,Astra Capital Ltd,0.70,,18,0.70,0.80,-,,-,1.60,-,-0.03,-
0.515,0.16,0.35,0.34,AJA,Astro Jap Prop stp,0.35,-1,10635,0.345,0.35,9,,-,0.93,25.71,-71.94,-
2.70,1.50,2.09,2.07,ATR,Astron Ltd,2.07,2,110,2.07,2.10,-,,-,0.03,-,-3.9,-
37.90,25.20,37.00,35.90,ASX,ASX Ltd,36.92,107,17497,36.82,36.98,164.9,f,1.11,2.66,4.47,183.2,20.2
0.24,0.155,-,-,ACG,Atcor Medical,0.165,,-,0.165,0.17,-,,-,0.05,-,-1.7,-
0.048,0.005,0.03,0.029,ATI,Atlantic Ltd,0.029,,22050,0.029,0.03,-,,-,0.01,-,-0.11,-
0.039,0.003,0.02,0.019,ATIO,  opt dec11,0.019,,22147,0.017,0.019,-,,-,-,-,-,-
0.16,0.075,-,-,ATP,Atlas Southsea Pearl,0.11,,-,0.105,0.11,-,,-,0.20,-,-4.39,-
0.04,0.01,-,-,ATW,Atos Wellness,0.018,,-,-,-,-,,-,0.01,-,-0.12,-
1.654,1.171,1.43,1.41,AIA,Auckland Airport fpo nz,1.415,-0.5,27932,1.415,1.42,6.7,,0.41,1.21,4.73,2.74,51.6
7.50,0.977,-,-,AIB,Aurora Global Tr unt,1.10,,-,1.12,1.25,51.5,,-,1.22,46.82,-13.91,-
5.40,4.35,4.97,4.97,AUP,Aurora Prop unt,4.97,2,51,5.00,5.20,-,,-,5.28,-,-,-
7.35,0.867,-,-,ABW,Aurora Sand Au Tr ord unt,1.165,,-,1.17,1.18,20.5,,-,1.23,17.60,-57.97,-
1.17,1.005,1.045,1.03,AOD,Aurora Sandringham ,1.04,0.5,934,1.04,1.05,4,f,-,1.05,3.85,-6.57,-
1.65,1.62,1.63,1.63,AQF,AUS Gov Index Fund,1.63,1,281,1.68,2.00,-,,-,-,-,-,-
2.20,0.675,1.96,1.945,ASL,Ausdrill Ltd,1.96,1,4172,1.945,1.96,11,f,2.11,1.73,5.61,23.23,8.4
5.95,1.855,4.18,4.06,AAX,Ausenco Ltd,4.15,7,8198,4.06,4.15,18.5,f,2.38,0.76,4.46,43.94,9.4
1.485,0.10,1.35,1.35,AET,Ausmelt Ltd,1.35,,16,1.35,1.35,-,,-,-,-,-32.9,-
1.95,1.16,1.34,1.32,AAC,Aust Agriculture,1.335,1,6226,1.325,1.34,-,,-,2.42,-,-20.3,-
0.016,0.002,0.008,0.008,AAK,Aust China Hldgs,0.008,,5400,0.007,0.008,-,,-,0.02,-,0.32,2.5
0.005,0.001,-,-,AAKO,  opt dec13,0.002,,-,0.001,0.002,-,,-,-,-,-,-
0.54,0.145,0.46,0.455,AEU,Aust Education unt,0.455,-1,520,0.455,0.46,4,,-,1.33,8.79,-21.5,-
6.45,5.00,6.31,6.30,AYF,Aust Enhanced unt,6.30,-10,60,6.30,6.42,60,p,-,7.50,9.52,-157,-
37.00,17.00,27.00,26.30,AEF,Aust Ethical,26.30,-70,5,26.30,26.99,147,f,0.83,8.53,5.59,121.6,21.6
5.41,3.45,5.12,5.05,AFI,Aust Foundation,5.05,-5,3036,5.05,5.08,21,f,0.43,5.04,4.16,8.93,56.6
1.95,0.991,1.86,1.83,AIX,Aust Infra unt,1.835,-2,10235,1.825,1.85,13,,2.03,3.14,7.08,26.33,7.0
1.265,0.55,1.185,1.185,ALF,Aust Leaders,1.185,-1,177,1.17,1.185,7,f,7.66,1.51,5.91,53.65,2.2
0.10,0.035,-,-,ALFO,  opt nov10,0.041,,-,0.041,0.044,-,,-,-,-,-,-
0.939,0.312,0.61,0.59,API,Aust Pharmaceutical,0.60,0.5,3629,0.59,0.60,2,f,2.95,0.84,3.33,5.9,10.2
0.45,0.12,0.41,0.41,APK,Aust Power,0.41,,20,0.41,0.43,-,,-,-0.08,-,-9.8,-
7.90,4.25,7.20,7.20,AUI,Aust United Invest,7.20,,21,7.20,7.23,25,f,0.56,7.10,3.47,14,51.4
0.49,0.125,0.37,0.35,AVG,Aust Vintage Ltd,0.36,-1,2448,0.355,0.36,-,,-,0.88,-,-96,-
3.12,1.425,2.50,2.42,ASB,Austal Ltd,2.50,4,1830,2.41,2.50,6,f,0.83,1.24,2.40,5,50.0
1.465,0.65,1.26,1.225,AUN,Austar United,1.235,-1,32367,1.23,1.27,-,,-,-0.33,-,-2.4,-
5.65,3.40,5.03,4.97,AUB,Austbrokers Hldgs,4.97,-13,80,4.91,5.10,20.5,f,1.55,0.88,4.12,31.7,15.7
1.785,1.04,1.705,1.65,AEO,Austereo Grp Ltd,1.66,4,7066,1.61,1.675,9.1,f,1.32,-0.01,5.48,11.98,13.9
3.47,0.80,2.94,2.80,ANG,Austin Engineer,2.90,6,2447,2.88,2.93,8.5,f,3.10,0.52,2.93,26.32,11.0
0.35,0.15,-,-,ACK,Austock Grp Ltd,0.20,,-,0.21,0.25,-,,-,0.19,-,-17.6,-
1.25,0.75,-,-,AYX,Austofix Grp Ltd,1.05,,-,1.05,1.10,-,,-,0.26,-,-6.3,-
0.585,0.174,0.49,0.48,ALZ,Australand Prop stpld,0.485,-0.5,39473,0.48,0.485,8,,-,0.68,16.49,-13.4,-
0.034,0.016,-,-,AIY,Authorised Invest,0.03,,-,0.023,0.03,-,,-,0.03,-,-0.23,-
-,-,-,-,AIYO,  opt feb13,-,,-,-,0.005,-,,-,-,-,-,-
0.01,0.01,-,-,AIYOA,  opt mar10,0.01,,-,-,-,-,,-,-,-,-,-
0.151,0.028,-,-,ATJ,Auto Tech Ltd,0.055,,-,0.048,0.055,-,,-,0.01,-,-5.55,-
-,-,-,-,ATJO,  optjun11d,-,,-,0.002,-,-,,-,-,-,-,-
0.11,0.02,0.081,0.081,AIE,Autodom Ltd,0.081,,40,0.081,0.089,-,,-,0.12,-,2.32,3.5
2.60,0.56,2.35,2.30,AHE,Automotive Hldgs,2.33,3,712,2.32,2.35,14,f,0.89,0.69,6.01,12.4,18.8
0.025,0.01,-,-,AAT,Autron Corp,0.013,,-,0.011,0.014,-,,-,-,-,-1.63,-
0.235,0.054,0.135,0.13,AVX,Avexa Ltd,0.135,,4900,0.13,0.135,-,,-,0.03,-,-7.87,-
0.275,0.068,0.16,0.155,AVH,Avita Medical Ltd,0.155,-0.5,472,0.155,0.16,-,,-,0.05,-,-5.49,-
0.63,0.16,0.50,0.50,AVJ,AVJennings,0.50,,1500,0.49,0.50,-,,-,1.06,-,0.09,555.6
1.337,0.592,1.085,1.065,AWB,AWB Ltd,1.07,-1.5,22024,1.065,1.075,5,,3.70,1.81,4.67,18.5,5.8
0.007,0.002,-,-,AWL,AWH Corp Ltd,0.005,,-,0.005,0.007,-,,-,-,-,-0.31,-
6.72,2.52,6.40,6.35,AXA,AXA Asia Pacific,6.38,6,91525,6.36,6.39,18.5,p,-,0.96,2.90,-7.39,-
0.08,0.021,-,-,AXI,Axiom Prop,0.032,,-,0.032,0.042,-,,-,0.06,-,-2.76,-
13.49,6.228,10.90,10.75,BOQ,Bank of Qld,10.80,12,5820,10.76,10.85,52,f,1.46,6.62,4.81,75.9,14.2
0.02,0.01,-,-,BBX,BBX Hldgs,0.01,,-,0.01,0.04,-,,-,0.01,-,-12.17,-
0.23,0.065,0.092,0.09,BEC,Becton Prop Grp stpld,0.092,0.5,250,0.085,0.093,-,,-,0.23,-,-167.28,-
1.40,0.375,1.12,1.07,BFG,Bell Financial Grp,1.12,4,956,1.08,1.12,4,f,1.23,0.27,3.57,4.9,22.9
1.50,1.10,1.20,1.20,BET,Belmont Hldgs,1.20,5,28,1.15,-,-,,-,1.77,-,0.19,631.6
10.48,5.733,10.10,9.97,BEN,Bendigo & Adelaide,9.98,-2,10400,9.97,9.98,43,f,0.83,5.16,4.31,35.53,28.1
0.09,0.02,0.044,0.042,BLT,Benitec Ltd,0.044,,2340,0.042,0.044,-,,-,-,-,-0.8,-
0.03,0.005,-,-,BLTO,  opt apr14,0.016,,-,0.016,0.025,-,,-,-,-,-,-
0.012,0.002,-,-,BLTOA,  opt apr11,0.003,,-,0.003,0.01,-,,-,-,-,-,-
0.329,0.194,0.27,0.27,BEL,Bentley Capital,0.27,,14,0.27,0.285,-,f,-,0.45,-,-1.46,-
0.737,0.35,-,-,BER,Berklee Ltd,0.35,,-,0.355,0.45,-,f,-,0.89,-,13,2.7
0.78,0.50,-,-,BYI,Beyond Intl,0.78,,-,0.78,0.90,5,,1.46,0.42,6.41,7.28,10.7
0.045,0.007,-,-,BSI,Beyond Sportswear,0.016,,-,0.016,0.024,-,,-,-0.01,-,-0.23,-
0.18,0.036,0.12,0.12,BGL,Bigair Grp Ltd,0.12,,2326,0.12,0.125,-,,-,0.05,-,1.59,7.5
12.19,5.815,10.78,10.53,BBG,Billabong Intl,10.64,-12,10182,10.52,10.80,45,p,1.54,0.70,4.23,69.2,15.4
0.23,0.065,-,-,BDM,Biodiem Ltd,0.16,,-,0.17,0.22,-,,-,0.05,-,-1.98,-
0.08,0.02,-,-,BOD,bioMD Ltd,0.04,,-,0.04,0.05,-,,-,-,-,-0.95,-
-,-,-,-,BODO,  opt aug10,-,,-,-,-,-,,-,-,-,-,-
0.43,0.185,0.29,0.27,BNO,Bionomics Ltd,0.29,,1998,0.29,0.295,-,,-,0.03,-,-2.8,-
0.06,0.011,0.027,0.026,BPO,BioProspect Ltd,0.026,,21970,0.026,0.027,-,,-,0.01,-,-0.62,-
0.006,0.001,-,-,BPOOB,  opt mar10,0.001,,-,-,0.001,-,,-,-,-,-,-
0.035,0.004,0.02,0.02,BOS,Biosignal Ltd,0.02,-0.1,8075,0.02,0.023,-,,-,-,-,-3.3,-
3.336,0.409,2.07,2.04,BTA,Biota Hldgs,2.05,,7974,2.05,2.06,-,,-,0.60,-,36.6,5.6
0.31,0.08,0.225,0.225,BTC,Biotech Capital,0.225,,60,0.23,0.27,-,,-,0.35,-,-5.18,-
