ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, April 5, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4402.3 at 2012-04-05T16:35:50. Report at Thursday, April 5, 2012. Processed Saturday at 2012-04-07T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ASW,12.530,.484,1.490,.031,.13,5.6,4.42,16.5,3.85,1.15,5.27,f,Advanced Share Reg,,.73,-2,.72,.73,.75,.73,-2.27,.90,.605,,
AEI,32.500,1.624,1.621,.024,-.02,-,-1.88,-,-,-,-,,Aeris Environmental,,.23,+.5,.23,.25,.23,.225,+2.62,.30,.155,,
AFT,-,33.700,310.350,.007,-,-,.02,5.0,-,-,-,,AFT Corp,,.001,-,-,-,.001,.001,+.40,.001,.001,,
AGX,172.375,15.477,15.816,.008,-,-,-.27,-,-,-,-,,Agenix,,.011,-.1,.011,.012,.012,.011,-7.93,.022,.01,,
AGK,5054.88,98.535,70.018,6.978,6.98,2.2,94.90,15.8,60.00,1.58,3.99,f,AGL Energy,,15.02,+27,14.80,15.03,15.02,14.65,+2.23,15.79,12.50,,
AGJ,20.000,.268,.178,.014,.33,.4,-1.01,-,1.49,-,10.64,,Agricultural Land,,.14,-.5,.145,.18,.15,.14,-3.05,.20,.13,,
AHC,-,.039,.020,.012,4.92,.4,-6.74,-,10.00,-,4.55,,AHC,,2.20,-,-,-,2.20,2.20,+.40,2.30,1.90,,
ENY,2.484,.028,.473,.003,-,-,-,-,-,-,-,p,All 200 Energy,,14.18,-1,14.11,14.50,14.19,14.06,+.33,18.26,11.87,,
FIN,10.000,.121,.717,.002,-,-,-,-,-,-,-,p,All 200 Financials,,4.21,-6,4.22,4.25,4.27,4.21,-1.01,4.70,3.55,,
FIX,.626,.072,.941,.004,-,-,-,-,-,-,-,p,All 200 Fin-x-A-REIT,,5.04,-5,4.55,5.57,5.09,5.04,-.58,5.45,4.34,,
IDD,-,.056,.529,.002,-,-,-,-,-,-,-,p,All 200 Industrials,,3.85,-,3.73,4.04,3.85,3.85,+.40,3.86,3.00,,
RSR,1.330,.091,.815,.007,-,-,-,-,-,-,-,p,All 200 Resources,,4.58,-8,4.58,4.63,4.66,4.58,-1.32,6.42,4.33,,
MAM,-,.110,1.365,.002,-,-,-,-,-,-,-,p,All 300 Metals & Mining,,3.85,-,3.80,3.83,3.85,3.85,+.40,5.58,3.75,,
AGI,1765.51,35.207,4.616,.460,.23,7.2,21.81,7.6,-,-,-,,Ainsworth Game Tech,,1.65,+5,1.65,1.715,1.78,1.63,+3.52,1.78,.225,,
AIZ,190.313,1.980,7.644,.764,1.07,.6,1.62,42.9,3.01,.54,4.33,,Air New Zealand,,.695,+3,-,-,.695,.665,+4.91,.96,.655,,
AIG,-,-,.125,-,-.19,-,-4.88,-,-,-,-,,Aircruising Aust,,.079,-,-,-,.079,.079,+.40,.08,.035,,
AJL,774.588,14.447,4.456,.109,.86,1.2,-9.40,-,-,-,-,,AJ Lucas Grp,,1.06,-5,1.06,1.10,1.13,1.05,-4.10,1.87,1.005,,
ACL,1864.93,35.070,12.267,.150,.06,8.9,-6.40,-,-,-,-,,Alchemia,,.535,+2.5,.53,.535,.54,.505,+5.30,.86,.25,,
AAI,-,.006,.032,8.729,-,-,23.62,42.7,9.57,2.47,.95,,Alcoa Inc,,10.08,-,-,-,10.20,10.08,+.40,18.99,9.00,,
LEP,67.502,6.062,10.917,.326,2.14,1.0,6.98,29.2,17.75,.39,8.70,,ALE Prop Grp,,2.04,+2,2.04,2.05,2.05,2.00,+1.39,2.15,1.72,,
ALS,842.300,14.624,29.865,.142,.83,1.8,21.32,7.1,10.00,2.13,6.64,f,Alesco Corp,,1.505,-10,1.505,1.53,1.645,1.48,-5.83,3.300,.995,,
AJX,222.135,6.896,5.729,.007,-.02,-,-1.99,-,-,-,-,,Alexium Int'l,,.085,-.5,.085,.096,.087,.085,-5.16,.13,.06,,
AEB,780.539,17.730,4.854,.019,-,-,-1.00,-,-,-,-,,Algae.Tec,,.38,+4,.375,.385,.385,.32,+12.16,.63,.29,,
AEBO,477.498,3.429,-,-,-,-,-,-,-,-,-,,  opt jan14,,.06,+1,.06,.09,.06,.05,+20.40,.06,.035,,
AQZ,35.127,10.456,-,.209,-,-,-,-,-,-,-,,Alliance Aviation,,2.32,+19,2.20,2.33,2.36,2.13,+9.32,2.36,1.59,,
AHZ,3092.94,60.930,21.463,.022,.01,3.0,-.72,-,-,-,-,,Allied Healthcare,,.03,+.1,.029,.03,.03,.029,+3.85,.084,.026,,
AZG,3761.75,53.369,53.471,.058,.07,3.0,2.00,10.5,-,-,-,,Allmine Grp,,.21,+.5,.21,.215,.22,.20,+2.84,.275,.095,,
AIQ,5.700,16.380,2.055,.068,.65,.8,-.07,-,-,-,-,,Alternative Invest,,.52,-,.52,.535,.52,.52,+.40,.63,.391,,
ALU,16.000,2.361,3.857,.020,-.06,-,-9.76,-,-,-,-,,Altium,,.20,-3.5,.17,.23,.235,.20,-14.49,.30,.082,,
AMA,340.000,16.372,6.736,.042,-.04,-,3.28,4.6,1.00,3.28,6.67,,AMA Grp,,.15,-,.145,.155,.15,.15,+.40,.155,.09,,
AHD,834.193,2.802,5.106,.983,5.19,1.2,58.80,10.6,37.00,1.59,5.93,f,Amalgamated Hldgs,,6.24,+4,6.11,6.28,6.28,6.11,+1.04,6.30,5.10,,
AMO,-,.229,.201,.008,.55,.5,-2.45,-,.50,-,1.96,,Ambertech,,.255,-,-,-,.255,.255,+.40,.355,.205,,
AMB,-,1.787,1.862,.012,.19,.9,2.03,8.9,-,-,-,,Ambition Grp,,.18,-,-,-,.18,.18,+.40,.33,.12,,
AKY,-,.002,-,.078,.99,100.5,270.00,36.8,230.00,1.17,2.31,f,AMCB Fund No 5,†,99.45,-195.6,-,-,82.636,82.636,-1.91,84.592,81.214,,
AKX,-,.002,-,.022,58.10,.5,250.00,12.0,135.00,1.85,4.50,f,AMCB Fund No 4,,29.98,-,-,-,29.98,29.98,+.40,30.957,28.138,,
AMH,255.773,4.203,6.652,.151,.80,.9,3.93,18.3,3.50,1.12,4.86,,AMCIL,,.72,-,.72,.73,.725,.71,+.40,.725,.60,,
AMM,1073.66,14.287,76.951,.268,.32,3.5,13.23,8.4,4.80,2.76,4.32,f,Amcom Telco,†,1.11,-1,1.10,1.11,1.14,1.10,-.49,1.14,.196,,
AMC,24798.2,320.529,267.281,9.219,1.20,6.4,27.40,27.9,36.00,.76,4.71,,Amcor,,7.64,+20,7.61,7.65,7.68,7.44,+3.09,7.68,5.87,,
