ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, March 21, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5354.0 at 2014-03-21T16:43:06. Report at Friday, March 21, 2014. Processed Saturday at 2014-03-22T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AMP,54543.9,540.034,574.297,14.552,1.35,3.64,23.20,21.2,23.00,1.01,4.67,p,AMP,,4.92,-,4.89,4.93,5.05,4.82,-.13,5.79,4.11,,
AGF,1244.05,20.920,43.823,.276,.98,.77,.63,119.8,1.92,.33,2.54,,AMP Capital China,,.755,-2,.755,.76,.77,.75,-2.71,.87,.605,,
AYK,3.115,.022,-,.100,100.20,1.00,174.16,57.7,175.00,1.00,1.74,f,Aust Master Fund No 4,,100.52,+12,100.52,100.52,100.52,100.40,-.01,101.13,99.68,,
AYD,2.000,.016,.007,.092,100.87,1.00,-30.58,-,385.00,-,3.80,f,Aust Masters YF1,,101.21,-16,101.21,-,101.21,101.11,-.29,101.84,100.35,,
AYJ,4.680,.022,-,.099,100.71,1.00,248.00,40.7,225.00,1.10,2.23,f,Aust Master Fund No 3,,100.95,+14,100.97,-,100.95,100.81,+.01,101.66,100.20,,
AYH,-,.005,.004,.043,100.55,1.00,415.00,24.2,395.00,1.05,3.93,f,Aust Masters YF2,,100.61,-,100.59,-,100.61,100.61,-.13,101.36,99.72,,
ANQ,114362,348.206,45.121,.028,-,-,1.58,.7,-,-,-,,AnaeCo,,.011,+.3,.011,.012,.012,.009,+37.37,.016,.006,,
ALT,3007.27,90.703,35.150,.018,.01,2.60,-.31,-,-,-,-,,Analytica,,.026,-,.025,.026,.027,.025,-.13,.033,.017,,
AYG,4330.00,56.663,80.282,.010,-,-,-.10,-,-,-,-,,Anittel Grp,,.004,-.1,.004,.005,.005,.004,-20.13,.009,.004,,
ANN,3069.38,40.712,48.947,2.875,4.21,4.47,118.03,15.9,40.89,2.89,2.17,,Ansell,,18.82,+2,18.45,18.93,18.91,18.44,-.02,22.24,14.62,,
ANO,1252.39,91.805,15.345,.006,.01,1.10,-.10,-,-,-,-,,Antaria,,.011,+.1,.011,.012,.011,.011,+9.87,.023,.008,,
ADO,42240.4,263.679,43.192,.200,-,-,-.28,-,-,-,-,,Anteo Diagnostics,,.245,-,.245,.25,.285,.24,-.13,.285,.047,,
ANP,3352.52,16.027,395.113,.028,.03,6.50,-1.90,-,-,-,-,,Antisense Therapeutic,†,.195,+3.5,.18,.19,.195,.16,+21.75,.215,.09,,
ANPO,604.404,5.743,-,.003,-,-,-,-,-,-,-,,  opt jan17,,.068,+1.1,.066,.074,.074,.057,+19.17,.074,.035,,
ANZ,32451.7,291.240,336.428,88.498,13.48,2.39,231.30,13.9,164.00,1.41,5.09,f,ANZ Banking Grp,,32.25,+38,32.23,32.26,32.475,31.72,+1.06,34.06,26.30,,
APE,3129.27,5.176,3.249,.923,2.34,2.23,36.40,14.3,23.00,1.58,4.41,f,AP Eagers,,5.22,-3,5.18,5.22,5.27,5.01,-.70,5.50,3.86,,
APP,87.360,.420,.118,-,.01,1.20,-.20,-,-,-,-,,APA Fin Services,,.012,-,.004,.012,.012,.012,-.13,.019,.01,,
