ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, January 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5254.3 at 2014-01-24T16:41:36. Report at Friday, January 24, 2014. Processed Saturday at 2014-01-25T23:15:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AYG,2155.80,13.701,22.218,.013,-.01,-,-.33,-,-,-,-,,Anittel Grp,,.005,-.1,.005,.006,.006,.005,-15.50,.009,.004,,
ANN,2626.93,6.951,9.307,3.006,1.79,10.99,104.60,18.8,38.00,2.75,1.93,,Ansell,,19.68,-43,19.60,19.85,20.31,19.595,-.97,22.24,14.62,,
ANO,8313.77,36.857,1.838,.008,.01,1.30,-.08,-,-,-,-,,Antaria,,.013,-.4,.013,.014,.017,.013,-22.36,.023,.008,,
ADO,16825.5,64.161,9.632,.147,-,-,-.28,-,-,-,-,,Anteo Diagnostics,,.18,+1,.18,.185,.19,.175,+7.05,.205,.047,,
ANP,722.842,3.010,120.796,.020,.03,4.67,-1.70,-,-,-,-,,Antisense Therapeutic,†,.14,+.5,.14,.15,.15,.14,+4.74,.215,.011,,
ANPO,54.330,1.661,-,.002,-,-,-,-,-,-,-,,  opt jan17,,.05,-.1,.048,.05,.05,.05,-.79,.06,.035,,
ANZ,13028.0,48.706,84.275,84.107,13.48,2.27,231.30,13.3,164.00,1.41,5.35,f,ANZ Banking Grp,,30.65,-6,30.65,30.72,31.43,30.66,+.98,34.06,26.07,,
APE,68.275,.235,.807,.915,2.15,2.41,35.90,14.4,21.00,1.71,4.05,f,AP Eagers,,5.18,+8,5.16,5.18,5.18,5.09,+2.74,5.65,3.86,,
APP,-,.150,.100,-,.01,1.40,-.16,-,-,-,-,,APA Fin Services,,.014,-,-,.014,.014,.014,+1.17,.019,.012,,
APA,11184.7,34.556,37.723,5.098,1.42,4.30,38.70,15.8,35.50,1.09,5.82,,APA Grp,,6.10,-9,6.10,6.14,6.185,6.04,-.29,6.97,5.61,,
APN,1399.60,5.275,30.403,.311,-.18,-,-18.60,-,-,-,-,,APN News & Media,,.47,+.5,.465,.47,.472,.46,+2.24,.52,.235,,
APD,171.000,.776,.151,.055,.17,1.50,1.42,18.0,1.25,1.14,4.90,,APN Prop Grp,,.255,-,.25,.255,.255,.25,+1.17,.29,.185,,
ALA,1584.28,18.276,1.581,.005,.01,26.00,3.98,6.5,-,-,-,,Applabs Tech,†,.26,+1.5,.255,.26,.285,.235,+7.29,.34,.003,,
AQU,4.000,.004,-,.040,-,-,-,-,-,-,-,,Aquaint Capital,,.55,-3,.38,.62,.58,.50,-4.00,.70,.46,,
ARP,588.205,1.020,.804,.830,2.27,5.04,58.44,19.6,28.00,2.09,2.45,f,ARB Corp,,11.45,+9,11.40,11.47,11.81,11.23,+1.96,13.88,10.91,,
AAD,3633.88,12.622,23.919,.810,.73,2.74,9.32,21.5,12.00,.78,6.00,,Ardent Leisure Grp,,2.00,-1,1.99,2.04,2.05,2.00,+.67,2.08,1.41,,
ARF,255.128,2.048,-,.241,-,-,-,-,-,-,-,,Arena REIT,†,1.14,-1,1.14,1.15,1.152,1.125,+.30,1.25,1.02,,
ARG,476.364,1.707,3.424,4.750,7.31,1.01,27.70,26.6,26.50,1.05,3.60,f,Argo Invest,,7.36,-5,7.36,7.37,7.44,7.32,+.49,7.44,6.03,,
ARA,450.783,.993,.249,.073,.33,1.08,1.39,25.5,1.00,1.39,2.82,p,Ariadne Aust,,.355,+2,.355,.35,.355,.335,+7.14,.36,.25,,
ALL,5079.66,16.269,22.734,2.426,.41,10.73,19.50,22.6,14.50,1.34,3.30,,Aristocrat Leisure,,4.40,-2,4.38,4.46,4.56,4.34,+.72,5.12,3.49,,
AIK,310.114,.339,.248,.016,.15,.54,-.34,-,-,-,-,,Armidale Invest,,.081,+.1,.081,.09,.088,.08,+2.42,.088,.041,,
AWN,21.170,.091,-,.073,.03,15.00,5.04,8.9,.85,5.93,1.89,,Arowana Internat,†,.45,-1,.45,.50,.46,.45,-1.01,.55,.007,,
ARI,43319.4,116.347,112.563,2.056,1.25,1.21,-51.52,-,5.00,-,3.31,,Arrium,,1.51,-14,1.505,1.515,1.685,1.485,-7.32,1.82,.675,,
AEM,363.751,.782,1.718,.006,-,-,-.22,-,-,-,-,,Artist & Entertain,,.015,+.1,.013,.015,.015,.013,+8.31,.022,.01,,
AJR,3274.33,9.449,3.309,.003,-,-,-.52,-,-,-,-,,Arunta Resources,,.004,-,.004,.005,.006,.003,+1.17,.018,.002,,
AJROB,-,-,.030,-,-,-,-,-,-,-,-,,  opt dec14,,.001,-,-,.001,.001,.001,+1.17,.008,.001,,
