ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, May 13, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4787.3 at 2011-05-13T16:39:16. Report at Friday, May 13, 2011. Processed Saturday at 2011-05-14T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AOD,140.982,7.372,4.319,.032,1.01,1.0,-.72,-,6.10,-,6.10,,Aurora Sandringham,,1.00,-,.99,1.00,1.015,.995,+.60,1.04,.965,,
AQF,-,.445,.283,.058,1.67,1.0,4.18,39.5,5.00,.84,3.03,f,Aust Gov Index Fund,,1.65,-,1.64,-,1.65,1.65,+.60,1.75,1.55,,
AZF,199.499,2.593,-,.038,-,-,-,-,-,-,-,,AUS Social Infr Fund,,1.34,-6,1.31,1.40,1.40,1.34,-3.69,1.50,1.30,,
ASL,5387.65,104.037,39.660,.986,1.79,1.8,25.67,12.8,11.50,2.23,3.51,f,Ausdrill,,3.28,+1,3.25,3.28,3.48,3.23,+.90,3.94,1.455,,
AAX,1494.63,27.115,53.775,.387,.43,7.3,-8.80,-,4.50,-,1.43,,Ausenco,,3.15,+22,3.12,3.15,3.22,2.99,+8.11,4.19,1.71,,
AAC,9248.44,34.801,61.035,.453,2.23,.7,.34,438.2,-,-,-,,Aust Agriculture,,1.49,-6,1.475,1.51,1.55,1.44,-3.27,1.705,1.365,,
AAK,14133.8,109.282,45.613,.007,.02,.1,-.05,-,-,-,-,,Aust China Hldgs,,.002,-,.002,.003,.002,.002,+.60,.005,.001,,
AAKO,-,1.950,24.175,.003,-,-,-,-,-,-,-,,  opt dec13,,.001,-,-,.001,.001,.001,+.60,.001,.001,,
AEU,563.146,11.847,8.807,.145,1.34,.6,5.17,16.0,2.82,1.83,3.42,,Aust Education,,.825,+1.5,.82,.825,.835,.81,+2.45,.868,.429,,
AYF,18.217,.188,.112,.022,6.94,1.0,51.00,13.1,50.00,1.02,7.47,p,Aust Enhanced,,6.69,+7,6.66,6.72,6.69,6.52,+1.66,6.72,6.10,,
AEF,2.421,.018,.014,.020,7.16,2.8,80.34,25.1,95.00,.85,4.71,f,Aust Ethical,,20.15,-5,17.20,22.00,20.20,20.15,+.35,29.10,18.345,,
AFI,1404.77,30.692,28.690,4.729,4.96,.9,21.17,22.0,21.00,1.01,4.52,f,Aust Foundation,,4.65,-3,4.65,4.66,4.78,4.63,-.04,5.16,4.53,,
AIX,7765.40,115.016,159.873,1.148,2.70,.7,24.40,7.6,10.00,2.44,5.41,p,Aust Infrastructure Fd,,1.85,+2,1.84,1.85,1.875,1.825,+1.69,2.04,1.54,,
ALF,200.911,3.917,4.195,.085,1.46,.9,7.35,17.7,9.00,.82,6.92,f,Aust Leaders Fund,,1.30,+.5,1.28,1.30,1.30,1.28,+.99,1.31,1.015,,
API,2513.90,45.776,65.625,.156,.72,.4,-4.70,-,2.50,-,7.81,f,Aust Pharmaceutical,,.32,+3,.31,.32,.32,.29,+10.94,.565,.27,,
APK,681.520,13.826,3.953,.084,-,-,-5.42,-,-,-,-,,Aust Power & Gas,,.51,-4,.51,.54,.56,.51,-6.67,.57,.335,,
AUI,37.796,.535,.464,.708,7.48,.9,31.80,21.2,26.00,1.22,3.85,f,Aust United Invest,,6.75,+7,6.75,6.80,6.76,6.64,+1.65,7.15,6.37,,
AVG,275.464,7.650,11.431,.042,1.02,.3,3.90,8.3,-,-,-,,Aust Vintage,,.325,+.5,.31,.345,.35,.32,+2.16,.465,.195,,
ASB,423.605,14.353,17.307,.566,1.43,2.1,19.52,15.4,6.00,3.25,1.99,,Austal,,3.01,+7,3.01,3.06,3.09,2.92,+2.98,3.58,1.935,,
AUN,7417.08,336.357,274.035,1.589,-.21,-,7.90,15.8,-,-,-,,Austar United,,1.25,+1,1.23,1.25,1.28,1.22,+1.41,1.46,.835,,
AUB,57.878,2.263,4.102,.355,1.20,5.4,37.50,17.3,23.50,1.60,3.62,f,Austbrokers Hldgs,,6.50,+18,6.27,6.52,6.54,6.26,+3.45,6.55,4.54,,
ANG,378.627,6.853,12.758,.326,.37,12.3,31.19,14.6,10.50,2.97,2.31,f,Austin Engineer,,4.55,-30,4.55,4.59,4.96,4.55,-5.59,5.08,2.55,,
ACK,100.000,5.232,1.921,.017,.19,.7,-.90,-,-,-,-,,Austock Grp,,.125,-.5,.125,.14,.13,.125,-3.25,.21,.10,,
AYX,-,.002,.060,.008,.13,4.5,-9.50,-,-,-,-,,Austofix Grp,,.58,-,-,.57,.58,.58,+.60,1.00,.58,,
ALZ,4739.49,78.400,300.750,1.673,3.52,.8,28.70,10.1,20.50,1.40,7.07,,Australand Prop,,2.90,-8,2.89,2.93,3.07,2.82,-2.09,3.20,2.25,,
AIY,40.000,1.230,.771,.002,.02,1.1,-1.00,-,-,-,-,,Authorised Invest,,.023,+1.5,.023,.029,.023,.008,+188.1,.055,.007,,
AIYO,-,-,.050,-,-,-,-,-,-,-,-,,  opt feb13,,.016,-,.001,.016,.016,.016,+.60,.016,.016,,
ATJ,1152.80,8.330,11.981,.009,.01,3.0,-1.43,-,-,-,-,,Auto Technology,,.03,-.5,.029,.03,.035,.029,-13.69,.053,.024,,
ATJO,-,1.107,.294,-,-,-,-,-,-,-,-,,  opt jun11,,.002,-,-,.002,.002,.002,+.60,.01,.001,,
ATJOA,-,.414,-,-,-,-,-,-,-,-,-,,  opt jun12,,.01,-,-,.01,.01,.01,+.60,.01,.003,,
AIE,481.885,1.593,3.013,.007,.05,.9,-3.43,-,-,-,-,,Autodom,,.045,+.5,.041,.045,.045,.04,+13.10,.083,.036,,
AHE,705.836,12.807,24.806,.555,.78,3.1,24.96,9.8,17.00,1.47,6.94,f,Automotive Hldgs,,2.45,-9,2.44,2.47,2.70,2.40,-2.94,2.83,2.10,,
AVX,6544.45,270.277,495.964,.045,.03,1.8,-4.41,-,-,-,-,,Avexa,,.053,+.6,.051,.053,.053,.047,+13.36,.08,.026,,
AVH,1121.62,11.921,12.854,.018,.02,7.5,-4.83,-,-,-,-,,Avita Medical,,.15,-,.15,.155,.16,.14,+.60,.16,.099,,
AVJ,161.847,3.531,3.343,.136,1.10,.4,7.87,6.3,2.50,3.15,5.05,f,AVJennings,,.495,-1,.495,.505,.515,.495,-1.38,.60,.38,,
AXI,74.000,9.228,10.094,.016,.05,.7,-1.96,-,-,-,-,,Axiom Prop,,.037,-,.037,.039,.037,.037,+.60,.046,.017,,
BOQ,3062.29,64.233,55.729,2.001,7.67,1.2,60.10,15.0,52.00,1.16,5.77,f,Bank of Qld,,9.01,-27,9.00,9.05,9.37,9.00,-2.31,12.32,9.00,,
BBX,123.000,4.532,.229,.010,.01,8.5,4.77,1.8,-,-,-,,BBX Hldgs,,.085,-.5,.085,.09,.09,.08,-4.96,.09,.01,,
BEC,1064.60,34.747,37.922,.003,-,-,-44.53,-,-,-,-,,Becton Property,,.015,-.3,.015,.017,.018,.015,-16.07,.075,.015,,
