ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, December 7, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4555.9 at 2012-12-07T16:45:05. Report at Friday, December 7, 2012. Processed Saturday at 2012-12-08T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AMH,711.528,19.556,21.589,.162,.80,.97,4.27,18.1,6.00,.71,7.74,f,AMCIL,,.775,+.5,.765,.775,.78,.77,-.19,.78,.635,,
AMM,5162.95,107.655,172.718,.346,.32,4.42,11.76,12.0,5.00,2.35,3.53,f,Amcom Telco,,1.415,+8.5,1.41,1.415,1.43,1.335,+5.55,1.45,.78,,
AMC,10063.1,944.785,1047.54,9.641,.96,8.32,34.00,23.5,37.00,.92,4.63,,Amcor,,7.99,+9,7.98,8.00,8.00,7.85,+.30,8.09,6.72,,
AMP,37953.9,2046.25,2917.99,14.037,1.06,4.52,25.40,18.9,26.50,.96,5.53,p,AMP,,4.79,+19,4.77,4.80,4.80,4.61,+3.29,4.85,3.71,,
AGF,3075.79,76.471,61.015,.224,.79,.80,-16.10,-,2.05,-,3.25,,AMP Capital China,,.63,+4.5,.63,.635,.635,.585,+6.85,.72,.55,,
AYD,.100,-,-,.091,-,-,-,-,-,-,-,,Aust Masters YF1,,100.81,-,100.81,100.81,100.81,100.81,-,100.81,100.81,,
ANQ,797.252,34.940,14.881,.012,-.05,-,-6.20,-,-,-,-,,AnaeCo,,.024,-.1,.024,.025,.025,.024,-4.84,.063,.024,,
ALT,199.000,259.171,127.523,.011,-,-,-.40,-,-,-,-,,Analytica,,.019,-,.019,.02,.019,.019,-.84,.034,.016,,
ALTOA,-,29.953,-,-,-,-,-,-,-,-,-,,  opt jun13,,.001,-,.001,.002,.001,.001,-.84,.005,.001,,
AYG,1397.00,205.085,343.963,.009,-,-,-.40,-,-,-,-,,Anittel Grp,,.004,-,.004,.005,.005,.004,-.84,.007,.004,,
ANN,5250.28,155.357,147.063,2.057,2.43,6.47,99.10,15.9,35.50,2.79,2.26,,Ansell,,15.73,+23,15.62,15.95,15.92,15.27,+.65,16.87,12.76,,
ANO,677.882,31.691,33.331,.006,.01,1.10,-.40,-,-,-,-,,Antaria,,.011,-.2,.01,.013,.013,.011,-16.22,.016,.008,,
ADO,2672.82,345.208,1859.08,.049,.01,6.40,-.30,-,-,-,-,,Anteo Diagnostics,,.064,+.3,.062,.064,.064,.059,+4.08,.093,.051,,
ANP,11483.1,2985.88,4907.58,.019,-,-,-.18,-,-,-,-,,Antisense Therapeutic,,.013,+.1,.013,.014,.013,.012,+7.50,.032,.01,,
ANZ,28094.1,1751.57,2228.82,67.732,12.22,2.04,213.40,11.7,145.00,1.47,5.83,f,ANZ Banking Grp,,24.89,+53,24.83,24.90,24.94,24.40,+1.34,27.63,20.26,,
APE,142.085,6.537,.521,.731,1.74,2.46,29.30,14.6,17.40,1.68,4.07,f,AP Eagers,†,4.28,+9,4.26,4.28,4.34,4.18,+1.31,15.42,2.87,,
APP,935.459,2.196,3.610,-,.01,1.20,-.08,-,-,-,-,,APA Fin Services,,.012,-.3,.007,.012,.014,.012,-20.84,.015,.005,,
APA,14102.9,898.750,290.965,4.637,1.58,3.56,20.40,27.6,35.00,.58,6.22,,APA Grp,,5.63,+3,5.62,5.65,5.69,5.45,-.30,5.69,4.32,,
APN,14220.7,426.808,509.335,.189,-.22,-,-41.10,-,6.50,-,22.81,p,APN News & Media,,.285,-1.5,.28,.29,.315,.28,-5.84,.96,.275,,
APD,31.715,6.684,7.650,.028,.18,.97,1.51,11.6,1.25,1.21,7.14,,APN Prop Grp,,.175,+1,.17,.175,.175,.165,+5.22,.185,.125,,
ARP,268.519,20.310,22.772,.767,1.93,5.48,53.12,19.9,25.00,2.12,2.36,f,ARB Corp,,10.58,-13,10.55,10.73,10.89,10.56,-2.05,11.07,7.66,,
AAD,5234.50,229.301,291.749,.585,.80,1.84,3.87,38.0,11.70,.33,7.96,p,Ardent Leisure Grp,,1.47,+4,1.46,1.47,1.565,1.42,+1.96,1.565,1.005,,
ARG,1213.76,41.212,42.368,3.823,5.78,1.05,26.80,22.7,26.00,1.03,4.28,f,Argo Invest,,6.08,+20,6.07,6.08,6.08,5.85,+2.56,6.08,4.96,,
ARA,114.214,7.887,5.780,.064,.29,1.09,2.55,12.4,1.00,2.55,3.17,,Ariadne Aust,,.315,-,.305,.315,.315,.305,-.84,.38,.29,,
ALL,13022.5,512.203,596.911,1.765,.33,9.70,14.00,22.9,10.00,1.40,3.13,,Aristocrat Leisure,,3.20,-6,3.20,3.23,3.31,3.15,-2.68,3.31,2.16,,
AIK,-,1.239,8.562,.009,.08,.60,-1.47,-,-,-,-,,Armidale Invest,,.048,-,.047,.057,.048,.048,-.84,.075,.045,,
ARI,31423.9,3550.98,2310.00,1.081,1.20,.67,4.30,18.6,6.00,.72,7.50,,Arrium,,.80,-2,.795,.805,.82,.78,-3.28,1.375,.50,,
AEM,370.000,178.880,160.992,.006,-,-,-.11,-,-,-,-,,Artist & Entertain,,.014,-,.013,.014,.014,.014,-.84,.019,.005,,
AIO,14501.1,871.205,3740.24,4.311,.65,6.80,24.70,17.9,7.50,3.29,1.70,f,Asciano,,4.42,+7,4.31,4.42,4.44,4.32,+.77,4.97,4.09,,
