ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, October 2, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5089.2 at 2015-10-02T16:46:05. Report at Friday, October 2, 2015. Processed Saturday at 2015-10-03T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AAI,.163,.397,.031,.142,-,-,28.12,48.0,11.03,2.55,.82,,Alcoa Inc,,13.50,+50,13.05,13.34,13.50,13.05,+3.60,26.86,12.70,,
LEP,1502.93,20.088,16.238,.734,2.27,1.65,50.77,7.4,16.85,3.01,4.49,,ALE Prop Grp,,3.75,+7,3.74,3.79,3.80,3.66,+1.66,3.94,3.07,,
AJX,8711.80,327.329,71.678,.265,.04,24.00,-5.78,-,-,-,-,,Alexium Int'l,,.96,-8.5,.945,.96,1.10,.945,-8.38,1.17,.145,,
AEB,106.000,20.301,24.328,.014,.01,4.10,-.88,-,-,-,-,,Algae.Tec,,.041,-.1,.042,.046,.042,.04,-2.63,.094,.03,,
AMT,-,.537,.413,.016,.06,4.17,-1.49,-,-,-,-,,Allegra Orthopaedics,,.25,-,-,.235,.25,.25,-.25,.325,.05,,
AQZ,71.798,26.511,20.731,.053,.99,.51,-34.41,-,2.10,-,4.20,f,Alliance Aviation,,.50,-1,.475,.50,.51,.47,-2.21,1.325,.36,,
ALQ,9916.12,461.500,301.481,1.983,.05,97.40,-43.37,-,21.00,-,4.31,p,ALS,,4.87,+20,4.82,4.93,4.88,4.50,+4.04,6.66,4.33,,
AIQ,-,35.461,15.279,.014,.14,.79,1.59,6.9,-,-,-,,Alternative Invest,,.11,-,.105,.115,.11,.11,-.25,.125,.10,,
ALU,2779.49,91.148,45.465,.620,.40,11.90,97.45,4.9,16.00,6.09,3.36,,Altium,,4.76,+22,4.73,4.77,4.82,4.43,+4.60,5.31,2.62,,
AMA,1922.56,124.752,81.455,.374,-,-,2.72,33.6,1.70,1.60,1.86,f,AMA Grp,,.915,+.5,.91,.915,.945,.897,+.30,.96,.28,,
AHD,441.753,16.495,12.198,2.059,5.44,2.39,68.90,18.9,45.00,1.53,3.46,f,Amalgamated Hldgs,,13.00,+4,12.54,13.00,13.12,12.61,+.06,13.40,9.31,,
AYS,2738.86,38.789,-,.402,-,-,-,-,-,-,-,,Amaysim Au,,2.28,-3,2.20,2.28,2.35,2.10,-1.55,2.40,1.75,,
AMO,-,2.044,2.511,.004,.31,.39,-5.40,-,-,-,-,,Ambertech,,.12,-,.125,.18,.12,.12,-.25,.20,.11,,
AMB,-,3.768,5.196,.011,.19,.87,2.20,7.5,-,-,-,,Ambition Grp,,.165,-,.15,.195,.165,.165,-.25,.17,.10,,
AKY,-,.007,.026,.015,19.35,.99,194.00,9.9,190.00,1.02,9.92,,AMCB Fund No 5,,19.15,-,-,19.15,18.95,18.95,-.25,24.959,18.258,,
AMH,607.862,10.800,13.467,.202,.91,.90,2.93,28.0,4.00,.73,4.88,f,AMCIL,,.82,+.5,.805,.82,.835,.805,+.37,.955,.79,,
AMC,22438.2,744.689,687.117,15.727,-.51,-,73.70,18.1,52.95,1.39,3.97,,Amcor,,13.35,+46,13.20,13.38,13.82,12.79,+3.32,14.93,10.83,,
AOW,1293.51,16.454,11.958,.012,-,-,-1.23,-,-,-,-,,American Patriot Oil,,.16,+2,.16,.165,.18,.14,+14.04,.205,.09,,
AOWO,330.900,2.039,-,.002,-,-,-,-,-,-,-,,  opt oct16,,.03,+2.8,.011,.025,.03,.002,+1399.8,.06,.002,,
AMP,35917.9,1479.51,1639.64,16.534,1.50,3.73,34.60,16.2,27.50,1.26,4.92,p,AMP,,5.59,+4,5.58,5.62,5.68,5.41,+.47,6.83,5.02,,
AGF,1732.82,220.048,77.233,.469,1.76,.69,112.82,1.1,2.92,38.64,2.40,,AMP Capital China,,1.215,+.5,1.215,1.23,1.235,1.195,+.17,1.875,.755,,
AYK,.500,.021,.056,.064,85.17,.76,293.00,22.1,283.00,1.04,4.38,f,Aust Masters YF4,,64.68,-,64.74,-,64.68,64.68,-.25,85.03,64.48,,
AYD,-,.014,.039,.056,61.46,1.01,369.00,16.8,344.00,1.07,5.56,f,Aust Masters YF1,,61.92,-,62.02,-,61.92,61.92,-.25,79.918,61.62,,
AYJ,-,.014,.042,.073,74.35,1.01,379.00,19.8,442.00,.86,5.89,f,Aust Masters YF3,,75.08,-,75.20,-,75.08,75.08,-.25,76.347,73.563,,
AYH,.050,.010,.019,.034,80.02,1.01,378.00,21.4,352.00,1.07,4.35,f,Aust Masters YF2,,80.89,+24,80.95,-,80.89,80.65,+.05,90.726,79.745,,
ANQ,1311.76,435.974,1217.81,.008,-,-,-.30,-,-,-,-,,AnaeCo,,.003,+.1,.002,.003,.003,.002,+49.75,.007,.001,,
ALT,912.117,269.694,334.736,.008,-,-,-.59,-,-,-,-,,Analytica,,.006,-,.006,.007,.006,.006,-.25,.034,.005,,
ALTO,554.166,12.397,-,-,-,-,-,-,-,-,-,,  opt feb16,,.001,-,.001,.002,.001,.001,-.25,.001,.001,,
