ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, June 21, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 4723.8 at 2013-06-21T16:17:05. Report at Friday, June 21, 2013. Processed Saturday at 2013-06-22T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TNE,1439.35,27.300,13.871,.534,.18,9.67,8.13,21.4,5.25,1.55,3.02,p,Technology One,,1.74,+12,1.74,1.755,1.88,1.685,+8.08,1.915,1.125,,
TPC,-,1.215,.329,.006,-.14,-,-2.60,-,-,-,-,,Tel Pacific,,.055,-,.049,.053,.055,.055,+1.08,.057,.006,,
TEL,9085.45,445.866,530.182,3.443,.21,9.02,14.80,12.8,14.58,1.02,7.69,,Telecom Corp of NZ,,1.895,+.5,1.895,1.90,1.92,1.87,+1.35,2.28,1.715,,
TLS,194610,4454.13,6178.92,56.616,.34,13.38,28.60,15.9,28.00,1.02,6.15,f,Telstra Corp,,4.55,-10,4.55,4.56,4.68,4.52,-1.07,5.15,3.58,,
TGG,1112.42,37.658,15.548,.150,1.06,.99,.86,122.1,1.50,.57,1.43,f,Templeton Global,,1.05,-.5,1.045,1.05,1.055,1.035,+.60,1.055,.68,,
TPP,197.292,22.754,584.570,.011,.02,3.50,-.83,-,-,-,-,,Tempo Aust,,.07,-,.065,.07,.071,.065,+1.08,.20,.02,,
TEN,37986.3,1253.40,433.527,.686,.05,5.30,-15.87,-,-,-,-,,Ten Network Hldgs,,.265,+.5,.265,.27,.28,.26,+2.97,.431,.220,,
TFC,1089.80,16.611,43.234,.120,.64,.67,8.86,4.9,-,-,-,,TFS Corp,,.43,-.5,.425,.43,.435,.41,-.07,.615,.325,,
TRS,676.322,16.077,10.961,.465,3.21,5.03,97.50,16.6,33.50,2.91,2.08,f,The Reject Shop,,16.14,-11,16.14,16.17,16.26,15.88,+.40,18.47,8.949,,
TRU,25.902,3.444,1.153,.192,1.62,3.52,35.10,16.2,30.00,1.17,5.26,f,The Trust Company,,5.70,+35,5.70,5.85,6.00,5.66,+7.28,6.93,4.22,,
TSM,171.805,20.400,45.638,.039,.19,1.29,-.95,-,-,-,-,,ThinkSmart,,.245,-1.5,.245,.265,.27,.26,-4.37,.315,.16,,
THO,29.446,1.978,4.485,.006,-,-,-7.24,-,-,-,-,,Thomas & Coffey,,.05,-,.05,.06,.05,.05,+1.08,.17,.04,,
TGA,1161.94,49.638,70.355,.297,.86,2.34,19.11,10.5,10.50,1.82,5.22,f,Thorn Grp,,2.01,+1,2.01,2.02,2.12,2.05,+1.56,2.41,1.40,,
TDI,.500,.727,.122,.002,.05,1.16,-2.94,-,-,-,-,,Tidewater Invest,,.058,-,.058,.087,.058,.058,+1.08,.11,.039,,
TIS,779.998,23.611,21.061,.027,.05,2.50,-4.36,-,-,-,-,,Tissue Therapies,,.125,-1,.125,.13,.14,.13,-6.06,.545,.11,,
TTN,35.928,13.650,1.222,.068,.76,1.88,17.41,8.2,4.00,4.35,2.81,f,Titan Energy Service,,1.425,-.5,1.40,1.425,1.45,1.38,+.73,2.03,.390,,
TOL,24061.2,440.302,463.594,3.736,1.50,3.47,13.60,38.3,26.00,.52,4.99,f,Toll Hldgs,,5.21,+17,5.20,5.21,5.27,4.89,+4.51,6.20,3.72,,
TWR,14.058,1.444,3.235,.334,1.52,1.06,22.75,7.1,7.61,2.99,4.73,,Tower,†,1.61,-3,1.61,1.65,1.68,1.61,-.70,1.70,1.16,,
TOX,1314.02,28.110,34.576,.465,.65,5.40,15.90,22.1,4.00,3.98,1.14,,Tox Free Solutions,,3.51,+13,3.49,3.51,3.49,3.27,+4.98,3.57,2.40,,
TPM,537.977,135.301,92.802,2.651,.19,17.58,14.30,23.4,6.25,2.29,1.87,f,TPG Telecom,,3.34,-1,3.34,3.35,3.35,3.30,+.78,3.98,1.675,,
TME,434.416,236.536,64.512,1.568,-.26,-,15.45,25.6,12.10,1.28,3.06,,Trade Me Grp,,3.96,-2,3.95,3.96,3.99,3.94,+.58,4.55,2.72,,
TGP,46.033,22.307,3.316,.042,.62,.80,-8.30,-,4.00,-,8.08,,Trafalgar Corp,,.495,-,.495,.505,.495,.495,+1.08,.58,.465,,
TTI,198.000,35.429,21.243,.011,-.07,-,1.36,4.3,.20,6.80,3.45,f,Traffic Tech,,.058,-.1,.058,.061,.06,.058,-.61,.10,.025,,
TSN,425.000,184.600,296.633,.009,.01,.50,-.50,-,-,-,-,,Transaction Solutions,,.005,+.1,.004,.005,.005,.004,+26.08,.01,.003,,
TSE,10371.7,318.568,273.370,.379,.36,2.06,-38.40,-,12.00,-,16.22,,Transfield Services,,.74,-5,.725,.745,.775,.705,-5.50,2.16,.70,,
TCO,-,.002,.034,.011,1.59,.54,18.46,4.6,5.00,3.69,5.85,f,Transmetro Corp,,.855,-,.80,-,.805,.805,+1.08,.855,.60,,
TNC,5905.43,250.124,195.866,.004,-,-,-.25,-,-,-,-,,Transol Corp,,.01,-,.01,.011,.012,.01,+1.08,.018,.006,,
TNCOB,-,3.710,18.044,-,-,-,-,-,-,-,-,,  opt dec14,,.003,-,.001,.003,.003,.003,+1.08,.008,.002,,
TPI,15782.9,399.750,400.394,1.168,.13,5.69,2.20,33.6,-,-,-,,Transpacific Indust,,.74,-.5,.735,.74,.77,.74,+.42,1.095,.66,,
TCL,23255.4,551.651,620.734,10.060,2.12,3.20,2.90,234.1,31.00,.09,4.57,p,Transurban Grp,,6.79,-6,6.79,6.80,6.96,6.78,+.21,7.18,5.56,,
TFS,6.820,.656,1.107,.010,.05,1.70,.65,13.1,.70,.93,8.24,f,Tranzact Fin Service,,.085,-,.085,.095,.085,.085,+1.08,.13,.085,,
