ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, July 24, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5556.8 at 2015-07-24T16:34:36. Report at Friday, July 24, 2015. Processed Saturday at 2015-07-25T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AEB,221.000,18.260,19.629,.017,.01,5.10,-.80,-,-,-,-,,Algae.Tec,,.051,-.1,.051,.052,.052,.05,-.23,.105,.04,,
AMT,7.000,.537,.393,.016,.07,3.57,-.45,-,-,-,-,,Allegra Orthopaedics,,.25,-1.5,.125,.24,.265,.25,-3.97,.325,.05,,
AQZ,378.875,23.755,17.777,.053,-,-,-20.80,-,2.10,-,4.20,f,Alliance Aviation,,.50,-,.465,.495,.50,.47,+1.69,1.455,.36,,
ALQ,10371.1,354.907,201.613,2.158,.05,106.00,-43.37,-,21.00,-,3.96,p,ALS,,5.30,-30,5.21,5.34,5.68,5.24,-3.66,8.06,4.33,,
AIQ,14.285,13.322,7.065,.015,.14,.82,.58,19.8,-,-,-,,Alternative Invest,,.115,-,.115,.12,.115,.115,+1.69,.125,.10,,
ALU,1283.57,63.905,32.582,.538,.41,10.15,14.27,29.2,16.00,.89,3.85,,Altium,,4.16,-5,4.15,4.16,4.32,4.14,+.51,5.31,2.27,,
AMA,4168.48,85.307,66.418,.274,-,-,2.24,29.9,1.60,1.40,2.39,f,AMA Grp,,.67,+1,.67,.685,.72,.665,+3.21,.72,.28,,
AHD,134.982,11.818,8.795,1.992,5.23,2.41,52.80,23.9,43.00,1.23,3.41,f,Amalgamated Hldgs,,12.61,-2,12.61,12.69,12.73,12.53,+1.54,13.37,9.25,,
AYS,7547.88,20.415,-,.345,-,-,-,-,-,-,-,,Amaysim Au,,1.96,+1,1.92,1.96,2.00,1.905,+2.21,2.00,1.75,,
AMO,-,1.768,1.289,.004,.32,.42,-4.29,-,-,-,-,,Ambertech,,.135,-,.135,.16,.135,.135,+1.69,.20,.11,,
AMB,33.000,3.192,3.014,.010,.17,.88,-.27,-,-,-,-,,Ambition Grp,,.15,-,.135,.15,.15,.15,+1.69,.16,.10,,
AKY,.888,.007,.021,.015,19.58,.98,316.00,6.1,233.00,1.36,12.17,,AMCB Fund No 5,,19.15,-,19.15,19.68,19.15,19.15,+1.69,24.959,18.258,,
AMH,230.038,8.319,9.304,.230,.91,1.04,2.93,32.4,4.00,.73,4.21,f,AMCIL,,.95,-,.93,.95,.955,.935,+1.69,1.010,.83,,
AMC,14919.2,552.586,504.332,16.940,-.06,-,66.03,21.7,47.90,1.38,3.34,,Amcor,,14.36,-,14.30,14.44,14.93,14.25,+1.69,14.93,9.96,,
AOW,258.273,13.376,4.229,.012,-,-,-1.23,-,-,-,-,,American Patriot Oil,,.16,+1,.15,.17,.16,.15,+8.36,.205,.11,,
