Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, April 10, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5935.4 at 2015-04-10T16:39:06. Report at Friday, April 10, 2015. Processed Saturday at 2015-04-11T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
16,17,TCL,Transurban Grp,18.723,9.78,+25,9.82,6.965,37.50,p,3.83,4.14,14.4,3.10,315.5,54.5,3.073,3.23,40.0,26.0,,
17,16,QBE,QBE Insurance Grp,18.700,13.70,+28,13.90,10.13,37.00,f,2.70,3.86,15.6,69.98,19.6,-,1.367,6.46,8.7,1.5,,
18,18,BXB,Brambles,18.474,11.79,+25,11.95,8.74,27.50,p,2.33,2.63,-,39.67,29.7,-12.2,6.254,.65,29.2,21.8,,
19,19,SUN,Suncorp Grp,17.266,13.42,-26,15.08,12.357,78.00,f,5.81,8.30,36.4,63.58,21.1,48.6,1.289,6.12,15.7,26.3,,
20,20,AMC,Amcor,17.209,14.32,+14,14.78,9.88,47.90,,3.34,3.34,17.3,66.03,21.7,52.1,7.821,-.06,47.2,34.6,,
21,21,IAG,Insurance Aust Grp,14.073,6.01,-3,6.61,5.45,39.00,f,6.49,8.34,8.3,50.08,12.0,11.9,2.123,1.28,17.7,29.3,,
22,22,RHC,Ramsay Health Care,13.643,67.51,+97,69.22,43.70,91.50,f,1.36,1.94,20.6,161.00,41.9,20.5,7.804,-1.69,42.2,54.0,,
23,23,RMD,ResMed Inc,13.407,9.55,+15,9.795,4.72,10.69,,1.12,1.12,43.7,27.95,34.2,13.9,7.055,-,101.0,48.4,,
24,24,ORG,Origin Energy,13.293,11.98,+68,16.21,10.28,50.00,,4.17,4.17,-,16.50,72.6,-7.0,.848,6.58,-15.9,-.9,,
25,25,SYD,Sydney Airport,11.923,5.38,+15,5.39,4.05,23.50,,4.37,4.37,4.4,2.67,201.5,-13.8,7.739,-2.77,33.0,30.2,,
