Australian Sharemarket: Top 300 Stocks
"Based on Market Capitalisation at close of trade Friday, October 30, 2015"
"XAO 5288.6 at 2015-10-30T16:38:35. Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:53 PM."



This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
67,68,FBU,Fletcher Bldg,4.863,7.06,+7,8.70,6.08,32.18,,4.56,4.56,2.9,34.71,20.3,4.8,1.466,2.55,-4.7,12.1,
68,65,BOQ,Bank of Qld,4.861,13.07,-48,14.73,11.39,74.00,f,5.66,8.09,74.2,86.80,15.1,-5.7,1.448,-,16.7,30.4,
69,69,CGF,Challenger,4.696,8.23,+4,8.24,5.81,30.00,f,3.65,4.98,15.4,54.80,15.0,-5.3,1.771,3.60,23.2,42.0,
70,70,HSO,Healthscope,4.677,2.70,+3,3.15,2.44,7.00,,2.59,2.59,-,8.60,31.4,-,2.006,.19,7.8,-,
71,72,HVN,Harvey Norman,4.423,3.98,+17,4.99,3.21,20.00,f,5.03,7.18,44.9,24.51,16.2,20.0,1.656,2.39,11.2,33.4,
72,71,SEK,Seek,4.419,12.83,-10,18.99,11.40,36.00,f,2.81,4.01,20.0,57.70,22.2,7.1,2.473,-.13,-20.0,27.2,
73,73,PTM,Platinum Asset,4.341,7.40,+21,9.50,6.38,37.00,f,5.00,7.14,8.8,36.66,20.2,13.0,12.080,.59,16.6,32.2,
74,74,EGP,Echo Entertainment,4.219,5.11,+6,5.25,3.46,11.00,f,2.15,3.07,37.5,20.50,24.9,34.6,1.374,1.45,36.1,15.5,
75,76,FPH,Fisher & Paykel Hlth,4.166,7.42,+13,7.52,4.76,12.46,,1.68,1.68,8.0,20.01,37.1,19.6,8.856,.78,49.5,62.5,
76,78,DMP,Domino's Pizza,4.067,46.75,+15,48.90,21.30,51.80,f,1.11,1.58,41.1,74.20,63.0,35.3,13.290,-.54,74.5,78.2,
77,77,BLD,Boral,4.008,5.39,-10,6.90,4.76,18.00,f,3.34,4.77,20.0,32.90,16.4,83.9,1.158,4.31,14.2,18.5,
78,75,TAH,Tabcorp Hldgs,3.924,4.72,-24,5.23,3.656,20.00,f,4.24,6.05,26.3,42.40,11.1,116.7,2.440,-1.13,36.4,29.4,
79,81,HGG,Henderson Grp,3.890,6.18,+28,6.27,3.755,18.97,,3.07,3.07,17.6,30.90,20.0,-11.7,1.923,.63,62.7,53.2,
